           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.693788e-04   8.178074e-02   8.181002e-02   1.655146e+01     4.9410e-03   1.917217e-02   4.340164e+09
   1.872545e-04   8.193613e-02   8.196622e-02   1.602124e+01     5.1142e-03   1.912610e-02   3.644504e+09
   2.230060e-04   8.219592e-02   8.222742e-02   1.514183e+01     5.4284e-03   1.901636e-02   2.689532e+09
   2.408818e-04   8.230597e-02   8.233810e-02   1.477071e+01     5.5722e-03   1.895630e-02   2.352407e+09
   2.587575e-04   8.240551e-02   8.243822e-02   1.443117e+01     5.7102e-03   1.891988e-02   2.077559e+09
   2.766333e-04   8.249605e-02   8.252929e-02   1.412244e+01     5.8415e-03   1.887745e-02   1.850270e+09
   3.123848e-04   8.265476e-02   8.268893e-02   1.357416e+01     6.0891e-03   1.882083e-02   1.498899e+09
   3.302605e-04   8.272474e-02   8.275942e-02   1.333201e+01     6.2050e-03   1.878143e-02   1.361253e+09
   3.481363e-04   8.278944e-02   8.282453e-02   1.310206e+01     6.3188e-03   1.877592e-02   1.242607e+09
   3.660120e-04   8.303698e-02   8.307372e-02   1.261210e+01     6.5839e-03   1.871912e-02   1.008725e+09
   3.838878e-04   8.374818e-02   8.378982e-02   1.204250e+01     6.9544e-03   1.889369e-02   7.743416e+08
   4.196393e-04   8.715498e-02   8.722271e-02   1.086036e+01     8.0251e-03   2.017266e-02   4.040464e+08
   4.375150e-04   8.996226e-02   9.005388e-02   1.029160e+01     8.7413e-03   2.149557e-02   2.807821e+08
   4.553908e-04   9.350525e-02   9.362984e-02   9.780607e+00     9.5603e-03   2.312984e-02   1.930770e+08
   4.732665e-04   9.775248e-02   9.792037e-02   9.312625e+00     1.0497e-02   2.534217e-02   1.325788e+08
   4.911423e-04   1.026621e-01   1.028849e-01   8.910765e+00     1.1521e-02   2.786023e-02   9.149945e+07
   5.090180e-04   1.081892e-01   1.084802e-01   8.561135e+00     1.2637e-02   3.080925e-02   6.372746e+07
   5.268938e-04   1.142908e-01   1.146643e-01   8.260047e+00     1.3837e-02   3.414927e-02   4.488974e+07
   5.447695e-04   1.209271e-01   1.213989e-01   7.993098e+00     1.5129e-02   3.805376e-02   3.200835e+07
   5.626453e-04   1.280632e-01   1.286505e-01   7.771847e+00     1.6478e-02   4.210203e-02   2.310531e+07
   5.983968e-04   1.437146e-01   1.445902e-01   7.420291e+00     1.9368e-02   5.097338e-02   1.246958e+07
   6.162725e-04   1.521793e-01   1.532308e-01   7.280774e+00     2.0902e-02   5.571476e-02   9.310826e+06
   6.341483e-04   1.610412e-01   1.622913e-01   7.160842e+00     2.2489e-02   6.058909e-02   7.021630e+06
   6.520240e-04   1.702817e-01   1.717552e-01   7.060436e+00     2.4118e-02   6.541689e-02   5.344621e+06
   6.698998e-04   1.798837e-01   1.816063e-01   6.971345e+00     2.5803e-02   7.040927e-02   4.103571e+06
   6.877756e-04   1.898321e-01   1.918307e-01   6.900297e+00     2.7511e-02   7.508188e-02   3.176398e+06
   7.056513e-04   2.001124e-01   2.024159e-01   6.831667e+00     2.9292e-02   8.013952e-02   2.477529e+06
   7.235271e-04   2.107114e-01   2.133495e-01   6.780591e+00     3.1076e-02   8.460862e-02   1.946348e+06
   7.414028e-04   2.216165e-01   2.246218e-01   6.731591e+00     3.2922e-02   8.930518e-02   1.539442e+06
   7.592786e-04   2.328157e-01   2.362199e-01   6.691759e+00     3.4791e-02   9.370005e-02   1.225432e+06
   7.771543e-04   2.442972e-01   2.481350e-01   6.660331e+00     3.6679e-02   9.773711e-02   9.814193e+05
   7.950301e-04   2.560500e-01   2.603566e-01   6.630697e+00     3.8616e-02   1.018232e-01   7.905461e+05
   8.129058e-04   2.680631e-01   2.728745e-01   6.610059e+00     4.0554e-02   1.053507e-01   6.403061e+05
   8.307816e-04   2.803257e-01   2.856818e-01   6.590076e+00     4.2538e-02   1.089129e-01   5.213452e+05
   8.486573e-04   2.928273e-01   2.987658e-01   6.570553e+00     4.4567e-02   1.125068e-01   4.266177e+05
   8.665331e-04   3.055576e-01   3.121184e-01   6.560005e+00     4.6579e-02   1.153639e-01   3.507796e+05
   8.844088e-04   3.185062e-01   3.257332e-01   6.542306e+00     4.8684e-02   1.188639e-01   2.897500e+05
   9.022846e-04   3.316630e-01   3.395944e-01   6.540029e+00     5.0713e-02   1.209499e-01   2.403961e+05
   9.201603e-04   3.450180e-01   3.537012e-01   6.530451e+00     5.2832e-02   1.236666e-01   2.002941e+05
   9.380361e-04   3.585611e-01   3.680397e-01   6.522350e+00     5.4974e-02   1.262007e-01   1.675618e+05
   9.559118e-04   3.722825e-01   3.825985e-01   6.520709e+00     5.7092e-02   1.280454e-01   1.407289e+05
   9.737876e-04   3.861724e-01   3.973734e-01   6.520303e+00     5.9226e-02   1.296843e-01   1.186394e+05
   9.916633e-04   4.002209e-01   4.123551e-01   6.520254e+00     6.1381e-02   1.311961e-01   1.003814e+05
   1.009539e-03   4.144185e-01   4.275302e-01   6.520106e+00     6.3560e-02   1.326219e-01   8.523172e+04
   1.027415e-03   4.287556e-01   4.428970e-01   6.520262e+00     6.5757e-02   1.339170e-01   7.261396e+04
   1.045291e-03   4.432228e-01   4.584395e-01   6.520738e+00     6.7971e-02   1.350761e-01   6.206696e+04
   1.063166e-03   4.578106e-01   4.741527e-01   6.521292e+00     7.0202e-02   1.361217e-01   5.322005e+04
   1.081042e-03   4.725097e-01   4.900283e-01   6.522630e+00     7.2442e-02   1.369780e-01   4.577408e+04
   1.098918e-03   4.873111e-01   5.060503e-01   6.530310e+00     7.4623e-02   1.370588e-01   3.948693e+04
   1.116794e-03   5.022055e-01   5.222234e-01   6.531389e+00     7.6891e-02   1.377223e-01   3.416121e+04
   1.134669e-03   5.171843e-01   5.385224e-01   6.540022e+00     7.9080e-02   1.374817e-01   2.963623e+04
   1.152545e-03   5.322384e-01   5.549531e-01   6.540764e+00     8.1373e-02   1.379637e-01   2.578012e+04
   1.170421e-03   5.473593e-01   5.715021e-01   6.542672e+00     8.3660e-02   1.382171e-01   2.248454e+04
   1.188297e-03   5.625384e-01   5.881564e-01   6.550551e+00     8.5876e-02   1.377376e-01   1.966028e+04
   1.206172e-03   5.777673e-01   6.049155e-01   6.552296e+00     8.8178e-02   1.378019e-01   1.723322e+04
   1.224048e-03   5.930378e-01   6.217569e-01   6.560487e+00     9.0395e-02   1.370914e-01   1.514215e+04
   1.241924e-03   6.083419e-01   6.386936e-01   6.562263e+00     9.2703e-02   1.369563e-01   1.333584e+04
   1.259800e-03   6.236716e-01   6.556955e-01   6.570435e+00     9.4921e-02   1.360633e-01   1.177174e+04
   1.277675e-03   6.390192e-01   6.727732e-01   6.571950e+00     9.7234e-02   1.357711e-01   1.041401e+04
   1.295551e-03   6.543771e-01   6.899012e-01   6.580313e+00     9.9445e-02   1.346882e-01   9.232734e+03
   1.313427e-03   6.697379e-01   7.070931e-01   6.581845e+00     1.0176e-01   1.342231e-01   8.202570e+03
   1.331303e-03   6.850945e-01   7.243162e-01   6.590224e+00     1.0396e-01   1.329839e-01   7.302242e+03
   1.349178e-03   7.004397e-01   7.415880e-01   6.591537e+00     1.0626e-01   1.323839e-01   6.513637e+03
   1.367054e-03   7.157667e-01   7.588747e-01   6.600128e+00     1.0845e-01   1.309844e-01   5.821472e+03
   1.384930e-03   7.310689e-01   7.761958e-01   6.601122e+00     1.1075e-01   1.302731e-01   5.212673e+03
   1.402806e-03   7.463398e-01   7.935250e-01   6.610005e+00     1.1291e-01   1.287223e-01   4.676151e+03
   1.420681e-03   7.615732e-01   8.108643e-01   6.610511e+00     1.1521e-01   1.279293e-01   4.202384e+03
   1.438557e-03   7.767628e-01   8.282090e-01   6.611708e+00     1.1748e-01   1.270073e-01   3.783236e+03
   1.456433e-03   7.919029e-01   8.455328e-01   6.620106e+00     1.1962e-01   1.253435e-01   3.411739e+03
   1.474309e-03   8.069878e-01   8.628563e-01   6.620717e+00     1.2189e-01   1.243693e-01   3.081856e+03
   1.492184e-03   8.220118e-01   8.801578e-01   6.621939e+00     1.2413e-01   1.232857e-01   2.788412e+03
