           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.453629e-02   8.457929e-02   1.606193e+01     5.2631e-03   2.056206e-02   3.394284e+09
   1.515030e-04   9.454835e-02   9.465317e-02   1.372087e+01     6.8908e-03   2.550947e-02   1.094581e+09
   1.693788e-04   1.110669e-01   1.113065e-01   1.209049e+01     9.1863e-03   3.486406e-02   3.552897e+08
   1.872545e-04   1.330171e-01   1.334936e-01   1.107001e+01     1.2016e-02   4.812430e-02   1.280783e+08
   2.051303e-04   1.595626e-01   1.604094e-01   1.044029e+01     1.5283e-02   6.420570e-02   5.133225e+07
   2.230060e-04   1.901631e-01   1.915471e-01   1.006081e+01     1.8901e-02   8.128531e-02   2.246231e+07
   2.408818e-04   2.244529e-01   2.265755e-01   9.840034e+00     2.2810e-02   9.782778e-02   1.056154e+07
   2.587575e-04   2.621524e-01   2.652514e-01   9.702773e+00     2.7018e-02   1.138804e-01   5.273120e+06
   2.766333e-04   3.030211e-01   3.073688e-01   9.640908e+00     3.1431e-02   1.275039e-01   2.771134e+06
   3.123848e-04   3.933683e-01   4.011745e-01   9.622489e+00     4.0880e-02   1.489719e-01   8.698677e+05
   3.302605e-04   4.424017e-01   4.524812e-01   9.650293e+00     4.5843e-02   1.562821e-01   5.145605e+05
   3.481363e-04   4.937073e-01   5.064676e-01   9.682881e+00     5.0988e-02   1.623130e-01   3.140055e+05
   3.660120e-04   5.470553e-01   5.629250e-01   9.730786e+00     5.6219e-02   1.660121e-01   1.970751e+05
   3.838878e-04   6.022136e-01   6.216494e-01   9.780547e+00     6.1573e-02   1.684289e-01   1.268785e+05
   4.017635e-04   6.589497e-01   6.824271e-01   9.831203e+00     6.7026e-02   1.696491e-01   8.360499e+04
   4.196393e-04   7.170322e-01   7.450425e-01   9.882301e+00     7.2557e-02   1.697508e-01   5.627529e+04
   4.375150e-04   7.762323e-01   8.092753e-01   9.940074e+00     7.8091e-02   1.682699e-01   3.862820e+04
   4.553908e-04   8.363263e-01   8.749118e-01   9.990144e+00     8.3715e-02   1.665136e-01   2.699842e+04
   4.732665e-04   8.970964e-01   9.417380e-01   1.004003e+01     8.9352e-02   1.639277e-01   1.918849e+04
   4.911423e-04   9.583325e-01   1.009547e+00   1.008156e+01     9.5058e-02   1.612607e-01   1.385147e+04
   5.090180e-04   1.019833e+00   1.078117e+00   1.013003e+01     1.0067e-01   1.573712e-01   1.014476e+04
   5.268938e-04   1.081408e+00   1.147264e+00   1.017007e+01     1.0633e-01   1.535607e-01   7.531165e+03
   5.447695e-04   1.142875e+00   1.216789e+00   1.020191e+01     1.1203e-01   1.498501e-01   5.662144e+03
   5.626453e-04   1.204065e+00   1.286494e+00   1.024019e+01     1.1758e-01   1.452312e-01   4.307833e+03
   5.805210e-04   1.264821e+00   1.356220e+00   1.027025e+01     1.2315e-01   1.408367e-01   3.314242e+03
   5.983968e-04   1.324998e+00   1.425784e+00   1.030001e+01     1.2864e-01   1.361610e-01   2.576762e+03
   6.162725e-04   1.384461e+00   1.495039e+00   1.032058e+01     1.3415e-01   1.318387e-01   2.023340e+03
   6.341483e-04   1.443090e+00   1.563831e+00   1.034088e+01     1.3955e-01   1.273209e-01   1.603726e+03
   6.520240e-04   1.500775e+00   1.632013e+00   1.036030e+01     1.4486e-01   1.227001e-01   1.282444e+03
   6.698998e-04   1.557418e+00   1.699479e+00   1.037177e+01     1.5016e-01   1.184247e-01   1.034163e+03
   6.877756e-04   1.612933e+00   1.766086e+00   1.038254e+01     1.5535e-01   1.140906e-01   8.406124e+02
   7.056513e-04   1.667245e+00   1.831740e+00   1.039212e+01     1.6043e-01   1.097619e-01   6.884686e+02
   7.235271e-04   1.720288e+00   1.896326e+00   1.040071e+01     1.6540e-01   1.054568e-01   5.679263e+02
   7.414028e-04   1.772008e+00   1.959779e+00   1.040199e+01     1.7035e-01   1.015087e-01   4.717000e+02
   7.592786e-04   1.822358e+00   2.021995e+00   1.041000e+01     1.7506e-01   9.724675e-02   3.943379e+02
   7.771543e-04   1.871303e+00   2.082945e+00   1.040211e+01     1.7990e-01   9.374936e-02   3.317134e+02
   7.950301e-04   1.918812e+00   2.142521e+00   1.040081e+01     1.8449e-01   8.998044e-02   2.806925e+02
   8.129058e-04   1.964866e+00   2.200692e+00   1.040000e+01     1.8893e-01   8.624662e-02   2.388656e+02
   8.307816e-04   2.009448e+00   2.257415e+00   1.039019e+01     1.9340e-01   8.294288e-02   2.043721e+02
   8.486573e-04   2.052552e+00   2.312649e+00   1.038032e+01     1.9774e-01   7.969719e-02   1.757653e+02
   8.665331e-04   2.094176e+00   2.366364e+00   1.037013e+01     2.0194e-01   7.652954e-02   1.519121e+02
   8.844088e-04   2.134322e+00   2.418559e+00   1.035247e+01     2.0617e-01   7.370149e-02   1.319183e+02
   9.022846e-04   2.172999e+00   2.469159e+00   1.034073e+01     2.1014e-01   7.073362e-02   1.150779e+02
   9.201603e-04   2.210219e+00   2.518221e+00   1.032247e+01     2.1412e-01   6.806338e-02   1.008241e+02
   9.380361e-04   2.245998e+00   2.565657e+00   1.031017e+01     2.1784e-01   6.527738e-02   8.870608e+01
