           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.693788e-04   8.178074e-02   8.181002e-02   1.655146e+01     4.9410e-03   1.917217e-02   4.340164e+09
   1.872545e-04   8.193613e-02   8.196622e-02   1.602124e+01     5.1142e-03   1.912610e-02   3.644504e+09
   2.230060e-04   8.219592e-02   8.222742e-02   1.514183e+01     5.4284e-03   1.901636e-02   2.689532e+09
   2.408818e-04   8.230597e-02   8.233810e-02   1.477071e+01     5.5722e-03   1.895630e-02   2.352407e+09
   2.587575e-04   8.265383e-02   8.268801e-02   1.407156e+01     5.8738e-03   1.898406e-02   1.810065e+09
   2.766333e-04   8.383351e-02   8.387503e-02   1.322090e+01     6.3410e-03   1.927335e-02   1.253382e+09
   2.945090e-04   8.613723e-02   8.619434e-02   1.234028e+01     6.9802e-03   2.024055e-02   8.143308e+08
   3.123848e-04   8.964851e-02   8.973191e-02   1.152036e+01     7.7817e-03   2.179705e-02   5.092397e+08
   3.302605e-04   9.433473e-02   9.445741e-02   1.078171e+01     8.7495e-03   2.415627e-02   3.140644e+08
   3.481363e-04   1.001081e-01   1.002854e-01   1.016112e+01     9.8521e-03   2.707699e-02   1.944779e+08
   3.660120e-04   1.068645e-01   1.071137e-01   9.632066e+00     1.1095e-02   3.081593e-02   1.222120e+08
   3.838878e-04   1.145036e-01   1.148444e-01   9.201601e+00     1.2444e-02   3.505947e-02   7.833129e+07
   4.017635e-04   1.229372e-01   1.233913e-01   8.842245e+00     1.3903e-02   3.996384e-02   5.128290e+07
   4.196393e-04   1.320906e-01   1.326821e-01   8.551308e+00     1.5447e-02   4.521967e-02   3.427988e+07
   4.553908e-04   1.523183e-01   1.532654e-01   8.111603e+00     1.8778e-02   5.678569e-02   1.621512e+07
   4.732665e-04   1.632967e-01   1.644660e-01   7.950813e+00     2.0538e-02   6.270646e-02   1.143910e+07
   4.911423e-04   1.747991e-01   1.762236e-01   7.811398e+00     2.2377e-02   6.894781e-02   8.191748e+06
   5.090180e-04   1.867928e-01   1.885072e-01   7.701311e+00     2.4255e-02   7.488496e-02   5.947380e+06
   5.268938e-04   1.992486e-01   2.012888e-01   7.610262e+00     2.6182e-02   8.069116e-02   4.372767e+06
   5.447695e-04   2.121401e-01   2.145459e-01   7.531187e+00     2.8168e-02   8.652335e-02   3.252712e+06
   5.805210e-04   2.391351e-01   2.423951e-01   7.411717e+00     3.2264e-02   9.742650e-02   1.857647e+06
   5.983968e-04   2.531949e-01   2.569473e-01   7.370474e+00     3.4353e-02   1.022033e-01   1.424216e+06
   6.162725e-04   2.676023e-01   2.718946e-01   7.331238e+00     3.6502e-02   1.070673e-01   1.101546e+06
   6.341483e-04   2.823380e-01   2.872167e-01   7.301345e+00     3.8669e-02   1.114132e-01   8.590390e+05
   6.520240e-04   2.973833e-01   3.028976e-01   7.280104e+00     4.0849e-02   1.151819e-01   6.751463e+05
   6.877756e-04   3.283309e-01   3.352721e-01   7.241196e+00     4.5342e-02   1.225040e-01   4.261392e+05
   7.056513e-04   3.441985e-01   3.519317e-01   7.230289e+00     4.7605e-02   1.254149e-01   3.419723e+05
   7.235271e-04   3.603062e-01   3.688870e-01   7.220347e+00     4.9902e-02   1.281743e-01   2.761478e+05
   7.414028e-04   3.766374e-01   3.861218e-01   7.210867e+00     5.2232e-02   1.308102e-01   2.243213e+05
   7.592786e-04   3.931762e-01   4.036222e-01   7.202633e+00     5.4588e-02   1.332372e-01   1.832544e+05
   7.771543e-04   4.099068e-01   4.213700e-01   7.201012e+00     5.6924e-02   1.349369e-01   1.505155e+05
   7.950301e-04   4.268138e-01   4.393528e-01   7.200412e+00     5.9276e-02   1.364084e-01   1.242636e+05
   8.129058e-04   4.441820e-01   4.578768e-01   7.200246e+00     6.1690e-02   1.377220e-01   1.027647e+05
   8.307816e-04   4.654379e-01   4.806164e-01   7.200300e+00     6.4641e-02   1.391253e-01   8.217870e+04
   8.486573e-04   4.873606e-01   5.041514e-01   7.200890e+00     6.7681e-02   1.403724e-01   6.589754e+04
   8.665331e-04   5.099133e-01   5.284499e-01   7.202320e+00     7.0798e-02   1.414401e-01   5.301047e+04
   8.844088e-04   5.330579e-01   5.534732e-01   7.210797e+00     7.3925e-02   1.417132e-01   4.279210e+04
   9.022846e-04   5.567559e-01   5.791909e-01   7.220184e+00     7.7111e-02   1.417856e-01   3.467031e+04
   9.201603e-04   5.809688e-01   6.055737e-01   7.222651e+00     8.0437e-02   1.424200e-01   2.819672e+04
   9.380361e-04   6.056580e-01   6.325750e-01   7.232422e+00     8.3742e-02   1.422103e-01   2.302085e+04
   9.559118e-04   6.307852e-01   6.601675e-01   7.242641e+00     8.7093e-02   1.418258e-01   1.886867e+04
   9.737876e-04   6.563124e-01   6.883090e-01   7.260013e+00     9.0401e-02   1.406114e-01   1.552613e+04
   9.916633e-04   6.822019e-01   7.169721e-01   7.270087e+00     9.3837e-02   1.399706e-01   1.282563e+04
   1.009539e-03   7.084165e-01   7.461197e-01   7.280454e+00     9.7304e-02   1.391610e-01   1.063593e+04
   1.027415e-03   7.349194e-01   7.757167e-01   7.291015e+00     1.0080e-01   1.381922e-01   8.853887e+03
   1.045291e-03   7.616743e-01   8.057251e-01   7.301982e+00     1.0431e-01   1.370455e-01   7.398278e+03
   1.063166e-03   7.886457e-01   8.360999e-01   7.320012e+00     1.0774e-01   1.351084e-01   6.204980e+03
   1.081042e-03   8.157986e-01   8.668259e-01   7.330413e+00     1.1129e-01   1.337507e-01   5.223145e+03
   1.098918e-03   8.430989e-01   8.978594e-01   7.341052e+00     1.1485e-01   1.322417e-01   4.412410e+03
   1.116794e-03   8.705133e-01   9.291679e-01   7.351952e+00     1.1841e-01   1.305855e-01   3.740590e+03
   1.134669e-03   8.980090e-01   9.607055e-01   7.370015e+00     1.2185e-01   1.281880e-01   3.181958e+03
   1.152545e-03   9.255545e-01   9.924499e-01   7.380154e+00     1.2541e-01   1.263798e-01   2.715838e+03
   1.170421e-03   9.531190e-01   1.024374e+00   7.390410e+00     1.2897e-01   1.244574e-01   2.325608e+03
   1.188297e-03   9.806728e-01   1.056437e+00   7.400698e+00     1.3251e-01   1.224359e-01   1.997839e+03
   1.206172e-03   1.008187e+00   1.088604e+00   7.410890e+00     1.3604e-01   1.203340e-01   1.721644e+03
   1.224048e-03   1.035634e+00   1.120850e+00   7.420976e+00     1.3955e-01   1.181603e-01   1.488174e+03
   1.241924e-03   1.062987e+00   1.153138e+00   7.430944e+00     1.4305e-01   1.159237e-01   1.290211e+03
   1.259800e-03   1.090221e+00   1.185441e+00   7.440795e+00     1.4652e-01   1.136321e-01   1.121846e+03
   1.277675e-03   1.117311e+00   1.217737e+00   7.450467e+00     1.4997e-01   1.112976e-01   9.782324e+02
   1.295551e-03   1.144234e+00   1.249984e+00   7.460172e+00     1.5338e-01   1.089125e-01   8.553765e+02
   1.331303e-03   1.197489e+00   1.314274e+00   7.471415e+00     1.6028e-01   1.045991e-01   6.593147e+02
   1.349178e-03   1.223782e+00   1.346237e+00   7.480412e+00     1.6360e-01   1.021512e-01   5.811122e+02
   1.367054e-03   1.249825e+00   1.378075e+00   7.482604e+00     1.6703e-01   1.001369e-01   5.134771e+02
   1.384930e-03   1.275601e+00   1.409722e+00   7.490781e+00     1.7029e-01   9.769814e-02   4.548376e+02
   1.402806e-03   1.301094e+00   1.441179e+00   7.500002e+00     1.7348e-01   9.518400e-02   4.038654e+02
   1.420681e-03   1.326288e+00   1.472441e+00   7.500587e+00     1.7682e-01   9.320526e-02   3.594487e+02
   1.438557e-03   1.351168e+00   1.503469e+00   7.501921e+00     1.8011e-01   9.116109e-02   3.206519e+02
   1.456433e-03   1.375722e+00   1.534224e+00   7.510070e+00     1.8318e-01   8.870203e-02   2.866874e+02
   1.474309e-03   1.399937e+00   1.564719e+00   7.510503e+00     1.8640e-01   8.670056e-02   2.568815e+02
   1.492184e-03   1.423803e+00   1.594931e+00   7.511112e+00     1.8956e-01   8.468487e-02   2.306677e+02
   1.510060e-03   1.447307e+00   1.624836e+00   7.511699e+00     1.9267e-01   8.267114e-02   2.075628e+02
