           rhoc              M             Mb              R              C             kl            lam
   3.302605e-04   1.496453e-01   1.510335e-01   1.427436e+01     1.0484e-02   5.800660e-03   3.053895e+07
   3.481363e-04   1.633273e-01   1.650145e-01   1.308316e+01     1.2484e-02   8.980815e-03   1.974669e+07
   3.660120e-04   1.782495e-01   1.802950e-01   1.218272e+01     1.4631e-02   1.298914e-02   1.291424e+07
   3.838878e-04   1.945286e-01   1.970034e-01   1.148192e+01     1.6942e-02   1.782035e-02   8.510973e+06
   4.017635e-04   2.122883e-01   2.152765e-01   1.091317e+01     1.9452e-02   2.356716e-02   5.640793e+06
   4.196393e-04   2.316364e-01   2.352374e-01   1.048203e+01     2.2098e-02   2.969731e-02   3.756813e+06
   4.375150e-04   2.526647e-01   2.569945e-01   1.011370e+01     2.4982e-02   3.669827e-02   2.514093e+06
   4.553908e-04   2.754590e-01   2.806501e-01   9.819075e+00     2.8053e-02   4.406536e-02   1.690730e+06
   4.732665e-04   3.000968e-01   3.063087e-01   9.600243e+00     3.1259e-02   5.116748e-02   1.142897e+06
   4.911423e-04   3.266293e-01   3.340377e-01   9.402249e+00     3.4739e-02   5.896470e-02   7.769334e+05
   5.268938e-04   3.854314e-01   3.958539e-01   9.130140e+00     4.2215e-02   7.364432e-02   3.661841e+05
   5.447695e-04   4.176826e-01   4.299719e-01   9.031802e+00     4.6246e-02   8.064829e-02   2.541815e+05
   5.626453e-04   4.517913e-01   4.662181e-01   8.953246e+00     5.0461e-02   8.728206e-02   1.778472e+05
   5.805210e-04   4.877013e-01   5.045583e-01   8.900156e+00     5.4797e-02   9.299110e-02   1.254783e+05
   5.983968e-04   5.253350e-01   5.449410e-01   8.860026e+00     5.9293e-02   9.816131e-02   8.929817e+04
   6.162725e-04   5.645948e-01   5.872911e-01   8.823206e+00     6.3990e-02   1.031861e-01   6.411763e+04
   6.341483e-04   6.053649e-01   6.315055e-01   8.802059e+00     6.8775e-02   1.072294e-01   4.645770e+04
   6.520240e-04   6.475129e-01   6.774701e-01   8.791123e+00     7.3655e-02   1.104718e-01   3.397345e+04
   6.877756e-04   7.353301e-01   7.740845e-01   8.790270e+00     8.3653e-02   1.148052e-01   1.868398e+04
   7.056513e-04   7.806321e-01   8.243795e-01   8.791637e+00     8.8793e-02   1.163622e-01   1.405521e+04
   7.235271e-04   8.266029e-01   8.757308e-01   8.800870e+00     9.3923e-02   1.170406e-01   1.067551e+04
   7.414028e-04   8.730516e-01   9.279473e-01   8.811052e+00     9.9086e-02   1.172911e-01   8.186783e+03
   7.592786e-04   9.197928e-01   9.808327e-01   8.821718e+00     1.0426e-01   1.171522e-01   6.338334e+03
   7.771543e-04   9.666490e-01   1.034195e+00   8.833074e+00     1.0944e-01   1.166257e-01   4.953568e+03
   7.950301e-04   1.013451e+00   1.087837e+00   8.850296e+00     1.1451e-01   1.153957e-01   3.907270e+03
   8.129058e-04   1.059988e+00   1.141544e+00   8.862254e+00     1.1961e-01   1.142197e-01   3.110758e+03
   8.307816e-04   1.105926e+00   1.194897e+00   8.880071e+00     1.2454e-01   1.124102e-01   2.501305e+03
   8.486573e-04   1.150900e+00   1.247488e+00   8.890689e+00     1.2945e-01   1.108329e-01   2.032668e+03
   8.665331e-04   1.194548e+00   1.298863e+00   8.901698e+00     1.3419e-01   1.090362e-01   1.670416e+03
   8.844088e-04   1.236530e+00   1.348589e+00   8.912569e+00     1.3874e-01   1.070894e-01   1.388822e+03
   9.022846e-04   1.276540e+00   1.396271e+00   8.922411e+00     1.4307e-01   1.050820e-01   1.168625e+03
   9.201603e-04   1.314325e+00   1.441564e+00   8.931629e+00     1.4715e-01   1.030243e-01   9.953785e+02
   9.380361e-04   1.349683e+00   1.484185e+00   8.940515e+00     1.5096e-01   1.009340e-01   8.582233e+02
   9.559118e-04   1.382486e+00   1.523956e+00   8.943154e+00     1.5459e-01   9.917109e-02   7.489329e+02
   9.737876e-04   1.412853e+00   1.560931e+00   8.950412e+00     1.5785e-01   9.714653e-02   6.607940e+02
   9.916633e-04   1.441057e+00   1.595454e+00   8.951158e+00     1.6099e-01   9.547683e-02   5.885681e+02
   1.009539e-03   1.467372e+00   1.627807e+00   8.951970e+00     1.6392e-01   9.380379e-02   5.284708e+02
   1.045291e-03   1.515345e+00   1.687145e+00   8.952148e+00     1.6927e-01   9.053737e-02   4.343260e+02
   1.063166e-03   1.537456e+00   1.714653e+00   8.951474e+00     1.7175e-01   8.894099e-02   3.967073e+02
   1.081042e-03   1.558582e+00   1.741033e+00   8.950670e+00     1.7413e-01   8.734474e-02   3.637260e+02
   1.098918e-03   1.578896e+00   1.766514e+00   8.943858e+00     1.7653e-01   8.602584e-02   3.344988e+02
   1.116794e-03   1.598548e+00   1.791227e+00   8.941809e+00     1.7877e-01   8.445684e-02   3.083483e+02
   1.134669e-03   1.617672e+00   1.815356e+00   8.940266e+00     1.8094e-01   8.284153e-02   2.847451e+02
   1.152545e-03   1.636331e+00   1.839008e+00   8.931801e+00     1.8320e-01   8.151933e-02   2.633348e+02
   1.170421e-03   1.654515e+00   1.862135e+00   8.923780e+00     1.8541e-01   8.015018e-02   2.438955e+02
   1.188297e-03   1.672212e+00   1.884686e+00   8.920476e+00     1.8746e-01   7.855370e-02   2.262348e+02
   1.224048e-03   1.706107e+00   1.928158e+00   8.902245e+00     1.9165e-01   7.584179e-02   1.955616e+02
   1.259800e-03   1.737968e+00   1.969283e+00   8.883263e+00     1.9565e-01   7.314603e-02   1.701191e+02
   1.277675e-03   1.753128e+00   1.988914e+00   8.880000e+00     1.9742e-01   7.155329e-02   1.590503e+02
   1.295551e-03   1.767775e+00   2.007996e+00   8.862962e+00     1.9946e-01   7.052592e-02   1.489421e+02
   1.313427e-03   1.781908e+00   2.026437e+00   8.852304e+00     2.0129e-01   6.925380e-02   1.397036e+02
   1.331303e-03   1.795531e+00   2.044263e+00   8.841635e+00     2.0308e-01   6.799842e-02   1.312521e+02
   1.349178e-03   1.808646e+00   2.061476e+00   8.831062e+00     2.0481e-01   6.675892e-02   1.235135e+02
   1.384930e-03   1.833404e+00   2.094108e+00   8.810045e+00     2.0810e-01   6.434166e-02   1.099008e+02
   1.402806e-03   1.845085e+00   2.109608e+00   8.792720e+00     2.0984e-01   6.341242e-02   1.039003e+02
   1.420681e-03   1.856328e+00   2.124525e+00   8.781328e+00     2.1139e-01   6.228841e-02   9.836565e+01
   1.438557e-03   1.867149e+00   2.138922e+00   8.770408e+00     2.1289e-01   6.116994e-02   9.325041e+01
   1.456433e-03   1.877567e+00   2.152861e+00   8.753437e+00     2.1449e-01   6.028181e-02   8.851389e+01
   1.474309e-03   1.887596e+00   2.166272e+00   8.741588e+00     2.1593e-01   5.923652e-02   8.412098e+01
   1.492184e-03   1.897254e+00   2.179217e+00   8.730380e+00     2.1732e-01   5.819098e-02   8.003925e+01
   1.510060e-03   1.906554e+00   2.191759e+00   8.713055e+00     2.1882e-01   5.736795e-02   7.624035e+01
   1.527936e-03   1.915510e+00   2.203822e+00   8.701126e+00     2.2015e-01   5.638568e-02   7.269962e+01
   1.545812e-03   1.924137e+00   2.215470e+00   8.690095e+00     2.2142e-01   5.539503e-02   6.939408e+01
   1.563687e-03   1.932445e+00   2.226756e+00   8.671859e+00     2.2284e-01   5.465168e-02   6.630363e+01
   1.581563e-03   1.940448e+00   2.237608e+00   8.660381e+00     2.2406e-01   5.371268e-02   6.341040e+01
   1.599439e-03   1.948156e+00   2.248134e+00   8.642593e+00     2.2541e-01   5.298627e-02   6.069784e+01
   1.617315e-03   1.955581e+00   2.258244e+00   8.630652e+00     2.2659e-01   5.209732e-02   5.815174e+01
   1.635190e-03   1.962732e+00   2.268055e+00   8.613189e+00     2.2788e-01   5.139124e-02   5.575876e+01
   1.670942e-03   1.976242e+00   2.286598e+00   8.583189e+00     2.3025e-01   4.987859e-02   5.138848e+01
   1.688818e-03   1.982617e+00   2.295352e+00   8.570958e+00     2.3132e-01   4.906689e-02   4.939121e+01
   1.706693e-03   1.988749e+00   2.303797e+00   8.560007e+00     2.3233e-01   4.823690e-02   4.750709e+01
   1.724569e-03   1.994646e+00   2.311969e+00   8.541029e+00     2.3354e-01   4.764899e-02   4.572825e+01
