           rhoc              M             Mb              R              C             kl            lam
   3.123848e-04   1.443552e-01   1.457403e-01   1.428174e+01     1.0108e-02   6.271680e-03   3.963104e+07
   3.660120e-04   1.854669e-01   1.878209e-01   1.157438e+01     1.6024e-02   1.822060e-02   1.149816e+07
   4.017635e-04   2.175503e-01   2.208357e-01   1.059701e+01     2.0529e-02   2.930999e-02   5.358485e+06
   4.375150e-04   2.537039e-01   2.582222e-01   9.957857e+00     2.5478e-02   4.176051e-02   2.593392e+06
   4.553908e-04   2.731387e-01   2.784000e-01   9.727435e+00     2.8079e-02   4.803492e-02   1.834599e+06
   4.732665e-04   2.933932e-01   2.994889e-01   9.540840e+00     3.0751e-02   5.415445e-02   1.312883e+06
   4.911423e-04   3.144247e-01   3.214491e-01   9.370378e+00     3.3555e-02   6.062589e-02   9.500992e+05
   5.090180e-04   3.361928e-01   3.442458e-01   9.237411e+00     3.6395e-02   6.656837e-02   6.950021e+05
   5.268938e-04   3.586576e-01   3.678481e-01   9.131920e+00     3.9275e-02   7.200631e-02   5.136762e+05
   5.447695e-04   3.817746e-01   3.922102e-01   9.036764e+00     4.2247e-02   7.740300e-02   3.834387e+05
   5.626453e-04   4.054948e-01   4.172912e-01   8.960747e+00     4.5252e-02   8.225466e-02   2.889775e+05
   5.805210e-04   4.297679e-01   4.430406e-01   8.887960e+00     4.8354e-02   8.715296e-02   2.198020e+05
   5.983968e-04   4.545429e-01   4.694158e-01   8.826720e+00     5.1496e-02   9.162880e-02   1.686798e+05
   6.162725e-04   4.797690e-01   4.963650e-01   8.784377e+00     5.4616e-02   9.517113e-02   1.305593e+05
   6.341483e-04   5.053987e-01   5.238402e-01   8.751741e+00     5.7748e-02   9.815178e-02   1.018846e+05
   6.520240e-04   5.313862e-01   5.517988e-01   8.720548e+00     6.0935e-02   1.009799e-01   8.013306e+04
   6.698998e-04   5.576865e-01   5.802012e-01   8.691961e+00     6.4161e-02   1.035675e-01   6.349951e+04
   6.877756e-04   5.842558e-01   6.090000e-01   8.663115e+00     6.7442e-02   1.060672e-01   5.068097e+04
   7.056513e-04   6.110514e-01   6.381522e-01   8.642680e+00     7.0702e-02   1.079297e-01   4.072894e+04
   7.235271e-04   6.380317e-01   6.676138e-01   8.630381e+00     7.3929e-02   1.091367e-01   3.294718e+04
   7.414028e-04   6.651567e-01   6.973542e-01   8.611993e+00     7.7236e-02   1.105763e-01   2.682063e+04
   7.592786e-04   6.923878e-01   7.273257e-01   8.594194e+00     8.0565e-02   1.118290e-01   2.196553e+04
   7.771543e-04   7.196875e-01   7.574877e-01   8.582405e+00     8.3856e-02   1.125375e-01   1.809387e+04
   7.950301e-04   7.470200e-01   7.878005e-01   8.580011e+00     8.7065e-02   1.124727e-01   1.498767e+04
   8.129058e-04   7.743508e-01   8.182450e-01   8.563236e+00     9.0427e-02   1.131991e-01   1.248110e+04
   8.307816e-04   8.016471e-01   8.487592e-01   8.560374e+00     9.3646e-02   1.128606e-01   1.044717e+04
   8.486573e-04   8.288781e-01   8.793292e-01   8.550370e+00     9.6941e-02   1.128500e-01   8.787825e+03
   8.665331e-04   8.560150e-01   9.099248e-01   8.543837e+00     1.0019e-01   1.124735e-01   7.427057e+03
   8.844088e-04   8.830303e-01   9.404991e-01   8.533739e+00     1.0348e-01   1.122018e-01   6.305613e+03
   9.022846e-04   9.098981e-01   9.710292e-01   8.532833e+00     1.0663e-01   1.112054e-01   5.376963e+03
   9.201603e-04   9.365942e-01   1.001481e+00   8.530406e+00     1.0979e-01   1.101981e-01   4.604410e+03
   9.380361e-04   9.630957e-01   1.031849e+00   8.522146e+00     1.1301e-01   1.094619e-01   3.958852e+03
   9.559118e-04   9.893812e-01   1.062088e+00   8.512888e+00     1.1622e-01   1.086887e-01   3.417113e+03
   9.737876e-04   1.015431e+00   1.092172e+00   8.511143e+00     1.1931e-01   1.073464e-01   2.960624e+03
   1.009539e-03   1.066754e+00   1.151813e+00   8.500566e+00     1.2549e-01   1.048739e-01   2.246436e+03
   1.045291e-03   1.116937e+00   1.210612e+00   8.490575e+00     1.3155e-01   1.020960e-01   1.727669e+03
   1.063166e-03   1.141566e+00   1.239659e+00   8.483113e+00     1.3457e-01   1.007703e-01   1.522342e+03
   1.081042e-03   1.165872e+00   1.268414e+00   8.480095e+00     1.3748e-01   9.913428e-02   1.345496e+03
   1.098918e-03   1.189843e+00   1.296913e+00   8.471140e+00     1.4046e-01   9.780356e-02   1.192679e+03
   1.116794e-03   1.213472e+00   1.325118e+00   8.462675e+00     1.4339e-01   9.640412e-02   1.060217e+03
   1.134669e-03   1.236748e+00   1.352992e+00   8.460247e+00     1.4618e-01   9.463206e-02   9.450529e+02
   1.152545e-03   1.259666e+00   1.380571e+00   8.451333e+00     1.4905e-01   9.319842e-02   8.446303e+02
   1.188297e-03   1.304402e+00   1.434704e+00   8.440186e+00     1.5455e-01   8.990374e-02   6.798127e+02
   1.206172e-03   1.326211e+00   1.461259e+00   8.430435e+00     1.5731e-01   8.845756e-02   6.121119e+02
   1.224048e-03   1.347642e+00   1.487463e+00   8.421266e+00     1.6003e-01   8.696765e-02   5.524353e+02
   1.259800e-03   1.389358e+00   1.538765e+00   8.402480e+00     1.6535e-01   8.398672e-02   4.529867e+02
   1.277675e-03   1.409641e+00   1.563848e+00   8.391930e+00     1.6798e-01   8.254759e-02   4.115100e+02
   1.295551e-03   1.429537e+00   1.588554e+00   8.382136e+00     1.7055e-01   8.107018e-02   3.745984e+02
   1.313427e-03   1.449048e+00   1.612871e+00   8.371851e+00     1.7309e-01   7.961844e-02   3.416772e+02
   1.331303e-03   1.468173e+00   1.636800e+00   8.361565e+00     1.7559e-01   7.817079e-02   3.122514e+02
   1.349178e-03   1.486914e+00   1.660338e+00   8.351558e+00     1.7804e-01   7.671656e-02   2.858948e+02
   1.367054e-03   1.505271e+00   1.683482e+00   8.341549e+00     1.8045e-01   7.527125e-02   2.622394e+02
   1.384930e-03   1.523246e+00   1.706233e+00   8.331877e+00     1.8282e-01   7.382168e-02   2.409662e+02
   1.402806e-03   1.540842e+00   1.728577e+00   8.321168e+00     1.8517e-01   7.243022e-02   2.217990e+02
   1.420681e-03   1.558060e+00   1.750540e+00   8.312078e+00     1.8745e-01   7.098235e-02   2.044965e+02
   1.438557e-03   1.574904e+00   1.772080e+00   8.300728e+00     1.8973e-01   6.964616e-02   1.888497e+02
   1.456433e-03   1.591376e+00   1.793238e+00   8.280863e+00     1.9218e-01   6.867640e-02   1.746746e+02
   1.474309e-03   1.607480e+00   1.813985e+00   8.280048e+00     1.9414e-01   6.693656e-02   1.618111e+02
   1.492184e-03   1.623219e+00   1.834365e+00   8.261437e+00     1.9648e-01   6.593748e-02   1.501181e+02
   1.510060e-03   1.638598e+00   1.854326e+00   8.251002e+00     1.9859e-01   6.462591e-02   1.394720e+02
   1.527936e-03   1.653619e+00   1.873883e+00   8.240037e+00     2.0068e-01   6.335435e-02   1.297638e+02
   1.545812e-03   1.668288e+00   1.893068e+00   8.230415e+00     2.0270e-01   6.205160e-02   1.208970e+02
   1.563687e-03   1.682608e+00   1.911872e+00   8.211449e+00     2.0491e-01   6.111737e-02   1.127865e+02
   1.581563e-03   1.696585e+00   1.930267e+00   8.200951e+00     2.0688e-01   5.988419e-02   1.053571e+02
   1.599439e-03   1.710222e+00   1.948280e+00   8.190707e+00     2.0880e-01   5.866348e-02   9.854184e+01
   1.635190e-03   1.736499e+00   1.983165e+00   8.160472e+00     2.1279e-01   5.662585e-02   8.652221e+01
   1.653066e-03   1.749147e+00   2.000050e+00   8.150751e+00     2.1460e-01   5.544803e-02   8.121773e+01
   1.670942e-03   1.761476e+00   2.016545e+00   8.140019e+00     2.1640e-01   5.432737e-02   7.632560e+01
   1.688818e-03   1.773491e+00   2.032700e+00   8.120912e+00     2.1839e-01   5.350385e-02   7.180804e+01
   1.706693e-03   1.785196e+00   2.048495e+00   8.102370e+00     2.2033e-01   5.267530e-02   6.763121e+01
   1.724569e-03   1.796596e+00   2.063894e+00   8.091273e+00     2.2204e-01   5.162277e-02   6.376502e+01
   1.760321e-03   1.818503e+00   2.093635e+00   8.070208e+00     2.2534e-01   4.954803e-02   5.685761e+01
   1.778196e-03   1.829021e+00   2.108001e+00   8.050826e+00     2.2718e-01   4.881128e-02   5.376978e+01
   1.796072e-03   1.839254e+00   2.122004e+00   8.040428e+00     2.2875e-01   4.781999e-02   5.089858e+01
   1.813948e-03   1.849209e+00   2.135683e+00   8.020854e+00     2.3055e-01   4.711925e-02   4.822593e+01
   1.831824e-03   1.858889e+00   2.149012e+00   8.010583e+00     2.3205e-01   4.616283e-02   4.573556e+01
   1.849699e-03   1.868302e+00   2.162023e+00   7.990958e+00     2.3380e-01   4.549337e-02   4.341265e+01
   1.867575e-03   1.877450e+00   2.174694e+00   7.980663e+00     2.3525e-01   4.457562e-02   4.124381e+01
   1.885451e-03   1.886340e+00   2.187035e+00   7.970023e+00     2.3668e-01   4.368842e-02   3.921685e+01
   1.903327e-03   1.894977e+00   2.199074e+00   7.950090e+00     2.3836e-01   4.307250e-02   3.732069e+01
   1.921202e-03   1.903365e+00   2.210829e+00   7.931466e+00     2.3998e-01   4.243411e-02   3.554522e+01
   1.939078e-03   1.911509e+00   2.222235e+00   7.920899e+00     2.4132e-01   4.159685e-02   3.388133e+01
   1.956954e-03   1.919414e+00   2.233336e+00   7.910398e+00     2.4264e-01   4.077758e-02   3.232056e+01
   1.974830e-03   1.927085e+00   2.244146e+00   7.890290e+00     2.4423e-01   4.022165e-02   3.085526e+01
   1.992705e-03   1.934527e+00   2.254672e+00   7.880549e+00     2.4548e-01   3.941728e-02   2.947843e+01
   2.010581e-03   1.941744e+00   2.264922e+00   7.861428e+00     2.4700e-01   3.886336e-02   2.818363e+01
   2.028457e-03   1.948741e+00   2.274844e+00   7.850360e+00     2.4824e-01   3.812541e-02   2.696504e+01
   2.046333e-03   1.955522e+00   2.284531e+00   7.831462e+00     2.4970e-01   3.759238e-02   2.581720e+01
   2.064208e-03   1.962093e+00   2.293941e+00   7.812847e+00     2.5114e-01   3.706437e-02   2.473514e+01
   2.099960e-03   1.974618e+00   2.311867e+00   7.790514e+00     2.5346e-01   3.570049e-02   2.275085e+01
   2.153587e-03   1.991934e+00   2.336849e+00   7.750098e+00     2.5702e-01   3.392621e-02   2.016535e+01
   2.171463e-03   1.997329e+00   2.344690e+00   7.730560e+00     2.5837e-01   3.349346e-02   1.939437e+01
   2.189339e-03   2.002543e+00   2.352258e+00   7.720034e+00     2.5940e-01   3.287822e-02   1.866395e+01
   2.225090e-03   2.012443e+00   2.366712e+00   7.690199e+00     2.6169e-01   3.187384e-02   1.731462e+01
   2.242966e-03   2.017137e+00   2.373595e+00   7.670461e+00     2.6297e-01   3.148803e-02   1.669109e+01
   2.260842e-03   2.021665e+00   2.380229e+00   7.660033e+00     2.6392e-01   3.092279e-02   1.609886e+01
