           rhoc              M             Mb              R              C             kl            lam
   2.945090e-04   1.255606e-01   1.264918e-01   1.830140e+01     6.8607e-03   1.792110e-03   7.860099e+07
   3.123848e-04   1.370814e-01   1.382191e-01   1.591706e+01     8.6122e-03   3.420113e-03   4.812503e+07
   3.302605e-04   1.496354e-01   1.510228e-01   1.431012e+01     1.0457e-02   5.726453e-03   3.053788e+07
   3.481363e-04   1.633196e-01   1.650052e-01   1.309641e+01     1.2471e-02   8.932693e-03   1.974519e+07
   3.660120e-04   1.782426e-01   1.802871e-01   1.220137e+01     1.4608e-02   1.288699e-02   1.291355e+07
   3.838878e-04   1.945241e-01   1.969976e-01   1.149352e+01     1.6925e-02   1.772707e-02   8.510275e+06
   4.017635e-04   2.122809e-01   2.152676e-01   1.093398e+01     1.9415e-02   2.333987e-02   5.640846e+06
   4.196393e-04   2.316175e-01   2.352165e-01   1.048465e+01     2.2091e-02   2.965559e-02   3.757743e+06
   4.375150e-04   2.526364e-01   2.569640e-01   1.013110e+01     2.4937e-02   3.637849e-02   2.515111e+06
   4.553908e-04   2.754352e-01   2.806264e-01   9.831463e+00     2.8016e-02   4.378272e-02   1.691239e+06
   4.732665e-04   3.000826e-01   3.062924e-01   9.595771e+00     3.1272e-02   5.128049e-02   1.143026e+06
   4.911423e-04   3.266191e-01   3.340253e-01   9.410353e+00     3.4708e-02   5.870534e-02   7.769769e+05
   5.090180e-04   3.550688e-01   3.638717e-01   9.252705e+00     3.8375e-02   6.634893e-02   5.315250e+05
   5.268938e-04   3.854386e-01   3.958609e-01   9.131368e+00     4.2210e-02   7.359225e-02   3.661375e+05
   5.447695e-04   4.177119e-01   4.300020e-01   9.031830e+00     4.6249e-02   8.064826e-02   2.540962e+05
   5.626453e-04   4.518423e-01   4.662704e-01   8.960623e+00     5.0425e-02   8.692819e-02   1.777566e+05
   5.805210e-04   4.877622e-01   5.046228e-01   8.900277e+00     5.4803e-02   9.299080e-02   1.254081e+05
   5.983968e-04   5.253851e-01   5.449942e-01   8.860207e+00     5.9297e-02   9.815528e-02   8.925925e+04
   6.162725e-04   5.646065e-01   5.872998e-01   8.830054e+00     6.3941e-02   1.027849e-01   6.411001e+04
   6.341483e-04   6.053057e-01   6.314371e-01   8.810141e+00     6.8706e-02   1.067279e-01   4.647585e+04
   6.520240e-04   6.473466e-01   6.772879e-01   8.792649e+00     7.3624e-02   1.103547e-01   3.401058e+04
   6.698998e-04   6.905810e-01   7.247073e-01   8.790672e+00     7.8558e-02   1.127643e-01   2.512568e+04
   6.877756e-04   7.348511e-01   7.735531e-01   8.790490e+00     8.3596e-02   1.147537e-01   1.873891e+04
   7.235271e-04   8.258350e-01   8.748726e-01   8.801558e+00     9.3828e-02   1.169648e-01   1.072248e+04
   7.414028e-04   8.722097e-01   9.270017e-01   8.811429e+00     9.8986e-02   1.172481e-01   8.225107e+03
   7.592786e-04   9.189549e-01   9.798885e-01   8.822428e+00     1.0416e-01   1.171012e-01   6.367073e+03
   7.771543e-04   9.659150e-01   1.033357e+00   8.840088e+00     1.0927e-01   1.161720e-01   4.972772e+03
   7.950301e-04   1.012939e+00   1.087262e+00   8.850915e+00     1.1444e-01   1.153682e-01   3.917593e+03
   8.129058e-04   1.059882e+00   1.141434e+00   8.862598e+00     1.1959e-01   1.142024e-01   3.112447e+03
   8.307816e-04   1.106605e+00   1.195703e+00   8.880284e+00     1.2461e-01   1.123740e-01   2.493132e+03
   8.486573e-04   1.152980e+00   1.249942e+00   8.891255e+00     1.2968e-01   1.107206e-01   2.013000e+03
   8.665331e-04   1.198885e+00   1.303996e+00   8.902729e+00     1.3466e-01   1.088066e-01   1.637919e+03
   8.844088e-04   1.244214e+00   1.357716e+00   8.920028e+00     1.3949e-01   1.063445e-01   1.342702e+03
   9.022846e-04   1.288874e+00   1.411013e+00   8.930058e+00     1.4433e-01   1.041495e-01   1.108628e+03
   9.201603e-04   1.332780e+00   1.463763e+00   8.940058e+00     1.4908e-01   1.018070e-01   9.217149e+02
   9.380361e-04   1.375857e+00   1.515867e+00   8.950031e+00     1.5373e-01   9.934285e-02   7.714381e+02
   9.559118e-04   1.418041e+00   1.567247e+00   8.952539e+00     1.5840e-01   9.718397e-02   6.498164e+02
   9.737876e-04   1.459274e+00   1.617779e+00   8.961065e+00     1.6285e-01   9.461054e-02   5.507598e+02
   1.009539e-03   1.538704e+00   1.716098e+00   8.971073e+00     1.7152e-01   8.965832e-02   4.026672e+02
   1.027415e-03   1.576829e+00   1.763760e+00   8.972407e+00     1.7574e-01   8.730407e-02   3.471881e+02
   1.045291e-03   1.613864e+00   1.810353e+00   8.973613e+00     1.7985e-01   8.492977e-02   3.009335e+02
   1.063166e-03   1.649795e+00   1.855812e+00   8.980061e+00     1.8372e-01   8.230273e-02   2.621617e+02
   1.081042e-03   1.684615e+00   1.900164e+00   8.980037e+00     1.8760e-01   7.997790e-02   2.294915e+02
   1.098918e-03   1.718319e+00   1.943387e+00   8.973126e+00     1.9150e-01   7.795920e-02   2.018252e+02
   1.116794e-03   1.750911e+00   1.985401e+00   8.971674e+00     1.9516e-01   7.571104e-02   1.782851e+02
   1.152545e-03   1.812781e+00   2.065896e+00   8.963068e+00     2.0225e-01   7.151535e-02   1.408852e+02
   1.170421e-03   1.842080e+00   2.104323e+00   8.960598e+00     2.0558e-01   6.938710e-02   1.259882e+02
   1.188297e-03   1.870308e+00   2.141597e+00   8.952303e+00     2.0892e-01   6.751638e-02   1.130904e+02
   1.206172e-03   1.897483e+00   2.177634e+00   8.950045e+00     2.1201e-01   6.545504e-02   1.018799e+02
   1.224048e-03   1.923624e+00   2.212523e+00   8.940386e+00     2.1516e-01   6.370352e-02   9.209842e+01
   1.259800e-03   1.972898e+00   2.278815e+00   8.921280e+00     2.2115e-01   6.029984e-02   7.600422e+01
   1.277675e-03   1.996078e+00   2.310243e+00   8.911435e+00     2.2399e-01   5.866576e-02   6.936560e+01
   1.295551e-03   2.018320e+00   2.340544e+00   8.900972e+00     2.2675e-01   5.709200e-02   6.349226e+01
   1.313427e-03   2.039650e+00   2.369754e+00   8.890910e+00     2.2941e-01   5.554629e-02   5.827957e+01
   1.331303e-03   2.060094e+00   2.397877e+00   8.880349e+00     2.3198e-01   5.405783e-02   5.363922e+01
   1.349178e-03   2.079678e+00   2.424952e+00   8.870144e+00     2.3446e-01   5.260060e-02   4.949629e+01
   1.367054e-03   2.098427e+00   2.451041e+00   8.853024e+00     2.3703e-01   5.138598e-02   4.578696e+01
   1.384930e-03   2.116370e+00   2.476067e+00   8.841703e+00     2.3936e-01   5.004033e-02   4.245715e+01
   1.402806e-03   2.133530e+00   2.500104e+00   8.830545e+00     2.4161e-01   4.873097e-02   3.946003e+01
   1.420681e-03   2.149935e+00   2.523190e+00   8.820003e+00     2.4376e-01   4.744575e-02   3.675559e+01
   1.456433e-03   2.180579e+00   2.566619e+00   8.790256e+00     2.4807e-01   4.521989e-02   3.209129e+01
   1.474309e-03   2.194868e+00   2.587033e+00   8.772397e+00     2.5020e-01   4.423406e-02   3.007563e+01
   1.492184e-03   2.208502e+00   2.606521e+00   8.760537e+00     2.5210e-01   4.313116e-02   2.823997e+01
   1.510060e-03   2.221505e+00   2.625242e+00   8.742428e+00     2.5411e-01   4.221523e-02   2.656453e+01
   1.527936e-03   2.233898e+00   2.643091e+00   8.730538e+00     2.5587e-01   4.118177e-02   2.503237e+01
   1.545812e-03   2.245706e+00   2.660225e+00   8.712365e+00     2.5776e-01   4.032806e-02   2.362830e+01
   1.563687e-03   2.256948e+00   2.676530e+00   8.700394e+00     2.5941e-01   3.936178e-02   2.233931e+01
   1.581563e-03   2.267648e+00   2.692175e+00   8.682124e+00     2.6119e-01   3.856785e-02   2.115367e+01
   1.599439e-03   2.277825e+00   2.707033e+00   8.670202e+00     2.6272e-01   3.766215e-02   2.006125e+01
   1.617315e-03   2.287499e+00   2.721276e+00   8.651472e+00     2.6441e-01   3.693243e-02   1.905292e+01
   1.635190e-03   2.296690e+00   2.734789e+00   8.640038e+00     2.6582e-01   3.607452e-02   1.812072e+01
   1.653066e-03   2.305416e+00   2.747712e+00   8.620840e+00     2.6742e-01   3.540516e-02   1.725747e+01
   1.670942e-03   2.313694e+00   2.760026e+00   8.602421e+00     2.6896e-01   3.474271e-02   1.645682e+01
   1.688818e-03   2.321543e+00   2.771662e+00   8.590288e+00     2.7025e-01   3.397827e-02   1.571321e+01
   1.706693e-03   2.328979e+00   2.782793e+00   8.571546e+00     2.7171e-01   3.336840e-02   1.502145e+01
   1.724569e-03   2.336018e+00   2.793293e+00   8.560009e+00     2.7290e-01   3.264168e-02   1.437710e+01
   1.742445e-03   2.342676e+00   2.803311e+00   8.540654e+00     2.7430e-01   3.208643e-02   1.377604e+01
   1.760321e-03   2.348968e+00   2.812818e+00   8.522120e+00     2.7563e-01   3.153503e-02   1.321463e+01
   1.778196e-03   2.354907e+00   2.821740e+00   8.510159e+00     2.7672e-01   3.088310e-02   1.268962e+01
   1.796072e-03   2.360509e+00   2.830253e+00   8.491142e+00     2.7800e-01   3.037928e-02   1.219800e+01
   1.813948e-03   2.365786e+00   2.838295e+00   8.472731e+00     2.7922e-01   2.988209e-02   1.173707e+01
   1.831824e-03   2.370751e+00   2.845804e+00   8.460453e+00     2.8022e-01   2.929573e-02   1.130450e+01
   1.849699e-03   2.375417e+00   2.852959e+00   8.441713e+00     2.8139e-01   2.883924e-02   1.089799e+01
   1.867575e-03   2.379795e+00   2.859613e+00   8.430057e+00     2.8230e-01   2.827943e-02   1.051561e+01
   1.885451e-03   2.383897e+00   2.865931e+00   8.410934e+00     2.8343e-01   2.786178e-02   1.015551e+01
   1.903327e-03   2.387733e+00   2.871866e+00   8.392515e+00     2.8451e-01   2.744707e-02   9.816039e+00
   1.921202e-03   2.391315e+00   2.877333e+00   8.380364e+00     2.8535e-01   2.694574e-02   9.495751e+00
   1.939078e-03   2.394652e+00   2.882526e+00   8.361644e+00     2.8639e-01   2.656511e-02   9.193196e+00
   1.956954e-03   2.397755e+00   2.887283e+00   8.350058e+00     2.8715e-01   2.608598e-02   8.907172e+00
   1.974830e-03   2.400631e+00   2.891778e+00   8.331063e+00     2.8815e-01   2.573677e-02   8.636495e+00
   1.992705e-03   2.403292e+00   2.895951e+00   8.312688e+00     2.8911e-01   2.539018e-02   8.380110e+00
   2.010581e-03   2.405744e+00   2.899722e+00   8.300586e+00     2.8983e-01   2.496115e-02   8.137112e+00
   2.028457e-03   2.407996e+00   2.903283e+00   8.282178e+00     2.9074e-01   2.463957e-02   7.906528e+00
   2.046333e-03   2.410057e+00   2.906457e+00   8.270307e+00     2.9141e-01   2.423320e-02   7.687610e+00
   2.064208e-03   2.411933e+00   2.909438e+00   8.251703e+00     2.9230e-01   2.393730e-02   7.479550e+00
   2.082084e-03   2.413633e+00   2.912065e+00   8.240140e+00     2.9291e-01   2.355087e-02   7.281698e+00
   2.099960e-03   2.415163e+00   2.914512e+00   8.221434e+00     2.9376e-01   2.327761e-02   7.093377e+00
   2.117836e-03   2.416529e+00   2.916626e+00   8.210097e+00     2.9434e-01   2.291085e-02   6.914027e+00
   2.135711e-03   2.417740e+00   2.918579e+00   8.191220e+00     2.9516e-01   2.265968e-02   6.743072e+00
   2.153587e-03   2.418799e+00   2.920218e+00   8.180053e+00     2.9569e-01   2.231197e-02   6.580029e+00
   2.171463e-03   2.419715e+00   2.921713e+00   8.161256e+00     2.9649e-01   2.207803e-02   6.424406e+00
   2.189339e-03   2.420492e+00   2.922911e+00   8.150080e+00     2.9699e-01   2.175044e-02   6.275788e+00
   2.207214e-03   2.421136e+00   2.923976e+00   8.131351e+00     2.9775e-01   2.153274e-02   6.133749e+00
   2.225090e-03   2.421652e+00   2.924764e+00   8.120114e+00     2.9823e-01   2.122465e-02   5.997933e+00
   2.242966e-03   2.422045e+00   2.925442e+00   8.101597e+00     2.9896e-01   2.102018e-02   5.867967e+00
   2.278717e-03   2.422483e+00   2.926164e+00   8.072005e+00     3.0011e-01   2.053808e-02   5.624349e+00
   2.296593e-03   2.422536e+00   2.926213e+00   8.060546e+00     3.0054e-01   2.026661e-02   5.510116e+00
   2.314469e-03   2.422486e+00   2.926192e+00   8.042709e+00     3.0120e-01   2.008272e-02   5.400537e+00
   2.332345e-03   2.422335e+00   2.925913e+00   8.030944e+00     3.0163e-01   1.983034e-02   5.295428e+00
   2.368096e-03   2.421749e+00   2.925004e+00   8.001692e+00     3.0265e-01   1.941738e-02   5.097568e+00
   2.385972e-03   2.421321e+00   2.924284e+00   7.990474e+00     3.0303e-01   1.917984e-02   5.004426e+00
   2.421723e-03   2.420214e+00   2.922540e+00   7.961220e+00     3.0400e-01   1.880593e-02   4.828728e+00
   2.439599e-03   2.419542e+00   2.921422e+00   7.950243e+00     3.0434e-01   1.858523e-02   4.745840e+00
   2.457475e-03   2.418794e+00   2.920291e+00   7.932428e+00     3.0492e-01   1.845024e-02   4.666024e+00
   2.475351e-03   2.417974e+00   2.918936e+00   7.921044e+00     3.0526e-01   1.824618e-02   4.589176e+00
   2.493226e-03   2.417085e+00   2.917472e+00   7.910244e+00     3.0556e-01   1.804144e-02   4.515122e+00
   2.511102e-03   2.416130e+00   2.915991e+00   7.892544e+00     3.0613e-01   1.792067e-02   4.443722e+00
   2.528978e-03   2.415111e+00   2.914313e+00   7.881232e+00     3.0644e-01   1.773265e-02   4.374896e+00
   2.546854e-03   2.414031e+00   2.912540e+00   7.870406e+00     3.0672e-01   1.754464e-02   4.308492e+00
   2.564729e-03   2.412892e+00   2.910681e+00   7.860003e+00     3.0698e-01   1.735738e-02   4.244406e+00
   2.582605e-03   2.411697e+00   2.908792e+00   7.841731e+00     3.0755e-01   1.726174e-02   4.182530e+00
   2.600481e-03   2.410449e+00   2.906734e+00   7.830764e+00     3.0782e-01   1.709033e-02   4.122785e+00
   2.618357e-03   2.409148e+00   2.904602e+00   7.820197e+00     3.0807e-01   1.691950e-02   4.065061e+00
   2.636232e-03   2.407799e+00   2.902487e+00   7.802652e+00     3.0859e-01   1.682848e-02   4.009259e+00
   2.654108e-03   2.406402e+00   2.900179e+00   7.791441e+00     3.0885e-01   1.667349e-02   3.955338e+00
   2.689860e-03   2.403473e+00   2.895357e+00   7.770259e+00     3.0932e-01   1.636363e-02   3.852734e+00
   2.707735e-03   2.401946e+00   2.892852e+00   7.760017e+00     3.0953e-01   1.621155e-02   3.803913e+00
   2.725611e-03   2.400379e+00   2.890367e+00   7.742114e+00     3.1004e-01   1.614330e-02   3.756646e+00
   2.743487e-03   2.398773e+00   2.887721e+00   7.731318e+00     3.1027e-01   1.600472e-02   3.710895e+00
   2.761363e-03   2.397131e+00   2.885015e+00   7.720734e+00     3.1048e-01   1.586787e-02   3.666582e+00
   2.779238e-03   2.395454e+00   2.882253e+00   7.710319e+00     3.1068e-01   1.573314e-02   3.623651e+00
   2.797114e-03   2.393744e+00   2.879438e+00   7.700066e+00     3.1087e-01   1.560052e-02   3.582048e+00
   2.814990e-03   2.392002e+00   2.876651e+00   7.682614e+00     3.1135e-01   1.554415e-02   3.541709e+00
   2.850741e-03   2.388428e+00   2.870748e+00   7.661302e+00     3.1175e-01   1.530401e-02   3.464707e+00
   2.868617e-03   2.386598e+00   2.867727e+00   7.650856e+00     3.1194e-01   1.518693e-02   3.427930e+00
   2.886493e-03   2.384742e+00   2.864667e+00   7.640602e+00     3.1211e-01   1.507121e-02   3.392246e+00
   2.922244e-03   2.380956e+00   2.858419e+00   7.620144e+00     3.1246e-01   1.484887e-02   3.324001e+00
   2.940120e-03   2.379028e+00   2.855239e+00   7.610025e+00     3.1262e-01   1.474125e-02   3.291364e+00
   2.957996e-03   2.377078e+00   2.852118e+00   7.592854e+00     3.1307e-01   1.470463e-02   3.259653e+00
   2.975872e-03   2.375107e+00   2.848857e+00   7.582345e+00     3.1324e-01   1.460631e-02   3.228875e+00
   2.993747e-03   2.373116e+00   2.845563e+00   7.571972e+00     3.1341e-01   1.450946e-02   3.198971e+00
   3.011623e-03   2.371106e+00   2.842237e+00   7.561662e+00     3.1357e-01   1.441477e-02   3.169913e+00
   3.029499e-03   2.369079e+00   2.838885e+00   7.551539e+00     3.1372e-01   1.432097e-02   3.141672e+00
   3.118878e-03   2.358705e+00   2.821709e+00   7.500958e+00     3.1445e-01   1.388992e-02   3.011786e+00
   3.136754e-03   2.356589e+00   2.818202e+00   7.490919e+00     3.1459e-01   1.381022e-02   2.987901e+00
   3.154629e-03   2.354460e+00   2.814672e+00   7.480838e+00     3.1473e-01   1.373320e-02   2.964661e+00
   3.172505e-03   2.352320e+00   2.811126e+00   7.470909e+00     3.1486e-01   1.365700e-02   2.942045e+00
   3.190381e-03   2.350169e+00   2.807561e+00   7.460974e+00     3.1499e-01   1.358304e-02   2.920032e+00
   3.208257e-03   2.348009e+00   2.803978e+00   7.451054e+00     3.1512e-01   1.351108e-02   2.898605e+00
   3.226132e-03   2.345838e+00   2.800374e+00   7.441047e+00     3.1526e-01   1.344199e-02   2.877745e+00
   3.244008e-03   2.343659e+00   2.796762e+00   7.431229e+00     3.1538e-01   1.337324e-02   2.857433e+00
   3.261884e-03   2.341472e+00   2.793137e+00   7.421462e+00     3.1550e-01   1.330603e-02   2.837654e+00
   3.279760e-03   2.339277e+00   2.789496e+00   7.411582e+00     3.1562e-01   1.324179e-02   2.818391e+00
   3.297635e-03   2.337076e+00   2.785848e+00   7.401875e+00     3.1574e-01   1.317791e-02   2.799628e+00
   3.315511e-03   2.334867e+00   2.782187e+00   7.392106e+00     3.1586e-01   1.311648e-02   2.781351e+00
   3.333387e-03   2.332653e+00   2.778522e+00   7.382587e+00     3.1597e-01   1.305464e-02   2.763542e+00
   3.351263e-03   2.330433e+00   2.774758e+00   7.380003e+00     3.1578e-01   1.293377e-02   2.746209e+00
   3.369138e-03   2.328208e+00   2.771056e+00   7.370049e+00     3.1590e-01   1.287954e-02   2.729307e+00
   3.387014e-03   2.325978e+00   2.767346e+00   7.360165e+00     3.1602e-01   1.282642e-02   2.712837e+00
   3.422766e-03   2.321507e+00   2.759913e+00   7.340545e+00     3.1626e-01   1.272387e-02   2.681141e+00
   3.458517e-03   2.317022e+00   2.752481e+00   7.321255e+00     3.1648e-01   1.262492e-02   2.651026e+00
   3.494269e-03   2.312528e+00   2.745040e+00   7.302497e+00     3.1668e-01   1.252762e-02   2.622402e+00
   3.512144e-03   2.310278e+00   2.741199e+00   7.300001e+00     3.1648e-01   1.242259e-02   2.608642e+00
   3.530020e-03   2.308026e+00   2.737448e+00   7.290142e+00     3.1660e-01   1.238193e-02   2.595215e+00
   3.547896e-03   2.305774e+00   2.733709e+00   7.280465e+00     3.1671e-01   1.234115e-02   2.582122e+00
   3.565772e-03   2.303520e+00   2.729976e+00   7.270835e+00     3.1682e-01   1.230139e-02   2.569355e+00
   3.583647e-03   2.301267e+00   2.726245e+00   7.261417e+00     3.1692e-01   1.226121e-02   2.556904e+00
   3.601523e-03   2.299013e+00   2.722507e+00   7.252099e+00     3.1701e-01   1.222155e-02   2.544761e+00
   3.619399e-03   2.296759e+00   2.718661e+00   7.250010e+00     3.1679e-01   1.212268e-02   2.532931e+00
   3.637275e-03   2.294505e+00   2.714913e+00   7.240213e+00     3.1691e-01   1.208981e-02   2.521386e+00
   3.655150e-03   2.292253e+00   2.711177e+00   7.230504e+00     3.1703e-01   1.205749e-02   2.510128e+00
   3.673026e-03   2.290001e+00   2.707450e+00   7.221145e+00     3.1712e-01   1.202350e-02   2.499147e+00
   3.690902e-03   2.287750e+00   2.703715e+00   7.211919e+00     3.1722e-01   1.198965e-02   2.488435e+00
   3.708778e-03   2.285501e+00   2.699882e+00   7.210006e+00     3.1699e-01   1.189657e-02   2.477999e+00
   3.744529e-03   2.281008e+00   2.692429e+00   7.190685e+00     3.1722e-01   1.184227e-02   2.457882e+00
   3.762405e-03   2.278765e+00   2.688707e+00   7.181438e+00     3.1731e-01   1.181347e-02   2.448193e+00
   3.780281e-03   2.276524e+00   2.684991e+00   7.172666e+00     3.1739e-01   1.178187e-02   2.438738e+00
   3.798156e-03   2.274285e+00   2.681176e+00   7.170124e+00     3.1719e-01   1.170055e-02   2.429540e+00
   3.833908e-03   2.269816e+00   2.673765e+00   7.151354e+00     3.1740e-01   1.165316e-02   2.411795e+00
   3.869659e-03   2.265359e+00   2.666281e+00   7.140131e+00     3.1727e-01   1.154884e-02   2.394930e+00
   3.887535e-03   2.263136e+00   2.662591e+00   7.130614e+00     3.1738e-01   1.152995e-02   2.386809e+00
   3.905411e-03   2.260916e+00   2.658904e+00   7.121487e+00     3.1748e-01   1.150892e-02   2.378890e+00
