           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.515030e-04   8.242846e-02   8.246096e-02   1.634077e+01     5.0443e-03   1.948359e-02   3.976994e+09
   1.693788e-04   8.648933e-02   8.654455e-02   1.452001e+01     5.9566e-03   2.116291e-02   1.881505e+09
   1.872545e-04   9.411727e-02   9.422368e-02   1.294154e+01     7.2725e-03   2.491726e-02   8.165667e+08
   2.051303e-04   1.049532e-01   1.051487e-01   1.174010e+01     8.9397e-03   3.079928e-02   3.596081e+08
   2.230060e-04   1.184748e-01   1.188066e-01   1.087030e+01     1.0899e-02   3.866977e-02   1.676323e+08
   2.408818e-04   1.342461e-01   1.347708e-01   1.025076e+01     1.3096e-02   4.810812e-02   8.325287e+07
   2.587575e-04   1.519473e-01   1.527307e-01   9.811068e+00     1.5487e-02   5.852467e-02   4.378885e+07
   2.766333e-04   1.713462e-01   1.724633e-01   9.500071e+00     1.8036e-02   6.927509e-02   2.419620e+07
   2.945090e-04   1.922681e-01   1.938029e-01   9.270454e+00     2.0740e-02   8.027323e-02   1.394597e+07
   3.123848e-04   2.145744e-01   2.166207e-01   9.102684e+00     2.3573e-02   9.101169e-02   8.336125e+06
   3.302605e-04   2.381495e-01   2.408085e-01   8.990053e+00     2.6490e-02   1.006537e-01   5.144010e+06
   3.481363e-04   2.628923e-01   2.662757e-01   8.901421e+00     2.9534e-02   1.100373e-01   3.264797e+06
   3.660120e-04   2.887113e-01   2.929361e-01   8.840999e+00     3.2656e-02   1.183640e-01   2.124791e+06
   3.838878e-04   3.155214e-01   3.207141e-01   8.800957e+00     3.5851e-02   1.256538e-01   1.414457e+06
   4.017635e-04   3.432420e-01   3.495365e-01   8.772315e+00     3.9128e-02   1.322137e-01   9.610678e+05
   4.375150e-04   4.011087e-01   4.100293e-01   8.750457e+00     4.5839e-02   1.422188e-01   4.684995e+05
   4.553908e-04   4.311081e-01   4.415650e-01   8.750268e+00     4.9268e-02   1.459279e-01   3.351372e+05
   4.732665e-04   4.617242e-01   4.738730e-01   8.750971e+00     5.2763e-02   1.491976e-01   2.432421e+05
   4.911423e-04   4.928888e-01   5.068882e-01   8.760273e+00     5.6264e-02   1.513363e-01   1.789350e+05
   5.090180e-04   5.245358e-01   5.405479e-01   8.770095e+00     5.9810e-02   1.530121e-01   1.332847e+05
   5.268938e-04   5.566010e-01   5.747922e-01   8.780221e+00     6.3393e-02   1.542443e-01   1.004443e+05
   5.447695e-04   5.890223e-01   6.095582e-01   8.790758e+00     6.7005e-02   1.550307e-01   7.652429e+04
   5.626453e-04   6.217397e-01   6.447896e-01   8.801724e+00     7.0638e-02   1.553812e-01   5.889834e+04
   5.805210e-04   6.546952e-01   6.804242e-01   8.820059e+00     7.4228e-02   1.547021e-01   4.576849e+04
   5.983968e-04   6.878332e-01   7.164121e-01   8.830691e+00     7.7891e-02   1.543391e-01   3.588744e+04
   6.162725e-04   7.211001e-01   7.526983e-01   8.842045e+00     8.1554e-02   1.535719e-01   2.837961e+04
   6.341483e-04   7.544448e-01   7.892206e-01   8.860091e+00     8.5151e-02   1.519117e-01   2.262318e+04
   6.520240e-04   7.878183e-01   8.259414e-01   8.870488e+00     8.8813e-02   1.506185e-01   1.817164e+04
   6.698998e-04   8.211740e-01   8.628033e-01   8.881059e+00     9.2464e-02   1.490385e-01   1.470127e+04
   6.877756e-04   8.544679e-01   8.997622e-01   8.891514e+00     9.6099e-02   1.472200e-01   1.197500e+04
   7.056513e-04   8.876579e-01   9.367708e-01   8.901672e+00     9.9718e-02   1.452010e-01   9.817658e+03
   7.235271e-04   9.207046e-01   9.737860e-01   8.911601e+00     1.0332e-01   1.429978e-01   8.098695e+03
   7.414028e-04   9.535708e-01   1.010766e+00   8.921142e+00     1.0689e-01   1.406446e-01   6.720003e+03
   7.592786e-04   9.862214e-01   1.047667e+00   8.930537e+00     1.1043e-01   1.381427e-01   5.607282e+03
   7.950301e-04   1.050748e+00   1.121100e+00   8.941345e+00     1.1752e-01   1.333329e-01   3.966140e+03
   8.129058e-04   1.080298e+00   1.154950e+00   8.950089e+00     1.2070e-01   1.306639e-01   3.400034e+03
   8.307816e-04   1.101885e+00   1.179774e+00   8.950509e+00     1.2311e-01   1.290572e-01   3.042623e+03
   8.486573e-04   1.122642e+00   1.203720e+00   8.951135e+00     1.2542e-01   1.273821e-01   2.736533e+03
   8.665331e-04   1.142606e+00   1.226820e+00   8.951341e+00     1.2765e-01   1.256796e-01   2.472474e+03
   8.844088e-04   1.161815e+00   1.249106e+00   8.951395e+00     1.2979e-01   1.239330e-01   2.243187e+03
   9.022846e-04   1.180305e+00   1.270620e+00   8.950995e+00     1.3186e-01   1.221678e-01   2.042919e+03
   9.201603e-04   1.198112e+00   1.291397e+00   8.950434e+00     1.3386e-01   1.203692e-01   1.867058e+03
   9.380361e-04   1.215269e+00   1.311470e+00   8.950038e+00     1.3578e-01   1.185222e-01   1.711871e+03
   9.559118e-04   1.231807e+00   1.330880e+00   8.941415e+00     1.3776e-01   1.171824e-01   1.574305e+03
   9.737876e-04   1.247755e+00   1.349636e+00   8.940266e+00     1.3957e-01   1.153216e-01   1.451859e+03
   9.916633e-04   1.263141e+00   1.367781e+00   8.931451e+00     1.4143e-01   1.139291e-01   1.342439e+03
   1.009539e-03   1.277990e+00   1.385330e+00   8.930054e+00     1.4311e-01   1.120438e-01   1.244315e+03
   1.027415e-03   1.292325e+00   1.402320e+00   8.920617e+00     1.4487e-01   1.106473e-01   1.156019e+03
   1.045291e-03   1.306170e+00   1.418770e+00   8.911566e+00     1.4657e-01   1.092096e-01   1.076318e+03
   1.063166e-03   1.319546e+00   1.434699e+00   8.902621e+00     1.4822e-01   1.077527e-01   1.004162e+03
   1.081042e-03   1.332472e+00   1.450111e+00   8.900051e+00     1.4972e-01   1.059079e-01   9.386606e+02
   1.098918e-03   1.344968e+00   1.465057e+00   8.890184e+00     1.5129e-01   1.044969e-01   8.790363e+02
   1.116794e-03   1.357050e+00   1.479542e+00   8.880329e+00     1.5282e-01   1.030825e-01   8.246302e+02
   1.134669e-03   1.368736e+00   1.493584e+00   8.870385e+00     1.5430e-01   1.016732e-01   7.748692e+02
   1.152545e-03   1.380042e+00   1.507189e+00   8.860358e+00     1.5575e-01   1.002712e-01   7.292556e+02
   1.170421e-03   1.390982e+00   1.520385e+00   8.850242e+00     1.5717e-01   9.887904e-02   6.873552e+02
   1.188297e-03   1.401570e+00   1.533188e+00   8.840124e+00     1.5855e-01   9.749381e-02   6.487884e+02
   1.206172e-03   1.411821e+00   1.545598e+00   8.830032e+00     1.5989e-01   9.611594e-02   6.132220e+02
   1.224048e-03   1.421746e+00   1.557659e+00   8.812445e+00     1.6133e-01   9.515171e-02   5.803606e+02
   1.241924e-03   1.431357e+00   1.569341e+00   8.801505e+00     1.6263e-01   9.383609e-02   5.499499e+02
   1.259800e-03   1.440667e+00   1.580680e+00   8.790806e+00     1.6388e-01   9.251986e-02   5.217581e+02
   1.277675e-03   1.449686e+00   1.591686e+00   8.780278e+00     1.6511e-01   9.120822e-02   4.955813e+02
   1.295551e-03   1.458424e+00   1.602367e+00   8.770027e+00     1.6630e-01   8.989709e-02   4.712381e+02
   1.313427e-03   1.466891e+00   1.612753e+00   8.751779e+00     1.6761e-01   8.900713e-02   4.485656e+02
   1.331303e-03   1.475097e+00   1.622823e+00   8.740735e+00     1.6876e-01   8.776317e-02   4.274229e+02
   1.349178e-03   1.483051e+00   1.632595e+00   8.730139e+00     1.6988e-01   8.651329e-02   4.076778e+02
   1.367054e-03   1.490761e+00   1.642104e+00   8.712170e+00     1.7111e-01   8.564184e-02   3.892123e+02
   1.384930e-03   1.498235e+00   1.651316e+00   8.700805e+00     1.7220e-01   8.445993e-02   3.719258e+02
   1.402806e-03   1.505482e+00   1.660268e+00   8.690120e+00     1.7324e-01   8.326260e-02   3.557211e+02
   1.420681e-03   1.512509e+00   1.668978e+00   8.671809e+00     1.7442e-01   8.244492e-02   3.405112e+02
   1.438557e-03   1.519323e+00   1.677421e+00   8.660621e+00     1.7543e-01   8.130376e-02   3.262229e+02
