           rhoc              M             Mb              R              C             kl            lam
   2.766333e-04   1.057075e-01   1.076255e-01   1.281107e+01     8.2513e-03   5.725784e-03   9.980248e+07
   2.945090e-04   1.247248e-01   1.271875e-01   1.128394e+01     1.1053e-02   1.247980e-02   5.042612e+07
   3.123848e-04   1.450881e-01   1.481961e-01   1.040059e+01     1.3950e-02   2.146572e-02   2.708855e+07
   3.302605e-04   1.667434e-01   1.706053e-01   9.831443e+00     1.6960e-02   3.213877e-02   1.526795e+07
   3.481363e-04   1.896508e-01   1.943848e-01   9.443324e+00     2.0083e-02   4.388443e-02   8.955091e+06
   3.660120e-04   2.136597e-01   2.193892e-01   9.184793e+00     2.3262e-02   5.564264e-02   5.445657e+06
   3.838878e-04   2.385274e-01   2.453753e-01   9.010766e+00     2.6471e-02   6.683351e-02   3.427839e+06
   4.017635e-04   2.639862e-01   2.720708e-01   8.882619e+00     2.9719e-02   7.755953e-02   2.230195e+06
   4.196393e-04   2.897910e-01   2.992187e-01   8.787439e+00     3.2978e-02   8.757465e-02   1.496837e+06
   4.375150e-04   3.158731e-01   3.267586e-01   8.731412e+00     3.6177e-02   9.592489e-02   1.032046e+06
   4.553908e-04   3.422508e-01   3.547058e-01   8.685251e+00     3.9406e-02   1.037285e-01   7.277731e+05
   4.732665e-04   3.689687e-01   3.831132e-01   8.653335e+00     4.2639e-02   1.105524e-01   5.229340e+05
   4.911423e-04   3.960881e-01   4.120484e-01   8.632280e+00     4.5885e-02   1.164406e-01   3.816647e+05
   5.268938e-04   4.515238e-01   4.715134e-01   8.610254e+00     5.2440e-02   1.258471e-01   2.115575e+05
   5.447695e-04   4.797005e-01   5.019134e-01   8.603563e+00     5.5756e-02   1.296654e-01   1.604256e+05
   5.626453e-04   5.080804e-01   5.326404e-01   8.602915e+00     5.9059e-02   1.326216e-01   1.230520e+05
   5.805210e-04   5.365851e-01   5.636151e-01   8.602033e+00     6.2379e-02   1.351842e-01   9.542172e+04
   5.983968e-04   5.651404e-01   5.947621e-01   8.610492e+00     6.5634e-02   1.366041e-01   7.477055e+04
   6.162725e-04   5.936984e-01   6.260354e-01   8.611808e+00     6.8940e-02   1.381971e-01   5.916299e+04
   6.341483e-04   6.222256e-01   6.573891e-01   8.620426e+00     7.2180e-02   1.388333e-01   4.723966e+04
   6.698998e-04   6.790711e-01   7.202310e-01   8.630583e+00     7.8682e-02   1.396457e-01   3.087169e+04
   6.877756e-04   7.073386e-01   7.516695e-01   8.633337e+00     8.1931e-02   1.397707e-01   2.523955e+04
   7.056513e-04   7.354728e-01   7.830581e-01   8.640773e+00     8.5117e-02   1.392346e-01   2.077714e+04
   7.235271e-04   7.634521e-01   8.144191e-01   8.643054e+00     8.8331e-02   1.388521e-01   1.721426e+04
   7.414028e-04   7.912507e-01   8.456799e-01   8.651152e+00     9.1462e-02   1.377635e-01   1.434967e+04
