           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.693788e-04   8.178074e-02   8.181002e-02   1.655146e+01     4.9410e-03   1.917217e-02   4.340164e+09
   1.872545e-04   8.193613e-02   8.196622e-02   1.602124e+01     5.1142e-03   1.912610e-02   3.644504e+09
   2.230060e-04   8.219592e-02   8.222742e-02   1.514183e+01     5.4284e-03   1.901636e-02   2.689532e+09
   2.408818e-04   8.230597e-02   8.233810e-02   1.477071e+01     5.5722e-03   1.895630e-02   2.352407e+09
   2.587575e-04   8.240551e-02   8.243822e-02   1.443117e+01     5.7102e-03   1.891988e-02   2.077559e+09
   2.945090e-04   8.351475e-02   8.355441e-02   1.307052e+01     6.3896e-03   1.905540e-02   1.192821e+09
   3.302605e-04   9.070217e-02   9.079542e-02   1.109000e+01     8.1787e-03   2.216393e-02   4.037622e+08
   3.481363e-04   9.738187e-02   9.753511e-02   1.023297e+01     9.5165e-03   2.561517e-02   2.187878e+08
   3.660120e-04   1.060762e-01   1.063209e-01   9.541185e+00     1.1118e-02   3.028013e-02   1.188469e+08
   3.838878e-04   1.166614e-01   1.170359e-01   8.990789e+00     1.2976e-02   3.637899e-02   6.593456e+07
   4.017635e-04   1.290139e-01   1.295653e-01   8.570242e+00     1.5054e-02   4.362092e-02   3.761721e+07
   4.196393e-04   1.430300e-01   1.438144e-01   8.242860e+00     1.7352e-02   5.211119e-02   2.208479e+07
   4.375150e-04   1.586278e-01   1.597103e-01   8.001302e+00     1.9825e-02   6.118246e-02   1.331811e+07
   4.553908e-04   1.757428e-01   1.771994e-01   7.821517e+00     2.2469e-02   7.069537e-02   8.229373e+06
   4.732665e-04   1.943231e-01   1.962394e-01   7.690498e+00     2.5268e-02   8.031279e-02   5.198082e+06
   4.911423e-04   2.143246e-01   2.167983e-01   7.591243e+00     2.8233e-02   9.012974e-02   3.349509e+06
   5.090180e-04   2.357074e-01   2.388480e-01   7.522549e+00     3.1333e-02   9.957761e-02   2.198009e+06
   5.268938e-04   2.584335e-01   2.623608e-01   7.480391e+00     3.4548e-02   1.082853e-01   1.466749e+06
   5.447695e-04   2.824646e-01   2.873140e-01   7.451476e+00     3.7907e-02   1.167132e-01   9.940767e+05
   5.626453e-04   3.077615e-01   3.136763e-01   7.440493e+00     4.1363e-02   1.241403e-01   6.835316e+05
   5.805210e-04   3.342826e-01   3.414201e-01   7.440110e+00     4.4930e-02   1.308366e-01   4.763936e+05
   5.983968e-04   3.619839e-01   3.705183e-01   7.442214e+00     4.8639e-02   1.373124e-01   3.362663e+05
   6.162725e-04   3.908184e-01   4.009264e-01   7.460176e+00     5.2387e-02   1.421719e-01   2.402110e+05
   6.341483e-04   4.207364e-01   4.326151e-01   7.480268e+00     5.6246e-02   1.465417e-01   1.735423e+05
   6.520240e-04   4.516851e-01   4.655405e-01   7.501340e+00     6.0214e-02   1.504652e-01   1.267244e+05
   6.698998e-04   4.836092e-01   4.996553e-01   7.530672e+00     6.4219e-02   1.531495e-01   9.348036e+04
   6.877756e-04   5.164504e-01   5.349147e-01   7.560535e+00     6.8309e-02   1.553242e-01   6.962537e+04
   7.056513e-04   5.501485e-01   5.712693e-01   7.591018e+00     7.2474e-02   1.569611e-01   5.233610e+04
   7.235271e-04   5.846411e-01   6.086632e-01   7.622165e+00     7.6703e-02   1.580457e-01   3.968593e+04
   7.414028e-04   6.198640e-01   6.470338e-01   7.660204e+00     8.0920e-02   1.579336e-01   3.034612e+04
   7.592786e-04   6.557518e-01   6.863369e-01   7.691336e+00     8.5258e-02   1.580592e-01   2.339053e+04
   7.771543e-04   6.922379e-01   7.264969e-01   7.730070e+00     8.9551e-02   1.569463e-01   1.816771e+04
   7.950301e-04   7.292553e-01   7.674658e-01   7.760814e+00     9.3966e-02   1.562057e-01   1.421491e+04
   8.129058e-04   7.668472e-01   8.092973e-01   7.792371e+00     9.8410e-02   1.549636e-01   1.119289e+04
   8.307816e-04   8.062020e-01   8.533248e-01   7.830452e+00     1.0296e-01   1.527332e-01   8.801501e+03
   8.486573e-04   8.460498e-01   8.981728e-01   7.861623e+00     1.0762e-01   1.508039e-01   6.964702e+03
   8.844088e-04   9.269018e-01   9.899794e-01   7.930257e+00     1.1688e-01   1.453381e-01   4.441768e+03
   9.022846e-04   9.677471e-01   1.036778e+00   7.960429e+00     1.2157e-01   1.425432e-01   3.578725e+03
   9.201603e-04   1.008768e+00   1.084077e+00   7.990473e+00     1.2625e-01   1.394947e-01   2.899825e+03
   9.380361e-04   1.049890e+00   1.131784e+00   8.020213e+00     1.3091e-01   1.362378e-01   2.362740e+03
   9.559118e-04   1.091040e+00   1.179822e+00   8.050010e+00     1.3553e-01   1.327712e-01   1.935492e+03
   9.737876e-04   1.132147e+00   1.228134e+00   8.071182e+00     1.4027e-01   1.298219e-01   1.593782e+03
   9.916633e-04   1.173142e+00   1.276613e+00   8.100058e+00     1.4483e-01   1.260861e-01   1.319058e+03
   1.009539e-03   1.213961e+00   1.325199e+00   8.120619e+00     1.4949e-01   1.228563e-01   1.097056e+03
   1.027415e-03   1.254541e+00   1.373825e+00   8.141268e+00     1.5410e-01   1.194857e-01   9.167716e+02
   1.045291e-03   1.294823e+00   1.422408e+00   8.161510e+00     1.5865e-01   1.160356e-01   7.696623e+02
   1.063166e-03   1.334752e+00   1.470883e+00   8.181217e+00     1.6315e-01   1.125360e-01   6.490629e+02
   1.081042e-03   1.374275e+00   1.519185e+00   8.200583e+00     1.6758e-01   1.089933e-01   5.497476e+02
   1.098918e-03   1.413343e+00   1.567251e+00   8.220031e+00     1.7194e-01   1.053989e-01   4.675993e+02
   1.116794e-03   1.451911e+00   1.615037e+00   8.230949e+00     1.7640e-01   1.023069e-01   3.993591e+02
   1.134669e-03   1.489935e+00   1.662464e+00   8.242500e+00     1.8076e-01   9.913229e-02   3.424376e+02
   1.152545e-03   1.527379e+00   1.709450e+00   8.260084e+00     1.8491e-01   9.558361e-02   2.947684e+02
   1.170421e-03   1.564205e+00   1.755984e+00   8.270182e+00     1.8914e-01   9.246824e-02   2.546880e+02
   1.188297e-03   1.600382e+00   1.802026e+00   8.280117e+00     1.9328e-01   8.936073e-02   2.208613e+02
   1.206172e-03   1.635881e+00   1.847490e+00   8.290004e+00     1.9733e-01   8.626714e-02   1.922068e+02
   1.224048e-03   1.670677e+00   1.892387e+00   8.291463e+00     2.0149e-01   8.361975e-02   1.678458e+02
   1.241924e-03   1.704747e+00   1.936605e+00   8.300257e+00     2.0538e-01   8.061976e-02   1.470644e+02
   1.259800e-03   1.738072e+00   1.980161e+00   8.301578e+00     2.0937e-01   7.800808e-02   1.292745e+02
   1.277675e-03   1.770634e+00   2.022985e+00   8.310049e+00     2.1307e-01   7.509519e-02   1.139972e+02
   1.295551e-03   1.802421e+00   2.065080e+00   8.310362e+00     2.1689e-01   7.259037e-02   1.008339e+02
   1.313427e-03   1.833419e+00   2.106410e+00   8.310636e+00     2.2061e-01   7.012045e-02   8.945732e+01
   1.331303e-03   1.863621e+00   2.146938e+00   8.310681e+00     2.2424e-01   6.769914e-02   7.959513e+01
   1.349178e-03   1.893021e+00   2.186640e+00   8.310487e+00     2.2779e-01   6.533107e-02   7.102058e+01
   1.367054e-03   1.921612e+00   2.225505e+00   8.310167e+00     2.3124e-01   6.301539e-02   6.354409e+01
   1.384930e-03   1.949395e+00   2.263553e+00   8.302579e+00     2.3479e-01   6.101643e-02   5.700616e+01
   1.402806e-03   1.976367e+00   2.300670e+00   8.301072e+00     2.3809e-01   5.883862e-02   5.127483e+01
   1.420681e-03   2.002531e+00   2.336904e+00   8.300087e+00     2.4127e-01   5.669687e-02   4.623655e+01
   1.438557e-03   2.027889e+00   2.372294e+00   8.291158e+00     2.4458e-01   5.487404e-02   4.179564e+01
   1.456433e-03   2.052446e+00   2.406722e+00   8.290010e+00     2.4758e-01   5.284424e-02   3.787241e+01
   1.474309e-03   2.076209e+00   2.440277e+00   8.280399e+00     2.5074e-01   5.113452e-02   3.439729e+01
   1.492184e-03   2.099184e+00   2.472933e+00   8.271072e+00     2.5380e-01   4.945897e-02   3.131199e+01
