           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.693788e-04   8.178074e-02   8.181002e-02   1.655146e+01     4.9410e-03   1.917217e-02   4.340164e+09
   1.872545e-04   8.199518e-02   8.202559e-02   1.587015e+01     5.1666e-03   1.910956e-02   3.460369e+09
   2.051303e-04   8.401693e-02   8.405875e-02   1.428210e+01     5.8827e-03   1.974942e-02   1.868916e+09
   2.230060e-04   9.004722e-02   9.012900e-02   1.263059e+01     7.1293e-03   2.243668e-02   8.121459e+08
   2.408818e-04   1.006599e-01   1.008282e-01   1.125217e+01     8.9458e-03   2.807636e-02   3.266997e+08
   2.587575e-04   1.156367e-01   1.159591e-01   1.026096e+01     1.1270e-02   3.669950e-02   1.345953e+08
   2.766333e-04   1.346038e-01   1.351713e-01   9.590058e+00     1.4036e-02   4.806609e-02   5.882565e+07
   2.945090e-04   1.572631e-01   1.581934e-01   9.133185e+00     1.7219e-02   6.203644e-02   2.732327e+07
   3.123848e-04   1.834129e-01   1.848537e-01   8.851086e+00     2.0722e-02   7.675117e-02   1.339144e+07
   3.302605e-04   2.129157e-01   2.150481e-01   8.671355e+00     2.4554e-02   9.202744e-02   6.874207e+06
   3.481363e-04   2.456667e-01   2.487067e-01   8.570475e+00     2.8664e-02   1.066387e-01   3.673813e+06
   3.660120e-04   2.815722e-01   2.857746e-01   8.520662e+00     3.3046e-02   1.202703e-01   2.034628e+06
   3.838878e-04   3.205364e-01   3.261940e-01   8.510269e+00     3.7665e-02   1.322770e-01   1.163384e+06
   4.017635e-04   3.624537e-01   3.699004e-01   8.521237e+00     4.2535e-02   1.430095e-01   6.847381e+05
   4.196393e-04   4.072047e-01   4.168158e-01   8.552155e+00     4.7614e-02   1.519060e-01   4.138069e+05
   4.375150e-04   4.546540e-01   4.668443e-01   8.600875e+00     5.2861e-02   1.586338e-01   2.562196e+05
   4.732665e-04   5.570268e-01   5.757728e-01   8.720401e+00     6.3876e-02   1.673124e-01   1.048911e+05
   4.911423e-04   6.116022e-01   6.344029e-01   8.782340e+00     6.9640e-02   1.698651e-01   6.913833e+04
   5.090180e-04   6.681831e-01   6.955948e-01   8.851779e+00     7.5486e-02   1.705934e-01   4.640303e+04
   5.268938e-04   7.265657e-01   7.591756e-01   8.921241e+00     8.1442e-02   1.702396e-01   3.167533e+04
   5.447695e-04   7.865381e-01   8.249575e-01   8.990604e+00     8.7484e-02   1.688648e-01   2.196815e+04
   5.626453e-04   8.478828e-01   8.927434e-01   9.060111e+00     9.3584e-02   1.665169e-01   1.546520e+04
   5.805210e-04   9.103789e-01   9.623320e-01   9.121466e+00     9.9806e-02   1.640268e-01   1.104170e+04
   5.983968e-04   9.738046e-01   1.033491e+00   9.190008e+00     1.0596e-01   1.600913e-01   7.989085e+03
   6.162725e-04   1.037939e+00   1.106028e+00   9.250007e+00     1.1221e-01   1.561953e-01   5.853657e+03
   6.341483e-04   1.102566e+00   1.179713e+00   9.301607e+00     1.1853e-01   1.523578e-01   4.340508e+03
   6.520240e-04   1.167472e+00   1.254319e+00   9.360105e+00     1.2473e-01   1.473992e-01   3.255179e+03
   6.698998e-04   1.232453e+00   1.329633e+00   9.410171e+00     1.3097e-01   1.426395e-01   2.467655e+03
   6.877756e-04   1.297312e+00   1.405458e+00   9.452523e+00     1.3725e-01   1.380437e-01   1.889915e+03
   7.056513e-04   1.361861e+00   1.481548e+00   9.500310e+00     1.4335e-01   1.327111e-01   1.461641e+03
   7.235271e-04   1.425925e+00   1.557719e+00   9.540324e+00     1.4946e-01   1.276554e-01   1.140984e+03
   7.414028e-04   1.489339e+00   1.633798e+00   9.572571e+00     1.5558e-01   1.228829e-01   8.986175e+02
   7.592786e-04   1.551951e+00   1.709534e+00   9.610257e+00     1.6149e-01   1.175883e-01   7.137699e+02
   7.771543e-04   1.613619e+00   1.784809e+00   9.640205e+00     1.6738e-01   1.126495e-01   5.715627e+02
   7.950301e-04   1.674218e+00   1.859445e+00   9.662183e+00     1.7328e-01   1.080723e-01   4.612532e+02
   8.129058e-04   1.733024e+00   1.932484e+00   9.690105e+00     1.7884e-01   1.031409e-01   3.758024e+02
   8.307816e-04   1.783372e+00   1.995552e+00   9.702290e+00     1.8381e-01   9.944370e-02   3.159712e+02
   8.486573e-04   1.832054e+00   2.056980e+00   9.720377e+00     1.8848e-01   9.543874e-02   2.675208e+02
   8.665331e-04   1.879075e+00   2.116764e+00   9.730794e+00     1.9311e-01   9.181855e-02   2.279607e+02
   8.844088e-04   1.924450e+00   2.174884e+00   9.740502e+00     1.9757e-01   8.824362e-02   1.954184e+02
   9.022846e-04   1.968200e+00   2.231324e+00   9.750026e+00     2.0187e-01   8.470609e-02   1.684635e+02
   9.201603e-04   2.010349e+00   2.286116e+00   9.750717e+00     2.0617e-01   8.158270e-02   1.459931e+02
   9.380361e-04   2.050922e+00   2.339223e+00   9.751271e+00     2.1032e-01   7.849565e-02   1.271494e+02
   9.559118e-04   2.089949e+00   2.390669e+00   9.751201e+00     2.1433e-01   7.547689e-02   1.112589e+02
   9.737876e-04   2.127458e+00   2.440444e+00   9.750543e+00     2.1819e-01   7.253369e-02   9.778833e+01
   9.916633e-04   2.163482e+00   2.488566e+00   9.750007e+00     2.2190e-01   6.964753e-02   8.631224e+01
   1.009539e-03   2.198053e+00   2.535097e+00   9.740587e+00     2.2566e-01   6.713620e-02   7.648926e+01
   1.027415e-03   2.231204e+00   2.579993e+00   9.731333e+00     2.2928e-01   6.467198e-02   6.804406e+01
   1.045291e-03   2.262969e+00   2.623297e+00   9.721759e+00     2.3277e-01   6.227703e-02   6.075297e+01
   1.063166e-03   2.293384e+00   2.665026e+00   9.711629e+00     2.3615e-01   5.996215e-02   5.443299e+01
   1.081042e-03   2.322484e+00   2.705185e+00   9.700952e+00     2.3941e-01   5.772870e-02   4.893381e+01
   1.098918e-03   2.350303e+00   2.743807e+00   9.690262e+00     2.4254e-01   5.556229e-02   4.413131e+01
   1.116794e-03   2.376879e+00   2.780982e+00   9.672097e+00     2.4575e-01   5.367061e-02   3.992203e+01
   1.134669e-03   2.402247e+00   2.816639e+00   9.660384e+00     2.4867e-01   5.166230e-02   3.622145e+01
   1.152545e-03   2.426443e+00   2.850884e+00   9.641521e+00     2.5167e-01   4.990641e-02   3.295659e+01
   1.170421e-03   2.449502e+00   2.883648e+00   9.630012e+00     2.5436e-01   4.802354e-02   3.006823e+01
   1.188297e-03   2.471460e+00   2.915071e+00   9.610196e+00     2.5717e-01   4.640932e-02   2.750471e+01
   1.206172e-03   2.492352e+00   2.945117e+00   9.590422e+00     2.5988e-01   4.484880e-02   2.522328e+01
   1.224048e-03   2.512211e+00   2.973851e+00   9.570557e+00     2.6249e-01   4.334490e-02   2.318739e+01
   1.241924e-03   2.531074e+00   3.001296e+00   9.550533e+00     2.6502e-01   4.189841e-02   2.136586e+01
   1.259800e-03   2.548972e+00   3.027451e+00   9.530418e+00     2.6746e-01   4.050678e-02   1.973199e+01
   1.277675e-03   2.565940e+00   3.052389e+00   9.510187e+00     2.6981e-01   3.916943e-02   1.826288e+01
   1.295551e-03   2.582008e+00   3.076130e+00   9.490023e+00     2.7208e-01   3.788134e-02   1.693879e+01
   1.313427e-03   2.597210e+00   3.098744e+00   9.462091e+00     2.7449e-01   3.679284e-02   1.574245e+01
   1.331303e-03   2.611576e+00   3.120144e+00   9.441049e+00     2.7662e-01   3.561469e-02   1.465973e+01
   1.349178e-03   2.625136e+00   3.140458e+00   9.420315e+00     2.7867e-01   3.447698e-02   1.367748e+01
   1.384930e-03   2.649956e+00   3.177952e+00   9.371161e+00     2.8278e-01   3.246734e-02   1.197096e+01
   1.402806e-03   2.661273e+00   3.195134e+00   9.350230e+00     2.8462e-01   3.146003e-02   1.122877e+01
   1.420681e-03   2.671897e+00   3.211389e+00   9.322044e+00     2.8662e-01   3.061143e-02   1.054992e+01
   1.438557e-03   2.681856e+00   3.226624e+00   9.300539e+00     2.8835e-01   2.968998e-02   9.928464e+00
   1.456433e-03   2.691174e+00   3.240952e+00   9.280000e+00     2.9000e-01   2.879078e-02   9.358213e+00
