           rhoc              M             Mb              R              C             kl            lam
   2.945090e-04   1.563690e-01   1.583160e-01   1.986127e+01     7.8731e-03   9.791158e-04   2.157866e+07
   3.123848e-04   1.870726e-01   1.898446e-01   1.557316e+01     1.2013e-02   3.892526e-03   1.037464e+07
   3.302605e-04   2.200730e-01   2.238788e-01   1.351021e+01     1.6289e-02   9.244006e-03   5.373350e+06
   3.481363e-04   2.551060e-01   2.601702e-01   1.233201e+01     2.0686e-02   1.671409e-02   2.941416e+06
   3.660120e-04   2.919172e-01   2.984813e-01   1.160084e+01     2.5163e-02   2.555075e-02   1.688348e+06
   3.838878e-04   3.302523e-01   3.385674e-01   1.110453e+01     2.9740e-02   3.525588e-02   1.010209e+06
   4.017635e-04   3.698440e-01   3.801712e-01   1.077094e+01     3.4337e-02   4.491014e-02   6.272320e+05
   4.196393e-04   4.104293e-01   4.230303e-01   1.053076e+01     3.8974e-02   5.430472e-02   4.025814e+05
   4.375150e-04   4.517574e-01   4.668958e-01   1.035321e+01     4.3635e-02   6.316984e-02   2.662360e+05
   4.553908e-04   4.935963e-01   5.115291e-01   1.022386e+01     4.8279e-02   7.117006e-02   1.808927e+05
   4.732665e-04   5.357451e-01   5.567231e-01   1.013195e+01     5.2877e-02   7.809037e-02   1.259450e+05
   4.911423e-04   5.780257e-01   6.022881e-01   1.006004e+01     5.7458e-02   8.421118e-02   8.964813e+04
   5.090180e-04   6.202791e-01   6.480686e-01   1.000331e+01     6.2007e-02   8.952166e-02   6.510589e+04
   5.268938e-04   6.623649e-01   6.938977e-01   9.962587e+00     6.6485e-02   9.383408e-02   4.815524e+04
   5.626453e-04   7.455514e-01   7.851829e-01   9.902915e+00     7.5286e-02   1.003535e-01   2.766106e+04
   5.805210e-04   7.864447e-01   8.304024e-01   9.883330e+00     7.9573e-02   1.025311e-01   2.142594e+04
   5.983968e-04   8.267560e-01   8.751949e-01   9.870350e+00     8.3762e-02   1.039872e-01   1.681374e+04
   6.162725e-04   8.664148e-01   9.195016e-01   9.852458e+00     8.7939e-02   1.053442e-01   1.335406e+04
   6.341483e-04   9.053618e-01   9.632202e-01   9.841411e+00     9.1995e-02   1.060031e-01   1.072515e+04
   6.520240e-04   9.435480e-01   1.006294e+00   9.830839e+00     9.5978e-02   1.063273e-01   8.703355e+03
   6.698998e-04   9.809327e-01   1.048674e+00   9.820746e+00     9.9884e-02   1.063446e-01   7.131004e+03
   6.877756e-04   1.017484e+00   1.090316e+00   9.810539e+00     1.0371e-01   1.061148e-01   5.895383e+03
   7.056513e-04   1.053175e+00   1.131172e+00   9.801066e+00     1.0746e-01   1.056186e-01   4.914876e+03
   7.414028e-04   1.121912e+00   1.210401e+00   9.781339e+00     1.1470e-01   1.040889e-01   3.495505e+03
   7.592786e-04   1.154938e+00   1.248733e+00   9.771617e+00     1.1819e-01   1.030731e-01   2.979160e+03
   7.771543e-04   1.187061e+00   1.286201e+00   9.761802e+00     1.2160e-01   1.019282e-01   2.555567e+03
   7.950301e-04   1.218284e+00   1.322752e+00   9.751438e+00     1.2493e-01   1.006967e-01   2.205592e+03
   8.129058e-04   1.248607e+00   1.358432e+00   9.740985e+00     1.2818e-01   9.937163e-02   1.914505e+03
   8.307816e-04   1.278037e+00   1.393195e+00   9.730589e+00     1.3134e-01   9.796142e-02   1.670866e+03
   8.486573e-04   1.306583e+00   1.427037e+00   9.720060e+00     1.3442e-01   9.648997e-02   1.465721e+03
   8.665331e-04   1.334253e+00   1.460060e+00   9.703242e+00     1.3751e-01   9.527155e-02   1.292007e+03
   8.844088e-04   1.361062e+00   1.492120e+00   9.692037e+00     1.4043e-01   9.372988e-02   1.144124e+03
   9.022846e-04   1.387022e+00   1.523270e+00   9.680584e+00     1.4328e-01   9.216603e-02   1.017586e+03
   9.201603e-04   1.412149e+00   1.553628e+00   9.663347e+00     1.4613e-01   9.084837e-02   9.087862e+02
   9.380361e-04   1.436459e+00   1.583045e+00   9.651199e+00     1.4884e-01   8.927047e-02   8.148111e+02
   9.559118e-04   1.459969e+00   1.611574e+00   9.640162e+00     1.5145e-01   8.763141e-02   7.332832e+02
   9.737876e-04   1.482697e+00   1.639359e+00   9.621742e+00     1.5410e-01   8.632044e-02   6.622607e+02
   9.916633e-04   1.504660e+00   1.666190e+00   9.610122e+00     1.5657e-01   8.470232e-02   6.001462e+02
   1.045291e-03   1.566144e+00   1.742022e+00   9.560584e+00     1.6381e-01   8.052490e-02   4.550961e+02
   1.063166e-03   1.585232e+00   1.765765e+00   9.542030e+00     1.6613e-01   7.923630e-02   4.174189e+02
   1.081042e-03   1.603650e+00   1.788693e+00   9.530032e+00     1.6827e-01   7.769227e-02   3.838933e+02
   1.116794e-03   1.638546e+00   1.832412e+00   9.491739e+00     1.7263e-01   7.524028e-02   3.271863e+02
   1.134669e-03   1.655062e+00   1.853243e+00   9.473071e+00     1.7471e-01   7.402137e-02   3.031441e+02
   1.152545e-03   1.670980e+00   1.873253e+00   9.460131e+00     1.7663e-01   7.260241e-02   2.815067e+02
   1.170421e-03   1.686320e+00   1.892720e+00   9.440691e+00     1.7862e-01   7.145693e-02   2.619822e+02
   1.188297e-03   1.701099e+00   1.911534e+00   9.421551e+00     1.8055e-01   7.032156e-02   2.443214e+02
   1.206172e-03   1.715333e+00   1.929657e+00   9.402503e+00     1.8243e-01   6.920519e-02   2.283084e+02
   1.241924e-03   1.742239e+00   1.964023e+00   9.370270e+00     1.8593e-01   6.683308e-02   2.005037e+02
   1.259800e-03   1.754942e+00   1.980377e+00   9.350776e+00     1.8768e-01   6.580607e-02   1.884078e+02
   1.277675e-03   1.767168e+00   1.996149e+00   9.331412e+00     1.8938e-01   6.479830e-02   1.773455e+02
   1.313427e-03   1.790247e+00   2.026008e+00   9.293218e+00     1.9264e-01   6.283665e-02   1.579021e+02
   1.331303e-03   1.801130e+00   2.040106e+00   9.280063e+00     1.9409e-01   6.169445e-02   1.493429e+02
   1.367054e-03   1.821654e+00   2.066829e+00   9.240803e+00     1.9713e-01   5.991720e-02   1.341772e+02
   1.384930e-03   1.831324e+00   2.079477e+00   9.221511e+00     1.9859e-01   5.905260e-02   1.274479e+02
   1.402806e-03   1.840615e+00   2.091698e+00   9.202378e+00     2.0002e-01   5.820611e-02   1.212167e+02
   1.420681e-03   1.849542e+00   2.103487e+00   9.183263e+00     2.0140e-01   5.738204e-02   1.154379e+02
   1.456433e-03   1.866350e+00   2.125600e+00   9.150478e+00     2.0396e-01   5.563573e-02   1.050790e+02
   1.474309e-03   1.874255e+00   2.136011e+00   9.131128e+00     2.0526e-01   5.488735e-02   1.004292e+02
   1.492184e-03   1.881842e+00   2.146100e+00   9.111917e+00     2.0653e-01   5.415603e-02   9.609234e+01
   1.510060e-03   1.889122e+00   2.155853e+00   9.092932e+00     2.0776e-01   5.343893e-02   9.204205e+01
   1.527936e-03   1.896106e+00   2.165084e+00   9.080069e+00     2.0882e-01   5.256504e-02   8.825487e+01
   1.545812e-03   1.902803e+00   2.173964e+00   9.060497e+00     2.1001e-01   5.190746e-02   8.470893e+01
   1.563687e-03   1.909225e+00   2.182572e+00   9.041189e+00     2.1117e-01   5.126171e-02   8.138504e+01
   1.581563e-03   1.915379e+00   2.190904e+00   9.022059e+00     2.1230e-01   5.062995e-02   7.826566e+01
   1.599439e-03   1.921275e+00   2.198767e+00   9.003302e+00     2.1340e-01   5.000648e-02   7.533489e+01
   1.617315e-03   1.926923e+00   2.206272e+00   8.990334e+00     2.1433e-01   4.924283e-02   7.257866e+01
   1.635190e-03   1.932330e+00   2.213633e+00   8.971045e+00     2.1540e-01   4.867185e-02   6.998338e+01
   1.653066e-03   1.937506e+00   2.220664e+00   8.952210e+00     2.1643e-01   4.810589e-02   6.753725e+01
   1.670942e-03   1.942457e+00   2.227227e+00   8.940014e+00     2.1728e-01   4.738073e-02   6.522956e+01
   1.688818e-03   1.947192e+00   2.233672e+00   8.920392e+00     2.1829e-01   4.687072e-02   6.305013e+01
   1.706693e-03   1.951718e+00   2.239916e+00   8.901545e+00     2.1926e-01   4.635623e-02   6.098993e+01
   1.742445e-03   1.960173e+00   2.251286e+00   8.870286e+00     2.2098e-01   4.520968e-02   5.719480e+01
   1.760321e-03   1.964115e+00   2.256772e+00   8.851224e+00     2.2190e-01   4.474790e-02   5.544515e+01
   1.778196e-03   1.967875e+00   2.261851e+00   8.832811e+00     2.2279e-01   4.428413e-02   5.378530e+01
   1.796072e-03   1.971461e+00   2.266678e+00   8.820263e+00     2.2351e-01   4.368924e-02   5.220959e+01
   1.813948e-03   1.974877e+00   2.271484e+00   8.801471e+00     2.2438e-01   4.326410e-02   5.071225e+01
   1.831824e-03   1.978129e+00   2.275909e+00   8.783070e+00     2.2522e-01   4.284271e-02   4.928833e+01
   1.849699e-03   1.981224e+00   2.280066e+00   8.770522e+00     2.2590e-01   4.229323e-02   4.793345e+01
   1.867575e-03   1.984167e+00   2.284238e+00   8.751884e+00     2.2671e-01   4.190447e-02   4.664298e+01
   1.885451e-03   1.986962e+00   2.288060e+00   8.740103e+00     2.2734e-01   4.136547e-02   4.541319e+01
   1.903327e-03   1.989615e+00   2.291646e+00   8.721254e+00     2.2813e-01   4.100712e-02   4.424025e+01
   1.921202e-03   1.992131e+00   2.295241e+00   8.703178e+00     2.2890e-01   4.064222e-02   4.312077e+01
   1.939078e-03   1.994514e+00   2.298504e+00   8.690806e+00     2.2950e-01   4.015699e-02   4.205185e+01
   1.956954e-03   1.996769e+00   2.301589e+00   8.672588e+00     2.3024e-01   3.981897e-02   4.103020e+01
   1.974830e-03   1.998900e+00   2.304460e+00   8.660461e+00     2.3081e-01   3.935326e-02   4.005339e+01
   1.992705e-03   2.000912e+00   2.307394e+00   8.642137e+00     2.3153e-01   3.903992e-02   3.911864e+01
   2.010581e-03   2.002808e+00   2.310007e+00   8.630422e+00     2.3206e-01   3.858880e-02   3.822380e+01
   2.028457e-03   2.004592e+00   2.312432e+00   8.612212e+00     2.3276e-01   3.829394e-02   3.736646e+01
   2.046333e-03   2.006269e+00   2.314707e+00   8.600432e+00     2.3328e-01   3.786704e-02   3.654477e+01
   2.064208e-03   2.007842e+00   2.317058e+00   8.582316e+00     2.3395e-01   3.759004e-02   3.575660e+01
   2.082084e-03   2.009314e+00   2.319081e+00   8.570491e+00     2.3445e-01   3.718561e-02   3.500038e+01
   2.099960e-03   2.010689e+00   2.320950e+00   8.552697e+00     2.3509e-01   3.692054e-02   3.427419e+01
   2.117836e-03   2.011971e+00   2.322682e+00   8.540834e+00     2.3557e-01   3.653727e-02   3.357673e+01
   2.135711e-03   2.013161e+00   2.324354e+00   8.530016e+00     2.3601e-01   3.614215e-02   3.290632e+01
   2.153587e-03   2.014264e+00   2.326037e+00   8.511323e+00     2.3666e-01   3.592310e-02   3.226164e+01
   2.171463e-03   2.015282e+00   2.327427e+00   8.500157e+00     2.3709e-01   3.555425e-02   3.164144e+01
   2.207214e-03   2.017075e+00   2.329846e+00   8.470670e+00     2.3812e-01   3.499281e-02   3.046956e+01
   2.225090e-03   2.017855e+00   2.330955e+00   8.460012e+00     2.3852e-01   3.464063e-02   2.991571e+01
   2.242966e-03   2.018562e+00   2.332092e+00   8.441519e+00     2.3912e-01   3.445701e-02   2.938185e+01
   2.260842e-03   2.019197e+00   2.332961e+00   8.430384e+00     2.3951e-01   3.413117e-02   2.886710e+01
   2.278717e-03   2.019763e+00   2.333708e+00   8.412875e+00     2.4008e-01   3.394200e-02   2.837043e+01
   2.296593e-03   2.020263e+00   2.334358e+00   8.401142e+00     2.4047e-01   3.364392e-02   2.789124e+01
   2.314469e-03   2.020698e+00   2.334954e+00   8.390361e+00     2.4084e-01   3.333476e-02   2.742853e+01
   2.332345e-03   2.021070e+00   2.335498e+00   8.380003e+00     2.4118e-01   3.302520e-02   2.698161e+01
   2.350220e-03   2.021383e+00   2.336077e+00   8.361556e+00     2.4175e-01   3.288205e-02   2.654975e+01
   2.368096e-03   2.021637e+00   2.336420e+00   8.350531e+00     2.4210e-01   3.259980e-02   2.613234e+01
   2.385972e-03   2.021835e+00   2.336691e+00   8.340039e+00     2.4243e-01   3.231448e-02   2.572870e+01
   2.403848e-03   2.021978e+00   2.336859e+00   8.321969e+00     2.4297e-01   3.218247e-02   2.533822e+01
