#           rhoc              M             Mb              R              C             kl            lam
   2.051303e-04   1.176869e-01   1.186813e-01   1.712590e+01     6.8719e-03   2.881192e-03   1.253448e+08
   2.230060e-04   1.429057e-01   1.443742e-01   1.408121e+01     1.0149e-02   8.666287e-03   5.366540e+07
   2.408818e-04   1.701632e-01   1.722375e-01   1.254504e+01     1.3564e-02   1.759335e-02   2.554406e+07
   2.587575e-04   1.994391e-01   2.022721e-01   1.165458e+01     1.7113e-02   2.866757e-02   1.302358e+07
   2.766333e-04   2.306476e-01   2.344095e-01   1.108465e+01     2.0808e-02   4.100834e-02   7.008829e+06
   2.945090e-04   2.635727e-01   2.684475e-01   1.070413e+01     2.4623e-02   5.368129e-02   3.953551e+06
   3.123848e-04   2.979823e-01   3.041645e-01   1.045150e+01     2.8511e-02   6.571096e-02   2.325339e+06
   3.302605e-04   3.337330e-01   3.414283e-01   1.027054e+01     3.2494e-02   7.706757e-02   1.418248e+06
   3.481363e-04   3.707582e-01   3.801882e-01   1.014231e+01     3.6556e-02   8.736818e-02   8.922612e+05
   3.660120e-04   4.090128e-01   4.204104e-01   1.005052e+01     4.0696e-02   9.652738e-02   5.765241e+05
   3.838878e-04   4.484669e-01   4.620857e-01   9.982972e+00     4.4923e-02   1.046186e-01   3.812104e+05
   4.017635e-04   4.891042e-01   5.052080e-01   9.940469e+00     4.9203e-02   1.112479e-01   2.571748e+05
   4.196393e-04   5.309160e-01   5.497920e-01   9.910281e+00     5.3572e-02   1.168712e-01   1.765701e+05
   4.375150e-04   5.738983e-01   5.958514e-01   9.890155e+00     5.8027e-02   1.214983e-01   1.231174e+05
   4.553908e-04   6.180586e-01   6.434194e-01   9.873011e+00     6.2601e-02   1.254959e-01   8.702382e+04
   4.732665e-04   6.634365e-01   6.925471e-01   9.870350e+00     6.7215e-02   1.280948e-01   6.224524e+04
   4.911423e-04   7.100800e-01   7.433232e-01   9.870366e+00     7.1941e-02   1.300216e-01   4.498359e+04
   5.090180e-04   7.580367e-01   7.958236e-01   9.871091e+00     7.6794e-02   1.314120e-01   3.280336e+04
   5.447695e-04   8.580673e-01   9.063014e-01   9.882793e+00     8.6824e-02   1.320897e-01   1.784718e+04
   5.626453e-04   9.101861e-01   9.643892e-01   9.892361e+00     9.2009e-02   1.315038e-01   1.329524e+04
   5.983968e-04   1.018580e+00   1.086389e+00   9.913736e+00     1.0274e-01   1.289381e-01   7.507613e+03
   6.162725e-04   1.074794e+00   1.150289e+00   9.930025e+00     1.0824e-01   1.267206e-01   5.686988e+03
   6.341483e-04   1.132291e+00   1.216136e+00   9.941009e+00     1.1390e-01   1.244955e-01   4.329371e+03
   6.520240e-04   1.190991e+00   1.283856e+00   9.952036e+00     1.1967e-01   1.219414e-01   3.311898e+03
   6.698998e-04   1.250700e+00   1.353246e+00   9.970053e+00     1.2545e-01   1.186745e-01   2.546760e+03
   6.877756e-04   1.311174e+00   1.424095e+00   9.980513e+00     1.3137e-01   1.156065e-01   1.969493e+03
   7.056513e-04   1.372157e+00   1.496115e+00   9.990803e+00     1.3734e-01   1.123204e-01   1.532324e+03
   7.235271e-04   1.433387e+00   1.569022e+00   1.000108e+01     1.4332e-01   1.088431e-01   1.199851e+03
   7.414028e-04   1.494598e+00   1.642514e+00   1.001078e+01     1.4930e-01   1.052409e-01   9.458256e+02
   7.592786e-04   1.555529e+00   1.716291e+00   1.002050e+01     1.5523e-01   1.015173e-01   7.507648e+02
   7.771543e-04   1.615926e+00   1.790050e+00   1.003002e+01     1.6111e-01   9.771787e-02   6.001851e+02
   7.950301e-04   1.675538e+00   1.863505e+00   1.003113e+01     1.6703e-01   9.426196e-02   4.833062e+02
   8.129058e-04   1.734127e+00   1.936338e+00   1.003347e+01     1.7283e-01   9.070069e-02   3.920758e+02
   8.307816e-04   1.791471e+00   2.008192e+00   1.004015e+01     1.7843e-01   8.693692e-02   3.204534e+02
   8.486573e-04   1.847371e+00   2.078888e+00   1.004032e+01     1.8400e-01   8.347273e-02   2.638881e+02
   8.665331e-04   1.901652e+00   2.148129e+00   1.004012e+01     1.8941e-01   8.005426e-02   2.189438e+02
   8.844088e-04   1.954164e+00   2.215733e+00   1.003248e+01     1.9478e-01   7.697276e-02   1.830137e+02
   9.022846e-04   2.004782e+00   2.281395e+00   1.003067e+01     1.9987e-01   7.372548e-02   1.541133e+02
   9.201603e-04   2.053407e+00   2.345056e+00   1.002221e+01     2.0489e-01   7.079515e-02   1.307236e+02
   9.380361e-04   2.099969e+00   2.406457e+00   1.002000e+01     2.0958e-01   6.773015e-02   1.116776e+02
   9.559118e-04   2.144445e+00   2.465625e+00   1.001011e+01     2.1423e-01   6.501851e-02   9.606534e+01
   9.916633e-04   2.227188e+00   2.577061e+00   9.983001e+00     2.2310e-01   6.008782e-02   7.247975e+01
   1.027415e-03   2.301847e+00   2.679042e+00   9.960222e+00     2.3110e-01   5.539096e-02   5.601581e+01
   1.045291e-03   2.336251e+00   2.726628e+00   9.941802e+00     2.3499e-01   5.337569e-02   4.965694e+01
   1.081042e-03   2.399478e+00   2.814887e+00   9.910629e+00     2.4211e-01   4.945250e-02   3.962958e+01
   1.098918e-03   2.428421e+00   2.855745e+00   9.891587e+00     2.4550e-01   4.770511e-02   3.566018e+01
   1.116794e-03   2.455670e+00   2.894451e+00   9.872419e+00     2.4874e-01   4.604029e-02   3.223403e+01
   1.134669e-03   2.481292e+00   2.931071e+00   9.853250e+00     2.5182e-01   4.445313e-02   2.926301e+01
   1.152545e-03   2.505361e+00   2.965587e+00   9.840006e+00     2.5461e-01   4.281211e-02   2.667477e+01
   1.170421e-03   2.527950e+00   2.998339e+00   9.813299e+00     2.5760e-01   4.153556e-02   2.440967e+01
   1.188297e-03   2.549130e+00   3.029146e+00   9.793091e+00     2.6030e-01   4.018559e-02   2.241909e+01
   1.206172e-03   2.568973e+00   3.058151e+00   9.772685e+00     2.6287e-01   3.890482e-02   2.066256e+01
   1.224048e-03   2.587544e+00   3.085446e+00   9.751845e+00     2.6534e-01   3.769453e-02   1.910654e+01
   1.241924e-03   2.604911e+00   3.111086e+00   9.731231e+00     2.6769e-01   3.653879e-02   1.772303e+01
   1.259800e-03   2.621134e+00   3.135162e+00   9.710667e+00     2.6992e-01   3.543841e-02   1.648854e+01
