pc	M	R	C	k2	j3
9.999999999999999799e-13	1.547097648815912441e-01	1.557136578054495502e+01	1.467105193518763312e-02	6.158921108652511828e-02	0.000000000000000000e+00
1.047370897959448749e-12	1.596950687831794891e-01	1.544073011874607992e+01	1.527192943173673496e-02	6.455992119572061261e-02	0.000000000000000000e+00
1.096985797892381920e-12	1.648954085463094354e-01	1.531921848536934405e+01	1.589432861751945147e-02	6.761758185278693434e-02	0.000000000000000000e+00
1.148951000187311009e-12	1.703159609879334180e-01	1.520644595635287999e+01	1.653856641281334708e-02	7.075593663409131262e-02	0.000000000000000000e+00
1.203377840777590522e-12	1.759614225856101222e-01	1.510203515402511520e+01	1.720490276842418301e-02	7.396783507796865498e-02	0.000000000000000000e+00
1.260382929679727463e-12	1.818358997505885588e-01	1.500561401709991749e+01	1.789353280237680408e-02	7.724521930366309852e-02	0.000000000000000000e+00
1.320088400831416649e-12	1.879430128718769244e-01	1.491681247278817679e+01	1.860460225190705211e-02	8.057927219878262270e-02	0.000000000000000000e+00
1.382622173764653478e-12	1.942864737510585915e-01	1.483525831424526231e+01	1.933827306244279703e-02	8.396082771783890120e-02	0.000000000000000000e+00
1.448118227674535917e-12	2.008702391226853956e-01	1.476058165665349797e+01	2.009473854610611607e-02	8.738056183637472885e-02	0.000000000000000000e+00
1.516716888470924089e-12	2.076985271687666335e-01	1.469241967498569501e+01	2.087422338992871509e-02	9.082907301310326476e-02	0.000000000000000000e+00
1.588565129428052692e-12	2.147758334782489120e-01	1.463041995576879906e+01	2.167698393189348635e-02	9.429692932058277022e-02	0.000000000000000000e+00
1.663816886076127415e-12	2.221069463863521443e-01	1.457424286611168895e+01	2.250330849836086611e-02	9.777476958007814967e-02	0.000000000000000000e+00
1.742633386009647278e-12	2.296969619930486206e-01	1.452356318031914739e+01	2.335351775568849514e-02	1.012533375676038933e-01	0.000000000000000000e+00
1.825183494319046040e-12	2.375512989314945145e-01	1.447807113569742299e+01	2.422796504339562104e-02	1.047235622594292620e-01	0.000000000000000000e+00
1.911644075385703708e-12	2.456757133154653661e-01	1.443747304407096621e+01	2.512703671568475294e-02	1.081765642517671794e-01	0.000000000000000000e+00
2.002200371815584363e-12	2.540763132326747109e-01	1.440149157285724613e+01	2.605115239144848230e-02	1.116037567034509626e-01	0.000000000000000000e+00
2.097046401323230665e-12	2.627595740371450606e-01	1.436986575649861031e+01	2.700076526266722080e-02	1.149968401047157252e-01	0.000000000000000000e+00
2.196385372416542332e-12	2.717323533518407608e-01	1.434235081680816570e+01	2.797636231876021382e-02	1.183478369493007470e-01	0.000000000000000000e+00
2.300430119772921506e-12	2.810019064840455494e-01	1.431871783975677737e+01	2.897846455670332472e-02	1.216491381708431907e-01	0.000000000000000000e+00
2.409403560239526876e-12	2.905758903941115245e-01	1.429875335312235407e+01	3.000762593769904646e-02	1.248935060021087312e-01	0.000000000000000000e+00
2.523539170434765862e-12	3.004622122763636605e-01	1.428225869719329211e+01	3.106441649453885179e-02	1.280740343410643467e-01	0.000000000000000000e+00
2.643081486974102692e-12	3.106688373787969137e-01	1.426904846324812404e+01	3.214940311209454199e-02	1.311840788471101971e-01	0.000000000000000000e+00
2.768286630392061017e-12	3.212037516385503610e-01	1.425894874875927343e+01	3.326314708354279753e-02	1.342172653065055177e-01	0.000000000000000000e+00
2.899422853882880921e-12	3.320749394328056381e-01	1.425179576427084527e+01	3.440620297550266854e-02	1.371674893040276122e-01	0.000000000000000000e+00
3.036771118035460378e-12	3.432903591920031250e-01	1.424743465105988172e+01	3.557911723313685048e-02	1.400289242580997073e-01	0.000000000000000000e+00
3.180625692794118977e-12	3.548579174347827325e-01	1.424571845723058416e+01	3.678242664244874699e-02	1.427960299861335824e-01	0.000000000000000000e+00
3.331294787934670055e-12	3.667854408061039795e-01	1.424650723385333073e+01	3.801665665572079994e-02	1.454635678489503703e-01	0.000000000000000000e+00
3.489101213406766494e-12	3.790806465473135489e-01	1.424966723301466942e+01	3.928231963819817096e-02	1.480265616347790913e-01	0.000000000000000000e+00
3.654383070957261569e-12	3.917511110305940125e-01	1.425507019485670313e+01	4.057991300453961392e-02	1.504803883219499594e-01	0.000000000000000000e+00
3.827494478516314936e-12	4.048042367266279085e-01	1.426259270506621135e+01	4.190991731124697750e-02	1.528206890028254161e-01	0.000000000000000000e+00
4.008806328898464320e-12	4.182472173158741646e-01	1.427211562248668919e+01	4.327279425751810737e-02	1.550434200788542161e-01	0.000000000000000000e+00
4.198707084443905621e-12	4.320870010992955979e-01	1.428352356186351457e+01	4.466898463583007794e-02	1.571448523109361117e-01	0.000000000000000000e+00
4.397603609302712498e-12	4.463302526997343089e-01	1.429670442990725832e+01	4.609890622210850025e-02	1.591215585956950729e-01	0.000000000000000000e+00
4.605922041145112927e-12	4.609833247335341500e-01	1.431154902449391209e+01	4.756295276117012555e-02	1.609704256325987237e-01	0.000000000000000000e+00
4.824108704165373984e-12	4.760523543040189320e-01	1.432795095369919913e+01	4.906150496868581096e-02	1.626886751958605826e-01	0.000000000000000000e+00
5.052631065335679604e-12	4.915433447560367264e-01	1.434580687079970573e+01	5.059493886752487735e-02	1.642738725700147728e-01	0.000000000000000000e+00
5.291978735958436557e-12	5.074621394647261807e-01	1.436501652843920596e+01	5.216362343643281274e-02	1.657239448221413114e-01	0.000000000000000000e+00
5.542664520663095602e-12	5.238143954044364170e-01	1.438548272239995285e+01	5.376791858185727552e-02	1.670371704549482583e-01	0.000000000000000000e+00
5.805225516094907684e-12	5.406055559257428866e-01	1.440711119360132386e+01	5.540817319221382625e-02	1.682121666438568530e-01	0.000000000000000000e+00
6.080224261649427052e-12	5.578408225003071985e-01	1.442981050966593592e+01	5.708472320040231668e-02	1.692479094429258091e-01	0.000000000000000000e+00
6.368249944718585906e-12	5.755251255693715207e-01	1.445349193540291566e+01	5.879788965060928768e-02	1.701436835739234543e-01	0.000000000000000000e+00
6.669919663030115058e-12	5.936630943959197992e-01	1.447806930119908486e+01	6.054797673495368460e-02	1.708991233387315845e-01	0.000000000000000000e+00
6.985879746785234820e-12	6.122590261688518609e-01	1.450345886723173372e+01	6.233526984068266108e-02	1.715141700077798259e-01	0.000000000000000000e+00
7.316807143427207274e-12	6.313168541853398930e-01	1.452957919598590664e+01	6.416003354279949111e-02	1.719890829544194755e-01	0.000000000000000000e+00
7.663410868007462274e-12	6.508401151295772902e-01	1.455635101918944585e+01	6.602250960428790449e-02	1.723244200132874049e-01	0.000000000000000000e+00
8.026433522257174683e-12	6.708319161729562330e-01	1.458369712412359043e+01	6.792291494949834196e-02	1.725210338833030876e-01	0.000000000000000000e+00
8.406652885618316356e-12	6.912949006347102188e-01	1.461154223127057428e+01	6.986143960312708734e-02	1.725800696904198905e-01	0.000000000000000000e+00
8.804883581643446547e-12	7.122312297017755478e-01	1.463981291590232203e+01	7.183824611244167546e-02	1.725029318407046153e-01	0.000000000000000000e+00
9.221978823334340144e-12	7.336426462157977779e-01	1.466843761000849078e+01	7.385347685416135399e-02	1.722913069385878793e-01	0.000000000000000000e+00
9.658832241158709141e-12	7.555303574933613930e-01	1.469734634187563671e+01	7.590724438111982886e-02	1.719471215565532285e-01	0.000000000000000000e+00
1.011637979766206976e-11	7.778949385988802590e-01	1.472647052610564167e+01	7.799962383645879516e-02	1.714725401389578241e-01	0.000000000000000000e+00
1.059560179277614774e-11	8.007362963509405684e-01	1.475574285872330904e+01	8.013065110233570654e-02	1.708699617266692117e-01	0.000000000000000000e+00
1.109752496412069864e-11	8.240536345664702944e-01	1.478509723760804562e+01	8.230032100480777491e-02	1.701419959077608846e-01	0.000000000000000000e+00
1.162322468679854125e-11	8.478454196285302169e-01	1.481446869226287433e+01	8.450858554748459650e-02	1.692914706867925945e-01	0.000000000000000000e+00
1.217382727739662020e-11	8.721093472204594077e-01	1.484379333613175511e+01	8.675535216839461161e-02	1.683213998994241845e-01	0.000000000000000000e+00
1.275051240713012859e-11	8.968423091222446075e-01	1.487300830288688047e+01	8.904048211422518899e-02	1.672350072836451540e-01	0.000000000000000000e+00
1.335451562929897339e-11	9.220403623421641326e-01	1.490205173084310175e+01	9.136378877568386569e-02	1.660356772792550561e-01	0.000000000000000000e+00
1.398713102647241439e-11	9.476986989341309453e-01	1.493086272896140798e+01	9.372503618242425394e-02	1.647269686810076128e-01	0.000000000000000000e+00
1.464971398307287854e-11	9.738116175835977995e-01	1.495938136086191861e+01	9.612393754283499181e-02	1.633126004902515638e-01	0.000000000000000000e+00
1.534368408930013065e-11	1.000372497278307460e+00	1.498754863677387839e+01	9.856015389979545793e-02	1.617964379718772328e-01	0.000000000000000000e+00
1.607052818261638620e-11	1.027373772643147776e+00	1.501530651515723847e+01	1.010332928324392809e-01	1.601824732925630490e-01	0.000000000000000000e+00
1.683180353330955093e-11	1.054806926305525971e+00	1.504259792075115421e+01	1.035429086472697685e-01	1.584748454070084023e-01	0.000000000000000000e+00
1.762914118095944293e-11	1.082662581225959375e+00	1.506936686654475999e+01	1.060885115241646387e-01	1.566777753451184529e-01	0.000000000000000000e+00
1.846424942895546448e-11	1.110930442913170335e+00	1.509555842672672732e+01	1.086695627356569077e-01	1.547955897142760384e-01	0.000000000000000000e+00
1.933891750455232057e-11	1.139599230927243134e+00	1.512111870909755851e+01	1.112854688014720539e-01	1.528327032043462486e-01	0.000000000000000000e+00
2.025501939230666486e-11	1.168656668169968826e+00	1.514599488395132276e+01	1.139355808330523440e-01	1.507936025954256243e-01	0.000000000000000000e+00
2.121451784910627571e-11	1.198089473914216940e+00	1.517013522085283839e+01	1.166191940435048618e-01	1.486828445242741048e-01	0.000000000000000000e+00
2.221946860939528424e-11	1.227883360427477477e+00	1.519348912328903189e+01	1.193355474688010814e-01	1.465050355494858236e-01	0.000000000000000000e+00
2.327202478960412005e-11	1.258023033092057208e+00	1.521600717201112651e+01	1.220838237974158497e-01	1.442648180376423228e-01	0.000000000000000000e+00
2.437444150122221807e-11	1.288492194422328208e+00	1.523764116652108314e+01	1.248631494150528182e-01	1.419668710127546529e-01	0.000000000000000000e+00
2.552908068239516723e-11	1.319273552322614229e+00	1.525834417620150063e+01	1.276725945955738961e-01	1.396158807582683070e-01	0.000000000000000000e+00
2.673841615839943880e-11	1.350348832108499986e+00	1.527807058414056662e+01	1.305111739174542040e-01	1.372165421124632023e-01	0.000000000000000000e+00
2.800503894183625342e-11	1.381698793178286255e+00	1.529677614287104959e+01	1.333778468262713790e-01	1.347735355074066443e-01	0.000000000000000000e+00
2.933166278390048099e-11	1.413303249434047171e+00	1.531441802860897106e+01	1.362715183548178499e-01	1.322915288446028514e-01	0.000000000000000000e+00
3.072112998861759207e-11	1.445141094910410429e+00	1.533095489228020014e+01	1.391910401539954989e-01	1.297751530043528001e-01	0.000000000000000000e+00
3.217641750250735458e-11	1.477190341615282287e+00	1.534634691727290523e+01	1.421352124158573038e-01	1.272289916450987657e-01	0.000000000000000000e+00
3.370064329271925032e-11	1.509428201682248893e+00	1.536055588501909419e+01	1.451027897479108542e-01	1.246575699316154334e-01	0.000000000000000000e+00
3.529707302730657668e-11	1.541831046163428809e+00	1.537354511370292620e+01	1.480924761581092486e-01	1.220653446271251497e-01	0.000000000000000000e+00
3.696912707195032437e-11	1.574374395130891280e+00	1.538527945857203605e+01	1.511029223839545355e-01	1.194566889828220790e-01	0.000000000000000000e+00
3.872038781812557004e-11	1.607032965194659990e+00	1.539572535152209554e+01	1.541327281910271352e-01	1.168359012791506113e-01	0.000000000000000000e+00
4.055460735840827506e-11	1.639780722815316283e+00	1.540485085265590648e+01	1.571804448921276243e-01	1.142071710784125088e-01	0.000000000000000000e+00
4.247571552536894126e-11	1.672590941585524682e+00	1.541262570215722683e+01	1.602445780200775216e-01	1.115745790218483913e-01	0.000000000000000000e+00
4.448782831127576069e-11	1.705436264392966583e+00	1.541902137747579538e+01	1.633235901929362410e-01	1.089420964177311851e-01	0.000000000000000000e+00
4.659525668664686662e-11	1.738288769568836489e+00	1.542401114752125224e+01	1.664159041739345923e-01	1.063135623824443127e-01	0.000000000000000000e+00
4.880251583654433574e-11	1.771120040497937032e+00	1.542757013206914785e+01	1.695199059973101219e-01	1.036926860222654595e-01	0.000000000000000000e+00
5.111433483440165318e-11	1.803901239208081764e+00	1.542967535060512851e+01	1.726339483875849179e-01	1.010830389793087591e-01	0.000000000000000000e+00
5.353566677410718816e-11	1.836603181802948903e+00	1.543030577950110427e+01	1.757563540774781663e-01	9.848805278970286514e-02	0.000000000000000000e+00
5.607169938205469661e-11	1.869196419141782028e+00	1.542944239532715933e+01	1.788854196071588132e-01	9.591097349721788845e-02	0.000000000000000000e+00
5.872786613189488850e-11	1.901651316992006180e+00	1.542706822127270527e+01	1.820194188842380323e-01	9.335492993980763765e-02	0.000000000000000000e+00
6.150985788580503926e-11	1.933938148011903779e+00	1.542316837384111139e+01	1.851566077307670866e-01	9.082287685475666505e-02	0.000000000000000000e+00
6.442363508721370414e-11	1.966027220002139364e+00	1.541773004560914906e+01	1.882952325582875064e-01	8.831758902401243283e-02	0.000000000000000000e+00
6.747544053110686101e-11	1.997888839829549790e+00	1.541074244759946410e+01	1.914335237788959421e-01	8.584168435178905765e-02	0.000000000000000000e+00
