pc	M	R	C	k2	j3
9.999999999999999799e-13	1.060386169938767192e-01	4.084896631370222764e+01	3.833127088881192312e-03	3.652597856465045526e-04	0.000000000000000000e+00
1.047370897959448749e-12	1.086358274777639854e-01	3.784332007554682065e+01	4.238908877441568621e-03	4.679432314576466843e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.113428662776908690e-01	3.529039750984205881e+01	4.658821615948434240e-03	6.001250833483779681e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.141609634898450298e-01	3.309789936647546682e+01	5.093161286663171194e-03	7.669028116701412249e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.170918235747919200e-01	3.119688854610363293e+01	5.542242487438835130e-03	9.736071364386795048e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.201376088384810137e-01	2.953482424373553883e+01	6.006407980090036104e-03	1.225706109015256258e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.233009265425330375e-01	2.807096637853178578e+01	6.486033853339711816e-03	1.528751346636448346e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.265847901712978674e-01	2.677325941721763769e+01	6.981528496279461836e-03	1.888304532947244433e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.299925961989413514e-01	2.561614958341979076e+01	7.493332466665974211e-03	2.309863030990844546e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.335281006284819993e-01	2.457902946522019150e+01	8.021917222922864132e-03	2.798801555568736915e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.371954142484091421e-01	2.364510385919054158e+01	8.567785880553485667e-03	3.360326576691009468e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.409989939628113198e-01	2.280055514780573489e+01	9.131472754441549017e-03	3.999395351178551723e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.449436413679275615e-01	2.203391713461070012e+01	9.713543535068350568e-03	4.720693055862538318e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.490345033108951001e-01	2.133560009662009094e+01	1.031459539953245852e-02	5.528578549804611698e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.532770561441066937e-01	2.069752855789569423e+01	1.093525450672099691e-02	6.427054044643290553e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.576770637594722413e-01	2.011286189974390837e+01	1.157616977218443866e-02	7.419696491660872535e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.622405846817286390e-01	1.957576722866352270e+01	1.223801399554849505e-02	8.509649563501506947e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.669739713216185917e-01	1.908124173884908004e+01	1.292148351927094319e-02	9.699579470433353570e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.718838690390559476e-01	1.862497117213715825e+01	1.362729779973887757e-02	1.099166927046386910e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.769772129696200735e-01	1.820321634258910137e+01	1.435619854481822236e-02	1.238756059213221364e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.822612271417322904e-01	1.781272091072788299e+01	1.510894922054048170e-02	1.388836818150859451e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.877434188862384390e-01	1.745063656420865783e+01	1.588633379769101642e-02	1.549465615434646344e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.934315750146703150e-01	1.711446128014980772e+01	1.668915583483299853e-02	1.720640876046618251e-02	0.000000000000000000e+00
2.899422853882880921e-12	1.993337546341917288e-01	1.680198845368361660e+01	1.751823711152486820e-02	1.902303122915990213e-02	0.000000000000000000e+00
3.036771118035460378e-12	2.054582694854960034e-01	1.651126506289073248e+01	1.837441459752073292e-02	2.094335278554497470e-02	0.000000000000000000e+00
3.180625692794118977e-12	2.118134692536693675e-01	1.624056436707792273e+01	1.925851035553059407e-02	2.296553264098396066e-02	0.000000000000000000e+00
3.331294787934670055e-12	2.184077893168378248e-01	1.598835005140340115e+01	2.017133814773594547e-02	2.508708918061592838e-02	0.000000000000000000e+00
3.489101213406766494e-12	2.252499432916060529e-01	1.575324281549258565e+01	2.111372974060015881e-02	2.730496157802715998e-02	0.000000000000000000e+00
3.654383070957261569e-12	2.323489235026417188e-01	1.553400082429906348e+01	2.208653439091559992e-02	2.961553696378522657e-02	0.000000000000000000e+00
3.827494478516314936e-12	2.397139925223835955e-01	1.532950311876775729e+01	2.309061723563363491e-02	3.201464812538130228e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.473546723732740482e-01	1.513873525153964827e+01	2.412685750910174842e-02	3.449761012333084353e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.552807312814229790e-01	1.496077681359544798e+01	2.519614657718187781e-02	3.705923739754400648e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.635021674338829945e-01	1.479479057836511480e+01	2.629938572677735856e-02	3.969383287883095079e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.720291895134309135e-01	1.464001301227773055e+01	2.743748371891861423e-02	4.239526787480989850e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.808721938620244440e-01	1.449574595887092876e+01	2.861135409554836986e-02	4.515694972647247424e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.900417379452629452e-01	1.436134932580420731e+01	2.982191223033648503e-02	4.797189643447419272e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.995484361772350890e-01	1.423623556256320910e+01	3.107006244874452316e-02	5.083270208592906292e-02	0.000000000000000000e+00
5.542664520663095602e-12	3.094024402159745168e-01	1.411986908817668152e+01	3.235663124279420516e-02	5.373144106879609860e-02	0.000000000000000000e+00
5.805225516094907684e-12	3.196137781751451357e-01	1.401175487274192655e+01	3.368241302463571840e-02	5.665985758320820492e-02	0.000000000000000000e+00
6.080224261649427052e-12	3.301926295778546128e-01	1.391143120377783404e+01	3.504820638392373844e-02	5.960946278929666470e-02	0.000000000000000000e+00
6.368249944718585906e-12	3.411493030971606277e-01	1.381846704155517536e+01	3.645481145767559550e-02	6.257159406408170643e-02	0.000000000000000000e+00
