pc	M	R	C	k2	j3
9.999999999999999799e-13	1.152067654244985639e-01	4.005590120821240625e+14	4.246994623461453778e-16	-1.900225468326675075e-61	0.000000000000000000e+00
1.047370897959448749e-12	1.177986395253881186e-01	9.915487593571536896e+18	1.754269991072683087e-20	2.525541268551372262e-80	0.000000000000000000e+00
1.096985797892381920e-12	1.203845052994940434e-01	4.545136984852113818e+19	3.911054344951005463e-21	6.239418764783055894e-83	0.000000000000000000e+00
1.148951000187311009e-12	1.229905564466043377e-01	7.670457882563697705e+20	2.367667494505025322e-22	8.380145892764094845e-88	0.000000000000000000e+00
1.203377840777590522e-12	1.256460751137918053e-01	5.533590759848640346e+02	3.352834559547928240e-04	5.547684355102155439e-10	0.000000000000000000e+00
1.260382929679727463e-12	1.283776610338063229e-01	2.550741730642004370e+02	7.431786187122800232e-04	2.552022817121602994e-08	0.000000000000000000e+00
1.320088400831416649e-12	1.312086088254521832e-01	1.661130794089064864e+02	1.166349577968957317e-03	2.149481973559043715e-07	0.000000000000000000e+00
1.382622173764653478e-12	1.341585154520404943e-01	1.232542802322452928e+02	1.607261230555621055e-03	9.476436781225025455e-07	0.000000000000000000e+00
1.448118227674535917e-12	1.372425727502494530e-01	9.800805437742350534e+01	2.067746612275895429e-03	2.962369846474965143e-06	0.000000000000000000e+00
1.516716888470924089e-12	1.404699056494800036e-01	8.138046355713662194e+01	2.548785961504626812e-03	7.469049927885740165e-06	0.000000000000000000e+00
1.588565129428052692e-12	1.438461166756002108e-01	6.962156538600495992e+01	3.050876257827228426e-03	1.623832801516056156e-05	0.000000000000000000e+00
1.663816886076127415e-12	1.473761682853117760e-01	6.088205992284228074e+01	3.574441203528201921e-03	3.166762753354085137e-05	0.000000000000000000e+00
1.742633386009647278e-12	1.510644715184313036e-01	5.414425142341724495e+01	4.119838739436136252e-03	5.681751781114791115e-05	0.000000000000000000e+00
1.825183494319046040e-12	1.549148196750246564e-01	4.880178824972993823e+01	4.687350880351999483e-03	9.541309533842351931e-05	0.000000000000000000e+00
1.911644075385703708e-12	1.589302939904060630e-01	4.447087256403705169e+01	5.277172261117831463e-03	1.518094094558671166e-04	0.000000000000000000e+00
2.002200371815584363e-12	1.631131506938759690e-01	4.089670562595082970e+01	5.889397751549349004e-03	2.309180969935983885e-04	0.000000000000000000e+00
2.097046401323230665e-12	1.674649973167692540e-01	3.790329362651750245e+01	6.524050769377000465e-03	3.381057632836414269e-04	0.000000000000000000e+00
2.196385372416542332e-12	1.719876705698364094e-01	3.536472821695377888e+01	7.181203346397520629e-03	4.790933782564234049e-04	0.000000000000000000e+00
2.300430119772921506e-12	1.766836381449388427e-01	3.318848569779702729e+01	7.861024163638921300e-03	6.598530505263883704e-04	0.000000000000000000e+00
2.409403560239526876e-12	1.815561345506728486e-01	3.130510469690073450e+01	8.563789865102082455e-03	8.865044367086912175e-04	0.000000000000000000e+00
2.523539170434765862e-12	1.866092981426513697e-01	2.966146503781036614e+01	9.289897379556832230e-03	1.165227247803569564e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.918483084069485534e-01	2.821628745473716648e+01	1.003987575035240713e-02	1.502178414848153072e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.972794987464920879e-01	2.693704713525660921e+01	1.081439440959133455e-02	1.903438274174080493e-03	0.000000000000000000e+00
2.899422853882880921e-12	2.029099190180927159e-01	2.579789740726593905e+01	1.161419734715727486e-02	2.374911361421255720e-03	0.000000000000000000e+00
3.036771118035460378e-12	2.087466037953531195e-01	2.477816094703040406e+01	1.244000583038698537e-02	2.922196737670389784e-03	0.000000000000000000e+00
3.180625692794118977e-12	2.147963975086091548e-01	2.386110551019276471e+01	1.329249994411030832e-02	3.550474662652757830e-03	0.000000000000000000e+00
3.331294787934670055e-12	2.210658674197642226e-01	2.303303922837445583e+01	1.417231120984892984e-02	4.264402300834524429e-03	0.000000000000000000e+00
3.489101213406766494e-12	2.275612122246086222e-01	2.228264348534950656e+01	1.508001459501018618e-02	5.068015964083562482e-03	0.000000000000000000e+00
3.654383070957261569e-12	2.342881614474863483e-01	2.160047387520024742e+01	1.601611949731217288e-02	5.964630108785223296e-03	0.000000000000000000e+00
3.827494478516314936e-12	2.412518119656450466e-01	2.097858623016046664e+01	1.698105238119416993e-02	6.956739626365614736e-03	0.000000000000000000e+00
4.008806328898464320e-12	2.484566091763338036e-01	2.041023916060570187e+01	1.797515712062372831e-02	8.045956065993151857e-03	0.000000000000000000e+00
4.198707084443905621e-12	2.559070358417530056e-01	1.988962470615103939e+01	1.899878696036170350e-02	9.233059404290878611e-03	0.000000000000000000e+00
4.397603609302712498e-12	2.636078003331259190e-01	1.941170552850342190e+01	2.005232789988940778e-02	1.051803054940401300e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.715638474240160138e-01	1.897209624139677331e+01	2.113619801289011446e-02	1.190005579648566701e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.797803694783052020e-01	1.856696505625117766e+01	2.225084735222377513e-02	1.337767623271937829e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.882628175504999835e-01	1.819295210120645834e+01	2.339675816757397220e-02	1.494830695767247926e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.970168670632898911e-01	1.784710323831502166e+01	2.457443898368766658e-02	1.660924197429040905e-02	0.000000000000000000e+00
5.542664520663095602e-12	3.060481565101931811e-01	1.752682096284730662e+01	2.578438947129107692e-02	1.835670395800855295e-02	0.000000000000000000e+00
5.805225516094907684e-12	3.153622645205018671e-01	1.722981143304366469e+01	2.702709922403566736e-02	2.018633821785755650e-02	0.000000000000000000e+00
6.080224261649427052e-12	3.249647271340814214e-01	1.695403959283763839e+01	2.830305176127020581e-02	2.209318923130302453e-02	0.000000000000000000e+00
6.368249944718585906e-12	3.348610069679931467e-01	1.669769354744295597e+01	2.961272187510332124e-02	2.407173343746648458e-02	0.000000000000000000e+00
6.669919663030115058e-12	3.450564597819605339e-01	1.645915459061864539e+01	3.095657272725435560e-02	2.611595073691500707e-02	0.000000000000000000e+00
6.985879746785234820e-12	3.555562982183634868e-01	1.623697184243685498e+01	3.233505272930898428e-02	2.821932996022391560e-02	0.000000000000000000e+00
7.316807143427207274e-12	3.663655136630625253e-01	1.602984140797135382e+01	3.374858710955453561e-02	3.037507319332167360e-02	0.000000000000000000e+00
7.663410868007462274e-12	3.774886546827327938e-01	1.583659081389293810e+01	3.519755068821071170e-02	3.257557664458218816e-02	0.000000000000000000e+00
8.026433522257174683e-12	3.889300441877150960e-01	1.565615835972821834e+01	3.668229697127101813e-02	3.481353611978412615e-02	0.000000000000000000e+00
8.406652885618316356e-12	4.006938982224198531e-01	1.548757825666863219e+01	3.820317432858724022e-02	3.708106988191180176e-02	0.000000000000000000e+00
8.804883581643446547e-12	4.127842955427147298e-01	1.532997035965134280e+01	3.976052278332643103e-02	3.937024230925167956e-02	0.000000000000000000e+00
9.221978823334340144e-12	4.252051497010571612e-01	1.518253097550305775e+01	4.135467145102220826e-02	4.167303118673558460e-02	0.000000000000000000e+00
9.658832241158709141e-12	4.379601777116403083e-01	1.504452477314195669e+01	4.298593568477218629e-02	4.398139901918474148e-02	0.000000000000000000e+00
1.011637979766206976e-11	4.510528495849974173e-01	1.491527778283431616e+01	4.465461196315873016e-02	4.628730000920886628e-02	0.000000000000000000e+00
1.059560179277614774e-11	4.644861961171223297e-01	1.479417239283352714e+01	4.636095481726996287e-02	4.858273870133029276e-02	0.000000000000000000e+00
1.109752496412069864e-11	4.782628954159027779e-01	1.468064032088281401e+01	4.810518900231491174e-02	5.085983803984448631e-02	0.000000000000000000e+00
1.162322468679854125e-11	4.923853708032762122e-01	1.457415673633157027e+01	4.988752293192008636e-02	5.311087039203375715e-02	0.000000000000000000e+00
1.217382727739662020e-11	5.068557622830790477e-01	1.447423620737583860e+01	5.170814614198164516e-02	5.532834162591403898e-02	0.000000000000000000e+00
