pc	M	R	C	k2	j3
9.999999999999999799e-13	1.164353757327692696e-01	2.754267327697301937e+01	6.242364062199316256e-03	1.834549023094932422e-03	0.000000000000000000e+00
1.047370897959448749e-12	1.190739176398944305e-01	2.654930370512263949e+01	6.622679558740204517e-03	2.182005043616764162e-03	0.000000000000000000e+00
1.096985797892381920e-12	1.217111799739463429e-01	2.565835642401474104e+01	7.004415077594435164e-03	2.565781564749848066e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.243630060328436704e-01	2.484975094318349775e+01	7.389914363310266451e-03	2.988192954829413644e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.270506029918032909e-01	2.410716163147392521e+01	7.782173086662086230e-03	3.453014171395115892e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.297989029685728546e-01	2.341772418094020125e+01	8.184583249222037588e-03	3.965483570908194533e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.326317607033022372e-01	2.277226097316516373e+01	8.600260730522410121e-03	4.531558147041534965e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.355713694684929083e-01	2.216429741807278475e+01	9.032006654219151484e-03	5.157703103597820020e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.386380517182271566e-01	2.158931775975868206e+01	9.482301567353298294e-03	5.850718880248525523e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.418499009779376763e-01	2.104424813277033479e+01	9.953271669307995825e-03	6.617495380655483844e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.452223223098012550e-01	2.052706940459905027e+01	1.044664079276661980e-02	7.464699640730566681e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.487674605172767117e-01	2.003651791848040986e+01	1.096366950660246017e-02	8.398377056745042965e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.524935157488197801e-01	1.957184873074810838e+01	1.150508315050751199e-02	9.423509343919703532e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.564039348307608435e-01	1.913264798153527835e+01	1.207098829687811362e-02	1.054343665453457216e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.604969147112141059e-01	1.871865662298183253e+01	1.266083198778988374e-02	1.175938657482942032e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.647686910082145628e-01	1.832937091516446415e+01	1.327386409515437897e-02	1.307113499986919947e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.692160103650652558e-01	1.796393023093871122e+01	1.390946182064454334e-02	1.447770196542358043e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.738365210451280063e-01	1.762122949934312288e+01	1.456716533725422452e-02	1.597749431072368817e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.786290568120384725e-01	1.730001268830341132e+01	1.524670222710676655e-02	1.756847893336656308e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.835939035847032885e-01	1.699894533551194087e+01	1.594801052674350156e-02	1.924834994290883575e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.887330599089912520e-01	1.671666993473187901e+01	1.667126091890929612e-02	2.101470165486617192e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.940504992658343697e-01	1.645184741355708269e+01	1.741687867575853269e-02	2.286522933203279095e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.995524403958586213e-01	1.620318757452894332e+01	1.818556584608006094e-02	2.479790682938452437e-02	0.000000000000000000e+00
2.899422853882880921e-12	2.052473023640460081e-01	1.596948154340524617e+01	1.897828114411173259e-02	2.681103028265775443e-02	0.000000000000000000e+00
3.036771118035460378e-12	2.111442348173555306e-01	1.574965949904354368e+01	1.979603868396960162e-02	2.890275817556447330e-02	0.000000000000000000e+00
3.180625692794118977e-12	2.172522162600832862e-01	1.554279259655456613e+01	2.063979591714134795e-02	3.107072218457323023e-02	0.000000000000000000e+00
3.331294787934670055e-12	2.235799246858332923e-01	1.534806598705859315e+01	2.151044439712735887e-02	3.331207587312080137e-02	0.000000000000000000e+00
3.489101213406766494e-12	2.301356349433822113e-01	1.516475713970715589e+01	2.240880239287709741e-02	3.562335858990499371e-02	0.000000000000000000e+00
3.654383070957261569e-12	2.369271117828436746e-01	1.499221842656868553e+01	2.333560658139634605e-02	3.800053143389339055e-02	0.000000000000000000e+00
3.827494478516314936e-12	2.439614969173211356e-01	1.482986290942619867e+01	2.429150306824030131e-02	4.043887824903318745e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.512451886236092835e-01	1.467715261305751717e+01	2.527703784648967916e-02	4.293306925906764659e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.587837135489883811e-01	1.453358879863605857e+01	2.629264679248802250e-02	4.547709071103726852e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.665815538984167010e-01	1.439870457584653174e+01	2.733864017565298260e-02	4.806423521624665629e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.746423023643599914e-01	1.427205580896415071e+01	2.841522707179780852e-02	5.068722972218009382e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.829695624093551132e-01	1.415320817872849979e+01	2.952263134914891521e-02	5.333859909030675556e-02	0.000000000000000000e+00
