pc	M	R	C	k2	j3
9.999999999999999799e-13	1.059072714977703222e-01	4.231380582189904516e+01	3.695846503073436234e-03	3.070977610915102268e-04	0.000000000000000000e+00
1.047370897959448749e-12	1.085023838931310075e-01	3.906248956968858010e+01	4.101564980719243914e-03	3.997860260973118223e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.112067046702909512e-01	3.631913601249944890e+01	4.521324710363787934e-03	5.198378976175157878e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.140214066260182985e-01	3.397630349132549554e+01	4.955420374190340482e-03	6.722959900725772537e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.169482438038536992e-01	3.195465954734214264e+01	5.404179238154171137e-03	8.624624888188387427e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.199894852031610226e-01	3.019437651165577208e+01	5.867962893276974963e-03	1.095810475163735845e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.231478451427402560e-01	2.864951636468885354e+01	6.347164541314028949e-03	1.377914912112440313e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.264264387112433441e-01	2.728424156650829957e+01	6.842207703303654354e-03	1.714396765635325731e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.298287509267037343e-01	2.607019864289701161e+01	7.353545323348159406e-03	2.110830600056678562e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.333586151020045851e-01	2.498467276704708695e+01	7.881659089550300396e-03	2.572703476596745979e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.370201981604581565e-01	2.400926112531526968e+01	8.427058936396444183e-03	3.105338931968071748e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.408179907717187762e-01	2.312890282551242649e+01	8.990282670944713464e-03	3.713843389507873096e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.447567993854707302e-01	2.233115891204608516e+01	9.571895423036345940e-03	4.403050345496543200e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.488417327481214580e-01	2.160567143279668301e+01	1.017248797115119507e-02	5.177482409125192669e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.530781915838552165e-01	2.094374991042753109e+01	1.079267538114948334e-02	6.041297176451414404e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.574718742609756417e-01	2.033805007997512959e+01	1.143309781841203576e-02	6.998253300940571360e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.620287755894175008e-01	1.978232502679976790e+01	1.209442016446075560e-02	8.051632312377628511e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.667551851665228513e-01	1.927122935295333406e+01	1.277733148343879535e-02	9.204328902650688038e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.716576872840775703e-01	1.880016349264633035e+01	1.348254461327303561e-02	1.045864903903345570e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.767431575237228825e-01	1.836514925666464038e+01	1.421079525049920821e-02	1.181643982231523476e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.820187624072482080e-01	1.796272900463302591e+01	1.496284145616614929e-02	1.327897285622079218e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.874919553682619644e-01	1.758988389403197417e+01	1.573946262388185163e-02	1.484698171426119574e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.931704510115942741e-01	1.724396807166326084e+01	1.654145541798410571e-02	1.652060552798460119e-02	0.000000000000000000e+00
2.899422853882880921e-12	1.990620608901418342e-01	1.692266106323700114e+01	1.736961029869000736e-02	1.829935994091487148e-02	0.000000000000000000e+00
3.036771118035460378e-12	2.051747944483759967e-01	1.662391262032931749e+01	1.822472545244994274e-02	2.018215293739190896e-02	0.000000000000000000e+00
3.180625692794118977e-12	2.115169532903845295e-01	1.634589984989634459e+01	1.910761946473806677e-02	2.216727532361278258e-02	0.000000000000000000e+00
3.331294787934670055e-12	2.180971273785158315e-01	1.608699683595175856e+01	2.001913019512477354e-02	2.425246593510664919e-02	0.000000000000000000e+00
3.489101213406766494e-12	2.249241887891791636e-01	1.584574891007208919e+01	2.096011340121011965e-02	2.643486471648212252e-02	0.000000000000000000e+00
3.654383070957261569e-12	2.320072835197076744e-01	1.562085071710939310e+01	2.193144121775522648e-02	2.871105760734187981e-02	0.000000000000000000e+00
3.827494478516314936e-12	2.393558207264822324e-01	1.541112747496064550e+01	2.293400038719130979e-02	3.107708911081034572e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.469794593961414930e-01	1.521551886830211409e+01	2.396869029266372048e-02	3.352844209440942330e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.548880923290137157e-01	1.503306516447486274e+01	2.503642077439178007e-02	3.606008882520863462e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.630918263035584848e-01	1.486289520148167753e+01	2.613810962831960086e-02	3.866649837101106962e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.716008137714481241e-01	1.470421853295438375e+01	2.727466049378943214e-02	4.134159519406294808e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.804248981493444037e-01	1.455632051397143911e+01	2.844691637915803747e-02	4.407872283002617353e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.895740251585002811e-01	1.441854494056104841e+01	2.965571522255307582e-02	4.687077399114247811e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.990583365890978618e-01	1.429028638165816467e+01	3.090190237168700255e-02	4.971028571001812751e-02	0.000000000000000000e+00
5.542664520663095602e-12	3.088881490839328059e-01	1.417098536554521537e+01	3.218632793293286359e-02	5.258947478377774820e-02	0.000000000000000000e+00
5.805225516094907684e-12	3.190739300917583843e-01	1.406012398795533613e+01	3.350984401118940054e-02	5.550028553749402488e-02	0.000000000000000000e+00
6.080224261649427052e-12	3.296262700135338397e-01	1.395722193054510640e+01	3.487330169438025707e-02	5.843439260331324131e-02	0.000000000000000000e+00
6.368249944718585906e-12	3.405558507026708592e-01	1.386183284033291585e+01	3.627754783569202279e-02	6.138332134243211502e-02	0.000000000000000000e+00
6.669919663030115058e-12	3.518734100075930904e-01	1.377354104410791180e+01	3.772342159472456130e-02	6.433836133457598860e-02	0.000000000000000000e+00
6.985879746785234820e-12	3.635897022920622224e-01	1.369195855805738304e+01	3.921175076572011586e-02	6.729071199818911775e-02	0.000000000000000000e+00
7.316807143427207274e-12	3.757154538750068773e-01	1.361672237497966442e+01	4.074334776541159442e-02	7.023147153688864830e-02	0.000000000000000000e+00
7.663410868007462274e-12	3.882613014264933438e-01	1.354749205403705048e+01	4.231900382544243056e-02	7.315168816027517451e-02	0.000000000000000000e+00
8.026433522257174683e-12	4.012373025374822433e-01	1.348394949714344548e+01	4.393943010708850627e-02	7.604231240302815331e-02	0.000000000000000000e+00
8.406652885618316356e-12	4.146528489299831643e-01	1.342579618038402245e+01	4.560524979572092019e-02	7.889419659915065941e-02	0.000000000000000000e+00
8.804883581643446547e-12	4.285172006214966189e-01	1.337274860781756658e+01	4.731706668820212514e-02	8.169841761462118268e-02	0.000000000000000000e+00
9.221978823334340144e-12	4.428394796310784476e-01	1.332453726857354148e+01	4.907546585838386266e-02	8.444620303595312683e-02	0.000000000000000000e+00
9.658832241158709141e-12	4.576286242570363205e-01	1.328090577077277779e+01	5.088100970350847851e-02	8.712892510095637810e-02	0.000000000000000000e+00
1.011637979766206976e-11	4.728933396021861579e-01	1.324160994659122537e+01	5.273423393714198742e-02	8.973835691526500791e-02	0.000000000000000000e+00
1.059560179277614774e-11	4.886420449872321270e-01	1.320641699490049348e+01	5.463564341204581870e-02	9.226650645374773196e-02	0.000000000000000000e+00
1.109752496412069864e-11	5.048828177062322231e-01	1.317510462856547093e+01	5.658570787219558557e-02	9.470573937419285437e-02	0.000000000000000000e+00
1.162322468679854125e-11	5.216233338004799824e-01	1.314746026653075184e+01	5.858485758378923630e-02	9.704875643672977725e-02	0.000000000000000000e+00
1.217382727739662020e-11	5.388708048591693833e-01	1.312328025596408843e+01	6.063347880974503251e-02	9.928867526375556585e-02	0.000000000000000000e+00
1.275051240713012859e-11	5.566319123672776037e-01	1.310236913567196382e+01	6.273190926527542899e-02	1.014190176685301759e-01	0.000000000000000000e+00
1.335451562929897339e-11	5.749127380475976823e-01	1.308453893980474447e+01	6.488043338992251219e-02	1.034337729029141811e-01	0.000000000000000000e+00
1.398713102647241439e-11	5.937184478652061115e-01	1.306960872970978471e+01	6.707924909359552768e-02	1.053273222375165630e-01	0.000000000000000000e+00
1.464971398307287854e-11	6.130528352514579282e-01	1.305740413957600232e+01	6.932841863672863092e-02	1.070945075258473156e-01	0.000000000000000000e+00
1.534368408930013065e-11	6.329188705393821168e-01	1.304775636487728718e+01	7.162793663055695703e-02	1.087307480180742802e-01	0.000000000000000000e+00
1.607052818261638620e-11	6.533187614031172874e-01	1.304050187685240836e+01	7.397773991245644443e-02	1.102319542985967654e-01	0.000000000000000000e+00
1.683180353330955093e-11	6.742538892272451623e-01	1.303548216420447226e+01	7.637770341295735399e-02	1.115946576871850587e-01	0.000000000000000000e+00
1.762914118095944293e-11	6.957247463787507025e-01	1.303254347406542024e+01	7.882763624664813895e-02	1.128159522836192225e-01	0.000000000000000000e+00
1.846424942895546448e-11	7.177308762601573022e-01	1.303153661852850220e+01	8.132727783788712417e-02	1.138935910904391446e-01	0.000000000000000000e+00
1.933891750455232057e-11	7.402708080826184700e-01	1.303231665156341812e+01	8.387629434325723221e-02	1.148256279020570952e-01	0.000000000000000000e+00
2.025501939230666486e-11	7.633419960314931085e-01	1.303474267294948419e+01	8.647427494690208827e-02	1.156110978781188930e-01	0.000000000000000000e+00
2.121451784910627571e-11	7.869407595928189503e-01	1.303867759387259007e+01	8.912072862371003823e-02	1.162493486518052094e-01	0.000000000000000000e+00
2.221946860939528424e-11	8.110622240561011775e-01	1.304398790811786313e+01	9.181508100406085560e-02	1.167403424964257863e-01	0.000000000000000000e+00
2.327202478960412005e-11	8.357002635282451131e-01	1.305054351008698532e+01	9.455667129836277385e-02	1.170845878431753251e-01	0.000000000000000000e+00
2.437444150122221807e-11	8.608474269785619803e-01	1.305821749532307763e+01	9.734474748774306352e-02	1.172831494850083422e-01	0.000000000000000000e+00
2.552908068239516723e-11	8.864946149935178932e-01	1.306688593068781579e+01	1.001784336561350880e-01	1.173375870985711583e-01	0.000000000000000000e+00
2.673841615839943880e-11	9.126311630643526573e-01	1.307642780041635255e+01	1.030567420833990028e-01	1.172499811429476013e-01	0.000000000000000000e+00
2.800503894183625342e-11	9.392450501868420121e-01	1.308672506593976870e+01	1.059785983825559386e-01	1.170229072702305140e-01	0.000000000000000000e+00
2.933166278390048099e-11	9.663228764077370636e-01	1.309766262841459294e+01	1.089428409628390992e-01	1.166594376495056484e-01	0.000000000000000000e+00
3.072112998861759207e-11	9.938498389725723969e-01	1.310912829020645987e+01	1.119482201266002730e-01	1.161630280425627326e-01	0.000000000000000000e+00
3.217641750250735458e-11	1.021809717439183363e+00	1.312101275017458768e+01	1.149933976504538408e-01	1.155375932795777438e-01	0.000000000000000000e+00
3.370064329271925032e-11	1.050184861008814918e+00	1.313320951303593809e+01	1.180769470961481882e-01	1.147874251359414094e-01	0.000000000000000000e+00
3.529707302730657668e-11	1.078956185060786055e+00	1.314561499152129542e+01	1.211973531893263262e-01	1.139171511087527233e-01	0.000000000000000000e+00
3.696912707195032437e-11	1.108103173695335952e+00	1.315812832457573300e+01	1.243530140866992290e-01	1.129317412481524313e-01	0.000000000000000000e+00
3.872038781812557004e-11	1.137603891617058771e+00	1.317065158468120423e+01	1.275422408308941324e-01	1.118364349931887658e-01	0.000000000000000000e+00
4.055460735840827506e-11	1.167435003828397155e+00	1.318308956141441257e+01	1.307632612357896296e-01	1.106367283964576065e-01	0.000000000000000000e+00
4.247571552536894126e-11	1.197571798613092486e+00	1.319534994671954209e+01	1.340142199944581169e-01	1.093383433325419846e-01	0.000000000000000000e+00
4.448782831127576069e-11	1.227988226441828479e+00	1.320734333044709707e+01	1.372931818993205488e-01	1.079471681745437506e-01	0.000000000000000000e+00
4.659525668664686662e-11	1.258656908038517042e+00	1.321898301451072655e+01	1.405981331604390927e-01	1.064692307385516068e-01	0.000000000000000000e+00
4.880251583654433574e-11	1.289549172185444625e+00	1.323018529902958740e+01	1.439269808036865439e-01	1.049107556102056721e-01	0.000000000000000000e+00
5.111433483440165318e-11	1.320635108579492956e+00	1.324086923112493253e+01	1.472775589170026433e-01	1.032779041928503783e-01	0.000000000000000000e+00
5.353566677410718816e-11	1.351883640815117804e+00	1.325095677127335492e+01	1.506476323625298985e-01	1.015770370346519014e-01	0.000000000000000000e+00
5.607169938205469661e-11	1.383262608894777035e+00	1.326037282139597195e+01	1.540349025106050873e-01	9.981439540623618378e-02	0.000000000000000000e+00
5.872786613189488850e-11	1.414738853820708853e+00	1.326904528572775988e+01	1.574370123780892139e-01	9.799629131329087861e-02	0.000000000000000000e+00
6.150985788580503926e-11	1.446278314103791818e+00	1.327690517436948348e+01	1.608515520992371550e-01	9.612896652972513500e-02	0.000000000000000000e+00
6.442363508721370414e-11	1.477846130408163372e+00	1.328388657771202652e+01	1.642760663676516297e-01	9.421860461511499807e-02	0.000000000000000000e+00
6.747544053110686101e-11	1.509406771697865413e+00	1.328992669134900595e+01	1.677080633103714136e-01	9.227119950910929458e-02	0.000000000000000000e+00
7.067181273927477085e-11	1.540924103801101008e+00	1.329496623530697086e+01	1.711450115121460891e-01	9.029271795515403376e-02	0.000000000000000000e+00
7.401959996915652408e-11	1.572361580873563147e+00	1.329894904153071167e+01	1.745843606631715117e-01	8.828899622643335277e-02	0.000000000000000000e+00
7.752597488629464062e-11	1.603682555291691569e+00	1.330182243152782284e+01	1.780235651070235237e-01	8.626560146921120886e-02	0.000000000000000000e+00
8.119844993184008328e-11	1.634850297067203417e+00	1.330353698371221505e+01	1.814600826268872313e-01	8.422793268367988195e-02	0.000000000000000000e+00
8.504489341802668113e-11	1.665827854808725084e+00	1.330404657756522013e+01	1.848913519698965890e-01	8.218120491671777883e-02	0.000000000000000000e+00
8.907354638610458163e-11	1.696578166156571310e+00	1.330330824154275682e+01	1.883148005964124516e-01	8.013036541102437627e-02	0.000000000000000000e+00
9.329304026284695888e-11	1.727064236210988035e+00	1.330128226886572840e+01	1.917278561792596092e-01	7.808020292624943959e-02	0.000000000000000000e+00
9.771241535346501225e-11	1.757249248434197719e+00	1.329793230098897716e+01	1.951279507701692839e-01	7.603519407298016397e-02	0.000000000000000000e+00
1.023411402105452712e-10	1.787096699393950772e+00	1.329322536541283029e+01	1.985125280689685190e-01	7.399959855671912889e-02	0.000000000000000000e+00
1.071891319205126445e-10	1.816570594649759895e+00	1.328713190169766278e+01	2.018790575510023555e-01	7.197740947786865351e-02	0.000000000000000000e+00
1.122667773510811312e-10	1.845635547605972704e+00	1.327962574001038476e+01	2.052250385041455294e-01	6.997236783389494674e-02	0.000000000000000000e+00
1.175849554052158201e-10	1.874256932659827291e+00	1.327068420665670878e+01	2.085480081643917016e-01	6.798793857057230938e-02	0.000000000000000000e+00
1.231550603292826197e-10	1.902401033324256030e+00	1.326028817635178925e+01	2.118455500581402362e-01	6.602732491433949136e-02	0.000000000000000000e+00
1.289890261253308184e-10	1.930035500441321439e+00	1.324842184178928584e+01	2.151153415392317025e-01	6.409345195305049536e-02	0.000000000000000000e+00
1.350993521198024986e-10	1.957129291583275421e+00	1.323507253902300285e+01	2.183551432634856238e-01	6.218894795021480404e-02	0.000000000000000000e+00
1.414991297434578731e-10	1.983652359546536958e+00	1.322023071798629523e+01	2.215627586011634231e-01	6.031619784925842248e-02	0.000000000000000000e+00
1.482020705798860072e-10	2.009575720496198148e+00	1.320388987442415285e+01	2.247360361148426355e-01	5.847734489455277268e-02	0.000000000000000000e+00
1.552225357427047968e-10	2.034871586047472647e+00	1.318604649860187195e+01	2.278728791845623658e-01	5.667429414608150112e-02	0.000000000000000000e+00
1.625755666443793407e-10	2.059513471047552446e+00	1.316670012515099408e+01	2.309712514709846287e-01	5.490871705854677431e-02	0.000000000000000000e+00
1.702769172225897821e-10	2.083476299518693953e+00	1.314585329552316395e+01	2.340291839221751713e-01	5.318205125668104549e-02	0.000000000000000000e+00
1.783430876931905687e-10	2.106736517166888145e+00	1.312351151079657541e+01	2.370447830571643377e-01	5.149553119681869046e-02	0.000000000000000000e+00
1.867913599020784805e-10	2.129272170100076522e+00	1.309968327925939136e+01	2.400162341252417564e-01	4.985017362731598151e-02	0.000000000000000000e+00
1.956398343517064725e-10	2.151062973535360356e+00	1.307438008863894119e+01	2.429418048005194120e-01	4.824681132300583791e-02	0.000000000000000000e+00
2.049074689815846066e-10	2.172090615138565273e+00	1.304761602865249870e+01	2.458198824146949624e-01	4.668605969313842363e-02	0.000000000000000000e+00
2.146141197858401440e-10	2.192338964423140801e+00	1.301940726604347809e+01	2.486490046597114312e-01	4.516833825982571882e-02	0.000000000000000000e+00
2.247805833548729991e-10	2.211793493033709535e+00	1.298977239011209761e+01	2.514277852128801727e-01	4.369390097383701183e-02	0.000000000000000000e+00
2.354286414322420067e-10	2.230441246203709760e+00	1.295873234083685688e+01	2.541549092542121357e-01	4.226285763734857759e-02	0.000000000000000000e+00
2.465811075822603842e-10	2.248270872791295893e+00	1.292631032726005458e+01	2.568291361989473165e-01	4.087520871867398459e-02	0.000000000000000000e+00
2.582618760682674929e-10	2.265272668439680892e+00	1.289253182164545564e+01	2.594493028527661838e-01	3.953078208860282688e-02	0.000000000000000000e+00
2.704959730463131364e-10	2.281438603665407960e+00	1.285742446422595187e+01	2.620143270218451836e-01	3.822934567401109485e-02	0.000000000000000000e+00
2.833096101839318258e-10	2.296762358686738725e+00	1.282101804252336841e+01	2.645232108463832499e-01	3.697052050210136026e-02	0.000000000000000000e+00
2.967302408188872501e-10	2.311239334624641817e+00	1.278334442102466184e+01	2.669750428376077567e-01	3.575385695022478133e-02	0.000000000000000000e+00
3.107866187782014063e-10	2.324866681487963938e+00	1.274443746501541597e+01	2.693690024164308028e-01	3.457880857097054422e-02	0.000000000000000000e+00
3.255088599835056406e-10	2.337643529135572606e+00	1.270433209972363109e+01	2.717044070209000961e-01	3.344473258071638255e-02	0.000000000000000000e+00
3.409285069746807543e-10	2.349570780081207566e+00	1.266306411063309767e+01	2.739806943327973698e-01	3.235090234243281210e-02	0.000000000000000000e+00
3.570785964900469852e-10	2.360650742733769736e+00	1.262067074055547522e+01	2.761973685552914781e-01	3.129653901695344381e-02	0.000000000000000000e+00
3.739937302478801677e-10	2.370887054887809597e+00	1.257719076680050740e+01	2.783539908012218067e-01	3.028082153654184858e-02	0.000000000000000000e+00
3.917101490809260641e-10	2.380284702477914571e+00	1.253266426143232337e+01	2.804501877364823925e-01	2.930289796920580378e-02	0.000000000000000000e+00
4.102658105827190344e-10	2.388849996679357268e+00	1.248713262147946423e+01	2.824856498252859005e-01	2.836188057107818031e-02	0.000000000000000000e+00
4.297004704320835313e-10	2.396590560702140493e+00	1.244063844574210798e+01	2.844601343647119585e-01	2.745685543845276591e-02	0.000000000000000000e+00
4.500557675700488183e-10	2.403515283932128099e+00	1.239322552961723645e+01	2.863734622791864193e-01	2.658690066308863620e-02	0.000000000000000000e+00
4.713753134116729086e-10	2.409634336030747725e+00	1.234493867242460929e+01	2.882255265756877294e-01	2.575106683809488817e-02	0.000000000000000000e+00
4.937047852839003559e-10	2.414959187373958205e+00	1.229582266550184499e+01	2.900163214252285404e-01	2.494837698633932746e-02	0.000000000000000000e+00
5.170920242896755486e-10	2.419502456164173143e+00	1.224592186672020055e+01	2.917459380997169949e-01	2.417784258145255424e-02	0.000000000000000000e+00
5.415871378079465267e-10	2.423277662274153865e+00	1.219528141244141217e+01	2.934145105668161668e-01	2.343847299547470106e-02	0.000000000000000000e+00
5.672426068491988835e-10	2.426299170380534331e+00	1.214394707429559794e+01	2.950222147321916455e-01	2.272929045003679871e-02	0.000000000000000000e+00
5.941133984965039838e-10	2.428582159243054761e+00	1.209196526694353580e+01	2.965692673482980823e-01	2.204932792085310955e-02	0.000000000000000000e+00
6.222570836730231313e-10	2.430142580900805260e+00	1.203938286270677871e+01	2.980559285027948313e-01	2.139762758889505664e-02	0.000000000000000000e+00
6.517339604882420571e-10	2.430997125710535833e+00	1.198624724949143605e+01	2.994824990097840756e-01	2.077325004820147758e-02	0.000000000000000000e+00
6.826071834272379248e-10	2.431163194377154557e+00	1.193260619670382461e+01	3.008493234423123552e-01	2.017520345250418956e-02	0.000000000000000000e+00
7.149428986597561750e-10	2.430658818272189770e+00	1.187850745834682975e+01	3.021567936351189920e-01	1.960277285597575650e-02	0.000000000000000000e+00
7.488103857590030225e-10	2.429502583500296797e+00	1.182399735955094755e+01	3.034053791162318880e-01	1.905485920948455855e-02	0.000000000000000000e+00
7.842822061337681836e-10	2.427713482270102752e+00	1.176912197319744280e+01	3.045955830854609192e-01	1.853063475064012366e-02	0.000000000000000000e+00
8.214343584919422200e-10	2.425310865969455776e+00	1.171392742147594923e+01	3.057279320189156269e-01	1.802924118075233811e-02	0.000000000000000000e+00
8.603464416684491388e-10	2.422314421020564268e+00	1.165846000069949895e+01	3.068029723021951649e-01	1.754984194509119633e-02	0.000000000000000000e+00
9.011018251665036851e-10	2.418744115883151302e+00	1.160276584314211590e+01	3.078212752823151765e-01	1.709162594537184249e-02	0.000000000000000000e+00
9.437878277775391497e-10	2.414620173107878465e+00	1.154689110873632707e+01	3.087834316447907734e-01	1.665381234736757615e-02	0.000000000000000000e+00
9.884959046625586031e-10	2.409963037137397013e+00	1.149088179490714445e+01	3.096900552291079745e-01	1.623563888295146557e-02	0.000000000000000000e+00
1.035321843295661502e-09	2.404793322550060175e+00	1.143478353005030890e+01	3.105417849182799950e-01	1.583637450009444878e-02	0.000000000000000000e+00
1.084365968689608688e-09	2.399131635723129818e+00	1.137864030162346118e+01	3.113392993372025019e-01	1.545530250372083997e-02	0.000000000000000000e+00
1.135733358343102889e-09	2.392998569072724457e+00	1.132249529738969507e+01	3.120832966751492243e-01	1.509172061713696944e-02	0.000000000000000000e+00
1.189534067370320724e-09	2.386414711055463211e+00	1.126639138554305219e+01	3.127744855172522875e-01	1.474496908120648958e-02	0.000000000000000000e+00
1.245883364295008068e-09	2.379400622302901169e+00	1.121037107631826579e+01	3.134135851610174717e-01	1.441440554593352921e-02	0.000000000000000000e+00
1.304901978014401580e-09	2.371976809350203386e+00	1.115447649575752997e+01	3.140013252158709300e-01	1.409941197704356851e-02	0.000000000000000000e+00
1.366716356462010101e-09	2.364163693873100769e+00	1.109874933390879903e+01	3.145384452435905920e-01	1.379940109544143360e-02	0.000000000000000000e+00
1.431458937523481393e-09	2.355981597602702760e+00	1.104323074510313596e+01	3.150256977806021874e-01	1.351380967634621851e-02	0.000000000000000000e+00
1.499268432786047049e-09	2.347450668280602226e+00	1.098796112946990711e+01	3.154638468730600054e-01	1.324208813629254231e-02	0.000000000000000000e+00
1.570290124729377524e-09	2.338590735950859756e+00	1.093297927472959330e+01	3.158536755901050208e-01	1.298371329094786739e-02	0.000000000000000000e+00
1.644676177994662829e-09	2.329421360978561673e+00	1.087832322649716055e+01	3.161959695970400497e-01	1.273818507076804850e-02	0.000000000000000000e+00
1.722585965398783835e-09	2.319961901379608893e+00	1.082403039602977479e+01	3.164915248517460311e-01	1.250502160472525583e-02	0.000000000000000000e+00
1.804186409392068039e-09	2.310231454297382303e+00	1.077013761597133445e+01	3.167411396862790385e-01	1.228375866653125953e-02	0.000000000000000000e+00
1.889652339691211477e-09	2.300248853765600732e+00	1.071668105450280706e+01	3.169456184860945935e-01	1.207396639826158191e-02	0.000000000000000000e+00
1.979166867853557524e-09	2.290032657947506767e+00	1.066369619393601376e+01	3.171057720195850083e-01	1.187522287649214574e-02	0.000000000000000000e+00
2.072921779595369695e-09	2.279601140866512665e+00	1.061121779205531013e+01	3.172224188189179950e-01	1.168713248538538751e-02	0.000000000000000000e+00
2.171117945694509622e-09	2.268972186171473115e+00	1.055927950072302224e+01	3.172963831009001368e-01	1.150931312207881078e-02	0.000000000000000000e+00
2.273965752357932151e-09	2.258163278342214308e+00	1.050791378525470066e+01	3.173284971392608678e-01	1.134139506226737766e-02	0.000000000000000000e+00
2.381685551976160644e-09	2.247191562068089343e+00	1.045715237661967123e+01	3.173195970392321263e-01	1.118303638454283024e-02	0.000000000000000000e+00
2.494508135230316413e-09	2.236073836066184928e+00	1.040702625776408041e+01	3.172705231740187148e-01	1.103390443907619096e-02	0.000000000000000000e+00
2.612675225563326382e-09	2.224826560471278913e+00	1.035756561500630646e+01	3.171821235398079586e-01	1.089368674724570420e-02	0.000000000000000000e+00
2.736439997074666368e-09	2.213465836969586320e+00	1.030879986885023669e+01	3.170552507579961210e-01	1.076210502212053555e-02	0.000000000000000000e+00
2.866067616948244470e-09	2.202007407683921780e+00	1.026075759499406104e+01	3.168907649831918527e-01	1.063880627198661270e-02	0.000000000000000000e+00
3.001835813575592210e-09	2.190466644970873400e+00	1.021346647854450040e+01	3.166895344425602055e-01	1.052358947598215980e-02	0.000000000000000000e+00
3.144035471591500167e-09	2.178858492434903482e+00	1.016695315218651352e+01	3.164524324076189443e-01	1.041617081574314381e-02	0.000000000000000000e+00
3.292971255097148186e-09	2.167197538600282414e+00	1.012124334962430616e+01	3.161803434585370720e-01	1.031630874522837527e-02	0.000000000000000000e+00
