pc	M	R	C	k2	j3
9.999999999999999799e-13	8.540023405330025852e-02	1.780820977694787643e+01	7.081235420764385967e-03	1.960126135997489194e-02	0.000000000000000000e+00
1.047370897959448749e-12	8.612176865067870668e-02	1.747257095826879336e+01	7.278239832352959710e-03	1.989881772434185653e-02	0.000000000000000000e+00
1.096985797892381920e-12	8.696101096885934523e-02	1.713407552427492675e+01	7.494352874759859298e-03	2.025732975499985530e-02	0.000000000000000000e+00
1.148951000187311009e-12	8.792610782650756018e-02	1.679483728872657622e+01	7.730583639267448945e-03	2.068259388618917671e-02	0.000000000000000000e+00
1.203377840777590522e-12	8.902477736255265395e-02	1.645692995221622112e+01	7.987894323012027439e-03	2.118051159806530123e-02	0.000000000000000000e+00
1.260382929679727463e-12	9.026431025077079340e-02	1.612233857673890469e+01	8.267196600063765263e-03	2.175708468850131444e-02	0.000000000000000000e+00
1.320088400831416649e-12	9.165157586903328879e-02	1.579291734726877650e+01	8.569348580099354906e-03	2.241840771609061173e-02	0.000000000000000000e+00
1.382622173764653478e-12	9.319303503885519036e-02	1.547035531932754893e+01	8.895152583522997203e-03	2.317063289640768423e-02	0.000000000000000000e+00
1.448118227674535917e-12	9.489475853565898511e-02	1.515615121827163136e+01	9.245353693803816039e-03	2.401990964242339474e-02	0.000000000000000000e+00
1.516716888470924089e-12	9.676244993308995290e-02	1.485159742946278172e+01	9.620639076215631302e-03	2.497234749375824500e-02	0.000000000000000000e+00
1.588565129428052692e-12	9.880147024493698971e-02	1.455777285803465126e+01	1.002163782125363792e-02	2.603390325518280604e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.010168619114251432e-01	1.427554366981613576e+01	1.044892113203730113e-02	2.721030754631350093e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.034133695289700394e-01	1.400557062189432145e+01	1.090300261612070498e-02	2.850693537223935453e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.059954549885473302e-01	1.374832152208622205e+01	1.138433844303396794e-02	2.992869120330150096e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.087673048180925472e-01	1.350408731732296808e+01	1.189332713731837410e-02	3.147986256437294850e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.117328278582556955e-01	1.327300043859168888e+01	1.243030877309438814e-02	3.316397927792025940e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.148956294271888529e-01	1.305505495985448761e+01	1.299556121209462928e-02	3.498366331897224263e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.182588790784686039e-01	1.285013251591975525e+01	1.358927811557979898e-02	3.694040688936118394e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.218255761124563546e-01	1.265800509508656013e+01	1.421161529454120429e-02	3.903463836359189615e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.255988081907113141e-01	1.247834729267086651e+01	1.486273330170020425e-02	4.126578188813197906e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.295818055358617937e-01	1.231076047877476931e+01	1.554280435284374588e-02	4.363224920764827847e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.337779823420578440e-01	1.215479360799834119e+01	1.625201774388353865e-02	4.613141997199805139e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.381909704817463613e-01	1.200996068801828720e+01	1.699058436359022692e-02	4.875967274611759522e-02	0.000000000000000000e+00
2.899422853882880921e-12	1.428246468624433663e-01	1.187575516667575215e+01	1.775874039026583209e-02	5.151239164079181310e-02	0.000000000000000000e+00
3.036771118035460378e-12	1.476831554020633930e-01	1.175166156233695069e+01	1.855675023121054062e-02	5.438401713602909054e-02	0.000000000000000000e+00
3.180625692794118977e-12	1.527709246449058533e-01	1.163716466769703928e+01	1.938490881810920122e-02	5.736809656884905156e-02	0.000000000000000000e+00
3.331294787934670055e-12	1.580926816649264044e-01	1.153175668076294969e+01	2.024354330685139425e-02	6.045734469461940680e-02	0.000000000000000000e+00
3.489101213406766494e-12	1.636534631593009881e-01	1.143494257214653942e+01	2.113301431660128543e-02	6.364372567452304674e-02	0.000000000000000000e+00
3.654383070957261569e-12	1.694586241813256233e-01	1.134624399852886967e+01	2.205371675152951322e-02	6.691851142207334846e-02	0.000000000000000000e+00
3.827494478516314936e-12	1.755138448544181218e-01	1.126520202957841477e+01	2.300608025093894143e-02	7.027239012515272554e-02	0.000000000000000000e+00
4.008806328898464320e-12	1.818251356048415091e-01	1.119137891460648149e+01	2.399056935486207007e-02	7.369553440764532726e-02	0.000000000000000000e+00
4.198707084443905621e-12	1.883988411058566126e-01	1.112435908998107514e+01	2.500768341495290467e-02	7.717769027583594454e-02	0.000000000000000000e+00
4.397603609302712498e-12	1.952416428501848877e-01	1.106374959755868836e+01	2.605795623990030466e-02	8.070825547286067381e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.023604943665783806e-01	1.100918050730548003e+01	2.714194550826367833e-02	8.427635613764301870e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.097624924678379854e-01	1.096030486639545387e+01	2.826021329665611564e-02	8.787083336286639901e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.174549571982214990e-01	1.091679666157052608e+01	2.941333886486210275e-02	9.148039576141617224e-02	0.000000000000000000e+00
