pc	M	R	C	k2	j3
9.999999999999999799e-13	8.757529838090899466e-02	2.650196603847435028e+01	4.879482532031974990e-03	9.701633410273272692e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.105491586082876954e-02	2.480150466341976312e+01	5.421202162887331193e-03	1.362281907295661903e-03	0.000000000000000000e+00
1.096985797892381920e-12	9.466993080597403687e-02	2.338032691748940906e+01	5.979043530181581655e-03	1.861616586020378456e-03	0.000000000000000000e+00
1.148951000187311009e-12	9.842360965449567511e-02	2.217730368088116322e+01	6.553311021980937068e-03	2.481002750490045924e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.023194956464656691e-01	2.114789864697720745e+01	7.144328335593331039e-03	3.232183108603570599e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.063613470529379129e-01	2.025890674474149478e+01	7.752433662980945731e-03	4.125537851918568109e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.105530978042413015e-01	1.948507117044914594e+01	8.377976831885449935e-03	5.169911796477786627e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.148988353159517556e-01	1.880684160923976833e+01	9.021318054297063765e-03	6.372490848355750852e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.194027841639869608e-01	1.820885001462145425e+01	9.682826941649602323e-03	7.738714781034982185e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.240692939126864791e-01	1.767884977023929949e+01	1.036288169893602451e-02	9.272247426746734258e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.289028294911566952e-01	1.720696176993928717e+01	1.106186850749793331e-02	1.097499150826459352e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.339079634761384252e-01	1.678512885693286449e+01	1.178018092538229630e-02	1.284712370358585820e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.390893689145400736e-01	1.640671428337593696e+01	1.251821933184210991e-02	1.488715922647129188e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.444517978571132066e-01	1.606620263449406494e+01	1.327638831237041780e-02	1.709204367824221013e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.500000402144243405e-01	1.575897371642532363e+01	1.405509156738200469e-02	1.945724259500210621e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.557389027895291767e-01	1.548112751332236137e+01	1.485472984424300938e-02	2.197682353760161203e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.616731964573379643e-01	1.522934820502307751e+01	1.567569999926604618e-02	2.464365796776941606e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.678077226407637124e-01	1.500079784760537827e+01	1.651839397250109628e-02	2.744942986213096126e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.741472587006346051e-01	1.479303239393306058e+01	1.738319769229591458e-02	3.038485438062105484e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.806965428591069678e-01	1.460393477670848306e+01	1.827048995867087272e-02	3.343973310210854311e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.874602568094204114e-01	1.443166119811717252e+01	1.918064105179074011e-02	3.660333646997068063e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.944430357880150007e-01	1.427459701245615875e+01	2.011401508635520322e-02	3.986406753313465751e-02	0.000000000000000000e+00
2.768286630392061017e-12	2.016496420513171628e-01	1.413131865415842192e+01	2.107099290331477040e-02	4.321003128313709307e-02	0.000000000000000000e+00
2.899422853882880921e-12	2.090851489671996244e-01	1.400056449771224010e+01	2.205199447371862173e-02	4.662941388584340013e-02	0.000000000000000000e+00
3.036771118035460378e-12	2.167549827191962986e-01	1.388121384992876983e+01	2.305748208533934043e-02	5.010996336770099507e-02	0.000000000000000000e+00
3.180625692794118977e-12	2.246649523784340630e-01	1.377226920735875204e+01	2.408796212929242495e-02	5.363981101745506075e-02	0.000000000000000000e+00
3.331294787934670055e-12	2.328212785228096771e-01	1.367284113494220499e+01	2.514398663028903982e-02	5.720713592661488822e-02	0.000000000000000000e+00
3.489101213406766494e-12	2.412306207151914128e-01	1.358213525636244157e+01	2.622615468060435218e-02	6.080043679170192561e-02	0.000000000000000000e+00
3.654383070957261569e-12	2.499001050256367262e-01	1.349944108284602962e+01	2.733511377722259300e-02	6.440849652961903871e-02	0.000000000000000000e+00
3.827494478516314936e-12	2.588373160944698048e-01	1.342412261466455448e+01	2.847155667025034684e-02	6.802047021734453081e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.680497249054243913e-01	1.335561287010806630e+01	2.963614963592224941e-02	7.162567534190775187e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.775435426657080207e-01	1.329340754211873765e+01	3.082939791266608998e-02	7.521313043426276768e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.873233214599119623e-01	1.323705204379182021e+01	3.205160905843174729e-02	7.877156241744205645e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.973917456490221545e-01	1.318613011611271446e+01	3.330287967836927793e-02	8.228943078875365635e-02	0.000000000000000000e+00
4.824108704165373984e-12	3.077493547283424169e-01	1.314025486608282733e+01	3.458307425953661973e-02	8.575490404081091700e-02	0.000000000000000000e+00
5.052631065335679604e-12	3.183941775103471539e-01	1.309906149916228912e+01	3.589179438138878631e-02	8.915599905998843056e-02	0.000000000000000000e+00
5.291978735958436557e-12	3.293212592674370498e-01	1.306220112404129274e+01	3.722833694488277001e-02	9.248049842399903853e-02	0.000000000000000000e+00
5.542664520663095602e-12	3.405220619381191804e-01	1.302933527968379579e+01	3.859163954457820594e-02	9.571589345613175370e-02	0.000000000000000000e+00
5.805225516094907684e-12	3.519850911261417914e-01	1.300012918691069252e+01	3.998037245052731004e-02	9.885003002364023406e-02	0.000000000000000000e+00
6.080224261649427052e-12	3.636996196219955402e-01	1.297424876732184096e+01	4.139337720345213217e-02	1.018721112437485504e-01	0.000000000000000000e+00
6.368249944718585906e-12	3.756578896500690212e-01	1.295136911372050648e+01	4.282990080052820336e-02	1.047732614599764245e-01	0.000000000000000000e+00
6.669919663030115058e-12	3.878560394482120643e-01	1.293118396572924667e+01	4.428967599441945013e-02	1.075473063679417002e-01	0.000000000000000000e+00
6.985879746785234820e-12	4.002948326278399915e-01	1.291341323697341181e+01	4.577297814002148635e-02	1.101895671809947908e-01	0.000000000000000000e+00
7.316807143427207274e-12	4.129801185443133793e-01	1.289780867619525573e+01	4.728065117215608099e-02	1.126976352603710901e-01	0.000000000000000000e+00
7.663410868007462274e-12	4.259229895599447313e-01	1.288415757878984635e+01	4.881410032177500163e-02	1.150709022506658935e-01	0.000000000000000000e+00
8.026433522257174683e-12	4.391390258039716832e-01	1.287228448713895190e+01	5.037518333213077126e-02	1.173098904959861133e-01	0.000000000000000000e+00
8.406652885618316356e-12	4.526441552032614557e-01	1.286204791751529086e+01	5.196572954461449456e-02	1.194156391800670208e-01	0.000000000000000000e+00
8.804883581643446547e-12	4.664515674033842818e-01	1.285332960224698873e+01	5.358721013727894139e-02	1.213885541871373708e-01	0.000000000000000000e+00
9.221978823334340144e-12	4.805716309048325696e-01	1.284602540397336945e+01	5.524075281485033712e-02	1.232286953911667510e-01	0.000000000000000000e+00
9.658832241158709141e-12	4.950119377532478104e-01	1.284003932467321896e+01	5.692716466812899195e-02	1.249358361345286050e-01	0.000000000000000000e+00
1.011637979766206976e-11	5.097772700802648549e-01	1.283527922411933808e+01	5.864694328740741730e-02	1.265095126035536421e-01	0.000000000000000000e+00
1.059560179277614774e-11	5.248694872981811699e-01	1.283165360863860194e+01	6.040027751289433339e-02	1.279490396991608825e-01	0.000000000000000000e+00
1.109752496412069864e-11	5.402873453741647847e-01	1.282906910568559233e+01	6.218704007025038089e-02	1.292537591075179071e-01	0.000000000000000000e+00
1.162322468679854125e-11	5.560269196065406039e-01	1.282742888689283411e+01	6.400684747865524604e-02	1.304229980054836258e-01	0.000000000000000000e+00
1.217382727739662020e-11	5.720835635239090999e-01	1.282663425363734255e+01	6.585928236610708031e-02	1.314563732577487543e-01	0.000000000000000000e+00
1.275051240713012859e-11	5.884528229509571329e-01	1.282658744355671487e+01	6.774398799738352850e-02	1.323539959691713841e-01	0.000000000000000000e+00
1.335451562929897339e-11	6.051305341913876257e-01	1.282719326351110745e+01	6.966067274826417965e-02	1.331164228626675883e-01	0.000000000000000000e+00
1.398713102647241439e-11	6.221128919025307180e-01	1.282836017351798930e+01	7.160911252730117749e-02	1.337446128342447971e-01	0.000000000000000000e+00
1.464971398307287854e-11	6.393965116778391744e-01	1.283000101294295803e+01	7.358915345102051697e-02	1.342399943664915052e-01	0.000000000000000000e+00
1.534368408930013065e-11	6.569784830435498879e-01	1.283203353110602762e+01	7.560071367597952230e-02	1.346043137452608285e-01	0.000000000000000000e+00
1.607052818261638620e-11	6.748563771027283886e-01	1.283438069870202014e+01	7.764378061338132742e-02	1.348397068264597654e-01	0.000000000000000000e+00
1.683180353330955093e-11	6.930277944141702839e-01	1.283697040672025835e+01	7.971835854246614450e-02	1.349485656357956587e-01	0.000000000000000000e+00
1.762914118095944293e-11	7.114897042722838627e-01	1.283973429211276951e+01	8.182439794764327645e-02	1.349335120162628854e-01	0.000000000000000000e+00
1.846424942895546448e-11	7.302383126551035275e-01	1.284260692696460282e+01	8.396178434772254284e-02	1.347973879117188023e-01	0.000000000000000000e+00
1.933891750455232057e-11	7.492690333101726941e-01	1.284552531797475261e+01	8.613033760262528427e-02	1.345431291742364144e-01	0.000000000000000000e+00
2.025501939230666486e-11	7.685764624049009619e-01	1.284842854878548835e+01	8.832981104915610393e-02	1.341739086843229123e-01	0.000000000000000000e+00
2.121451784910627571e-11	7.881543544123933431e-01	1.285125750782577114e+01	9.055989044432743995e-02	1.336930626219946239e-01	0.000000000000000000e+00
2.221946860939528424e-11	8.079955994264497177e-01	1.285395468345260639e+01	9.282019277333379559e-02	1.331039542776152329e-01	0.000000000000000000e+00
2.327202478960412005e-11	8.280922661773709725e-01	1.285646402060894999e+01	9.511027226714537097e-02	1.324102609828234078e-01	0.000000000000000000e+00
2.437444150122221807e-11	8.484358035884004279e-01	1.285873108076170190e+01	9.742964237318917087e-02	1.316155825476719443e-01	0.000000000000000000e+00
2.552908068239516723e-11	8.690171537293339687e-01	1.286070321516390713e+01	9.977778714885904288e-02	1.307236734856441207e-01	0.000000000000000000e+00
2.673841615839943880e-11	8.898267596195562623e-01	1.286232964217152741e+01	1.021541610358616819e-01	1.297385631927276961e-01	0.000000000000000000e+00
2.800503894183625342e-11	9.108545720258909295e-01	1.286356147379497550e+01	1.045581887324429360e-01	1.286640926647429350e-01	0.000000000000000000e+00
2.933166278390048099e-11	9.320900567962184802e-01	1.286435172059900722e+01	1.069892651603661232e-01	1.275044305486780216e-01	0.000000000000000000e+00
