pc	M	R	C	k2	j3
9.999999999999999799e-13	8.912267980432719838e-02	2.367894926199830152e+01	5.557712087749352298e-03	-4.862261805735629827e-01	0.000000000000000000e+00
1.047370897959448749e-12	9.264203235460317931e-02	2.240949784507671794e+01	6.104444983996879306e-03	-4.848858292490628163e-01	0.000000000000000000e+00
1.096985797892381920e-12	9.630037633734277180e-02	2.132804696976828396e+01	6.667255999763233541e-03	-4.835044997838588432e-01	0.000000000000000000e+00
1.148951000187311009e-12	1.001003305555763778e-01	2.039767537368293659e+01	7.246446178075706228e-03	-4.820905656901701697e-01	0.000000000000000000e+00
1.203377840777590522e-12	1.040449718703597287e-01	1.959051128997191427e+01	7.842338094338487456e-03	-4.806349011055028875e-01	0.000000000000000000e+00
1.260382929679727463e-12	1.081377379873537520e-01	1.888512463783891349e+01	8.455273505359756775e-03	-4.791419355284853854e-01	0.000000000000000000e+00
1.320088400831416649e-12	1.123823619922838524e-01	1.826477089512217589e+01	9.085611482921676987e-03	-4.776086514789823489e-01	0.000000000000000000e+00
1.382622173764653478e-12	1.167827883623228924e-01	1.771618350066787073e+01	9.733721262822793777e-03	-4.760362683045751830e-01	0.000000000000000000e+00
1.448118227674535917e-12	1.213430239304110758e-01	1.722872764087282960e+01	1.039996417014528440e-02	-4.744231021880097043e-01	0.000000000000000000e+00
1.516716888470924089e-12	1.260672473814666017e-01	1.679376514811264087e+01	1.108471240749094727e-02	-4.727685904805508654e-01	0.000000000000000000e+00
1.588565129428052692e-12	1.309598382114736115e-01	1.640420417535716524e+01	1.178835480669392435e-02	-4.710720807580948688e-01	0.000000000000000000e+00
1.663816886076127415e-12	1.360253660863578185e-01	1.605416918666846016e+01	1.251129611345150328e-02	-4.693332891247933847e-01	0.000000000000000000e+00
1.742633386009647278e-12	1.412685807486842027e-01	1.573875176419757693e+01	1.325395621253123990e-02	-4.675510996071464698e-01	0.000000000000000000e+00
1.825183494319046040e-12	1.466944053724881236e-01	1.545382019913387595e+01	1.401676948156864791e-02	-4.657249836490660044e-01	0.000000000000000000e+00
1.911644075385703708e-12	1.523079280671721658e-01	1.519587221143954636e+01	1.480018392529621613e-02	-4.638543034007179267e-01	0.000000000000000000e+00
2.002200371815584363e-12	1.581143958276146622e-01	1.496191972071299503e+01	1.560466061883030060e-02	-4.619381790219422301e-01	0.000000000000000000e+00
2.097046401323230665e-12	1.641192087443070213e-01	1.474939833446821780e+01	1.643067270909680591e-02	-4.599759696137108445e-01	0.000000000000000000e+00
2.196385372416542332e-12	1.703278448784348031e-01	1.455609664203632292e+01	1.727869569622171586e-02	-4.579669371322034332e-01	0.000000000000000000e+00
2.300430119772921506e-12	1.767454010801595976e-01	1.438010850560346832e+01	1.814914599714472637e-02	-4.559104854056454381e-01	0.000000000000000000e+00
2.409403560239526876e-12	1.833766975045696412e-01	1.421977509403024698e+01	1.904239873150633672e-02	-4.538062196703407380e-01	0.000000000000000000e+00
2.523539170434765862e-12	1.902264088493504646e-01	1.407364009322026810e+01	1.995880815392411800e-02	-4.516537246767993175e-01	0.000000000000000000e+00
2.643081486974102692e-12	1.972990284137890182e-01	1.394041814782760902e+01	2.089870525096042611e-02	-4.494527451444806365e-01	0.000000000000000000e+00
2.768286630392061017e-12	2.045988296922842120e-01	1.381896906553197901e+01	2.186239494603414713e-02	-4.472030492519629141e-01	0.000000000000000000e+00
2.899422853882880921e-12	2.121298243439458386e-01	1.370827643054595590e+01	2.285015307975966567e-02	-4.449045096094806362e-01	0.000000000000000000e+00
3.036771118035460378e-12	2.198957184009016352e-01	1.360742975460719784e+01	2.386222339868503822e-02	-4.425571014504157685e-01	0.000000000000000000e+00
3.180625692794118977e-12	2.278998661421241523e-01	1.351560954978865858e+01	2.489881441133283066e-02	-4.401608865497315115e-01	0.000000000000000000e+00
3.331294787934670055e-12	2.361452183516145609e-01	1.343207475482858548e+01	2.596009580899009267e-02	-4.377160472136648051e-01	0.000000000000000000e+00
3.489101213406766494e-12	2.446343109612604538e-01	1.335615184559414281e+01	2.704620002983995977e-02	-4.352228614868589585e-01	0.000000000000000000e+00
3.654383070957261569e-12	2.533695500244549370e-01	1.328722429237233804e+01	2.815725987087485879e-02	-4.326816255411080614e-01	0.000000000000000000e+00
3.827494478516314936e-12	2.623534895412308332e-01	1.322472618641092623e+01	2.929344109987054232e-02	-4.300925761883713228e-01	0.000000000000000000e+00
4.008806328898464320e-12	2.715888533508032943e-01	1.316813875337430595e+01	3.045494240051077606e-02	-4.274558915210062704e-01	0.000000000000000000e+00
4.198707084443905621e-12	2.810785439929323060e-01	1.311698673874360566e+01	3.164199450298810917e-02	-4.247717022392780151e-01	0.000000000000000000e+00
4.397603609302712498e-12	2.908256510864405397e-01	1.307083504134001473e+01	3.285485919876901528e-02	-4.220400846743669887e-01	0.000000000000000000e+00
4.605922041145112927e-12	3.008334628337441807e-01	1.302928540109076039e+01	3.409382915906214451e-02	-4.192610703089547086e-01	0.000000000000000000e+00
4.824108704165373984e-12	3.111054748481600352e-01	1.299197348459346024e+01	3.535922709861979291e-02	-4.164346464580819251e-01	0.000000000000000000e+00
5.052631065335679604e-12	3.216454020637505851e-01	1.295856604403980228e+01	3.665140571563151733e-02	-4.135607593627705914e-01	0.000000000000000000e+00
5.291978735958436557e-12	3.324572009339589185e-01	1.292875837631221536e+01	3.797074865618711020e-02	-4.106393142330756474e-01	0.000000000000000000e+00
5.542664520663095602e-12	3.435451566928338085e-01	1.290227162618196033e+01	3.931768007948396176e-02	-4.076701545194605925e-01	0.000000000000000000e+00
5.805225516094907684e-12	3.549135680303681650e-01	1.287885057560507640e+01	4.069262750659434491e-02	-4.046531473608864782e-01	0.000000000000000000e+00
