pc	M	R	C	k2	j3
9.999999999999999799e-13	8.941840408763757075e-02	2.318447741077110891e+01	5.695080121377729850e-03	1.878116338036177379e-03	0.000000000000000000e+00
1.047370897959448749e-12	9.297290863321840126e-02	2.198969439255493086e+01	6.243203041783794427e-03	2.507491814166833491e-03	0.000000000000000000e+00
1.096985797892381920e-12	9.666514891369652751e-02	2.096706511726014810e+01	6.807733016142266183e-03	3.272118487603755191e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.004990681751431469e-01	2.008377378243129385e+01	7.389021820443245417e-03	4.183083421453599217e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.044786432074197857e-01	1.931486229672199073e+01	7.987413038290909137e-03	5.249929005217760652e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.086078292919538113e-01	1.864101081721707942e+01	8.603237462269715252e-03	6.480470428440320008e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.128904881718242187e-01	1.804703139322997174e+01	9.236805787973208226e-03	7.880654659399613862e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.173302327150897995e-01	1.752082852625373732e+01	9.888388658557678568e-03	9.454438758542746749e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.219306847954057665e-01	1.705261844282958705e+01	1.055825564424295489e-02	1.120384781183532581e-02	0.000000000000000000e+00
1.516716888470924089e-12	1.266956404580359963e-01	1.663438850167230854e+01	1.124669884031149342e-02	1.312906964911528425e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.316290709598132713e-01	1.625951651814615317e+01	1.195403225992307250e-02	1.522855634807581370e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.367351228965255627e-01	1.592248393299188614e+01	1.268059117490442055e-02	1.749912479811697660e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.420181201747704736e-01	1.561865682915642317e+01	1.342673174252524866e-02	1.993609155794580021e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.474825665147183607e-01	1.534411692075756406e+01	1.419283070903237624e-02	2.253341664267763736e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.531331484154051237e-01	1.509552973398946563e+01	1.497928517028766435e-02	2.528384409613328859e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.589747384371732186e-01	1.487004078871616741e+01	1.578651237357138470e-02	2.817905563890414286e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.650123988417626641e-01	1.466519309093163592e+01	1.661494956537031345e-02	3.120983090580426930e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.712513850399263460e-01	1.447886103846932038e+01	1.746505379658964616e-02	3.436616382797289676e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.776971484303029869e-01	1.430919704518673541e+01	1.833730165876704815e-02	3.763742316771515745e-02	0.000000000000000000e+00
