pc	M	R	C	k2	j3
9.999999999999999799e-13	8.626836280214636443e-02	1.755083683942262240e+01	7.258116959634878726e-03	1.999642101312287465e-02	0.000000000000000000e+00
1.047370897959448749e-12	8.726316464231073655e-02	1.718151138260968480e+01	7.499629862524028606e-03	2.043163125941102609e-02	0.000000000000000000e+00
1.096985797892381920e-12	8.843029049110712192e-02	1.681105437630878185e+01	7.767411859096802484e-03	2.095981187825968206e-02	0.000000000000000000e+00
1.148951000187311009e-12	8.978028027884264739e-02	1.644298814928650287e+01	8.062513375065907470e-03	2.158994002995378789e-02	0.000000000000000000e+00
1.203377840777590522e-12	9.132022955058667624e-02	1.608090380789478857e+01	8.385457756511194641e-03	2.232981298713851079e-02	0.000000000000000000e+00
1.260382929679727463e-12	9.305345344410338726e-02	1.572819744310144863e+01	8.736224345026973037e-03	2.318565911185333298e-02	0.000000000000000000e+00
1.320088400831416649e-12	9.498085295814721885e-02	1.538766236665610876e+01	9.114516844059665501e-03	2.416254911835706218e-02	0.000000000000000000e+00
1.382622173764653478e-12	9.710167725978476050e-02	1.506141182194240535e+01	9.519875815183218362e-03	2.526455708309816028e-02	0.000000000000000000e+00
1.448118227674535917e-12	9.941394669421142749e-02	1.475091977737341864e+01	9.951726899565412759e-03	2.649475750243665551e-02	0.000000000000000000e+00
1.516716888470924089e-12	1.019148491255505162e-01	1.445708808602969242e+01	1.040942819553576128e-02	2.785520409809210188e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.046011074143728681e-01	1.418032924112364057e+01	1.089231526520632702e-02	2.934695378784293873e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.074693153901138121e-01	1.392065480967091595e+01	1.139974279994332429e-02	3.097007157222152543e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.105162426046332053e-01	1.367776195586342425e+01	1.193112250738655351e-02	3.272370635214522788e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.137391107389238987e-01	1.345111297208604029e+01	1.248595723844608471e-02	3.460616918121720009e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.171358465468567561e-01	1.324000499671638842e+01	1.306387170116888978e-02	3.661505151368066313e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.207053167416149847e-01	1.304362889424505134e+01	1.366464020025088058e-02	3.874737955698077246e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.244475515650089736e-01	1.286111738507995206e+01	1.428821213345898497e-02	4.099978489874769871e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.283639631180278906e-01	1.269158333936147542e+01	1.493473586809683853e-02	4.336870164543860096e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.324575649517339415e-01	1.253414948650035754e+01	1.560458172219987907e-02	4.585056912968023951e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.367331990478266035e-01	1.238797094429324375e+01	1.629836470782666108e-02	4.844206038746860093e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.411977405920152584e-01	1.225225288400543633e+01	1.701696205144942811e-02	5.114027880195773368e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.458595871402303679e-01	1.212627839284015074e+01	1.776141985529283013e-02	5.394248287055632834e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.507276415470016340e-01	1.200942455089186289e+01	1.853279580645606980e-02	5.684547382255503850e-02	0.000000000000000000e+00
2.899422853882880921e-12	1.558111129560717512e-01	1.190114691296427374e+01	1.933213629903678815e-02	5.984544668669319889e-02	0.000000000000000000e+00
3.036771118035460378e-12	1.611194544870105383e-01	1.180096498460558685e+01	2.016047201951062448e-02	6.293794709729727543e-02	0.000000000000000000e+00
3.180625692794118977e-12	1.666622982369730666e-01	1.170845081763603091e+01	2.101881198470099271e-02	6.611785001937171835e-02	0.000000000000000000e+00
3.331294787934670055e-12	1.724493865394273739e-01	1.162321970223650247e+01	2.190813668771816186e-02	6.937932914865643785e-02	0.000000000000000000e+00
3.489101213406766494e-12	1.784904994522695798e-01	1.154492241695418464e+01	2.282939072217587267e-02	7.271584475947848181e-02	0.000000000000000000e+00
3.654383070957261569e-12	1.847953768053476054e-01	1.147323869736015567e+01	2.378347490367095987e-02	7.612013557742058900e-02	0.000000000000000000e+00
3.827494478516314936e-12	1.913736341467827395e-01	1.140787169294113745e+01	2.477123795563731384e-02	7.958421903473787695e-02	0.000000000000000000e+00
4.008806328898464320e-12	1.982346719942177649e-01	1.134854322856637765e+01	2.579346783199154558e-02	8.309939868134007257e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.053875773038779662e-01	1.129498974270347311e+01	2.685088263528607327e-02	8.665627741758843983e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.128410170443716110e-01	1.124695879238221252e+01	2.794412122105805266e-02	9.024478944840101657e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.206031230796575149e-01	1.120420604004031517e+01	2.907373347111212245e-02	9.385421879163746706e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.286813681505012186e-01	1.116649265540038805e+01	3.024017027620793871e-02	9.747324736524509703e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.370824329602933545e-01	1.113358307145893455e+01	3.144377330110337265e-02	1.010899951611375636e-01	0.000000000000000000e+00
5.291978735958436557e-12	2.458120534871127971e-01	1.110524309283252720e+01	3.268476300250267030e-02	1.046920652063695611e-01	0.000000000000000000e+00
5.542664520663095602e-12	2.548749695833557039e-01	1.108123865174898270e+01	3.396323998058914384e-02	1.082666661425275428e-01	0.000000000000000000e+00
5.805225516094907684e-12	2.642756984262101816e-01	1.106133562334256659e+01	3.527929471671124168e-02	1.118011040124748251e-01	0.000000000000000000e+00
6.080224261649427052e-12	2.740189137011325160e-01	1.104530241792274836e+01	3.663305720026325402e-02	1.152830381502595314e-01	0.000000000000000000e+00
6.368249944718585906e-12	2.841094512396593608e-01	1.103291258167899613e+01	3.802469500021724014e-02	1.187005825736668213e-01	0.000000000000000000e+00
6.669919663030115058e-12	2.945523106244373746e-01	1.102394656005138529e+01	3.945441148443519508e-02	1.220423609372285056e-01	0.000000000000000000e+00
6.985879746785234820e-12	3.053526567557053317e-01	1.101819288954069975e+01	4.092244436562608723e-02	1.252975459818023996e-01	0.000000000000000000e+00
7.316807143427207274e-12	3.165158217543911356e-01	1.101544898344328693e+01	4.242906443814561945e-02	1.284559259898120087e-01	0.000000000000000000e+00
7.663410868007462274e-12	3.280473057851784890e-01	1.101552160038681727e+01	4.397457429811212071e-02	1.315079225995615941e-01	0.000000000000000000e+00
8.026433522257174683e-12	3.399527780442692104e-01	1.101822708962115449e+01	4.555930710732521149e-02	1.344446234631031800e-01	0.000000000000000000e+00
8.406652885618316356e-12	3.522380765489417920e-01	1.102339145249896823e+01	4.718362526218974201e-02	1.372578004692510401e-01	0.000000000000000000e+00
8.804883581643446547e-12	3.649092075050362483e-01	1.103085027503127691e+01	4.884791901843833772e-02	1.399399268282249253e-01	0.000000000000000000e+00
9.221978823334340144e-12	3.779723438973787708e-01	1.104044856173404909e+01	5.055260503193409471e-02	1.424841797984437997e-01	0.000000000000000000e+00
9.658832241158709141e-12	3.914338230589806678e-01	1.105204049728600246e+01	5.229812478087290939e-02	1.448844427747947861e-01	0.000000000000000000e+00
1.011637979766206976e-11	4.053001432734519294e-01	1.106548915747173112e+01	5.408494287343511286e-02	1.471353087083858147e-01	0.000000000000000000e+00
1.059560179277614774e-11	4.195779592197291241e-01	1.108066618368478373e+01	5.591354522610848116e-02	1.492320660655090947e-01	0.000000000000000000e+00
1.109752496412069864e-11	4.342740877050679793e-01	1.109745145072291272e+01	5.778443855072427915e-02	1.511706963759664180e-01	0.000000000000000000e+00
1.162322468679854125e-11	4.493957045243321402e-01	1.111573287954140810e+01	5.969817437854845615e-02	1.529478763690086951e-01	0.000000000000000000e+00
1.217382727739662020e-11	4.649501285466040579e-01	1.113540544202322735e+01	6.165532235802328315e-02	1.545609024687752964e-01	0.000000000000000000e+00
1.275051240713012859e-11	4.809444585964105512e-01	1.115636989013565739e+01	6.365642657071450550e-02	1.560076075018724528e-01	0.000000000000000000e+00
1.335451562929897339e-11	4.973855276302078243e-01	1.117853203815539764e+01	6.570200208505495854e-02	1.572863882146798009e-01	0.000000000000000000e+00
1.398713102647241439e-11	5.142798676897516463e-01	1.120180218072461464e+01	6.779253275096051856e-02	1.583961012914283650e-01	0.000000000000000000e+00
1.464971398307287854e-11	5.316336730001911537e-01	1.122609459457696701e+01	6.992846874975656990e-02	1.593361328928580845e-01	0.000000000000000000e+00
1.534368408930013065e-11	5.494527614634459045e-01	1.125132710358282750e+01	7.211022399095982915e-02	1.601063518506676275e-01	0.000000000000000000e+00
1.607052818261638620e-11	5.677425346411195672e-01	1.127742069693099758e+01	7.433817338255532814e-02	1.607070798273462775e-01	0.000000000000000000e+00
1.683180353330955093e-11	5.865079366914859316e-01	1.130429919441585085e+01	7.661265003134347384e-02	1.611390982505414571e-01	0.000000000000000000e+00
