pc	M	R	C	k2	j3
9.999999999999999799e-13	1.090280212083230421e-01	1.574180489271006600e+01	1.022713148897700687e-02	3.270562156311693225e-02	0.000000000000000000e+00
1.047370897959448749e-12	1.120642443028702778e-01	1.548129090814106945e+01	1.068882902639423614e-02	3.449552453134579338e-02	0.000000000000000000e+00
1.096985797892381920e-12	1.152795706572980194e-01	1.523665121189738159e+01	1.117205485202786043e-02	3.641474516724323152e-02	0.000000000000000000e+00
1.148951000187311009e-12	1.186768513563872807e-01	1.500731489627906434e+01	1.167705309927796579e-02	3.846382009450097228e-02	0.000000000000000000e+00
1.203377840777590522e-12	1.222598468507277852e-01	1.479264356600579333e+01	1.220417115154116654e-02	4.064294089468861032e-02	0.000000000000000000e+00
1.260382929679727463e-12	1.260333785053277811e-01	1.459196205590723672e+01	1.275387398633790262e-02	4.295203298931172392e-02	0.000000000000000000e+00
1.320088400831416649e-12	1.300032953270927882e-01	1.440459124678440261e+01	1.332673177991277984e-02	4.539073479993596671e-02	0.000000000000000000e+00
1.382622173764653478e-12	1.341759513016338723e-01	1.422988502917625908e+01	1.392334315587029012e-02	4.795807161469692326e-02	0.000000000000000000e+00
1.448118227674535917e-12	1.385580362641895824e-01	1.406723292899117261e+01	1.454431513571228726e-02	5.065230575149847619e-02	0.000000000000000000e+00
1.516716888470924089e-12	1.431565521771651361e-01	1.391605661592853593e+01	1.519026247759913163e-02	5.347091764404444253e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.479787819500039958e-01	1.377580777660375055e+01	1.586180509535104269e-02	5.641057420730197919e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.530322560865108317e-01	1.364596624964785221e+01	1.655956495909313361e-02	5.946710309210817558e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.583247167527148669e-01	1.352603823033722463e+01	1.728416263621803187e-02	6.263551361382399540e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.638640785541420064e-01	1.341555447429731096e+01	1.803621352517373669e-02	6.590996651725247735e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.696583853825280874e-01	1.331406850899754346e+01	1.881632376789923664e-02	6.928380416902996108e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.757157630721243036e-01	1.322115483601485231e+01	1.962508590621341378e-02	7.274956227020265564e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.820443670110249434e-01	1.313640715728568154e+01	2.046307421789509556e-02	7.629899124281104561e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.886523245599388832e-01	1.305943662386597381e+01	2.133083978740463876e-02	7.992309467234529063e-02	0.000000000000000000e+00
