pc	M	R	C	k2	j3
9.999999999999999799e-13	1.146848792838304903e-01	3.068148249615062539e+01	5.519504050559409687e-03	1.048487684595169689e-03	0.000000000000000000e+00
1.047370897959448749e-12	1.172437611856013556e-01	2.937523819901160138e+01	5.893571820153814013e-03	1.286267325959036248e-03	0.000000000000000000e+00
1.096985797892381920e-12	1.198469306293380304e-01	2.820171087037442348e+01	6.275115084794693349e-03	1.559850277290576997e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.225103506716013479e-01	2.713676723308056893e+01	6.666300835665990403e-03	1.873208551022413366e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.252501235616475528e-01	2.616213963415700405e+01	7.069279270786107440e-03	2.230853527318470229e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.280814482009222099e-01	2.526415889499053335e+01	7.486030985657875919e-03	2.637716373089810367e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.310172595358320424e-01	2.443284004051386304e+01	7.918169504092494385e-03	3.098861962955804569e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.340697110213922572e-01	2.366042427080294530e+01	8.367165905548175700e-03	3.619569316036837757e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.372502358365161323e-01	2.294077210648790199e+01	8.834364291626511934e-03	4.205286684155316521e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.405693648613071389e-01	2.226897287661358149e+01	9.320961867887680996e-03	4.861543366790795073e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.440365109142685007e-01	2.164104999108271699e+01	9.827985327002713989e-03	5.593648881287180928e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.476597165667515588e-01	2.105373563868399245e+01	1.035626369515873536e-02	6.406668944098883184e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.514453646580932178e-01	2.050429690568880403e+01	1.090639790851165823e-02	7.305094555879482893e-03	0.000000000000000000e+00
