pc	M	R	C	k2	j3
9.999999999999999799e-13	1.124416285392098591e-01	3.066592846563570163e+01	5.414286635156267784e-03	1.107188497540652176e-03	0.000000000000000000e+00
1.047370897959448749e-12	1.152494881642875113e-01	2.920179147395672103e+01	5.827734325451189648e-03	1.374491400169397222e-03	0.000000000000000000e+00
1.096985797892381920e-12	1.181205656374655910e-01	2.790805057375165887e+01	6.249801899514310401e-03	1.687099418085301035e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.210548939837521043e-01	2.675702006821681778e+01	6.680590357459935923e-03	2.048053924608169308e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.240528318251466755e-01	2.572661200435758388e+01	7.120234890633902157e-03	2.460088670216833018e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.271151564849591076e-01	2.479897089534945209e+01	7.568919958096487037e-03	2.925619609183773701e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.302430097048616897e-01	2.395952848185527273e+01	8.026872997463751352e-03	3.446816543597100175e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.334377359551532360e-01	2.319632280503014243e+01	8.494342258668163489e-03	4.025503696287542968e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.367008695130343676e-01	2.249944525923525518e+01	8.971595855497742703e-03	4.663180421561645243e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.400341307674340674e-01	2.186062118432720780e+01	9.458921830247751100e-03	5.361069926992868308e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.434394269597667193e-01	2.127288879271240774e+01	9.956628585153563110e-03	6.120084632216457599e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.469188529016531020e-01	2.073035109316719371e+01	1.046504515106402508e-02	6.940845183020545942e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.504746980900303344e-01	2.022798128178586907e+01	1.098452224232136613e-02	7.823728953487294607e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.541096238044122324e-01	1.976144882569746741e+01	1.151545793632901930e-02	8.768888557884676679e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.578267963728236800e-01	1.932699353697001143e+01	1.205831638736380718e-02	9.776352759282421964e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.616297098915949471e-01	1.892135978044736433e+01	1.261360087556292683e-02	1.084597377414529829e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.655221870491535019e-01	1.854171871238396463e+01	1.318185295584516255e-02	1.197748417123899352e-02	0.000000000000000000e+00
