pc	M	R	C	k2	j3
9.999999999999999799e-13	9.118246759362245990e-02	1.694460067073350373e+01	7.946030681148638988e-03	2.249526203449199457e-02	0.000000000000000000e+00
1.047370897959448749e-12	9.260044782659607177e-02	1.661403553299414071e+01	8.230158271089433458e-03	2.318787193694160642e-02	0.000000000000000000e+00
1.096985797892381920e-12	9.415218259102438314e-02	1.629192512715598440e+01	8.533520214140747837e-03	2.396168240441081190e-02	0.000000000000000000e+00
1.148951000187311009e-12	9.584123198405271327e-02	1.597932344054055420e+01	8.856542993835390953e-03	2.482082183400264458e-02	0.000000000000000000e+00
1.203377840777590522e-12	9.767087857575998400e-02	1.567709730362400578e+01	9.199615482455300933e-03	2.576925548874544822e-02	0.000000000000000000e+00
1.260382929679727463e-12	9.964415557772514365e-02	1.538593156438821019e+01	9.563090589141291092e-03	2.681071970762945178e-02	0.000000000000000000e+00
1.320088400831416649e-12	1.017638720866453628e-01	1.510633860115755489e+01	9.947286886393708061e-03	2.794866794596935836e-02	0.000000000000000000e+00
1.382622173764653478e-12	1.040326184665151116e-01	1.483867281575980002e+01	1.035248728363706572e-02	2.918618090857063099e-02	0.000000000000000000e+00
1.448118227674535917e-12	1.064526934870134584e-01	1.458315424622254497e+01	1.077892425760143720e-02	3.052583789933517588e-02	0.000000000000000000e+00
1.516716888470924089e-12	1.090262666328125629e-01	1.433986794085721606e+01	1.122680615507626149e-02	3.196972703084481615e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.117555045177276024e-01	1.410877520657795969e+01	1.169633623787974704e-02	3.351945020882361043e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.146426128250789128e-01	1.388973431618944332e+01	1.218771729889096996e-02	3.517607124534737756e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.176898711451273560e-01	1.368251978179710626e+01	1.270115563345113920e-02	3.694009244063366920e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.208996620816403800e-01	1.348683981203174653e+01	1.323686448665616772e-02	3.881141806599577165e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.242744948910343844e-01	1.330235181923828236e+01	1.379506692824888740e-02	4.078933607973011383e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.278170244980808834e-01	1.312867590534865236e+01	1.437599823537010629e-02	4.287250849641187356e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.315300661243665459e-01	1.296540639044951782e+01	1.497990777292686378e-02	4.505895796040911006e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.354166062512481561e-01	1.281212149066155703e+01	1.560706044402593133e-02	4.734607928683751132e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.394798102245958793e-01	1.266839130964869753e+01	1.625773772718377627e-02	4.973064195661351661e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.437230268723400373e-01	1.253378431225449674e+01	1.693223834824851212e-02	5.220880693578171250e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.481497905550023808e-01	1.240787248334205373e+01	1.763087861106411164e-02	5.477615343479871890e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.527638066354252144e-01	1.229023567468621359e+01	1.835399021827154378e-02	5.742769276965113689e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.575688194742090042e-01	1.218046728006196489e+01	1.910189998313253229e-02	6.015783311433370306e-02	0.000000000000000000e+00
2.899422853882880921e-12	1.625686595436775239e-01	1.207817391293683862e+01	1.987493793445344742e-02	6.296044736133871167e-02	0.000000000000000000e+00
3.036771118035460378e-12	1.677673143331077088e-01	1.198297506021507175e+01	2.067344875408361551e-02	6.582896035055968431e-02	0.000000000000000000e+00
3.180625692794118977e-12	1.731689233548045770e-01	1.189450437090634338e+01	2.149779125792031231e-02	6.875640012839537296e-02	0.000000000000000000e+00
3.331294787934670055e-12	1.787777707979937569e-01	1.181241047446645354e+01	2.234833756861109855e-02	7.173544265517101115e-02	0.000000000000000000e+00
3.489101213406766494e-12	1.845982767441283201e-01	1.173635740370234437e+01	2.322547212532077854e-02	7.475846170209334007e-02	0.000000000000000000e+00
3.654383070957261569e-12	1.906349870915589051e-01	1.166602470238703049e+01	2.412959055901447297e-02	7.781757592000522472e-02	0.000000000000000000e+00
3.827494478516314936e-12	1.968925621481902311e-01	1.160110728842199634e+01	2.506109843172880935e-02	8.090470399137056345e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.033757640499161135e-01	1.154131512527664682e+01	2.602040987692261914e-02	8.401159770290483886e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.100894425488594730e-01	1.148637276035797683e+01	2.700794606586578647e-02	8.712991257632229924e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.170385198597312160e-01	1.143601875047698968e+01	2.802413363494027365e-02	9.025122905591320688e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.242279739066012356e-01	1.139000502259268721e+01	2.906940296178265812e-02	9.336710721668281532e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.316628202440485229e-01	1.134809618561500777e+01	3.014418635274402139e-02	9.646912733306879650e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.393480864418640053e-01	1.131006884527483969e+01	3.124891525191368646e-02	9.954891901941216592e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.472887455353523500e-01	1.127571111124574088e+01	3.238401156771710671e-02	1.025981896902213170e-01	0.000000000000000000e+00
5.542664520663095602e-12	2.554897791869221724e-01	1.124482167753824946e+01	3.354989716144086975e-02	1.056087962785248469e-01	0.000000000000000000e+00
5.805225516094907684e-12	2.639562253316093399e-01	1.121720919436191011e+01	3.474700085243429687e-02	1.085728092212090573e-01	0.000000000000000000e+00
6.080224261649427052e-12	2.726931656006336691e-01	1.119269187832446555e+01	3.597575692934580627e-02	1.114825361261841813e-01	0.000000000000000000e+00
6.368249944718585906e-12	2.817057109712627905e-01	1.117109707167918842e+01	3.723660353964269171e-02	1.143305514081698337e-01	0.000000000000000000e+00
6.669919663030115058e-12	2.909989864322335418e-01	1.115226077413529282e+01	3.852998104256620537e-02	1.171097281957211300e-01	0.000000000000000000e+00
6.985879746785234820e-12	3.005781145920189967e-01	1.113602716256628788e+01	3.985633030855961073e-02	1.198132404548854224e-01	0.000000000000000000e+00
7.316807143427207274e-12	3.104481980852852874e-01	1.112224811073769715e+01	4.121609093741410851e-02	1.224345969619642094e-01	0.000000000000000000e+00
7.663410868007462274e-12	3.206143014314670192e-01	1.111078271021837516e+01	4.260969950416246960e-02	1.249676436776658156e-01	0.000000000000000000e+00
8.026433522257174683e-12	3.310814309882513240e-01	1.110149680907106884e+01	4.403758761282513395e-02	1.274065883048479675e-01	0.000000000000000000e+00
8.406652885618316356e-12	3.418545144881264819e-01	1.109426256115430043e+01	4.550017999528627177e-02	1.297459991562353587e-01	0.000000000000000000e+00
8.804883581643446547e-12	3.529383791926102854e-01	1.108895799363955703e+01	4.699789251129574824e-02	1.319808126652320668e-01	0.000000000000000000e+00
9.221978823334340144e-12	3.643377288276140047e-01	1.108546659435112147e+01	4.853113007225626913e-02	1.341063404142967819e-01	0.000000000000000000e+00
9.658832241158709141e-12	3.760571171548416913e-01	1.108367691848734360e+01	5.010028421021569395e-02	1.361182909653390061e-01	0.000000000000000000e+00
1.011637979766206976e-11	3.881008981960858972e-01	1.108348222224218027e+01	5.170572759885398023e-02	1.380127390900444950e-01	0.000000000000000000e+00
1.059560179277614774e-11	4.004732139340873021e-01	1.108478010764293487e+01	5.334781370255645139e-02	1.397861519903259020e-01	0.000000000000000000e+00
