pc	M	R	C	k2	j3
9.999999999999999799e-13	9.413888682998387825e-02	1.303157247953798503e+02	1.066700429009305581e-03	1.662407796711061947e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.521391148420293993e-02	1.037426097871271509e+02	1.355231453887944301e-03	1.636367880729691767e-04	0.000000000000000000e+00
1.096985797892381920e-12	9.654262120187337426e-02	8.569630971983707468e+01	1.663516835514129103e-03	1.660578991521459132e-04	0.000000000000000000e+00
1.148951000187311009e-12	9.808184765132978156e-02	7.273579687557811724e+01	1.991180691380514418e-03	1.734812489669927617e-04	0.000000000000000000e+00
1.203377840777590522e-12	9.980655119861722713e-02	6.303387613038876225e+01	2.338057943436446309e-03	1.869652277874576886e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.017015489892605234e-01	5.553558845028268820e+01	2.704122891497881369e-03	2.083852200837050628e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.037574681135967208e-01	4.959171495626939219e+01	3.089445038541902000e-03	2.403133793878282833e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.059685735234809911e-01	4.478211386072131006e+01	3.494159562738266729e-03	2.859965818535247840e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.083314964103559291e-01	4.082361123203306619e+01	3.918443217328104050e-03	3.493110944782792482e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.108445417006973660e-01	3.751871248361781852e+01	4.362511860358479245e-03	4.347312784134757004e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.135072427505179338e-01	3.472570254474896956e+01	4.826616224117276539e-03	5.472919966703853169e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.163200502874000564e-01	3.234041777614898194e+01	5.311035330066070370e-03	6.925153192632572084e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.192840770095074665e-01	3.028471658648810916e+01	5.816064252598847351e-03	8.763530856610938493e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.224009634751464931e-01	2.849889036008988086e+01	6.342012896775339921e-03	1.105085209657918205e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.256728331021166323e-01	2.693655246232219724e+01	6.889213278346575757e-03	1.385223427372923605e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.291022164037523845e-01	2.556115890627457077e+01	7.458017413203880779e-03	1.723429560569531178e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.326919684003977917e-01	2.434356597036596170e+01	8.048791464063209319e-03	2.126377387905712367e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.364451570672838288e-01	2.326028462445440681e+01	8.661903398250909991e-03	2.600667651885651445e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.403651096601178372e-01	2.229216443772364897e+01	9.297735051702621031e-03	3.152683819999016913e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.444554084767750435e-01	2.142344386952969870e+01	9.956684728716041002e-03	3.788560682535461153e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.487198622567286466e-01	2.064104390100922259e+01	1.063916518903366450e-02	4.513984000446310055e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.531624166142352694e-01	1.993403865565819899e+01	1.134559166582553222e-02	5.334173293330690679e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.577871332678893734e-01	1.929323425039813245e+01	1.207638036871670588e-02	6.253751034644419379e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.625982710372001205e-01	1.871083077084382396e+01	1.283196266884773645e-02	7.276692805439758695e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.676002759626828709e-01	1.818017235542762933e+01	1.361278446356135007e-02	8.406283542797418629e-03	0.000000000000000000e+00
3.180625692794118977e-12	1.727977500185158277e-01	1.769555013754485628e+01	1.441930238101530454e-02	9.645020627016852310e-03	0.000000000000000000e+00
3.331294787934670055e-12	1.781953409806897870e-01	1.725204979355097379e+01	1.525196770623707919e-02	1.099461427496021756e-02	0.000000000000000000e+00
3.489101213406766494e-12	1.837978026431613121e-01	1.684541348225236845e+01	1.611123656299288942e-02	1.245589026825267079e-02	0.000000000000000000e+00
3.654383070957261569e-12	1.896100447724735905e-01	1.647193151538768774e+01	1.699757819801148845e-02	1.402887698612271389e-02	0.000000000000000000e+00
3.827494478516314936e-12	1.956371174799824975e-01	1.612835904337612192e+01	1.791147319048252279e-02	1.571274509249248261e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.018841558953415327e-01	1.581184896167714804e+01	1.885340574768332167e-02	1.750581193940807523e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.083562838372354509e-01	1.551989699430128056e+01	1.982385002478901162e-02	1.940554830467828423e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.150587226756121850e-01	1.525028677242889152e+01	2.082328708405683376e-02	2.140862706734834517e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.219968063202409081e-01	1.500104947687860601e+01	2.185220762517417828e-02	2.351093832835579600e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.291759621551431314e-01	1.477043117106740766e+01	2.291110972120337722e-02	2.570772165405831380e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.366016208988628300e-01	1.455686682846848257e+01	2.400048630691362095e-02	2.799344466183278923e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.442791736373088052e-01	1.435895624208842136e+01	2.512081962578676178e-02	3.036196454733863445e-02	0.000000000000000000e+00
5.542664520663095602e-12	2.522140751858362173e-01	1.417544000815228422e+01	2.627259711474357051e-02	3.280658129037461457e-02	0.000000000000000000e+00
5.805225516094907684e-12	2.604118371808366028e-01	1.400518249987440278e+01	2.745631090998627497e-02	3.532008735265609184e-02	0.000000000000000000e+00
6.080224261649427052e-12	2.688780011547171056e-01	1.384715750203513629e+01	2.867245461078139421e-02	3.789487233279234535e-02	0.000000000000000000e+00
6.368249944718585906e-12	2.776180218863940063e-01	1.370043679861124097e+01	2.992150795196453841e-02	4.052280000863738713e-02	0.000000000000000000e+00
6.669919663030115058e-12	2.866372889089443543e-01	1.356417831370940696e+01	3.120393985887406907e-02	4.319558237330515388e-02	0.000000000000000000e+00
6.985879746785234820e-12	2.959411940572388988e-01	1.343761459544258052e+01	3.252022006905480600e-02	4.590455444294415377e-02	0.000000000000000000e+00
7.316807143427207274e-12	3.055351141250563507e-01	1.332004521538399544e+01	3.387081645452069689e-02	4.864093080048334516e-02	0.000000000000000000e+00
7.663410868007462274e-12	3.154243706122774049e-01	1.321082952965920398e+01	3.525619111034673792e-02	5.139578146384516516e-02	0.000000000000000000e+00
8.026433522257174683e-12	3.256141124736838255e-01	1.310938146047152486e+01	3.667678450546665164e-02	5.416008496080244178e-02	0.000000000000000000e+00
