pc	M	R	C	k2	j3
9.999999999999999799e-13	9.431027760856518227e-02	1.192764587489300538e+02	1.167547401436298165e-03	2.239977207934306150e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.542146216611128995e-02	9.656571783609739157e+01	1.459127789734969427e-03	2.080615818591553660e-04	0.000000000000000000e+00
1.096985797892381920e-12	9.678198797612458382e-02	8.071566934368166812e+01	1.770544803755578133e-03	2.033461313575492149e-04	0.000000000000000000e+00
1.148951000187311009e-12	9.835088903958348616e-02	6.910905274668594700e+01	2.101423500906558686e-03	2.069581318857546023e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.001042460462032019e-01	6.029387586605371752e+01	2.451599542103141509e-03	2.186166395744143260e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.020274996263545592e-01	5.340442171254528603e+01	2.821046611302184016e-03	2.401361122364209554e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.041116579107849438e-01	4.789464934614557734e+01	3.209834195556642879e-03	2.739510575392035247e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.063512587124661318e-01	4.340423482037088121e+01	3.618101657054281946e-03	3.233012079694483169e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.087431969222653061e-01	3.968642869020452224e+01	4.046041307624911008e-03	3.921198739046324877e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.112860114143412876e-01	3.656694629405829744e+01	4.493886695288021489e-03	4.849997421605371914e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.139794288452799648e-01	3.391941533959753485e+01	4.961903954784539772e-03	6.070940538769811897e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.168240416104463497e-01	3.165013109235078304e+01	5.450382088883537826e-03	7.640611132120113955e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.198209787964881756e-01	2.968830740235937071e+01	5.959607524101176099e-03	9.619580838030045286e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.229718703308579075e-01	2.797946518693909113e+01	6.489879072567525387e-03	1.207160355641920301e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.262788340282361699e-01	2.648100054567294848e+01	7.041519852297302602e-03	1.506255442232993678e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.297444047407581014e-01	2.515915646781298776e+01	7.614875318349075516e-03	1.865939726124038337e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.333714785880894260e-01	2.398686976585333142e+01	8.210311294561711479e-03	2.292914402984328262e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.371632666918238264e-01	2.294221284911329661e+01	8.828211926780404895e-03	2.793779991641649578e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.411232558538639825e-01	2.200724789673494897e+01	9.468977553152051890e-03	3.374915890601406458e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.452551729745749642e-01	2.116717200724692916e+01	1.013302242923577214e-02	4.042376359912700640e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.495629518844077410e-01	2.040967106671909193e+01	1.082077228428729096e-02	4.801810565950984100e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.540506780556297750e-01	1.972442872011858839e+01	1.153265806432717672e-02	5.658340945525737985e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.587223795903697221e-01	1.910276450803038983e+01	1.226908510600108367e-02	6.616449934912271673e-03	0.000000000000000000e+00
