pc	M	R	C	k2	j3
9.999999999999999799e-13	1.280205039870884742e-01	2.460845431113456527e+01	7.681843084124738257e-03	3.536654259351925539e-03	0.000000000000000000e+00
1.047370897959448749e-12	1.326620060443391425e-01	2.363646877263539636e+01	8.287703408898202187e-03	4.401636723770616794e-03	0.000000000000000000e+00
1.096985797892381920e-12	1.374728669899854538e-01	2.277977535970633127e+01	8.911232769205737134e-03	5.398969231377158742e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.424570501314806892e-01	2.202044564208031829e+01	9.552742656394766149e-03	6.534398975232044715e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.476187750270366861e-01	2.134405350808831159e+01	1.021256729215819919e-02	7.812361439675870670e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.529625063744483038e-01	2.073886416625216711e+01	1.089106271959332239e-02	9.235937423796733436e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.584929454879598909e-01	2.019523793521617705e+01	1.158860599286409658e-02	1.080687797184484017e-02	0.000000000000000000e+00
1.382622173764653478e-12	1.642150239556168789e-01	1.970518539002099700e+01	1.230559444291380762e-02	1.252560137812190784e-02	0.000000000000000000e+00
1.448118227674535917e-12	1.701338986752073679e-01	1.926203083485560796e+01	1.304244504290212950e-02	1.439127674208497999e-02	0.000000000000000000e+00
1.516716888470924089e-12	1.762549470083422387e-01	1.886015473384348340e+01	1.379959367364257464e-02	1.640186153771639940e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.825836687372283107e-01	1.849479925581272965e+01	1.457748296326390018e-02	1.855414905056784400e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.891254004446206727e-01	1.816192239136390896e+01	1.537652788217562516e-02	2.084372271350523609e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.958855053187548712e-01	1.785805640710057318e+01	1.619714036767059759e-02	2.326514177046291529e-02	0.000000000000000000e+00
1.825183494319046040e-12	2.028694255823328685e-01	1.758020606652154783e+01	1.703973644416502051e-02	2.581202680147039533e-02	0.000000000000000000e+00
1.911644075385703708e-12	2.100826663421470342e-01	1.732577067487613220e+01	1.790473485473067713e-02	2.847712992058206577e-02	0.000000000000000000e+00
