pc	M	R	C	k2	j3
9.999999999999999799e-13	9.238239820727045526e-02	2.745416960163135656e+01	4.968795866162845250e-03	1.547364617904301801e-03	0.000000000000000000e+00
1.047370897959448749e-12	9.631578840510063300e-02	2.555523809406273017e+01	5.565289841731569168e-03	1.933649904683181842e-03	0.000000000000000000e+00
1.096985797892381920e-12	1.004144735509261699e-01	2.399133386220755071e+01	6.180336992709770105e-03	2.437515110607050769e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.046836991650841042e-01	2.268395185873981035e+01	6.814446383518981375e-03	3.077560310653694627e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.091291516484384216e-01	2.157736626050665407e+01	7.468142233320413000e-03	3.870516262653434219e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.137568644352280195e-01	2.063093483815602980e+01	8.141959550044436042e-03	4.831054478292736570e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.185731449866586767e-01	1.981432394188297863e+01	8.836439638839801991e-03	5.971664479981486640e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.235845143803000340e-01	1.910443766019214351e+01	9.552125761635161041e-03	7.302578971375581207e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.287976535957482960e-01	1.848338160614451553e+01	1.028955886981050387e-02	8.831678817851110544e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.342193520044051291e-01	1.793707643792993522e+01	1.104927325147027524e-02	1.056443302270843390e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.398564560637962917e-01	1.745429149735193164e+01	1.183179208702749355e-02	1.250396927817102460e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.457158146416270283e-01	1.702595724923067877e+01	1.263762269534321817e-02	1.465096961123169700e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.518042218982014191e-01	1.664466696460337403e+01	1.346725164033692884e-02	1.700386473722933015e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.581283544327660995e-01	1.630430959735689100e+01	1.432113943125514106e-02	1.955879451542288233e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.646947035817103999e-01	1.599979512013727145e+01	1.519971505655612169e-02	2.230976218914038425e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.715095001321062795e-01	1.572684641262966743e+01	1.610336996492010841e-02	2.524876157507760510e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.785785131590116037e-01	1.548184343671818652e+01	1.703243602978030125e-02	2.836582250931074176e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.859069575211143577e-01	1.526169846528895846e+01	1.798717706220711102e-02	3.164914851308466698e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.935000872862242260e-01	1.506374323218068767e+01	1.896786700801078931e-02	3.508566675157559489e-02	0.000000000000000000e+00
2.409403560239526876e-12	2.013632914241518523e-01	1.488565908551408690e+01	1.997480130746671564e-02	3.866116510052974853e-02	0.000000000000000000e+00
2.523539170434765862e-12	2.095020883658207655e-01	1.472542296593693578e+01	2.100829530079980148e-02	4.236064453593026830e-02	0.000000000000000000e+00
2.643081486974102692e-12	2.179221219255813580e-01	1.458126279961942373e+01	2.206868301407967706e-02	4.616847138644242926e-02	0.000000000000000000e+00
2.768286630392061017e-12	2.266291583019041100e-01	1.445162054521517625e+01	2.315631618935857367e-02	5.006858731760829850e-02	0.000000000000000000e+00
2.899422853882880921e-12	2.356290829795070207e-01	1.433512146358369854e+01	2.427156337720725796e-02	5.404468108228231704e-02	0.000000000000000000e+00
3.036771118035460378e-12	2.449278976415775189e-01	1.423054843316593754e+01	2.541480910544530528e-02	5.808036527844735036e-02	0.000000000000000000e+00
3.180625692794118977e-12	2.545317171421920266e-01	1.413682041675962253e+01	2.658645306188803584e-02	6.215930494094602798e-02	0.000000000000000000e+00
3.331294787934670055e-12	2.644467652951065784e-01	1.405297428482536048e+01	2.778690924267925022e-02	6.626542294803301758e-02	0.000000000000000000e+00
3.489101213406766494e-12	2.746793714504194850e-01	1.397814948195433260e+01	2.901660511344439017e-02	7.038282267358958455e-02	0.000000000000000000e+00
3.654383070957261569e-12	2.852359646813771854e-01	1.391157493189546912e+01	3.027598067971343926e-02	7.449629922478499811e-02	0.000000000000000000e+00
3.827494478516314936e-12	2.961230631083265341e-01	1.385255796161733244e+01	3.156548685500779744e-02	7.859079297725353463e-02	0.000000000000000000e+00
4.008806328898464320e-12	3.073470501879403960e-01	1.380047551831407127e+01	3.288555936018558445e-02	8.265197333088847298e-02	0.000000000000000000e+00
4.198707084443905621e-12	3.189139669170134583e-01	1.375476567737179145e+01	3.423659602986535433e-02	8.666595156055539872e-02	0.000000000000000000e+00
4.397603609302712498e-12	3.308296153345751112e-01	1.371491858850574452e+01	3.561897199063996516e-02	9.061944494097839975e-02	0.000000000000000000e+00
4.605922041145112927e-12	3.430995396312114254e-01	1.368046985049197772e+01	3.703303938480045215e-02	9.449978313383075590e-02	0.000000000000000000e+00
4.824108704165373984e-12	3.557289902934656078e-01	1.365099483004840586e+01	3.847912541723818441e-02	9.829505299416387010e-02	0.000000000000000000e+00
