pc	M	R	C	k2	j3
9.999999999999999799e-13	9.896752929022643863e-02	6.023331957760584743e+01	2.426197577023128226e-03	2.035520412854337224e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.996777282666607922e-02	5.592257704764035964e+01	2.639630118671193112e-03	2.188048833589782921e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.010066596864818145e-01	5.217153629765433465e+01	2.858818728489993972e-03	2.385675416213011888e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.020820559433460450e-01	4.888108492852133935e+01	3.083747472996525157e-03	2.633999940716107158e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.031923084189634993e-01	4.597358091391891577e+01	3.314432892250648768e-03	2.939485124499051946e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.043361883308892568e-01	4.338742873749797724e+01	3.550923273949948764e-03	3.308628692032751831e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.055128544706465527e-01	4.107318878642571747e+01	3.793299955887272958e-03	3.749330333671010030e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.067218308629231810e-01	3.899076094567520556e+01	4.041678752326581178e-03	4.269328311797494151e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.079629899606384946e-01	3.710731153002161165e+01	4.296211450163351341e-03	4.876992302252018793e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.092365434096031901e-01	3.539572617862832971e+01	4.557087395405085874e-03	5.581127154927601310e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.105430376707814549e-01	3.383343939647745202e+01	4.824535214278830378e-03	6.390890022786723879e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.118833552257797459e-01	3.240153774265473174e+01	5.098824864195757554e-03	7.316006181585759782e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.132587185975800909e-01	3.108406628057701582e+01	5.380269775330665145e-03	8.366559223822016018e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.146706978729147841e-01	2.986748698452515782e+01	5.669229097702034419e-03	9.553282223893632980e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.161211696889010297e-01	2.874028488176869800e+01	5.966100545893440049e-03	1.088738297909848168e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.176121199636614156e-01	2.769272424412725542e+01	6.271286361438499837e-03	1.238057755964723635e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.191455287369677096e-01	2.671655699512672300e+01	6.585177637949597013e-03	1.404490846840676134e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.207233291188536672e-01	2.580474820632550603e+01	6.908150850679622285e-03	1.589259888432907738e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.223473739638794716e-01	2.495125824717692709e+01	7.240564656195315647e-03	1.793600394774900282e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.240194086698007681e-01	2.415086767769712495e+01	7.582757248574143773e-03	2.018753137944846818e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.257410427572679679e-01	2.339903792650333969e+01	7.935043122958071807e-03	2.265936091370228302e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.275137267979571110e-01	2.269179695287060383e+01	8.297710624417944242e-03	2.536355841163312301e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.293387249438589792e-01	2.202564821756359947e+01	8.671018476992226054e-03	2.831151660784585970e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.312170906519917191e-01	2.139749508584715443e+01	9.055192851498467324e-03	3.151407080294915414e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.331496414168649445e-01	2.080457906177581506e+01	9.450424199854158200e-03	3.498122944685299815e-03	0.000000000000000000e+00
3.180625692794118977e-12	1.351369540086338750e-01	2.024442343066147387e+01	9.856868173820657053e-03	3.872194485231203985e-03	0.000000000000000000e+00
3.331294787934670055e-12	1.371796785549687370e-01	1.971471505531379975e+01	1.027470854645211144e-02	4.274458787984276864e-03	0.000000000000000000e+00
3.489101213406766494e-12	1.392788373992072948e-01	1.921324950459845482e+01	1.070420814437192565e-02	4.705757420409213167e-03	0.000000000000000000e+00
3.654383070957261569e-12	1.414358585155070236e-01	1.873795373887556437e+01	1.114570652568024241e-02	5.166925777947048957e-03	0.000000000000000000e+00
3.827494478516314936e-12	1.436526378791878056e-01	1.828688875285662618e+01	1.159962681985254526e-02	5.658848836362170669e-03	0.000000000000000000e+00
4.008806328898464320e-12	1.459315966047030622e-01	1.785824915027608029e+01	1.206648260890496628e-02	6.182450063078988138e-03	0.000000000000000000e+00
4.198707084443905621e-12	1.482757391328985430e-01	1.745036037343885482e+01	1.254688543482435428e-02	6.738739209382401708e-03	0.000000000000000000e+00
4.397603609302712498e-12	1.506887120386838641e-01	1.706167481117639184e+01	1.304155255153213906e-02	7.328827472961605208e-03	0.000000000000000000e+00
4.605922041145112927e-12	1.531748667788262463e-01	1.669076694798313198e+01	1.355131539298525499e-02	7.953955304209746335e-03	0.000000000000000000e+00
4.824108704165373984e-12	1.557393287993535935e-01	1.633632792211118456e+01	1.407712902482830160e-02	8.615532342046941516e-03	0.000000000000000000e+00
5.052631065335679604e-12	1.583880722223676429e-01	1.599716004946388459e+01	1.462008232385945961e-02	9.315160594462282631e-03	0.000000000000000000e+00
5.291978735958436557e-12	1.611280047156570527e-01	1.567217120403997299e+01	1.518140956729296422e-02	1.005466237547759413e-02	0.000000000000000000e+00
5.542664520663095602e-12	1.639673364959470525e-01	1.536034015874098024e+01	1.576255967117397641e-02	1.083622354444128445e-02	0.000000000000000000e+00
5.805225516094907684e-12	1.669163442145434606e-01	1.506065370679399074e+01	1.636534919557003018e-02	1.166258076776314871e-02	0.000000000000000000e+00
6.080224261649427052e-12	1.699864541884214819e-01	1.477222117135084645e+01	1.699177499729942128e-02	1.253683395217819636e-02	0.000000000000000000e+00
6.368249944718585906e-12	1.731900379278227264e-01	1.449428670776324601e+01	1.764396934778931364e-02	1.346234467062161835e-02	0.000000000000000000e+00
6.669919663030115058e-12	1.765405077796801114e-01	1.422621160975247179e+01	1.832421345130784765e-02	1.444278436037619261e-02	0.000000000000000000e+00
6.985879746785234820e-12	1.800524259276440608e-01	1.396745994304998817e+01	1.903495163583817165e-02	1.548211470221597802e-02	0.000000000000000000e+00
7.316807143427207274e-12	1.837416324072897456e-01	1.371758641735563167e+01	1.977880736313284912e-02	1.658462384693018890e-02	0.000000000000000000e+00
