pc	M	R	C	k2	j3
9.999999999999999799e-13	9.544094126983591886e-02	1.143133392390902117e+02	1.232843749479910819e-03	3.568489254894538954e-05	0.000000000000000000e+00
1.047370897959448749e-12	9.638907899962609327e-02	9.660613338835339903e+01	1.473307384370685542e-03	4.724526029731541228e-05	0.000000000000000000e+00
1.096985797892381920e-12	9.746711795111788479e-02	8.327663661687597596e+01	1.728244497813181827e-03	6.108843996084791341e-05	0.000000000000000000e+00
1.148951000187311009e-12	9.866994385423071001e-02	7.292399381255310686e+01	1.997950253205499176e-03	7.788240394737106051e-05	0.000000000000000000e+00
1.203377840777590522e-12	9.999421818689714636e-02	6.468256826396074644e+01	2.282747462465949118e-03	9.855515794005264554e-05	0.000000000000000000e+00
1.260382929679727463e-12	1.014378760717946776e-01	5.798965841686627698e+01	2.582972793295604339e-03	1.243297070540293203e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.029998998920921560e-01	5.246387756983747153e+01	2.898989562873525820e-03	1.567564052095587795e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.046800101385115950e-01	4.783817588131611132e+01	3.231166815016242588e-03	1.977356511557392901e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.064785730902392258e-01	4.392004097635782500e+01	3.579890319598981029e-03	2.495379468542771465e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.083964906801687389e-01	4.056735836980389109e+01	3.945560695561415622e-03	3.148174658528823705e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.104351120272300812e-01	3.767305256164760863e+01	4.328591472952467677e-03	3.966127339761400285e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.125961051068032209e-01	3.515505888192925710e+01	4.729397017244690686e-03	4.983384228656251910e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.148815150654456385e-01	3.294937223845044372e+01	5.148411417678365291e-03	6.237778766165975094e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.172936547284972042e-01	3.100545015155164208e+01	5.586074360129080103e-03	7.770497701892414106e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.198350792458111880e-01	2.928287246951070699e+01	6.042832083294378924e-03	9.625837053652116972e-04	0.000000000000000000e+00
2.002200371815584363e-12	1.225086064505321037e-01	2.774892794120018991e+01	6.519144772221091913e-03	1.185075898579702244e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.253172734282230194e-01	2.637689661698960819e+01	7.015481360753514362e-03	1.449434495918247752e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.282643012274315986e-01	2.514476011875790462e+01	7.532316108066194719e-03	1.760740334323560377e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.313530883325219611e-01	2.403421828878086686e+01	8.070129837143088028e-03	2.124174171080805713e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.345872487441873988e-01	2.302993286337639489e+01	8.629417446422907659e-03	2.544952679097340058e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.379705591168878809e-01	2.211897307709736893e+01	9.210680107882458778e-03	3.028274424969808979e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.415069593015722549e-01	2.129036464551688823e+01	9.814426664217258678e-03	3.579233614937665266e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.452005769978234606e-01	2.053473330036619160e+01	1.044117826071683762e-02	4.202766160485508704e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.490556942331992263e-01	1.984403369240994763e+01	1.109146341219906760e-02	4.903577438584179500e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.530767261801938561e-01	1.921132736439585642e+01	1.176581533946286472e-02	5.686069329931909243e-03	0.000000000000000000e+00
3.180625692794118977e-12	1.572682653758945004e-01	1.863059528662883579e+01	1.246477949012995620e-02	6.554280482734091418e-03	0.000000000000000000e+00
3.331294787934670055e-12	1.616350256412383279e-01	1.809659906464917967e+01	1.318890520865184136e-02	7.511821800919973695e-03	0.000000000000000000e+00
3.489101213406766494e-12	1.661818987288321836e-01	1.760475465969035369e+01	1.393875468066983932e-02	8.561840559398995257e-03	0.000000000000000000e+00
3.654383070957261569e-12	1.709139069260124100e-01	1.715103934796625751e+01	1.471489588410616889e-02	9.706982413939451576e-03	0.000000000000000000e+00
3.827494478516314936e-12	1.758362007475307298e-01	1.673190935047948358e+01	1.551790266653233115e-02	1.094922475547563563e-02	0.000000000000000000e+00
4.008806328898464320e-12	1.809540802708781426e-01	1.634423028487667651e+01	1.634835811990784440e-02	1.229008646480764591e-02	0.000000000000000000e+00
4.198707084443905621e-12	1.862729790642237704e-01	1.598522143193525125e+01	1.720685261195263951e-02	1.373033437413090016e-02	0.000000000000000000e+00
4.397603609302712498e-12	1.917984872544786223e-01	1.565240712828356706e+01	1.809398712276662213e-02	1.527014596944137673e-02	0.000000000000000000e+00
4.605922041145112927e-12	1.975362464769280235e-01	1.534358163109627959e+01	1.901035749648481016e-02	1.690899152804135191e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.034920699377935072e-01	1.505676747015611205e+01	1.995657373754594274e-02	1.864572889755631430e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.096719063765153934e-01	1.479018952809571807e+01	2.093325383288139468e-02	2.047836066270235233e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.160817660031850995e-01	1.454225233146387630e+01	2.194101324335632347e-02	2.240454488004296751e-02	0.000000000000000000e+00
5.542664520663095602e-12	2.227277623072710100e-01	1.431151641279106457e+01	2.298047154524796021e-02	2.442098178648100318e-02	0.000000000000000000e+00
5.805225516094907684e-12	2.296161630583665181e-01	1.409667829745078826e+01	2.405226066178120514e-02	2.652389056411427401e-02	0.000000000000000000e+00
6.080224261649427052e-12	2.367532491336606093e-01	1.389655895714728295e+01	2.515700340766284515e-02	2.870871241542696795e-02	0.000000000000000000e+00
6.368249944718585906e-12	2.441453713457031882e-01	1.371008711039066519e+01	2.629532336682120774e-02	3.097069728736262864e-02	0.000000000000000000e+00
6.669919663030115058e-12	2.517990052098911247e-01	1.353628622542028914e+01	2.746785309780494858e-02	3.330411166354164260e-02	0.000000000000000000e+00
6.985879746785234820e-12	2.597207047456926987e-01	1.337426539691448291e+01	2.867522740214540483e-02	3.570291609443410064e-02	0.000000000000000000e+00
7.316807143427207274e-12	2.679170052568193294e-01	1.322321153879201994e+01	2.991806968966035860e-02	3.816063261613394930e-02	0.000000000000000000e+00
7.663410868007462274e-12	2.763945418176455004e-01	1.308237883681385760e+01	3.119701029715699764e-02	4.067031972631168085e-02	0.000000000000000000e+00
8.026433522257174683e-12	2.851598963774961137e-01	1.295108397382066556e+01	3.251266460396084329e-02	4.322472147304634582e-02	0.000000000000000000e+00
8.406652885618316356e-12	2.942196916281826780e-01	1.282869810613531669e+01	3.386564767699582618e-02	4.581614400850992502e-02	0.000000000000000000e+00
8.804883581643446547e-12	3.035806059015276892e-01	1.271464134445630023e+01	3.525657694041490348e-02	4.843685369180022321e-02	0.000000000000000000e+00
9.221978823334340144e-12	3.132491756878515443e-01	1.260837982949329117e+01	3.668604448313314559e-02	5.107864004097049937e-02	0.000000000000000000e+00
9.658832241158709141e-12	3.232320661354970426e-01	1.250941836063037549e+01	3.815465721471227728e-02	5.373330965525689729e-02	0.000000000000000000e+00
1.011637979766206976e-11	3.335357375998385110e-01	1.241729986738423008e+01	3.966298907765330312e-02	5.639245411912192224e-02	0.000000000000000000e+00
1.059560179277614774e-11	3.441666958640104412e-01	1.233159917330587341e+01	4.121161913158334633e-02	5.904784067044647339e-02	0.000000000000000000e+00
1.109752496412069864e-11	3.551312134766278494e-01	1.225192213808516506e+01	4.280109226915070064e-02	6.169084159044283672e-02	0.000000000000000000e+00
1.162322468679854125e-11	3.664355947733649588e-01	1.217790085038013892e+01	4.443195828911507272e-02	6.431316713508264393e-02	0.000000000000000000e+00
1.217382727739662020e-11	3.780859304666815413e-01	1.210919270596521358e+01	4.610473826356508570e-02	6.690645507808791470e-02	0.000000000000000000e+00
1.275051240713012859e-11	3.900881391206632021e-01	1.204547772357934754e+01	4.781993172879411141e-02	6.946263248921678846e-02	0.000000000000000000e+00
1.335451562929897339e-11	4.024479314947377318e-01	1.198645640091444697e+01	4.957801385822876300e-02	7.197365888847563620e-02	0.000000000000000000e+00
1.398713102647241439e-11	4.151709124454561750e-01	1.193184768185750855e+01	5.137945022675299844e-02	7.443160685736631421e-02	0.000000000000000000e+00
1.464971398307287854e-11	4.282624191551312465e-01	1.188138792026349400e+01	5.322467587340797696e-02	7.682899422440934989e-02	0.000000000000000000e+00
1.534368408930013065e-11	4.417274850761889193e-01	1.183482932434657897e+01	5.511409221871152453e-02	7.915890058275792951e-02	0.000000000000000000e+00
1.607052818261638620e-11	4.555709421981272711e-01	1.179193826033065839e+01	5.704808282117143636e-02	8.141399241525251740e-02	0.000000000000000000e+00
1.683180353330955093e-11	4.697971832895072031e-01	1.175249469033665939e+01	5.902698217706899009e-02	8.358784916310921242e-02	0.000000000000000000e+00
1.762914118095944293e-11	4.844103150206254815e-01	1.171629034895372712e+01	6.105109978144684230e-02	8.567407396854738455e-02	0.000000000000000000e+00
1.846424942895546448e-11	4.994140826158477431e-01	1.168312832541971957e+01	6.312070961374807720e-02	8.766713756884722542e-02	0.000000000000000000e+00
1.933891750455232057e-11	5.148118613395602505e-01	1.165282186190973768e+01	6.523605229452862642e-02	8.956142625152502257e-02	0.000000000000000000e+00
2.025501939230666486e-11	5.306064493840090268e-01	1.162519389805886938e+01	6.739730861901514769e-02	9.135194906593807618e-02	0.000000000000000000e+00
2.121451784910627571e-11	5.468003149837940002e-01	1.160007590309580650e+01	6.960463495532334677e-02	9.303426568775341465e-02	0.000000000000000000e+00
2.221946860939528424e-11	5.633953180234496649e-01	1.157730755168259407e+01	7.185812783824338523e-02	9.460423452484950646e-02	0.000000000000000000e+00
2.327202478960412005e-11	5.803928745444209003e-01	1.155673594628154000e+01	7.415784768265208660e-02	9.605828353320791657e-02	0.000000000000000000e+00
2.437444150122221807e-11	5.977937768226925241e-01	1.153821514280133087e+01	7.650379729301989840e-02	9.739329612137770376e-02	0.000000000000000000e+00
2.552908068239516723e-11	6.155982240162550800e-01	1.152160569955438163e+01	7.889592727285860141e-02	9.860647087305236813e-02	0.000000000000000000e+00
2.673841615839943880e-11	6.338057541996376942e-01	1.150677409620092995e+01	8.133413004281141168e-02	9.969601605914635289e-02	0.000000000000000000e+00
2.800503894183625342e-11	6.524153310717469845e-01	1.149359239876523375e+01	8.381825236891549125e-02	1.006599685818864581e-01	0.000000000000000000e+00
2.933166278390048099e-11	6.714250748357299958e-01	1.148193790581920837e+01	8.634806253876828319e-02	1.014970302774386712e-01	0.000000000000000000e+00
3.072112998861759207e-11	6.908325440378418891e-01	1.147169275668944088e+01	8.892328877665951758e-02	1.022066136850685591e-01	0.000000000000000000e+00
3.217641750250735458e-11	7.106344774261710295e-01	1.146274372897655347e+01	9.154358709189869270e-02	1.027884959603382053e-01	0.000000000000000000e+00
3.370064329271925032e-11	7.308268124555118428e-01	1.145498184658146634e+01	9.420854622657821864e-02	1.032428065622830737e-01	0.000000000000000000e+00
3.529707302730657668e-11	7.514047527640304036e-01	1.144830223458668961e+01	9.691769717940093565e-02	1.035699441183949160e-01	0.000000000000000000e+00
3.696912707195032437e-11	7.723625352738805461e-01	1.144260377754586067e+01	9.967048569080574905e-02	1.037713543033693120e-01	0.000000000000000000e+00
3.872038781812557004e-11	7.936936052070645564e-01	1.143778895330852841e+01	1.024662960043817433e-01	1.038481608205778367e-01	0.000000000000000000e+00
4.055460735840827506e-11	8.153905556638941787e-01	1.143376367475174149e+01	1.053044442386650709e-01	1.038023796519161740e-01	0.000000000000000000e+00
4.247571552536894126e-11	8.374450928873258260e-01	1.143043717989251284e+01	1.081841746073441274e-01	1.036362216193933150e-01	0.000000000000000000e+00
4.448782831127576069e-11	8.598479947376442833e-01	1.142772179638325269e+01	1.111046559105049458e-01	1.033523732856744259e-01	0.000000000000000000e+00
4.659525668664686662e-11	8.825890612690587833e-01	1.142553281348620153e+01	1.140649760554879877e-01	1.029536397114432789e-01	0.000000000000000000e+00
4.880251583654433574e-11	9.056572476081767853e-01	1.142378842437533137e+01	1.170641593823212034e-01	1.024432955183857824e-01	0.000000000000000000e+00
5.111433483440165318e-11	9.290405582481772173e-01	1.142240962433151275e+01	1.201011534771421335e-01	1.018249785817285230e-01	0.000000000000000000e+00
5.353566677410718816e-11	9.527259871555279203e-01	1.142132004648023091e+01	1.231748224863800784e-01	1.011024415676441413e-01	0.000000000000000000e+00
5.607169938205469661e-11	9.766997247638363744e-01	1.142044600672340060e+01	1.262839726403195140e-01	1.002798909810881101e-01	0.000000000000000000e+00
5.872786613189488850e-11	1.000946931478734703e+00	1.141971635954571163e+01	1.294273235536280431e-01	9.936108859839330731e-02	0.000000000000000000e+00
6.150985788580503926e-11	1.025451875887469999e+00	1.141906242451110209e+01	1.326035258332234068e-01	9.835111708915809936e-02	0.000000000000000000e+00
6.442363508721370414e-11	1.050197895217734878e+00	1.141841797969326677e+01	1.358111547738751756e-01	9.725441104088380917e-02	0.000000000000000000e+00
6.747544053110686101e-11	1.075167442439839860e+00	1.141771919216100883e+01	1.390487157717988087e-01	9.607575266925090507e-02	0.000000000000000000e+00
7.067181273927477085e-11	1.100342137346279614e+00	1.141690460868532142e+01	1.423146493567989390e-01	9.482013422061068286e-02	0.000000000000000000e+00
7.401959996915652408e-11	1.125702696205296283e+00	1.141591512179021173e+01	1.456073205848132934e-01	9.349245290387318830e-02	0.000000000000000000e+00
7.752597488629464062e-11	1.151229038778335489e+00	1.141469389981813443e+01	1.489250316299729759e-01	9.209802412430960483e-02	0.000000000000000000e+00
8.119844993184008328e-11	1.176900411843273098e+00	1.141318651256597150e+01	1.522660337664559771e-01	9.064169627499063520e-02	0.000000000000000000e+00
8.504489341802668113e-11	1.202695065825658327e+00	1.141134068593326134e+01	1.556284861090044269e-01	8.912881880451206662e-02	0.000000000000000000e+00
8.907354638610458163e-11	1.228590925473065587e+00	1.140910653011014375e+01	1.590105365376359714e-01	8.756448957098977859e-02	0.000000000000000000e+00
9.329304026284695888e-11	1.254564985953517953e+00	1.140643642896569787e+01	1.624102418802256809e-01	8.595384133166522611e-02	0.000000000000000000e+00
9.771241535346501225e-11	1.280593844748131316e+00	1.140328503749851663e+01	1.658256334396106535e-01	8.430201691681368792e-02	0.000000000000000000e+00
1.023411402105452712e-10	1.306653246311545669e+00	1.139960915695426280e+01	1.692546563223467637e-01	8.261400461446408161e-02	0.000000000000000000e+00
1.071891319205126445e-10	1.332718869365897341e+00	1.139536795128316093e+01	1.726952644904245771e-01	8.089476137930864952e-02	0.000000000000000000e+00
1.122667773510811312e-10	1.358765723286653238e+00	1.139052289217165281e+01	1.761453392944422325e-01	7.914916432028389071e-02	0.000000000000000000e+00
1.175849554052158201e-10	1.384768544329424422e+00	1.138503762873643055e+01	1.796027385663198639e-01	7.738189358555153108e-02	0.000000000000000000e+00
1.231550603292826197e-10	1.410701933721158818e+00	1.137887810749318795e+01	1.830653083569742379e-01	7.559767396480063240e-02	0.000000000000000000e+00
1.289890261253308184e-10	1.436539802852164760e+00	1.137201258302323126e+01	1.865308061445070109e-01	7.380064573318151355e-02	0.000000000000000000e+00
1.350993521198024986e-10	1.462256555637991617e+00	1.136441128813873647e+01	1.899970549738820014e-01	7.199546148628081788e-02	0.000000000000000000e+00
1.414991297434578731e-10	1.487826310195120350e+00	1.135604719425615095e+01	1.934618251465649030e-01	7.018605500422324395e-02	0.000000000000000000e+00
1.482020705798860072e-10	1.513223064522512207e+00	1.134689518841028466e+01	1.969228642256047601e-01	6.837643895000830585e-02	0.000000000000000000e+00
1.552225357427047968e-10	1.538420892501213055e+00	1.133693233896613428e+01	2.003779132603487889e-01	6.657035525268695242e-02	0.000000000000000000e+00
1.625755666443793407e-10	1.563394346461468132e+00	1.132613806422628855e+01	2.038247511863655326e-01	6.477134007768023394e-02	0.000000000000000000e+00
