pc	M	R	C	k2	j3
9.999999999999999799e-13	9.218261006353643816e-02	6.303637387298977046e+01	2.159374721010650852e-03	1.709075503706784566e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.380398010969874523e-02	5.607030929087899551e+01	2.470350344794986028e-03	1.880866386840154933e-04	0.000000000000000000e+00
1.096985797892381920e-12	9.554702170533455052e-02	5.044557470359274731e+01	2.796818702565454992e-03	2.148437395996431287e-04	0.000000000000000000e+00
1.148951000187311009e-12	9.740908376995960349e-02	4.582236475351164273e+01	3.139006358072434291e-03	2.535248149434343300e-04	0.000000000000000000e+00
1.203377840777590522e-12	9.938894902456123226e-02	4.196544749012223718e+01	3.497167830532022740e-03	3.070698306985966447e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.014863999801460248e-01	3.870704890805957632e+01	3.871578067301758869e-03	3.789361747726962258e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.037019363154245699e-01	3.592443924673536060e+01	4.262526605574239180e-03	4.730900948230214631e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.060365814645558152e-01	3.352586492843042265e+01	4.670312725726574569e-03	5.939388841400316046e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.084917440946209927e-01	3.144142194377774757e+01	5.095241193991899287e-03	7.462666541732379186e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.110691129144355527e-01	2.961696317200993533e+01	5.537618246844316049e-03	9.351876554440813642e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.137705731670862613e-01	2.800992781712638546e+01	5.997747680241117228e-03	1.166056137331279545e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.165981311243212554e-01	2.658642495810177309e+01	6.475926071385982100e-03	1.444394366535015333e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.195536958430450797e-01	2.531921155522906020e+01	6.972412354954633275e-03	1.775765964459330654e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.226390708467683527e-01	2.418612342111663338e+01	7.487430803466798949e-03	2.165702531040213791e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.258561946254137531e-01	2.316886432987342914e+01	8.021213662910786288e-03	2.619613241284150882e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.292071458359453362e-01	2.225220791715443625e+01	8.574003548961992363e-03	3.142701382617643212e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.326941318528365721e-01	2.142339233589621017e+01	9.146052946382482798e-03	3.739896946812087432e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.363194772041714797e-01	2.067165107815854697e+01	9.737623551993061441e-03	4.415771701684913925e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.400856112982850343e-01	1.998784576899246446e+01	1.034898541723463378e-02	5.174472762258228165e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.439950554946920480e-01	1.936417611189219201e+01	1.098041592026393135e-02	6.019658778090342804e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.480504091689057999e-01	1.879394883794473969e+01	1.163219855577334733e-02	6.954460213886791073e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.522543345423939820e-01	1.827139221624166154e+01	1.230462153250364010e-02	7.981414337874123688e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.566095401000851539e-01	1.779150603598167635e+01	1.299797618589191954e-02	9.102431443823902346e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.611187611915317341e-01	1.734993958188062635e+01	1.371255499277643057e-02	1.031877435219679708e-02	0.000000000000000000e+00
