pc	M	R	C	k2	j3
9.999999999999999799e-13	6.686929889078297995e-01	2.202382327279362471e+03	4.483367004795413670e-04	2.600086141158674397e-02	0.000000000000000000e+00
1.047370897959448749e-12	6.591787458922478971e-01	2.468473777961042742e+03	3.943164658341134408e-04	2.345043600018255348e-02	0.000000000000000000e+00
1.096985797892381920e-12	6.385121447711205045e-01	2.822600718931050778e+03	3.340334425116050685e-04	2.372401605329288454e-02	0.000000000000000000e+00
1.148951000187311009e-12	5.920414371408388998e-01	3.323729961049143185e+03	2.630247444037954897e-04	-2.764736680951946843e-02	0.000000000000000000e+00
1.203377840777590522e-12	4.876266777295559240e-01	4.108831908396013205e+03	1.752424506521215364e-04	-1.841550650291531302e-03	0.000000000000000000e+00
1.260382929679727463e-12	2.353828262876873356e-01	4.863680890511821417e+03	7.146278469845912550e-05	2.525014782280831583e-05	0.000000000000000000e+00
1.320088400831416649e-12	9.053822856045606882e-02	6.795803893081210845e+02	1.967258317204563121e-04	1.417102841032241191e-03	0.000000000000000000e+00
1.382622173764653478e-12	8.793785800188444468e-02	2.460817459095871982e+02	5.276752425981834230e-04	3.097456848198963707e-04	0.000000000000000000e+00
1.448118227674535917e-12	8.862519486566949878e-02	1.442512783508858547e+02	9.072098722909833352e-04	2.002514545064162585e-04	0.000000000000000000e+00
1.516716888470924089e-12	9.013010734772863852e-02	1.008539448502535549e+02	1.319614968897400015e-03	1.658706231857203222e-04	0.000000000000000000e+00
1.588565129428052692e-12	9.205669551647086002e-02	7.723938716229629620e+01	1.759895160536339466e-03	1.555997236561581349e-04	0.000000000000000000e+00
1.663816886076127415e-12	9.427341512694217829e-02	6.254641341457799086e+01	2.225650997411171908e-03	1.588703016964498340e-04	0.000000000000000000e+00
1.742633386009647278e-12	9.672234168803603427e-02	5.259235791177051311e+01	2.715653745243718463e-03	1.743542086984661604e-04	0.000000000000000000e+00
1.825183494319046040e-12	9.937447028393189830e-02	4.543932267520036561e+01	3.229335840543939417e-03	2.043675882837530137e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.022140954231730431e-01	4.007281648511339966e+01	3.766440898576048444e-03	2.533224722472011406e-04	0.000000000000000000e+00
2.002200371815584363e-12	1.052325706251505538e-01	3.591228943500806992e+01	4.326904619722057865e-03	3.271332164198171395e-04	0.000000000000000000e+00
2.097046401323230665e-12	1.084252977571164428e-01	3.260247049702663702e+01	4.910778524376580544e-03	4.329400556258845259e-04	0.000000000000000000e+00
2.196385372416542332e-12	1.117902439513826646e-01	2.991414099284232009e+01	5.518202106443527433e-03	5.788295177293897387e-04	0.000000000000000000e+00
2.300430119772921506e-12	1.153272276757936893e-01	2.769293358927931692e+01	6.149405374457066198e-03	7.736418231820585845e-04	0.000000000000000000e+00
2.409403560239526876e-12	1.190373138187087315e-01	2.583127614197982069e+01	6.804676619957470730e-03	1.026737897415832840e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.229214133245421642e-01	2.425238472794831779e+01	7.484164610382770116e-03	1.347655282696263871e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.269803558436556346e-01	2.289985447475207181e+01	8.187928702846146434e-03	1.745875190025440943e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.312153732685150676e-01	2.173114718350685948e+01	8.916046031702765801e-03	2.230547647256447483e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.356279997033617568e-01	2.071360269117304753e+01	9.668607937310232103e-03	2.810312644462013842e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.402199853598954105e-01	1.982174903657411491e+01	1.044571516419523852e-02	3.493065333199133274e-03	0.000000000000000000e+00
3.180625692794118977e-12	1.449932240499037239e-01	1.903544247690056324e+01	1.124747316096053398e-02	4.285770938372454771e-03	0.000000000000000000e+00
3.331294787934670055e-12	1.499496915079774895e-01	1.833855374828510776e+01	1.207398770207171283e-02	5.194332083222692048e-03	0.000000000000000000e+00
3.489101213406766494e-12	1.550915087672876946e-01	1.771800943414243790e+01	1.292538021881464542e-02	6.223495949500921359e-03	0.000000000000000000e+00
3.654383070957261569e-12	1.604213112832379717e-01	1.716306940088663779e+01	1.380185111947332573e-02	7.376852449348390676e-03	0.000000000000000000e+00
3.827494478516314936e-12	1.659420056014386524e-01	1.666486205151893785e+01	1.470363951728608301e-02	8.656771248656132747e-03	0.000000000000000000e+00
4.008806328898464320e-12	1.716566605495233322e-01	1.621600838054662930e+01	1.563100616231382148e-02	1.006434794968113187e-02	0.000000000000000000e+00
4.198707084443905621e-12	1.775684849232636586e-01	1.581032460412933105e+01	1.658423097049272280e-02	1.159952402486781955e-02	0.000000000000000000e+00
4.397603609302712498e-12	1.836808152580995390e-01	1.544259222861347247e+01	1.756361180131347025e-02	1.326093800530832659e-02	0.000000000000000000e+00
4.605922041145112927e-12	1.899970918501339978e-01	1.510837909145231883e+01	1.856946173521915183e-02	1.504611739552558919e-02	0.000000000000000000e+00
4.824108704165373984e-12	1.965208299004583270e-01	1.480389885756673429e+01	1.960210518263119997e-02	1.695146562008327182e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.032553128694893907e-01	1.452590981209791998e+01	2.066183066872450194e-02	1.897228666579469855e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.102036263270019023e-01	1.427161714685941085e+01	2.174889779052779221e-02	2.110283158370323403e-02	0.000000000000000000e+00
5.542664520663095602e-12	2.173689010375306763e-01	1.403858966392355789e+01	2.286357636528413978e-02	2.333648887187728810e-02	0.000000000000000000e+00
5.805225516094907684e-12	2.247543107382827809e-01	1.382470315813191597e+01	2.400614639596514860e-02	2.566589078414697328e-02	0.000000000000000000e+00
6.080224261649427052e-12	2.323630583005125705e-01	1.362809422075214627e+01	2.517689631971371800e-02	2.808299553225928127e-02	0.000000000000000000e+00
6.368249944718585906e-12	2.401983623695939929e-01	1.344712200355275833e+01	2.637612133582115104e-02	3.057920422711889533e-02	0.000000000000000000e+00
6.669919663030115058e-12	2.482634427821294176e-01	1.328033637851261517e+01	2.760412168744700787e-02	3.314547579566263363e-02	0.000000000000000000e+00
6.985879746785234820e-12	2.565616514031826556e-01	1.312644879900519967e+01	2.886122286829122946e-02	3.577243267100702062e-02	0.000000000000000000e+00
7.316807143427207274e-12	2.650966395802902831e-01	1.298430856507661701e+01	3.014780030345824355e-02	3.845054432661270533e-02	0.000000000000000000e+00
7.663410868007462274e-12	2.738721780518932891e-01	1.285288886435027855e+01	3.146425103344616808e-02	4.117011749816476551e-02	0.000000000000000000e+00
8.026433522257174683e-12	2.828921266466955520e-01	1.273127144302140046e+01	3.281098873353638368e-02	4.392143184237388975e-02	0.000000000000000000e+00
8.406652885618316356e-12	2.921604287553453694e-01	1.261863301506577173e+01	3.418844264159162649e-02	4.669472822814643709e-02	0.000000000000000000e+00
8.804883581643446547e-12	3.016811045455686791e-01	1.251423362560021069e+01	3.559705634813550845e-02	4.948040679028522376e-02	0.000000000000000000e+00
9.221978823334340144e-12	3.114582431055488154e-01	1.241740664412887263e+01	3.703728649074771589e-02	5.226888556602827390e-02	0.000000000000000000e+00
9.658832241158709141e-12	3.214957058719966065e-01	1.232755256105895114e+01	3.850955930410475403e-02	5.505076534006877326e-02	0.000000000000000000e+00
1.011637979766206976e-11	3.317965186499618468e-01	1.224413488792931837e+01	4.001418305251988605e-02	5.781663395867568667e-02	0.000000000000000000e+00
1.059560179277614774e-11	3.423634492924090833e-01	1.216666640308114111e+01	4.155143509203846480e-02	6.055732260544285928e-02	0.000000000000000000e+00
1.109752496412069864e-11	3.531991270136355943e-01	1.209470246711367025e+01	4.312158021519658935e-02	6.326397142475470581e-02	0.000000000000000000e+00
1.162322468679854125e-11	3.643060212643761120e-01	1.202783643283759574e+01	4.472486835212821643e-02	6.592808803927642514e-02	0.000000000000000000e+00
1.217382727739662020e-11	3.756864208926009585e-01	1.196569562325980485e+01	4.636153231585380535e-02	6.854157695790809302e-02	0.000000000000000000e+00
1.275051240713012859e-11	3.873424121427492817e-01	1.190793778969700689e+01	4.803178545405093619e-02	7.109675452849213706e-02	0.000000000000000000e+00
1.335451562929897339e-11	3.992760224235064048e-01	1.185424729308014768e+01	4.973584290524114826e-02	7.358642480345896353e-02	0.000000000000000000e+00
1.398713102647241439e-11	4.114897944219881865e-01	1.180433036915826683e+01	5.147400351851405542e-02	7.600390951876843937e-02	0.000000000000000000e+00
1.464971398307287854e-11	4.239863159579374541e-01	1.175791566473418825e+01	5.324658193576812387e-02	7.834315145005693592e-02	0.000000000000000000e+00
1.534368408930013065e-11	4.367680262730787577e-01	1.171475285308247116e+01	5.505388134973504544e-02	8.059848271022740374e-02	0.000000000000000000e+00
1.607052818261638620e-11	4.498404211184493517e-01	1.167460118782498490e+01	5.689664501336809399e-02	8.276521447900365980e-02	0.000000000000000000e+00
1.683180353330955093e-11	4.632193855646599134e-01	1.163721275713866987e+01	5.877707728885937788e-02	8.484052413614628918e-02	0.000000000000000000e+00
1.762914118095944293e-11	4.769240206634356438e-01	1.160236080742958897e+01	6.069781598642735865e-02	8.682209440529951860e-02	0.000000000000000000e+00
1.846424942895546448e-11	4.909731303079004072e-01	1.156984722889676753e+01	6.266143487860613426e-02	8.870730510683189074e-02	0.000000000000000000e+00
1.933891750455232057e-11	5.053729427956166198e-01	1.153952260505410443e+01	6.466873702045379535e-02	9.049195818414181025e-02	0.000000000000000000e+00
2.025501939230666486e-11	5.201228149042749216e-01	1.151125986944412105e+01	6.671957650219151326e-02	9.217141857902742819e-02	0.000000000000000000e+00
2.121451784910627571e-11	5.352210731867431681e-01	1.148493724068604749e+01	6.881368469822196632e-02	9.374172268690249277e-02	0.000000000000000000e+00
2.221946860939528424e-11	5.506649728076629113e-01	1.146043731208072103e+01	7.095066943286444661e-02	9.519925264320484859e-02	0.000000000000000000e+00
2.327202478960412005e-11	5.664506260091407563e-01	1.143764638923545007e+01	7.313000961462327865e-02	9.654101062215945939e-02	0.000000000000000000e+00
2.437444150122221807e-11	5.825729349711666893e-01	1.141645399011295225e+01	7.535105003878482532e-02	9.776457242509020706e-02	0.000000000000000000e+00
2.552908068239516723e-11	5.990255300191260623e-01	1.139675242440785752e+01	7.761299685277690819e-02	9.886803425833043391e-02	0.000000000000000000e+00
2.673841615839943880e-11	6.158007126923917829e-01	1.137843645533257764e+01	7.991491350872530208e-02	9.985004391130640478e-02	0.000000000000000000e+00
2.800503894183625342e-11	6.328894075651292361e-01	1.136140306235801134e+01	8.225571746543169915e-02	1.007097632970347517e-01	0.000000000000000000e+00
2.933166278390048099e-11	6.502811198031405171e-01	1.134555123917480124e+01	8.463417759236496751e-02	1.014469665767496753e-01	0.000000000000000000e+00
3.072112998861759207e-11	6.679639028709857262e-01	1.133078187481572385e+01	8.704891242194172374e-02	1.020618679991807942e-01	0.000000000000000000e+00
3.217641750250735458e-11	6.859243336292998316e-01	1.131699766870659829e+01	8.949838914123108002e-02	1.025552397479354977e-01	0.000000000000000000e+00
3.370064329271925032e-11	7.041475016084518534e-01	1.130410312503757986e+01	9.198092376718776386e-02	1.029283511905733778e-01	0.000000000000000000e+00
3.529707302730657668e-11	7.226170363001459540e-01	1.129200454299828849e+01	9.449468617689969763e-02	1.031829480206662708e-01	0.000000000000000000e+00
3.696912707195032437e-11	7.413196207436659746e-01	1.128060748711561878e+01	9.703831391628207903e-02	1.033212440241587371e-01	0.000000000000000000e+00
3.872038781812557004e-11	7.602503884295167547e-01	1.126981527779163983e+01	9.961163948355523934e-02	1.033458044056508318e-01	0.000000000000000000e+00
4.055460735840827506e-11	7.794056076816628931e-01	1.125953495968588491e+01	1.022146880330988966e-01	1.032593087707903701e-01	0.000000000000000000e+00
4.247571552536894126e-11	7.987816082414374019e-01	1.124967798705558408e+01	1.048475292071121556e-01	1.030644997986838729e-01	0.000000000000000000e+00
4.448782831127576069e-11	8.183747642073887496e-01	1.124016005768974757e+01	1.075102738971251692e-01	1.027643428466733511e-01	0.000000000000000000e+00
4.659525668664686662e-11	8.381814745249084320e-01	1.123090087719151953e+01	1.102030714029492570e-01	1.023616911245817246e-01	0.000000000000000000e+00
4.880251583654433574e-11	8.581981444526416425e-01	1.122182392077133350e+01	1.129261069053233146e-01	1.018595751202489713e-01	0.000000000000000000e+00
5.111433483440165318e-11	8.784193096767916042e-01	1.121285695884855294e+01	1.156793466509824092e-01	1.012611334891961867e-01	0.000000000000000000e+00
5.353566677410718816e-11	8.988316019927165001e-01	1.120393412157506674e+01	1.184617166687114836e-01	1.005698492186234139e-01	0.000000000000000000e+00
5.607169938205469661e-11	9.194188274759371726e-01	1.119499292974913196e+01	1.212717945511618683e-01	9.978954411194031204e-02	0.000000000000000000e+00
5.872786613189488850e-11	9.401638246751310435e-01	1.118597319889532749e+01	1.241080628977766775e-01	9.892402123458783614e-02	0.000000000000000000e+00
6.150985788580503926e-11	9.610484805592319768e-01	1.117681693851716318e+01	1.269689106858446215e-01	9.797760290320095544e-02	0.000000000000000000e+00
6.442363508721370414e-11	9.820537679965234412e-01	1.116746827744005444e+01	1.298526370923302475e-01	9.695453476711389518e-02	0.000000000000000000e+00
6.747544053110686101e-11	1.003159783076623235e+00	1.115787345179619372e+01	1.327574544274595369e-01	9.585929176013334441e-02	0.000000000000000000e+00
7.067181273927477085e-11	1.024345999088467352e+00	1.114798070096003713e+01	1.356815206608095181e-01	9.469632879431420791e-02	0.000000000000000000e+00
7.401959996915652408e-11	1.045592405731957442e+00	1.113773978326218028e+01	1.386230941252941662e-01	9.347026193054253085e-02	0.000000000000000000e+00
7.752597488629464062e-11	1.066878866528152781e+00	1.112710235853569074e+01	1.415804421525761747e-01	9.218562742377485464e-02	0.000000000000000000e+00
8.119844993184008328e-11	1.088184723982869473e+00	1.111602223083152552e+01	1.445517831382213403e-01	9.084700677751364473e-02	0.000000000000000000e+00
8.504489341802668113e-11	1.109488857682359386e+00	1.110445540887694804e+01	1.475352903207954869e-01	8.945896346951699718e-02	0.000000000000000000e+00
8.907354638610458163e-11	1.130769741685134333e+00	1.109236013506472140e+01	1.505290956044665895e-01	8.802605772411499496e-02	0.000000000000000000e+00
9.329304026284695888e-11	1.152005506772237009e+00	1.107969692511942306e+01	1.535312936511314952e-01	8.655280266651596555e-02	0.000000000000000000e+00
9.771241535346501225e-11	1.173174247466947762e+00	1.106642845636118366e+01	1.565399805398330901e-01	8.504365485845352679e-02	0.000000000000000000e+00
1.023411402105452712e-10	1.194255172432424628e+00	1.105251884970270382e+01	1.595534141408213036e-01	8.350289532697330319e-02	0.000000000000000000e+00
1.071891319205126445e-10	1.215227865506618654e+00	1.103793414994196276e+01	1.625699063926547283e-01	8.193467394041915874e-02	0.000000000000000000e+00
1.122667773510811312e-10	1.236071902446462589e+00	1.102264259212255304e+01	1.655877647847330547e-01	8.034304109531079097e-02	0.000000000000000000e+00
1.175849554052158201e-10	1.256767164147716498e+00	1.100661444548548928e+01	1.686053327408174596e-01	7.873190352226568101e-02	0.000000000000000000e+00
1.231550603292826197e-10	1.277294530307056419e+00	1.098982144881971301e+01	1.716210880249598447e-01	7.710495999048043447e-02	0.000000000000000000e+00
1.289890261253308184e-10	1.297635263179803378e+00	1.097223725454610133e+01	1.746335506352466038e-01	7.546578454991725859e-02	0.000000000000000000e+00
1.350993521198024986e-10	1.317770064372512095e+00	1.095383830591718954e+01	1.776411380082297820e-01	7.381784195030645368e-02	0.000000000000000000e+00
1.414991297434578731e-10	1.337677527617291418e+00	1.093460554770482140e+01	1.806419219001555998e-01	7.216467700637965721e-02	0.000000000000000000e+00
1.482020705798860072e-10	1.357336110713033950e+00	1.091452293305579779e+01	1.836339096194682385e-01	7.050970335884458595e-02	0.000000000000000000e+00
