pc	M	R	C	k2	j3
9.999999999999999799e-13	9.871053534080048708e-02	6.176114040132035399e+01	2.360034956637219964e-03	1.974271665363002315e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.970277653216619296e-02	5.721763895022613156e+01	2.573046026018207394e-03	2.112114218789680334e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.007342280546490304e-01	5.328032166579939855e+01	2.791775294071215541e-03	2.292938051182778888e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.018018311361436057e-01	4.984056270475512207e+01	3.016080216489449174e-03	2.521990093526067854e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.029030702549954546e-01	4.681323089030204443e+01	3.245861256405779046e-03	2.805161921878274157e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.040360500493931056e-01	4.413060368107553444e+01	3.481081743242952879e-03	3.148684158749234688e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.051995004383163845e-01	4.173822962171701079e+01	3.721773065181509330e-03	3.559516241021409735e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.063927824199493860e-01	3.959190862111246645e+01	3.968039287454158161e-03	4.044926960249015623e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.076158964249593342e-01	3.765545438944374723e+01	4.220061402609710972e-03	4.612888966699012715e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.088694945674275327e-01	3.589901317712565287e+01	4.478101481718569504e-03	5.271700083186508720e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.101548989174513243e-01	3.429778077012579729e+01	4.742507553715636683e-03	6.030481614584962211e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.114743048634145167e-01	3.283081430159987235e+01	5.013757829819003205e-03	6.899278072123555617e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.128304902133753229e-01	3.148055782934816449e+01	5.292419862532398399e-03	7.889030353973413949e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.142258986273746307e-01	3.023286516546722069e+01	5.578989078656901648e-03	9.011245579312752909e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.156623856196894035e-01	2.907630641404870886e+01	5.873853949529230477e-03	1.027753889296505966e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.171409015800153608e-01	2.800170575091332026e+01	6.177237648565190621e-03	1.169915746176878419e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.186621595362856718e-01	2.700120463876609733e+01	6.489322271203798627e-03	1.328712155870913087e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.202271205041023500e-01	2.606778346155805792e+01	6.810336577280415478e-03	1.505287842393301066e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.218370598931473731e-01	2.519516364521883389e+01	7.140563108833822108e-03	1.700811794822857260e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.234935496215963519e-01	2.437775484827681893e+01	7.480330794529989856e-03	1.916481990986312585e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.251982164757660110e-01	2.361067123043303440e+01	7.829969012189321592e-03	2.153505276666333075e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.269526083414729833e-01	2.288965365146015785e+01	8.189787663115189950e-03	2.413071983688920823e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.287581531664686862e-01	2.221096877043768458e+01	8.560073078795268561e-03	2.696338120101735361e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.306162848694352174e-01	2.157127373942037707e+01	8.941116875880851175e-03	3.004447365551029918e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.325292801309549684e-01	2.096731371909477204e+01	9.333387148829964258e-03	3.338649719787061074e-03	0.000000000000000000e+00
3.180625692794118977e-12	1.344999454121639793e-01	2.039607935204706735e+01	9.737459181498301156e-03	3.700286323252057613e-03	0.000000000000000000e+00
3.331294787934670055e-12	1.365313808275848972e-01	1.985487394321148358e+01	1.015396316163087558e-02	4.090763786807371724e-03	0.000000000000000000e+00
3.489101213406766494e-12	1.386270144448800423e-01	1.934127721396412269e+01	1.058358873886692739e-02	4.511543637168786286e-03	0.000000000000000000e+00
3.654383070957261569e-12	1.407904274707142689e-01	1.885315936428879979e+01	1.102704695760008125e-02	4.964121130393286604e-03	0.000000000000000000e+00
3.827494478516314936e-12	1.430230915865563224e-01	1.838908951373685241e+01	1.148460782892590445e-02	5.449507918788694567e-03	0.000000000000000000e+00
4.008806328898464320e-12	1.453246365359505132e-01	1.794806141483286765e+01	1.195616592726622164e-02	5.968212360194362701e-03	0.000000000000000000e+00
4.198707084443905621e-12	1.476940115877776460e-01	1.752914647370189982e+01	1.244148876598690640e-02	6.520435127716391055e-03	0.000000000000000000e+00
4.397603609302712498e-12	1.501294222051200722e-01	1.713147283598625137e+01	1.294021065232700204e-02	7.106044783976275120e-03	0.000000000000000000e+00
4.605922041145112927e-12	1.526282654899192570e-01	1.675421154333294638e+01	1.345182501236957297e-02	7.724514680999476461e-03	0.000000000000000000e+00
4.824108704165373984e-12	1.551870836231135087e-01	1.639656533075321931e+01	1.397567919022597339e-02	8.374898096289985078e-03	0.000000000000000000e+00
5.052631065335679604e-12	1.578015342657458631e-01	1.605775983206052615e+01	1.451097180813948166e-02	9.055833795261595404e-03	0.000000000000000000e+00
5.291978735958436557e-12	1.604713671940014574e-01	1.573646130719148495e+01	1.505777174492480865e-02	9.766841710945033811e-03	0.000000000000000000e+00
5.542664520663095602e-12	1.632152236038611481e-01	1.542941772955234470e+01	1.562001196679101492e-02	1.051249182277631464e-02	0.000000000000000000e+00
5.805225516094907684e-12	1.660609155424135619e-01	1.513320615608255970e+01	1.620342094600822277e-02	1.130015737265004788e-02	0.000000000000000000e+00
6.080224261649427052e-12	1.690432684421131482e-01	1.484468649620772673e+01	1.681500829991559864e-02	1.213948760744755842e-02	0.000000000000000000e+00
6.368249944718585906e-12	1.722025588624363224e-01	1.456128328032075991e+01	1.746265141328130419e-02	1.304203905580809779e-02	0.000000000000000000e+00
6.669919663030115058e-12	1.755682533717986549e-01	1.428233504946407884e+01	1.815168752294234536e-02	1.401651224432447392e-02	0.000000000000000000e+00
6.985879746785234820e-12	1.791674181668952148e-01	1.400793653873181732e+01	1.888665751168200693e-02	1.507096525177354512e-02	0.000000000000000000e+00
7.316807143427207274e-12	1.830298745309349717e-01	1.373837298272020213e+01	1.967238042365437867e-02	1.621419631458342892e-02	0.000000000000000000e+00
7.663410868007462274e-12	1.871877266477880164e-01	1.347411406631985109e+01	2.051385990908274545e-02	1.745565820063228746e-02	0.000000000000000000e+00
8.026433522257174683e-12	1.916748333361315837e-01	1.321579732008969366e+01	2.141617760091150957e-02	1.880513129521117766e-02	0.000000000000000000e+00
