pc	M	R	C	k2	j3
9.999999999999999799e-13	1.150635305269459702e-01	3.494422340562893226e+01	4.862196846029159976e-03	6.833389675988995726e-04	0.000000000000000000e+00
1.047370897959448749e-12	1.184992282815102577e-01	3.233922781137616909e+01	5.410733096602734528e-03	9.021821091787229907e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.222118886662537929e-01	3.010312375241855065e+01	5.994764499869770225e-03	1.189217247675401897e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.262174002963967201e-01	2.817065358582290102e+01	6.615955000660584187e-03	1.558710107840334579e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.305328491010361303e-01	2.649096227134110748e+01	7.275993765151491342e-03	2.026194979111240694e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.351764491199982376e-01	2.502385665128011638e+01	7.976585514530147233e-03	2.608272647113999993e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.401674802129268538e-01	2.373716835707143247e+01	8.719439950161080727e-03	3.322354909273643377e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.455262244685783801e-01	2.260485922662826397e+01	9.506260047342658323e-03	4.186285786717812082e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.512738943042984674e-01	2.160563677953410178e+01	1.033872899675868443e-02	5.218074267528372348e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.574325461721845787e-01	2.072192670362193923e+01	1.121849558120286382e-02	6.435449335773044989e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.640249743531689008e-01	1.993909939818979637e+01	1.214715785248218771e-02	7.855484237053336413e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.710745787776015714e-01	1.924488023881834309e+01	1.312624486395666881e-02	9.494201777264843489e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.786052015961673012e-01	1.862889445949696565e+01	1.415719635684982436e-02	1.136616907256042530e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.866409265844438947e-01	1.808231202519614911e+01	1.524134022764080457e-02	1.348412308074411342e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.952058357903873331e-01	1.759756761827247118e+01	1.637986769042023422e-02	1.585861935501023737e-02	0.000000000000000000e+00
2.002200371815584363e-12	2.043237174526415789e-01	1.716813770156420560e+01	1.757380602803786107e-02	1.849769001014777564e-02	0.000000000000000000e+00
2.097046401323230665e-12	2.140177193797346000e-01	1.678836138657147359e+01	1.882398887800700374e-02	2.140660308251401966e-02	0.000000000000000000e+00
2.196385372416542332e-12	2.243099430306068065e-01	1.645329523675682992e+01	2.013102412830291774e-02	2.458755403357395022e-02	0.000000000000000000e+00
2.300430119772921506e-12	2.352209720317348929e-01	1.615859462925272538e+01	2.149525934893044277e-02	2.803949213790352113e-02	0.000000000000000000e+00
2.409403560239526876e-12	2.467693319727553292e-01	1.590041604979339951e+01	2.291674499811523907e-02	3.175800909244379244e-02	0.000000000000000000e+00
2.523539170434765862e-12	2.589708777119262839e-01	1.567533605186487833e+01	2.439519554401482770e-02	3.573511901172415212e-02	0.000000000000000000e+00
2.643081486974102692e-12	2.718381062277524518e-01	1.548028359109983931e+01	2.592994875956014869e-02	3.995924965953254887e-02	0.000000000000000000e+00
2.768286630392061017e-12	2.853793955638530555e-01	1.531248318368533390e+01	2.751992361023943012e-02	4.441515870481259343e-02	0.000000000000000000e+00
2.899422853882880921e-12	2.995980306419233630e-01	1.516940831343767826e+01	2.916356071722663035e-02	4.908388750863304506e-02	0.000000000000000000e+00
3.036771118035460378e-12	3.144918829768794111e-01	1.504873912368338473e+01	3.085883755411486171e-02	5.394300780716341365e-02	0.000000000000000000e+00
3.180625692794118977e-12	3.300568856820291219e-01	1.494831625357534577e+01	3.260368999556616243e-02	5.896813681935367951e-02	0.000000000000000000e+00
3.331294787934670055e-12	3.462880516819488164e-01	1.486613887551099822e+01	3.439612799668385901e-02	6.413379279120390297e-02	0.000000000000000000e+00
3.489101213406766494e-12	3.631793947001188405e-01	1.480036598007617599e+01	3.623422533752818780e-02	6.941365789271300435e-02	0.000000000000000000e+00
3.654383070957261569e-12	3.807238841328165480e-01	1.474931123232664909e+01	3.811611402935688453e-02	7.478093488088366492e-02	0.000000000000000000e+00
3.827494478516314936e-12	3.989134198719099245e-01	1.471143442235083931e+01	4.003998088851012938e-02	8.020864159300533647e-02	0.000000000000000000e+00
4.008806328898464320e-12	4.177388218420283739e-01	1.468533125424096575e+01	4.200406533393336028e-02	8.566984147921875847e-02	0.000000000000000000e+00
4.198707084443905621e-12	4.371898323477987347e-01	1.466972253909603552e+01	4.400665802066609095e-02	9.113787491731598078e-02	0.000000000000000000e+00
4.397603609302712498e-12	4.572551292275759960e-01	1.466344343455040011e+01	4.604610003693601628e-02	9.658657401542425358e-02	0.000000000000000000e+00
4.605922041145112927e-12	4.779223513887542185e-01	1.466543313323835207e+01	4.812078273137519041e-02	1.019903998166782344e-01	0.000000000000000000e+00
4.824108704165373984e-12	4.991781335882083392e-01	1.467472519968173117e+01	5.022914788057038921e-02	1.073246103182642075e-01	0.000000000000000000e+00
5.052631065335679604e-12	5.210081523064807874e-01	1.469043867671546799e+01	5.236968832736654811e-02	1.125653788973244723e-01	0.000000000000000000e+00
5.291978735958436557e-12	5.433971805176432968e-01	1.471176998404432013e+01	5.454094890820181812e-02	1.176899098597089660e-01	0.000000000000000000e+00
