pc	M	R	C	k2	j3
9.999999999999999799e-13	1.003093837635969238e-01	5.645748288576447749e+01	2.623555680990721783e-03	2.191747435650828366e-04	0.000000000000000000e+00
1.047370897959448749e-12	1.018397371994013978e-01	5.154193695059503000e+01	2.917606847791609156e-03	2.469557101221883568e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.035332910747848029e-01	4.726722034517275972e+01	3.234373656295247770e-03	2.863098859187040101e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.054000923010307844e-01	4.353158449683850506e+01	3.575252763366985626e-03	3.406489058272720049e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.074493553415754171e-01	4.025487562669692210e+01	3.941445811446485543e-03	4.142157937024270285e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.096888712552905598e-01	3.737273111814167947e+01	4.333890818434889269e-03	5.121330728993586526e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.121241776408350571e-01	3.483273748292921113e+01	4.753154149167402275e-03	6.403396935414026620e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.147585068057963842e-01	3.259104775435215373e+01	5.199442756061324090e-03	8.055049872672927300e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.175945195795731479e-01	3.060926420735737707e+01	5.672890845030500312e-03	1.014986791695566149e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.206347898614836545e-01	2.885376623514738625e+01	6.173625742131489368e-03	1.276764762541434620e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.238820185176161270e-01	2.729528218667843831e+01	6.701791611804078230e-03	1.599299203167270974e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.273392309483032392e-01	2.590842874303876897e+01	7.257572490527075017e-03	1.991413129950013027e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.310099694052876962e-01	2.467125389171031813e+01	7.841214920280373604e-03	2.462154326235958639e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.348984815251729197e-01	2.356480570599708813e+01	8.453049902075310956e-03	3.020692590701797541e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.390099114840163408e-01	2.257273764408180838e+01	9.093514589036021806e-03	3.676162299452277391e-03	0.000000000000000000e+00
