pc	M	R	C	k2	j3
9.999999999999999799e-13	9.804744001211199156e-02	6.479148491592461312e+01	2.234542198196623562e-03	1.894329429936281823e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.888435317966555449e-02	6.015701155919172294e+01	2.427233506142680713e-03	1.991082435255069755e-04	0.000000000000000000e+00
1.096985797892381920e-12	9.972094594819964908e-02	5.620502888744582037e+01	2.619880299838801135e-03	2.115962429165300831e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.005539243260390458e-01	5.279495058366052262e+01	2.812398591928391527e-03	2.269851777296480520e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.013807311483674867e-01	4.982196603349452602e+01	3.004725430878511447e-03	2.453630534545221285e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.021993588108681544e-01	4.720641438436625492e+01	3.196814171287539353e-03	2.668467890751882732e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.030082197732182930e-01	4.488671361078030486e+01	3.388631214277215784e-03	2.915362392471289527e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.038060521945234210e-01	4.281453872285028694e+01	3.580153442459134850e-03	3.195196147273136910e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.045918500381028404e-01	4.095145910306351311e+01	3.771366158071419190e-03	3.508829516437588099e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.053648116218403041e-01	3.926654451112180055e+01	3.962261598723610528e-03	3.856882056829577239e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.061242993892137360e-01	3.773463200828233255e+01	4.152837639114327802e-03	4.239748745964845122e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.068698096354332300e-01	3.633504970334792716e+01	4.343096830845518536e-03	4.657750867061633861e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.076009482830617286e-01	3.505066363553134323e+01	4.533045608432055909e-03	5.110890597932819237e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.083174121766716236e-01	3.386715665179730195e+01	4.722693642428418652e-03	5.599233596816360773e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.090189734752295692e-01	3.277247606672199964e+01	4.912053275266436807e-03	6.122431024225427230e-04	0.000000000000000000e+00
2.002200371815584363e-12	1.097054677094213559e-01	3.175640551617935614e+01	5.101139135860856613e-03	6.680141018343322854e-04	0.000000000000000000e+00
2.097046401323230665e-12	1.103767836839332633e-01	3.081023037622458460e+01	5.289967747553969701e-03	7.271750765729730493e-04	0.000000000000000000e+00
2.196385372416542332e-12	1.110328551676014880e-01	2.992647324702285871e+01	5.478557236813847396e-03	7.896689686000843509e-04	0.000000000000000000e+00
2.300430119772921506e-12	1.116736542431015639e-01	2.909868330127196145e+01	5.666927085556250007e-03	8.554123869486681504e-04	0.000000000000000000e+00
2.409403560239526876e-12	1.122991857052750564e-01	2.832126699442435935e+01	5.855097938252192165e-03	9.243154818248817397e-04	0.000000000000000000e+00
2.523539170434765862e-12	1.129094818716840087e-01	2.758935133467609901e+01	6.043091357222005883e-03	9.962842923646319116e-04	0.000000000000000000e+00
2.643081486974102692e-12	1.135045991502262874e-01	2.689867203616184099e+01	6.230929744955108519e-03	1.071206169349697788e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.140846142930411755e-01	2.624548193390841888e+01	6.418636206033690242e-03	1.148979553191928739e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.146496216332029416e-01	2.562647555201677463e+01	6.606234409429931689e-03	1.229478043274585082e-03	0.000000000000000000e+00
