pc	M	R	C	k2	j3
9.999999999999999799e-13	6.788382660731120399e-01	1.803735059663017637e+03	5.557299510002905929e-04	1.955903410675919468e-02	0.000000000000000000e+00
1.047370897959448749e-12	6.785081145136386827e-01	1.926601468549820538e+03	5.200359818117443900e-04	1.999289454051033851e-02	0.000000000000000000e+00
1.096985797892381920e-12	6.767851220105961518e-01	2.078994348550923860e+03	4.806929239818330058e-04	2.341611116635227210e-02	0.000000000000000000e+00
1.148951000187311009e-12	6.726649629423229193e-01	2.271931601433515425e+03	4.371935940248993652e-04	2.337010017355116084e-02	0.000000000000000000e+00
1.203377840777590522e-12	6.637355752667360997e-01	2.522176820067921199e+03	3.885883720707182976e-04	3.258366482486408505e-02	0.000000000000000000e+00
1.260382929679727463e-12	6.441349458610130529e-01	2.858608107169874984e+03	3.327303947677415479e-04	2.010574407991349080e-02	0.000000000000000000e+00
1.320088400831416649e-12	5.999460882513256710e-01	3.340797251021040665e+03	2.651748558320438705e-04	1.392002018901064841e-01	0.000000000000000000e+00
1.382622173764653478e-12	5.001921682045596951e-01	4.110614720977764591e+03	1.796802525227899922e-04	-1.049685259052724959e-02	0.000000000000000000e+00
1.448118227674535917e-12	2.536909401676015197e-01	5.027058458969965614e+03	7.451801150916870665e-05	3.341357896466124735e-05	0.000000000000000000e+00
1.516716888470924089e-12	8.824614224496322989e-02	6.880145762481776046e+02	1.893949193951214866e-04	1.083915437827900419e-03	0.000000000000000000e+00
1.588565129428052692e-12	8.565151427858835875e-02	2.377339846041085991e+02	5.320029138519556493e-04	2.915460727173845804e-04	0.000000000000000000e+00
1.663816886076127415e-12	8.636890252433603032e-02	1.371428565112708782e+02	9.299389646515685308e-04	1.869238024211345285e-04	0.000000000000000000e+00
1.742633386009647278e-12	8.790812892155833169e-02	9.497576815668394090e+01	1.366741736193356370e-03	1.552213893034488359e-04	0.000000000000000000e+00
1.825183494319046040e-12	8.988601300173151842e-02	7.225796274039413447e+01	1.836862463794629741e-03	1.468843796734389676e-04	0.000000000000000000e+00
1.911644075385703708e-12	9.217423547000405670e-02	5.823179541304298823e+01	2.337327660007811145e-03	1.523561888486611585e-04	0.000000000000000000e+00
2.002200371815584363e-12	9.471414258371980976e-02	4.879475769707415367e+01	2.866235702548845018e-03	1.712353181033444158e-04	0.000000000000000000e+00
2.097046401323230665e-12	9.747424042700426894e-02	4.205736407700160839e+01	3.422299742617586956e-03	2.068996568230855031e-04	0.000000000000000000e+00
