pc	M	R	C	k2	j3
9.999999999999999799e-13	1.050133870851967105e-01	4.995830610530436644e+01	3.103896253530594174e-03	-4.923211517622247957e-01	0.000000000000000000e+00
1.047370897959448749e-12	1.075187393171402883e-01	4.531848530089328619e+01	3.503313581471208509e-03	-4.912828590072603197e-01	0.000000000000000000e+00
1.096985797892381920e-12	1.101407187353586753e-01	4.152002314748619938e+01	3.917062979180875940e-03	-4.902698416146994975e-01	0.000000000000000000e+00
1.148951000187311009e-12	1.128784690591481121e-01	3.835793870291053054e+01	4.345363227067258749e-03	-4.892183090836736414e-01	0.000000000000000000e+00
1.203377840777590522e-12	1.157322615069773797e-01	3.568837746546640233e+01	4.788482130340694989e-03	-4.881095714981520950e-01	0.000000000000000000e+00
1.260382929679727463e-12	1.187032267023081372e-01	3.340750508824332599e+01	5.246730007381181400e-03	-4.869908239526329896e-01	0.000000000000000000e+00
1.320088400831416649e-12	1.217931830995832854e-01	3.143855636613023563e+01	5.720455620756186195e-03	-4.858279000227203603e-01	0.000000000000000000e+00
1.382622173764653478e-12	1.250045279461365344e-01	2.972359148576076748e+01	6.210044262072076347e-03	-4.846277519321487426e-01	0.000000000000000000e+00
1.448118227674535917e-12	1.283401610098240664e-01	2.821808699882211258e+01	6.715915864166292597e-03	-4.833858160074192556e-01	0.000000000000000000e+00
1.516716888470924089e-12	1.318034274184103627e-01	2.688728665419694508e+01	7.238523046529642298e-03	-4.821078223297929344e-01	0.000000000000000000e+00
1.588565129428052692e-12	1.353980774860393255e-01	2.570367801530939644e+01	7.778349633963375226e-03	-4.807902232783317631e-01	0.000000000000000000e+00
1.663816886076127415e-12	1.391282374328980387e-01	2.464521048381239154e+01	8.335909416452829540e-03	-4.794318029737626441e-01	0.000000000000000000e+00
1.742633386009647278e-12	1.429983885505899943e-01	2.369401284395765117e+01	8.911745159627055060e-03	-4.780312825389143594e-01	0.000000000000000000e+00
1.825183494319046040e-12	1.470133518002828543e-01	2.283545472300574986e+01	9.506427713510495064e-03	-4.765872495282520993e-01	0.000000000000000000e+00
1.911644075385703708e-12	1.511782692438772280e-01	2.205745027973088312e+01	1.012055420160795118e-02	-4.750991087665470403e-01	0.000000000000000000e+00
2.002200371815584363e-12	1.554985833486019486e-01	2.134993370842031624e+01	1.075474558007208196e-02	-4.735654618786459547e-01	0.000000000000000000e+00
2.097046401323230665e-12	1.599800287410925170e-01	2.070445682294246481e+01	1.140964584502250287e-02	-4.719845709644320819e-01	0.000000000000000000e+00
2.196385372416542332e-12	1.646286283935606554e-01	2.011387857882796126e+01	1.208592154705002107e-02	-4.703559095876910234e-01	0.000000000000000000e+00
2.300430119772921506e-12	1.694506913659956648e-01	1.957212311324909493e+01	1.278426137499583636e-02	-4.686777088542587455e-01	0.000000000000000000e+00
2.409403560239526876e-12	1.744528120071812960e-01	1.907398932889000776e+01	1.350537581837415839e-02	-4.669487497880332461e-01	0.000000000000000000e+00
2.523539170434765862e-12	1.796418690395850670e-01	1.861499987713296633e+01	1.424999665067301115e-02	-4.651675953973250510e-01	0.000000000000000000e+00
2.643081486974102692e-12	1.850250269683690885e-01	1.819127996570658823e+01	1.501887675433578352e-02	-4.633329190873889947e-01	0.000000000000000000e+00
2.768286630392061017e-12	1.906097227686873175e-01	1.779946068293651606e+01	1.581278773561141729e-02	-4.614432927287702713e-01	0.000000000000000000e+00
2.899422853882880921e-12	1.964036324860656268e-01	1.743660085160461293e+01	1.663251503822455596e-02	-4.594972958633007920e-01	0.000000000000000000e+00
3.036771118035460378e-12	2.024146586709354712e-01	1.710012123024971231e+01	1.747885607152543930e-02	-4.574935367799920494e-01	0.000000000000000000e+00
3.180625692794118977e-12	2.086509296677417080e-01	1.678774984418704719e+01	1.835261989798169305e-02	-4.554306141761849669e-01	0.000000000000000000e+00
3.331294787934670055e-12	2.151207998488732509e-01	1.649747688490527153e+01	1.925462702583951788e-02	-4.533071542065112425e-01	0.000000000000000000e+00
3.489101213406766494e-12	2.218328492143210873e-01	1.622751738309219860e+01	2.018570905577714292e-02	-4.511217690433518834e-01	0.000000000000000000e+00
3.654383070957261569e-12	2.287958826281424329e-01	1.597628007352792068e+01	2.114670828753867013e-02	-4.488731165521592237e-01	0.000000000000000000e+00
3.827494478516314936e-12	2.360189290014627628e-01	1.574234128960207002e+01	2.213847731529228549e-02	-4.465598516578865307e-01	0.000000000000000000e+00
4.008806328898464320e-12	2.435112391797945863e-01	1.552442299713985463e+01	2.316187845260547079e-02	-4.441806599788371002e-01	0.000000000000000000e+00
4.198707084443905621e-12	2.512822645099283547e-01	1.532137459024536952e+01	2.421778066167169091e-02	-4.417342660774887797e-01	0.000000000000000000e+00
4.397603609302712498e-12	2.593416182892828159e-01	1.513215743446830786e+01	2.530705450888992569e-02	-4.392194276534380215e-01	0.000000000000000000e+00
4.605922041145112927e-12	2.676990560750936998e-01	1.495583096730602435e+01	2.643056985459198496e-02	-4.366349650661921489e-01	0.000000000000000000e+00
4.824108704165373984e-12	2.763644703869297947e-01	1.479154053429348359e+01	2.758919546676250750e-02	-4.339797463548268897e-01	0.000000000000000000e+00
5.052631065335679604e-12	2.853478811740257637e-01	1.463850712554798861e+01	2.878379802984924740e-02	-4.312527092941264018e-01	0.000000000000000000e+00
5.291978735958436557e-12	2.946594288696604003e-01	1.449601845125742194e+01	3.001524168247588290e-02	-4.284528456072305702e-01	0.000000000000000000e+00
5.542664520663095602e-12	3.043093618263655320e-01	1.436342142944203104e+01	3.128438668323069854e-02	-4.255792179613726023e-01	0.000000000000000000e+00
5.805225516094907684e-12	3.143080255920477906e-01	1.424011555662276862e+01	3.259208857852152752e-02	-4.226309598420117108e-01	0.000000000000000000e+00
6.080224261649427052e-12	3.246658490580219270e-01	1.412554724798097361e+01	3.393919689517291977e-02	-4.196072821197970315e-01	0.000000000000000000e+00
6.368249944718585906e-12	3.353933241220508621e-01	1.401920490283902154e+01	3.532655320032735552e-02	-4.165074769116521858e-01	0.000000000000000000e+00
6.669919663030115058e-12	3.465009422792824090e-01	1.392061483593871785e+01	3.675498397161218456e-02	-4.133309344342033786e-01	0.000000000000000000e+00
6.985879746785234820e-12	3.579991362181575987e-01	1.382933740709964354e+01	3.822529459940448432e-02	-4.100771612583848369e-01	0.000000000000000000e+00
7.316807143427207274e-12	3.698982473716141972e-01	1.374496333505329382e+01	3.973826695089283101e-02	-4.067457821561794584e-01	0.000000000000000000e+00
7.663410868007462274e-12	3.822085023791733649e-01	1.366711047209231111e+01	4.129465803671262397e-02	-4.033365462671751889e-01	0.000000000000000000e+00
8.026433522257174683e-12	3.949399831163582508e-01	1.359542103205860819e+01	4.289519798211349072e-02	-3.998493308397935708e-01	0.000000000000000000e+00
8.406652885618316356e-12	4.081025972523941170e-01	1.352955914662849146e+01	4.454058821845516963e-02	-3.962841454862370272e-01	0.000000000000000000e+00
8.804883581643446547e-12	4.217060444182727519e-01	1.346920873987614264e+01	4.623149924837900021e-02	-3.926411370626181063e-01	0.000000000000000000e+00
9.221978823334340144e-12	4.357597813169974410e-01	1.341407165625434494e+01	4.796856840591544324e-02	-3.889205936887085158e-01	0.000000000000000000e+00
9.658832241158709141e-12	4.502729837901370269e-01	1.336386599807842046e+01	4.975239743002279891e-02	-3.851229493978540197e-01	0.000000000000000000e+00
1.011637979766206976e-11	4.652545077141901353e-01	1.331832466271333359e+01	5.158354999000996921e-02	-3.812487884316313469e-01	0.000000000000000000e+00
1.059560179277614774e-11	4.807128482827329741e-01	1.327719402244170332e+01	5.346254923394987146e-02	-3.772988488616376701e-01	0.000000000000000000e+00
1.109752496412069864e-11	4.966560991923649748e-01	1.324023275882028905e+01	5.538987541426452360e-02	-3.732740257918106819e-01	0.000000000000000000e+00
1.162322468679854125e-11	5.130919060592373793e-01	1.320721083895611514e+01	5.736596292202703756e-02	-3.691753753357195356e-01	0.000000000000000000e+00
1.217382727739662020e-11	5.300274201963535159e-01	1.317790856473328986e+01	5.939119762813657027e-02	-3.650041174656769583e-01	0.000000000000000000e+00
1.275051240713012859e-11	5.474692470458357718e-01	1.315211574617306312e+01	6.146591363229453320e-02	-3.607616395966254941e-01	0.000000000000000000e+00
1.335451562929897339e-11	5.654233966401157607e-01	1.312963093565215367e+01	6.359039045920185373e-02	-3.564494987008118287e-01	0.000000000000000000e+00
1.398713102647241439e-11	5.838952306939551029e-01	1.311026074984581236e+01	6.576484993919617938e-02	-3.520694235111172521e-01	0.000000000000000000e+00
1.464971398307287854e-11	6.028894086039598976e-01	1.309381924848518253e+01	6.798945312331439172e-02	-3.476233160813564926e-01	0.000000000000000000e+00
1.534368408930013065e-11	6.224098322263416083e-01	1.308012737259820923e+01	7.026429717002961872e-02	-3.431132527699784496e-01	0.000000000000000000e+00
1.607052818261638620e-11	6.424595881713414114e-01	1.306901244388337524e+01	7.258941200851905251e-02	-3.385414850811143683e-01	0.000000000000000000e+00
1.683180353330955093e-11	6.630408903939469800e-01	1.306030770840116162e+01	7.496475713676824248e-02	-3.339104395875349685e-01	0.000000000000000000e+00
1.762914118095944293e-11	6.841550193457374140e-01	1.305385190443700338e+01	7.739021821661068445e-02	-3.292227175937599837e-01	0.000000000000000000e+00
1.846424942895546448e-11	7.058022615809489420e-01	1.304948888146775232e+01	7.986560372694737064e-02	-3.244810939826331397e-01	0.000000000000000000e+00
1.933891750455232057e-11	7.279818536344010438e-01	1.304706727485990392e+01	8.239064202540570536e-02	-3.196885146210421413e-01	0.000000000000000000e+00
2.025501939230666486e-11	7.506919231214113086e-01	1.304644017150914692e+01	8.496497837746215531e-02	-3.148480931811886152e-01	0.000000000000000000e+00
2.121451784910627571e-11	7.739294319826353075e-01	1.304746485094869790e+01	8.758817196132392957e-02	-3.099631073708269402e-01	0.000000000000000000e+00
2.221946860939528424e-11	7.976901220183864050e-01	1.305000252715734277e+01	9.025969328021726801e-02	-3.050369937531388631e-01	0.000000000000000000e+00
2.327202478960412005e-11	8.219684612004324320e-01	1.305391812594054102e+01	9.297892156078796377e-02	-3.000733419763688681e-01	0.000000000000000000e+00
2.437444150122221807e-11	8.467575912217031320e-01	1.305908009128535952e+01	9.574514218401837529e-02	-2.950758884086750466e-01	0.000000000000000000e+00
2.552908068239516723e-11	8.720492786299743893e-01	1.306536020910998985e+01	9.855754445308044509e-02	-2.900485085537539143e-01	0.000000000000000000e+00
2.673841615839943880e-11	8.978338723976962976e-01	1.307263345146026801e+01	1.014152199618454930e-01	-2.849952079348185841e-01	0.000000000000000000e+00
2.800503894183625342e-11	9.241003084768594222e-01	1.308077788246596462e+01	1.043171657686962905e-01	-2.799201041865768125e-01	0.000000000000000000e+00
2.933166278390048099e-11	9.508361334842487800e-01	1.308967466535515989e+01	1.072622887800277480e-01	-2.748274072564850234e-01	0.000000000000000000e+00
3.072112998861759207e-11	9.780274842485854325e-01	1.309920801395872481e+01	1.102494053415337127e-01	-2.697214081168803346e-01	0.000000000000000000e+00
3.217641750250735458e-11	1.005659065990756051e+00	1.310926515872224307e+01	1.132772403404099931e-01	-2.646064681713496403e-01	0.000000000000000000e+00
3.370064329271925032e-11	1.033714134077856395e+00	1.311973628675304226e+01	1.163444266977209096e-01	-2.594870078150730563e-01	0.000000000000000000e+00
3.529707302730657668e-11	1.062174481006903370e+00	1.313051449800537895e+01	1.194495050805150643e-01	-2.543674945763776396e-01	0.000000000000000000e+00
3.696912707195032437e-11	1.091020427872124721e+00	1.314149580658777161e+01	1.225909234390808178e-01	-2.492524314970565591e-01	0.000000000000000000e+00
3.872038781812557004e-11	1.120230828102707576e+00	1.315257908465021508e+01	1.257670381366525203e-01	-2.441463429846705557e-01	0.000000000000000000e+00
4.055460735840827506e-11	1.149783067081975529e+00	1.316366601158077643e+01	1.289761142935642035e-01	-2.390537621358058418e-01	0.000000000000000000e+00
4.247571552536894126e-11	1.179653076094704600e+00	1.317466114320987991e+01	1.322163262485344104e-01	-2.339792180617239481e-01	0.000000000000000000e+00
4.448782831127576069e-11	1.209815382791726179e+00	1.318547181228063891e+01	1.354857633717187482e-01	-2.289272152462563659e-01	0.000000000000000000e+00
4.659525668664686662e-11	1.240243189011282388e+00	1.319600831113149830e+01	1.387824357147173504e-01	-2.239022141174120684e-01	0.000000000000000000e+00
4.880251583654433574e-11	1.270908437121640366e+00	1.320618384911917609e+01	1.421042801194682681e-01	-2.189086119140025155e-01	0.000000000000000000e+00
5.111433483440165318e-11	1.301781852091882019e+00	1.321591467097137063e+01	1.454491614948773548e-01	-2.139507317597127978e-01	0.000000000000000000e+00
5.353566677410718816e-11	1.332832994773571977e+00	1.322512001995746722e+01	1.488148765213246072e-01	-2.090328087322469997e-01	0.000000000000000000e+00
5.607169938205469661e-11	1.364030320400913654e+00	1.323372219181926290e+01	1.521991565505964594e-01	-2.041589779304414654e-01	0.000000000000000000e+00
5.872786613189488850e-11	1.395341241419994605e+00	1.324164654932800467e+01	1.555996709787425547e-01	-1.993332626618896652e-01	0.000000000000000000e+00
6.150985788580503926e-11	1.426732201195008320e+00	1.324882152714096506e+01	1.590140315409770966e-01	-1.945595622128222790e-01	0.000000000000000000e+00
6.442363508721370414e-11	1.458168748309263352e+00	1.325517868321237458e+01	1.624397957182942553e-01	-1.898416418358167268e-01	0.000000000000000000e+00
6.747544053110686101e-11	1.489615619515241240e+00	1.326065267327711261e+01	1.658744716290369847e-01	-1.851831216443495243e-01	0.000000000000000000e+00
7.067181273927477085e-11	1.521036871756477282e+00	1.326518132427585428e+01	1.693155268104677147e-01	-1.805874614517281040e-01	0.000000000000000000e+00
7.401959996915652408e-11	1.552396061108605840e+00	1.326870572513130675e+01	1.727604015452039454e-01	-1.760579412723113357e-01	0.000000000000000000e+00
7.752597488629464062e-11	1.583656373952251561e+00	1.327117030481792703e+01	1.762065165859681426e-01	-1.715976511477050881e-01	0.000000000000000000e+00
8.119844993184008328e-11	1.614780737050625747e+00	1.327252286476085885e+01	1.796512787582519310e-01	-1.672094850745648731e-01	0.000000000000000000e+00
8.504489341802668113e-11	1.645731922960797178e+00	1.327271460936638015e+01	1.830920857804528568e-01	-1.628961370334162662e-01	0.000000000000000000e+00
8.907354638610458163e-11	1.676472665017247676e+00	1.327170015674773218e+01	1.865263321719696776e-01	-1.586600966997460394e-01	0.000000000000000000e+00
9.329304026284695888e-11	1.706965762194615488e+00	1.326943755025021332e+01	1.899514138313066480e-01	-1.545036478644352396e-01	0.000000000000000000e+00
9.771241535346501225e-11	1.737174197685912969e+00	1.326588823419234053e+01	1.933647345013009555e-01	-1.504288655350533577e-01	0.000000000000000000e+00
1.023411402105452712e-10	1.767061242438876523e+00	1.326101706943922842e+01	1.967637098993962608e-01	-1.464376168547677215e-01	0.000000000000000000e+00
1.071891319205126445e-10	1.796590582684627346e+00	1.325479230421580823e+01	2.001457750969003468e-01	-1.425315590786998543e-01	0.000000000000000000e+00
1.122667773510811312e-10	1.825726483007373391e+00	1.324718557837409350e+01	2.035083953590799688e-01	-1.387121347598435916e-01	0.000000000000000000e+00
1.175849554052158201e-10	1.854433945869830236e+00	1.323817195113166889e+01	2.068490762394742943e-01	-1.349805691951626863e-01	0.000000000000000000e+00
1.231550603292826197e-10	1.882678822047090694e+00	1.322772990581274755e+01	2.101653685859491416e-01	-1.313378746796891594e-01	0.000000000000000000e+00
1.289890261253308184e-10	1.910427917167986767e+00	1.321584130457260997e+01	2.134548740019516500e-01	-1.277848548996822486e-01	0.000000000000000000e+00
1.350993521198024986e-10	1.937649085480118716e+00	1.320249136370068221e+01	2.167152487366406366e-01	-1.243221115934375898e-01	0.000000000000000000e+00
1.414991297434578731e-10	1.964311325117887197e+00	1.318766860182219958e+01	2.199442083848896778e-01	-1.209500507573596645e-01	0.000000000000000000e+00
1.482020705798860072e-10	1.990384859969159148e+00	1.317136478579825187e+01	2.231395313900815802e-01	-1.176688904835328786e-01	0.000000000000000000e+00
1.552225357427047968e-10	2.015841223667215854e+00	1.315357486041964918e+01	2.262990633547555808e-01	-1.144786682197246330e-01	0.000000000000000000e+00
1.625755666443793407e-10	2.040653333392753677e+00	1.313429689257952937e+01	2.294207202997739226e-01	-1.113792493225426034e-01	0.000000000000000000e+00
1.702769172225897821e-10	2.064795590212864518e+00	1.311353198436856715e+01	2.325024958051322699e-01	-1.083703319539782162e-01	0.000000000000000000e+00
1.783430876931905687e-10	2.088243955931286422e+00	1.309128422224881128e+01	2.355424653002631818e-01	-1.054514551155279062e-01	0.000000000000000000e+00
1.867913599020784805e-10	2.110976009384769814e+00	1.306756060870963942e+01	2.385387887471469293e-01	-1.026220082710427584e-01	0.000000000000000000e+00
1.956398343517064725e-10	2.132970994830182043e+00	1.304237096012442976e+01	2.414897134765598419e-01	-9.988124070921787501e-02	0.000000000000000000e+00
2.049074689815846066e-10	2.154209854494429255e+00	1.301572784231021807e+01	2.443935750047716848e-01	-9.722827259211340445e-02	0.000000000000000000e+00
2.146141197858401440e-10	2.174675256838150883e+00	1.298764646173426840e+01	2.472487986276006300e-01	-9.466210494943007314e-02	0.000000000000000000e+00
2.247805833548729991e-10	2.194351620296495664e+00	1.295814456182526797e+01	2.500539008963864607e-01	-9.218162946110552980e-02	0.000000000000000000e+00
2.354286414322420067e-10	2.213225125732629195e+00	1.292724233465079564e+01	2.528074899955480848e-01	-8.978563883815962599e-02	0.000000000000000000e+00
2.465811075822603842e-10	2.231283727208671852e+00	1.289496230431600132e+01	2.555082669452958810e-01	-8.747283604115090039e-02	0.000000000000000000e+00
2.582618760682674929e-10	2.248517165090627490e+00	1.286132921484639269e+01	2.581550274864813366e-01	-8.524184252250968652e-02	0.000000000000000000e+00
2.704959730463131364e-10	2.264916960517315392e+00	1.282636993871865805e+01	2.607466619066203251e-01	-8.309120779620142450e-02	0.000000000000000000e+00
2.833096101839318258e-10	2.280476399942160448e+00	1.279011336295205048e+01	2.632821546250333489e-01	-8.101941866234541045e-02	0.000000000000000000e+00
2.967302408188872501e-10	2.295190511550466272e+00	1.275259027912360743e+01	2.657605832127845069e-01	-7.902490832605894855e-02	0.000000000000000000e+00
3.107866187782014063e-10	2.309056044305359823e+00	1.271383327110926587e+01	2.681811181964394719e-01	-7.710606430567309988e-02	0.000000000000000000e+00
3.255088599835056406e-10	2.322071425233451336e+00	1.267387661930576215e+01	2.705430204084745549e-01	-7.526123771339690571e-02	0.000000000000000000e+00
3.409285069746807543e-10	2.334236727560706992e+00	1.263275614960742033e+01	2.728456411528557002e-01	-7.348874969697583026e-02	0.000000000000000000e+00
3.570785964900469852e-10	2.345553616840297728e+00	1.259050918524604867e+01	2.750884179929230511e-01	-7.178690069919976824e-02	0.000000000000000000e+00
3.739937302478801677e-10	2.356025284710946632e+00	1.254717439805254209e+01	2.772708715395859613e-01	-7.015397822567412400e-02	0.000000000000000000e+00
3.917101490809260641e-10	2.365656394462408496e+00	1.250279171018171809e+01	2.793926028449036925e-01	-6.858826351970845336e-02	0.000000000000000000e+00
4.102658105827190344e-10	2.374453024626419495e+00	1.245740217619255930e+01	2.814532912802739095e-01	-6.708803730462817305e-02	0.000000000000000000e+00
4.297004704320835313e-10	2.382422612246725357e+00	1.241104786863130904e+01	2.834526925798252495e-01	-6.565158488157719907e-02	0.000000000000000000e+00
4.500557675700488183e-10	2.389573891960508067e+00	1.236377177676287076e+01	2.853906363411520819e-01	-6.427720111659264435e-02	0.000000000000000000e+00
4.713753134116729086e-10	2.395916838007064342e+00	1.231561765599801284e+01	2.872670252408805469e-01	-6.296319373637902783e-02	0.000000000000000000e+00
