pc	M	R	C	k2	j3
9.999999999999999799e-13	8.593509542365884712e-02	2.640562046929131412e+01	4.805564622287411720e-03	9.425766989538536533e-04	0.000000000000000000e+00
1.047370897959448749e-12	8.935123159699610851e-02	2.469660175633793031e+01	5.342365283500427088e-03	1.327721715213519942e-03	0.000000000000000000e+00
1.096985797892381920e-12	9.290042396322545359e-02	2.326979451509184571e+01	5.895157095188225185e-03	1.819168846615109962e-03	0.000000000000000000e+00
1.148951000187311009e-12	9.658587427134890380e-02	2.206309226894439846e+01	6.464239952778658149e-03	2.429848982902440072e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.004110484706174644e-01	2.103133349243707073e+01	7.049931982056624122e-03	3.171616385038183560e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.043796343788507691e-01	2.014089846033616027e+01	7.652567452618639493e-03	4.054966052310385316e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.084955137349200571e-01	1.936624788053766011e+01	8.272495303127739424e-03	5.088898795966996860e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.127627437266384980e-01	1.868763543973236452e+01	8.910078212756968388e-03	6.280748492565001867e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.171855434651887518e-01	1.808955545020166156e+01	9.565691693827253761e-03	7.636120337568772128e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.217682678628545512e-01	1.755966535092224845e+01	1.023972111180819489e-02	9.158864121156221408e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.265153588385534988e-01	1.708802217584364058e+01	1.093255542339481752e-02	1.085104709909536294e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.314313177005868305e-01	1.666652698229657403e+01	1.164458424819232209e-02	1.271300157967969989e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.365206932370990611e-01	1.628851555129599049e+01	1.237619698365927806e-02	1.474337748751276128e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.417880691493274004e-01	1.594845328916859906e+01	1.312778189319866590e-02	1.693918163550372710e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.472380521539007892e-01	1.564170477348320709e+01	1.389972518669645683e-02	1.929596382667166793e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.528752569663791583e-01	1.536435750013643364e+01	1.469240973488326191e-02	2.180786108214724517e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.587043052540036414e-01	1.511308489839316493e+01	1.550621571085009261e-02	2.446770506292858180e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.647298623142825769e-01	1.488503832699185025e+01	1.634152614937638137e-02	2.726726600661580346e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.709566774991283511e-01	1.467776267885118813e+01	1.719873252709134062e-02	3.019734544257023437e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.773895883161714093e-01	1.448913063679886193e+01	1.807823521686343152e-02	3.324793048546337282e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.840335187778029957e-01	1.431728980930755490e+01	1.898044319736585592e-02	3.640837486369612880e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.908934806014594143e-01	1.416061964482232227e+01	1.990577422351309106e-02	3.966738481685529866e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.979745732655990020e-01	1.401769628882520813e+01	2.085465474365576222e-02	4.301342561674188769e-02	0.000000000000000000e+00
2.899422853882880921e-12	2.052819874037703218e-01	1.388726351012869564e+01	2.182752037752264812e-02	4.643453442387560776e-02	0.000000000000000000e+00
3.036771118035460378e-12	2.128210701064702504e-01	1.376820795403764919e+01	2.282482417198029162e-02	4.991878094783783193e-02	0.000000000000000000e+00
3.180625692794118977e-12	2.205974126210817066e-01	1.365953896527438083e+01	2.384704701860107176e-02	5.345398190478630601e-02	0.000000000000000000e+00
3.331294787934670055e-12	2.286168864040930560e-01	1.356037273439982904e+01	2.489470094492389485e-02	5.702828500298117581e-02	0.000000000000000000e+00
3.489101213406766494e-12	2.368856592313048348e-01	1.346991905947380452e+01	2.596832984399319658e-02	6.062991971248540835e-02	0.000000000000000000e+00
3.654383070957261569e-12	2.454102111117673068e-01	1.338746999952211603e+01	2.706851018640392750e-02	6.424740308810024392e-02	0.000000000000000000e+00
3.827494478516314936e-12	2.541973560034825330e-01	1.331239009824122377e+01	2.819585240873704116e-02	6.786954641879899830e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.632542201978121943e-01	1.324410821731762766e+01	2.935099688753206593e-02	7.148553954065725580e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.725876515195844174e-01	1.318211286564218554e+01	3.053454038558231151e-02	7.508471489378325259e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.822029408506410153e-01	1.312594675204271688e+01	3.174688597584784250e-02	7.865606115079751270e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.921032827951001720e-01	1.307519477372069971e+01	3.298819140810973355e-02	8.218819757378194313e-02	0.000000000000000000e+00
4.824108704165373984e-12	3.022894819431029556e-01	1.302947310144235615e+01	3.425834808214933691e-02	8.566933952158013732e-02	0.000000000000000000e+00
5.052631065335679604e-12	3.127595425497108339e-01	1.298842056713680648e+01	3.555694676925319486e-02	8.908736274379151776e-02	0.000000000000000000e+00
5.291978735958436557e-12	3.235081260596940345e-01	1.295169156923486042e+01	3.688322903260887048e-02	9.242977560458910669e-02	0.000000000000000000e+00
5.542664520663095602e-12	3.345258392410305759e-01	1.291894959770156603e+01	3.823602175819399568e-02	9.568371629715341498e-02	0.000000000000000000e+00
5.805225516094907684e-12	3.458005706377046962e-01	1.288985908975839756e+01	3.961391550489279378e-02	9.883654011711572041e-02	0.000000000000000000e+00
6.080224261649427052e-12	3.573215424353835545e-01	1.286408383904591979e+01	4.101574205683850699e-02	1.018775290403333283e-01	0.000000000000000000e+00
