pc	M	R	C	k2	j3
9.999999999999999799e-13	9.952199562634984897e-02	6.788492689317662609e+01	2.164790913513427867e-03	-4.950664477451832690e-01	0.000000000000000000e+00
1.047370897959448749e-12	1.005432136916991070e-01	6.076136533414808127e+01	2.443405086025747779e-03	-4.938765237480075565e-01	0.000000000000000000e+00
1.096985797892381920e-12	1.016696831038403359e-01	5.479599841711119979e+01	2.739762143093260084e-03	-4.933067776284966177e-01	0.000000000000000000e+00
1.148951000187311009e-12	1.029045673824197094e-01	4.973951190495459684e+01	3.054944797613672568e-03	-4.924913183274274853e-01	0.000000000000000000e+00
1.203377840777590522e-12	1.042521010352095434e-01	4.540909949582425043e+01	3.390097288910919396e-03	-4.915467580305312723e-01	0.000000000000000000e+00
1.260382929679727463e-12	1.057173913359818612e-01	4.166774268261684000e+01	3.746422038315942553e-03	-4.906986533639043357e-01	0.000000000000000000e+00
1.320088400831416649e-12	1.073062857402116432e-01	3.841074157777703846e+01	4.125178121057640653e-03	-4.897720930813562745e-01	0.000000000000000000e+00
1.382622173764653478e-12	1.090252858597053481e-01	3.555673013062459376e+01	4.527679256102026470e-03	-4.887565569516482689e-01	0.000000000000000000e+00
1.448118227674535917e-12	1.108814906781483839e-01	3.304151479705395644e+01	4.955293030205093138e-03	-4.877090154542957912e-01	0.000000000000000000e+00
1.516716888470924089e-12	1.128825626697119583e-01	3.081376912333710294e+01	5.409439538749480185e-03	-4.865857399940942130e-01	0.000000000000000000e+00
1.588565129428052692e-12	1.150367082897469778e-01	2.883195202817577751e+01	5.891591602127258485e-03	-4.854055264747313414e-01	0.000000000000000000e+00
1.663816886076127415e-12	1.173526728768763960e-01	2.706208366581848423e+01	6.403272561443259722e-03	-4.841535659704938599e-01	0.000000000000000000e+00
1.742633386009647278e-12	1.198397419504946965e-01	2.547608922142119070e+01	6.946056939052237811e-03	-4.828223153535373124e-01	0.000000000000000000e+00
1.825183494319046040e-12	1.225077525290495378e-01	2.405056522348755621e+01	7.521570321519515864e-03	-4.814174384261050155e-01	0.000000000000000000e+00
1.911644075385703708e-12	1.253671086606306107e-01	2.276585094523910868e+01	8.131486715318240674e-03	-4.799303571132158552e-01	0.000000000000000000e+00
2.002200371815584363e-12	1.284288030801349623e-01	2.160530111064261760e+01	8.777530489538699909e-03	-4.783570089851374441e-01	0.000000000000000000e+00
2.097046401323230665e-12	1.317044413286633242e-01	2.055473528720641596e+01	9.461473283251120234e-03	-4.766959429256471537e-01	0.000000000000000000e+00
2.196385372416542332e-12	1.352062712249334775e-01	1.960199403019865017e+01	1.018513566743432970e-02	-4.749424491497711842e-01	0.000000000000000000e+00
2.300430119772921506e-12	1.389472128725073308e-01	1.873659741482970631e+01	1.095038401035825469e-02	-4.730925625667899426e-01	0.000000000000000000e+00
2.409403560239526876e-12	1.429408916717164746e-01	1.794946579939398745e+01	1.175913006553709617e-02	-4.711423189977357873e-01	0.000000000000000000e+00
2.523539170434765862e-12	1.472016724235254426e-01	1.723269563539476579e+01	1.261333010111369279e-02	-4.690878568500793655e-01	0.000000000000000000e+00
2.643081486974102692e-12	1.517446956873827746e-01	1.657938009947396907e+01	1.351498181734314338e-02	-4.669255510057949698e-01	0.000000000000000000e+00
2.768286630392061017e-12	1.565859101622890937e-01	1.598345854252785969e+01	1.446612312305748868e-02	-4.646512096451932416e-01	0.000000000000000000e+00
2.899422853882880921e-12	1.617421098593059825e-01	1.543959457317730610e+01	1.546882929928943169e-02	-4.622611820530103111e-01	0.000000000000000000e+00
3.036771118035460378e-12	1.672309665306936366e-01	1.494307492636942492e+01	1.652520899740548763e-02	-4.597515732308859460e-01	0.000000000000000000e+00
3.180625692794118977e-12	1.730710625662155444e-01	1.448972320097200495e+01	1.763740168425455279e-02	-4.571186430600458483e-01	0.000000000000000000e+00
3.331294787934670055e-12	1.792819177696174660e-01	1.407582902212846498e+01	1.880757235819801448e-02	-4.543586772686495912e-01	0.000000000000000000e+00
3.489101213406766494e-12	1.858840182978891975e-01	1.369808761342806669e+01	2.003790658078382150e-02	-4.514681240933630657e-01	0.000000000000000000e+00
3.654383070957261569e-12	1.928988351078784191e-01	1.335354765990522807e+01	2.133060528111957108e-02	-4.484435023133899745e-01	0.000000000000000000e+00
3.827494478516314936e-12	2.003488411145322445e-01	1.303956804826943028e+01	2.268787729148432145e-02	-4.452815176943903386e-01	0.000000000000000000e+00
4.008806328898464320e-12	2.082575221930310916e-01	1.275377992901702306e+01	2.411193216503667094e-02	-4.419790235196228712e-01	0.000000000000000000e+00
4.198707084443905621e-12	2.166493772768457449e-01	1.249405398277343338e+01	2.560497181025367386e-02	-4.385330931100407392e-01	0.000000000000000000e+00
4.397603609302712498e-12	2.255499129599579100e-01	1.225847260936320282e+01	2.716918042627273350e-02	-4.349410334646171550e-01	0.000000000000000000e+00
4.605922041145112927e-12	2.349856265781767317e-01	1.204530471189822904e+01	2.880671544427276798e-02	-4.312004188936555127e-01	0.000000000000000000e+00
4.824108704165373984e-12	2.449839783611235666e-01	1.185298497547145580e+01	3.051969464563171822e-02	-4.273091250679738051e-01	0.000000000000000000e+00
5.052631065335679604e-12	2.555733502692815740e-01	1.168009489147421931e+01	3.231018391042691368e-02	-4.232653681317183336e-01	0.000000000000000000e+00
5.291978735958436557e-12	2.667829905826853976e-01	1.152534590556972560e+01	3.418018453229239306e-02	-4.190677388570363537e-01	0.000000000000000000e+00
5.542664520663095602e-12	2.786429422645100296e-01	1.138756533935997339e+01	3.613161720435225516e-02	-4.147152418406030994e-01	0.000000000000000000e+00
5.805225516094907684e-12	2.911839537343237083e-01	1.126568308344481295e+01	3.816630739372074005e-02	-4.102073324469820426e-01	0.000000000000000000e+00
6.080224261649427052e-12	3.044373697689632396e-01	1.115872039610168187e+01	4.028596773390009933e-02	-4.055439544870370616e-01	0.000000000000000000e+00
6.368249944718585906e-12	3.184350015936641687e-01	1.106577945198007384e+01	4.249218103632965149e-02	-4.007255783018147111e-01	0.000000000000000000e+00
6.669919663030115058e-12	3.332089740461979255e-01	1.098603444799369555e+01	4.478638075373979344e-02	-3.957532392688668521e-01	0.000000000000000000e+00
6.985879746785234820e-12	3.487915479325782719e-01	1.091872334929781374e+01	4.716983152764724074e-02	-3.906285720404936157e-01	0.000000000000000000e+00
7.316807143427207274e-12	3.652149174728975267e-01	1.086314043924254058e+01	4.964360931864324894e-02	-3.853538439072423105e-01	0.000000000000000000e+00
7.663410868007462274e-12	3.825109786044142424e-01	1.081862975811904093e+01	5.220858000485802120e-02	-3.799319860913082936e-01	0.000000000000000000e+00
8.026433522257174683e-12	4.007110710068442216e-01	1.078457912441106892e+01	5.486537796284342294e-02	-3.743666214750264176e-01	0.000000000000000000e+00
8.406652885618316356e-12	4.198456895966460878e-01	1.076041470815200540e+01	5.761438420318987924e-02	-3.686620882347394490e-01	0.000000000000000000e+00
