           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.693788e-04   8.178074e-02   8.181002e-02   1.655146e+01     4.9410e-03   1.917217e-02   4.340164e+09
   1.872545e-04   8.193613e-02   8.196622e-02   1.602124e+01     5.1142e-03   1.912610e-02   3.644504e+09
   2.230060e-04   8.219592e-02   8.222742e-02   1.514183e+01     5.4284e-03   1.901636e-02   2.689532e+09
   2.408818e-04   8.230597e-02   8.233810e-02   1.477071e+01     5.5722e-03   1.895630e-02   2.352407e+09
   2.587575e-04   8.240551e-02   8.243822e-02   1.443117e+01     5.7102e-03   1.891988e-02   2.077559e+09
   2.766333e-04   8.249605e-02   8.252929e-02   1.412244e+01     5.8415e-03   1.887745e-02   1.850270e+09
   3.123848e-04   8.265476e-02   8.268893e-02   1.357416e+01     6.0891e-03   1.882083e-02   1.498899e+09
   3.302605e-04   8.315896e-02   8.319647e-02   1.283047e+01     6.4814e-03   1.880896e-02   1.096328e+09
   3.481363e-04   8.529188e-02   8.534416e-02   1.181505e+01     7.2189e-03   1.964628e-02   6.680792e+08
   3.660120e-04   8.982639e-02   8.991460e-02   1.079116e+01     8.3241e-03   2.161221e-02   3.605195e+08
   3.838878e-04   9.709658e-02   9.725192e-02   9.870913e+00     9.8366e-03   2.524611e-02   1.827554e+08
   4.017635e-04   1.071558e-01   1.074217e-01   9.122607e+00     1.1746e-02   3.074797e-02   9.167295e+07
   4.196393e-04   1.199367e-01   1.203708e-01   8.551507e+00     1.4025e-02   3.815528e-02   4.687238e+07
   4.553908e-04   1.533362e-01   1.543473e-01   7.830004e+00     1.9583e-02   5.801956e-02   1.342981e+07
   4.732665e-04   1.738486e-01   1.753098e-01   7.612880e+00     2.2836e-02   7.004269e-02   7.519002e+06
   4.911423e-04   1.968696e-01   1.989187e-01   7.471392e+00     2.6350e-02   8.235499e-02   4.322279e+06
   5.090180e-04   2.223905e-01   2.251921e-01   7.380715e+00     3.0131e-02   9.479696e-02   2.544568e+06
   5.268938e-04   2.504059e-01   2.541538e-01   7.330444e+00     3.4160e-02   1.068099e-01   1.530907e+06
   5.447695e-04   2.809078e-01   2.858264e-01   7.310195e+00     3.8427e-02   1.180970e-01   9.396664e+05
   5.626453e-04   3.138808e-01   3.202284e-01   7.310439e+00     4.2936e-02   1.286097e-01   5.875923e+05
   5.805210e-04   3.492992e-01   3.573702e-01   7.330469e+00     4.7650e-02   1.377721e-01   3.738871e+05
   5.983968e-04   3.871249e-01   3.972458e-01   7.361464e+00     5.2588e-02   1.458976e-01   2.418368e+05
   6.162725e-04   4.273054e-01   4.398413e-01   7.410037e+00     5.7666e-02   1.519545e-01   1.588666e+05
   6.341483e-04   4.697736e-01   4.851308e-01   7.460280e+00     6.2970e-02   1.572830e-01   1.059065e+05
   6.520240e-04   5.144475e-01   5.330663e-01   7.512538e+00     6.8479e-02   1.617119e-01   7.159441e+04
   6.698998e-04   5.612298e-01   5.835816e-01   7.580009e+00     7.4041e-02   1.637060e-01   4.904769e+04
   6.877756e-04   6.100092e-01   6.366121e-01   7.640685e+00     7.9837e-02   1.655729e-01   3.403121e+04
   7.056513e-04   6.606608e-01   6.920578e-01   7.710032e+00     8.5688e-02   1.656225e-01   2.390100e+04
   7.235271e-04   7.130473e-01   7.498227e-01   7.771675e+00     9.1750e-02   1.656228e-01   1.698284e+04
   7.414028e-04   7.670201e-01   8.097681e-01   7.840589e+00     9.7827e-02   1.639970e-01   1.220266e+04
   7.592786e-04   8.224215e-01   8.717744e-01   7.910047e+00     1.0397e-01   1.615183e-01   8.862447e+03
   7.771543e-04   8.790854e-01   9.357000e-01   7.971096e+00     1.1028e-01   1.591414e-01   6.503193e+03
   7.950301e-04   9.368398e-01   1.001376e+00   8.040009e+00     1.1652e-01   1.552888e-01   4.819530e+03
   8.129058e-04   9.935762e-01   1.066423e+00   8.100016e+00     1.2266e-01   1.516183e-01   3.639855e+03
   8.307816e-04   1.027853e+00   1.105982e+00   8.130854e+00     1.2641e-01   1.495942e-01   3.089226e+03
   8.486573e-04   1.061002e+00   1.144419e+00   8.161617e+00     1.3000e-01   1.472636e-01   2.644264e+03
   8.665331e-04   1.093080e+00   1.181792e+00   8.191435e+00     1.3344e-01   1.447270e-01   2.280332e+03
   8.844088e-04   1.124141e+00   1.218140e+00   8.220525e+00     1.3675e-01   1.419952e-01   1.979595e+03
   9.022846e-04   1.154231e+00   1.253534e+00   8.242231e+00     1.4004e-01   1.396633e-01   1.728824e+03
   9.201603e-04   1.183394e+00   1.287959e+00   8.270073e+00     1.4309e-01   1.366084e-01   1.518048e+03
   9.380361e-04   1.211669e+00   1.321502e+00   8.290118e+00     1.4616e-01   1.340242e-01   1.339600e+03
   9.559118e-04   1.239091e+00   1.354156e+00   8.310005e+00     1.4911e-01   1.312952e-01   1.187537e+03
   9.737876e-04   1.265694e+00   1.385987e+00   8.321156e+00     1.5211e-01   1.291125e-01   1.057186e+03
   9.916633e-04   1.291508e+00   1.416984e+00   8.340034e+00     1.5486e-01   1.262107e-01   9.448398e+02
   1.009539e-03   1.316561e+00   1.447202e+00   8.350398e+00     1.5766e-01   1.238542e-01   8.475202e+02
   1.027415e-03   1.340880e+00   1.476653e+00   8.360722e+00     1.6038e-01   1.214082e-01   7.628258e+02
   1.045291e-03   1.364490e+00   1.505357e+00   8.370637e+00     1.6301e-01   1.189171e-01   6.887997e+02
   1.063166e-03   1.387415e+00   1.533323e+00   8.380275e+00     1.6556e-01   1.163864e-01   6.238366e+02
   1.081042e-03   1.409675e+00   1.560610e+00   8.382655e+00     1.6817e-01   1.143040e-01   5.666079e+02
   1.098918e-03   1.431293e+00   1.587174e+00   8.390894e+00     1.7058e-01   1.117789e-01   5.160200e+02
   1.116794e-03   1.452289e+00   1.613072e+00   8.400004e+00     1.7289e-01   1.091733e-01   4.711485e+02
   1.134669e-03   1.472681e+00   1.638334e+00   8.400346e+00     1.7531e-01   1.071145e-01   4.312214e+02
   1.152545e-03   1.492487e+00   1.662968e+00   8.400986e+00     1.7766e-01   1.050113e-01   3.955885e+02
   1.170421e-03   1.511724e+00   1.686974e+00   8.401485e+00     1.7994e-01   1.029000e-01   3.636982e+02
   1.188297e-03   1.530411e+00   1.710366e+00   8.401621e+00     1.8216e-01   1.008011e-01   3.350808e+02
   1.206172e-03   1.548561e+00   1.733157e+00   8.401460e+00     1.8432e-01   9.871604e-02   3.093348e+02
   1.224048e-03   1.566191e+00   1.755367e+00   8.400995e+00     1.8643e-01   9.665010e-02   2.861157e+02
   1.241924e-03   1.583314e+00   1.777017e+00   8.400433e+00     1.8848e-01   9.459580e-02   2.651265e+02
   1.259800e-03   1.599946e+00   1.798122e+00   8.400037e+00     1.9047e-01   9.254290e-02   2.461107e+02
   1.277675e-03   1.616101e+00   1.818701e+00   8.391570e+00     1.9259e-01   9.094080e-02   2.288452e+02
   1.295551e-03   1.631790e+00   1.838717e+00   8.390341e+00     1.9448e-01   8.895658e-02   2.131395e+02
   1.313427e-03   1.647026e+00   1.858261e+00   8.381995e+00     1.9650e-01   8.736166e-02   1.988217e+02
   1.331303e-03   1.661823e+00   1.877265e+00   8.380288e+00     1.9830e-01   8.543669e-02   1.857478e+02
   1.349178e-03   1.676192e+00   1.895804e+00   8.371424e+00     2.0023e-01   8.389309e-02   1.737851e+02
   1.367054e-03   1.690145e+00   1.913820e+00   8.370027e+00     2.0193e-01   8.199577e-02   1.628228e+02
   1.384930e-03   1.703691e+00   1.931401e+00   8.360442e+00     2.0378e-01   8.052018e-02   1.527584e+02
   1.402806e-03   1.716844e+00   1.948531e+00   8.351242e+00     2.0558e-01   7.904122e-02   1.435040e+02
   1.420681e-03   1.729612e+00   1.965187e+00   8.342003e+00     2.0734e-01   7.758115e-02   1.349813e+02
   1.438557e-03   1.742006e+00   1.981376e+00   8.340006e+00     2.0887e-01   7.581019e-02   1.271219e+02
   1.456433e-03   1.754036e+00   1.997163e+00   8.330088e+00     2.1057e-01   7.442442e-02   1.198616e+02
   1.474309e-03   1.765711e+00   2.012546e+00   8.320219e+00     2.1222e-01   7.305588e-02   1.131462e+02
