           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.693788e-04   8.178074e-02   8.181002e-02   1.655146e+01     4.9410e-03   1.917217e-02   4.340164e+09
   1.872545e-04   8.193613e-02   8.196622e-02   1.602124e+01     5.1142e-03   1.912610e-02   3.644504e+09
   2.230060e-04   8.219592e-02   8.222742e-02   1.514183e+01     5.4284e-03   1.901636e-02   2.689532e+09
   2.408818e-04   8.230597e-02   8.233810e-02   1.477071e+01     5.5722e-03   1.895630e-02   2.352407e+09
   2.587575e-04   8.240551e-02   8.243822e-02   1.443117e+01     5.7102e-03   1.891988e-02   2.077559e+09
   2.766333e-04   8.249605e-02   8.252929e-02   1.412244e+01     5.8415e-03   1.887745e-02   1.850270e+09
   3.123848e-04   8.291138e-02   8.294725e-02   1.321058e+01     6.2761e-03   1.881402e-02   1.288038e+09
   3.302605e-04   8.430737e-02   8.435258e-02   1.234010e+01     6.8320e-03   1.922449e-02   8.610502e+08
   3.660120e-04   9.206815e-02   9.217508e-02   1.056088e+01     8.7178e-03   2.273506e-02   3.009945e+08
   4.017635e-04   1.070998e-01   1.073627e-01   9.200188e+00     1.1641e-02   3.064657e-02   9.557215e+07
   4.375150e-04   1.288517e-01   1.294165e-01   8.321556e+00     1.5484e-02   4.331684e-02   3.244426e+07
   4.553908e-04   1.420195e-01   1.428086e-01   8.021317e+00     1.7705e-02   5.119436e-02   1.961641e+07
   4.732665e-04   1.566219e-01   1.576950e-01   7.792167e+00     2.0100e-02   5.975474e-02   1.214255e+07
   4.911423e-04   1.726066e-01   1.740326e-01   7.621507e+00     2.2647e-02   6.863273e-02   7.679930e+06
   5.090180e-04   1.899312e-01   1.917884e-01   7.491089e+00     2.5354e-02   7.785110e-02   4.953556e+06
   5.268938e-04   2.085595e-01   2.109361e-01   7.400042e+00     2.8184e-02   8.675837e-02   3.252679e+06
   5.626453e-04   2.495992e-01   2.533218e-01   7.280281e+00     3.4284e-02   1.045403e-01   1.471353e+06
   5.805210e-04   2.719488e-01   2.765194e-01   7.250579e+00     3.7507e-02   1.125962e-01   1.011253e+06
   5.983968e-04   2.954760e-01   3.010268e-01   7.231506e+00     4.0860e-02   1.203023e-01   7.042307e+05
   6.162725e-04   3.201472e-01   3.268206e-01   7.223353e+00     4.4321e-02   1.273726e-01   4.965131e+05
   6.341483e-04   3.459263e-01   3.538743e-01   7.230803e+00     4.7841e-02   1.331296e-01   3.541588e+05
   6.520240e-04   3.727750e-01   3.821649e-01   7.241212e+00     5.1480e-02   1.385174e-01   2.554087e+05
   6.698998e-04   4.006521e-01   4.116571e-01   7.260191e+00     5.5185e-02   1.428834e-01   1.861203e+05
   6.877756e-04   4.295139e-01   4.423236e-01   7.280321e+00     5.8997e-02   1.468481e-01   1.369758e+05
   7.056513e-04   4.593139e-01   4.741260e-01   7.301594e+00     6.2906e-02   1.503585e-01   1.017600e+05
   7.235271e-04   4.900033e-01   5.070195e-01   7.330526e+00     6.6844e-02   1.526912e-01   7.627872e+04
   7.414028e-04   5.215308e-01   5.409713e-01   7.360489e+00     7.0855e-02   1.544909e-01   5.766932e+04
   7.592786e-04   5.538431e-01   5.759312e-01   7.390589e+00     7.4939e-02   1.558361e-01   4.395803e+04
   7.771543e-04   5.868850e-01   6.118530e-01   7.421182e+00     7.9082e-02   1.566832e-01   3.377003e+04
   7.950301e-04   6.205998e-01   6.486900e-01   7.452301e+00     8.3276e-02   1.570292e-01   2.613863e+04
   8.129058e-04   6.546255e-01   6.860481e-01   7.490094e+00     8.7399e-02   1.562130e-01   2.042198e+04
   8.307816e-04   6.854692e-01   7.200764e-01   7.520034e+00     9.1152e-02   1.555191e-01   1.647601e+04
   8.486573e-04   7.163775e-01   7.543418e-01   7.542416e+00     9.4980e-02   1.552215e-01   1.338762e+04
   8.665331e-04   7.473231e-01   7.888009e-01   7.571367e+00     9.8704e-02   1.538787e-01   1.095007e+04
   8.844088e-04   7.782784e-01   8.234261e-01   7.600425e+00     1.0240e-01   1.521853e-01   9.011472e+03
   9.022846e-04   8.092158e-01   8.582049e-01   7.622543e+00     1.0616e-01   1.508645e-01   7.458878e+03
   9.201603e-04   8.401076e-01   8.930841e-01   7.650520e+00     1.0981e-01   1.486688e-01   6.207389e+03
   9.380361e-04   8.709267e-01   9.280560e-01   7.671842e+00     1.1352e-01   1.468497e-01   5.192445e+03
   9.559118e-04   9.016463e-01   9.630732e-01   7.700025e+00     1.1710e-01   1.441330e-01   4.364676e+03
   9.737876e-04   9.322403e-01   9.981148e-01   7.720140e+00     1.2075e-01   1.419548e-01   3.685916e+03
   9.916633e-04   9.626834e-01   1.033150e+00   7.740240e+00     1.2437e-01   1.395717e-01   3.126516e+03
   1.009539e-03   9.929510e-01   1.068156e+00   7.760111e+00     1.2796e-01   1.370264e-01   2.663262e+03
   1.027415e-03   1.023019e+00   1.103106e+00   7.772761e+00     1.3162e-01   1.349460e-01   2.277855e+03
   1.045291e-03   1.052866e+00   1.137953e+00   7.791408e+00     1.3513e-01   1.321924e-01   1.955824e+03
   1.063166e-03   1.082469e+00   1.172676e+00   7.810309e+00     1.3859e-01   1.292957e-01   1.685610e+03
   1.081042e-03   1.111808e+00   1.207279e+00   7.821749e+00     1.4214e-01   1.269009e-01   1.457957e+03
   1.098918e-03   1.140863e+00   1.241685e+00   7.840119e+00     1.4552e-01   1.238465e-01   1.265433e+03
   1.116794e-03   1.169615e+00   1.275918e+00   7.850625e+00     1.4898e-01   1.213302e-01   1.102005e+03
   1.134669e-03   1.198049e+00   1.309935e+00   7.861130e+00     1.5240e-01   1.187318e-01   9.627830e+02
   1.152545e-03   1.226146e+00   1.343715e+00   7.871443e+00     1.5577e-01   1.160800e-01   8.437750e+02
   1.170421e-03   1.253893e+00   1.377232e+00   7.881274e+00     1.5910e-01   1.134083e-01   7.417089e+02
   1.188297e-03   1.281275e+00   1.410463e+00   7.890957e+00     1.6237e-01   1.107034e-01   6.538927e+02
   1.206172e-03   1.308279e+00   1.443394e+00   7.900403e+00     1.6560e-01   1.079821e-01   5.781031e+02
   1.224048e-03   1.334893e+00   1.476011e+00   7.910009e+00     1.6876e-01   1.052277e-01   5.124970e+02
   1.241924e-03   1.361107e+00   1.508305e+00   7.911297e+00     1.7205e-01   1.030011e-01   4.555405e+02
   1.259800e-03   1.386911e+00   1.540225e+00   7.920134e+00     1.7511e-01   1.002659e-01   4.059580e+02
   1.277675e-03   1.412296e+00   1.571806e+00   7.921163e+00     1.7829e-01   9.801488e-02   3.626739e+02
   1.313427e-03   1.461780e+00   1.633766e+00   7.930232e+00     1.8433e-01   9.306497e-02   2.915508e+02
   1.331303e-03   1.485866e+00   1.664151e+00   7.930664e+00     1.8736e-01   9.083573e-02   2.623103e+02
   1.349178e-03   1.509507e+00   1.694121e+00   7.931089e+00     1.9033e-01   8.861029e-02   2.365270e+02
   1.367054e-03   1.532700e+00   1.723660e+00   7.931299e+00     1.9325e-01   8.640526e-02   2.137393e+02
   1.384930e-03   1.555441e+00   1.752755e+00   7.931313e+00     1.9611e-01   8.422373e-02   1.935532e+02
   1.402806e-03   1.577728e+00   1.781397e+00   7.931028e+00     1.9893e-01   8.207466e-02   1.756323e+02
   1.420681e-03   1.599558e+00   1.809582e+00   7.930611e+00     2.0169e-01   7.995232e-02   1.596880e+02
   1.438557e-03   1.620931e+00   1.837311e+00   7.930229e+00     2.0440e-01   7.785155e-02   1.454727e+02
   1.456433e-03   1.641846e+00   1.864571e+00   7.930003e+00     2.0704e-01   7.576984e-02   1.327729e+02
   1.474309e-03   1.662304e+00   1.891374e+00   7.921337e+00     2.0985e-01   7.411112e-02   1.214039e+02
   1.492184e-03   1.682304e+00   1.917666e+00   7.920308e+00     2.1240e-01   7.211741e-02   1.112083e+02
   1.510060e-03   1.701848e+00   1.943524e+00   7.912160e+00     2.1509e-01   7.047164e-02   1.020456e+02
   1.527936e-03   1.720938e+00   1.968828e+00   7.910483e+00     2.1755e-01   6.856442e-02   9.379849e+01
   1.545812e-03   1.739577e+00   1.993700e+00   7.902119e+00     2.2014e-01   6.697360e-02   8.635986e+01
