           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.693788e-04   8.198170e-02   8.201198e-02   1.619330e+01     5.0627e-03   1.923936e-02   3.856481e+09
   1.872545e-04   8.439234e-02   8.443599e-02   1.459060e+01     5.7840e-03   2.003053e-02   2.062774e+09
   2.051303e-04   9.011963e-02   9.020019e-02   1.302276e+01     6.9202e-03   2.265867e-02   9.518343e+08
   2.230060e-04   9.924760e-02   9.939944e-02   1.174018e+01     8.4537e-03   2.736769e-02   4.225918e+08
   2.408818e-04   1.114243e-01   1.116924e-01   1.077108e+01     1.0345e-02   3.435900e-02   1.933507e+08
   2.587575e-04   1.262525e-01   1.266932e-01   1.008174e+01     1.2523e-02   4.312972e-02   9.336048e+07
   2.766333e-04   1.434124e-01   1.440939e-01   9.590611e+00     1.4953e-02   5.341459e-02   4.762849e+07
   2.945090e-04   1.626676e-01   1.636706e-01   9.241685e+00     1.7602e-02   6.467803e-02   2.552208e+07
   3.123848e-04   1.838421e-01   1.852593e-01   9.000195e+00     2.0426e-02   7.612155e-02   1.427090e+07
   3.302605e-04   2.067986e-01   2.087366e-01   8.830016e+00     2.3420e-02   8.750639e-02   8.279762e+06
   3.481363e-04   2.314235e-01   2.340009e-01   8.710106e+00     2.6570e-02   9.854771e-02   4.961755e+06
   3.660120e-04   2.576169e-01   2.609670e-01   8.622806e+00     2.9876e-02   1.092525e-01   3.059931e+06
   3.838878e-04   2.852866e-01   2.895534e-01   8.571754e+00     3.3282e-02   1.186044e-01   1.936203e+06
   4.017635e-04   3.143447e-01   3.196861e-01   8.541131e+00     3.6804e-02   1.270050e-01   1.253937e+06
   4.196393e-04   3.447051e-01   3.512902e-01   8.530115e+00     4.0410e-02   1.340703e-01   8.294258e+05
   4.375150e-04   3.762823e-01   3.842941e-01   8.521545e+00     4.4157e-02   1.408468e-01   5.593430e+05
   4.553908e-04   4.089912e-01   4.186207e-01   8.530654e+00     4.7944e-02   1.458995e-01   3.839765e+05
   4.732665e-04   4.427461e-01   4.541972e-01   8.541228e+00     5.1836e-02   1.504285e-01   2.679578e+05
   4.911423e-04   4.774615e-01   4.909442e-01   8.560722e+00     5.5774e-02   1.537005e-01   1.898646e+05
   5.090180e-04   5.130516e-01   5.287869e-01   8.581163e+00     5.9788e-02   1.563655e-01   1.364505e+05
   5.268938e-04   5.494309e-01   5.676489e-01   8.602860e+00     6.3866e-02   1.583758e-01   9.936799e+04
   5.447695e-04   5.865143e-01   6.074450e-01   8.631096e+00     6.7954e-02   1.592369e-01   7.326374e+04
   5.626453e-04   6.242174e-01   6.480983e-01   8.660245e+00     7.2078e-02   1.594728e-01   5.464704e+04
   5.805210e-04   6.624572e-01   6.895345e-01   8.690001e+00     7.6232e-02   1.591320e-01   4.120752e+04
   5.983968e-04   7.011517e-01   7.316727e-01   8.711489e+00     8.0486e-02   1.590491e-01   3.139369e+04
   6.162725e-04   7.402208e-01   7.744269e-01   8.740470e+00     8.4689e-02   1.578110e-01   2.414980e+04
   6.520240e-04   8.191729e-01   8.615022e-01   8.791038e+00     9.3183e-02   1.547159e-01   1.468137e+04
   6.698998e-04   8.589066e-01   9.056604e-01   8.820027e+00     9.7381e-02   1.522698e-01   1.159158e+04
   6.877756e-04   8.987169e-01   9.501441e-01   8.840497e+00     1.0166e-01   1.502201e-01   9.223711e+03
   7.056513e-04   9.385359e-01   9.948759e-01   8.861187e+00     1.0592e-01   1.478346e-01   7.394178e+03
   7.235271e-04   9.782987e-01   1.039781e+00   8.881479e+00     1.1015e-01   1.451987e-01   5.969538e+03
   7.414028e-04   1.017944e+00   1.084795e+00   8.901321e+00     1.1436e-01   1.423482e-01   4.851931e+03
   7.592786e-04   1.057412e+00   1.129852e+00   8.920747e+00     1.1853e-01   1.393105e-01   3.968969e+03
   7.771543e-04   1.096649e+00   1.174891e+00   8.940146e+00     1.2267e-01   1.360851e-01   3.266667e+03
   7.950301e-04   1.135601e+00   1.219857e+00   8.951576e+00     1.2686e-01   1.332913e-01   2.704448e+03
   8.129058e-04   1.174221e+00   1.264676e+00   8.970081e+00     1.3090e-01   1.298227e-01   2.251601e+03
   8.307816e-04   1.212463e+00   1.309308e+00   8.980464e+00     1.3501e-01   1.268175e-01   1.884684e+03
   8.486573e-04   1.250285e+00   1.353701e+00   8.990729e+00     1.3906e-01   1.237049e-01   1.585713e+03
   8.665331e-04   1.287648e+00   1.397791e+00   9.000685e+00     1.4306e-01   1.205197e-01   1.340783e+03
   8.844088e-04   1.324516e+00   1.441541e+00   9.010322e+00     1.4700e-01   1.172818e-01   1.139082e+03
   9.201603e-04   1.396640e+00   1.527854e+00   9.020992e+00     1.5482e-01   1.111879e-01   8.333276e+02
   9.559118e-04   1.466431e+00   1.612306e+00   9.030399e+00     1.6239e-01   1.050214e-01   6.200313e+02
   9.737876e-04   1.500394e+00   1.653749e+00   9.031012e+00     1.6614e-01   1.021479e-01   5.380147e+02
   9.916633e-04   1.533709e+00   1.694629e+00   9.031229e+00     1.6982e-01   9.928527e-02   4.686118e+02
   1.009539e-03   1.566361e+00   1.734914e+00   9.031124e+00     1.7344e-01   9.643923e-02   4.096495e+02
   1.027415e-03   1.598336e+00   1.774582e+00   9.030710e+00     1.7699e-01   9.361767e-02   3.593654e+02
   1.045291e-03   1.629622e+00   1.813600e+00   9.030193e+00     1.8046e-01   9.081792e-02   3.163235e+02
   1.063166e-03   1.660210e+00   1.851985e+00   9.022294e+00     1.8401e-01   8.840292e-02   2.793477e+02
   1.081042e-03   1.690093e+00   1.889654e+00   9.020650e+00     1.8736e-01   8.570182e-02   2.474770e+02
   1.098918e-03   1.719266e+00   1.926649e+00   9.012477e+00     1.9077e-01   8.333618e-02   2.199118e+02
   1.116794e-03   1.747724e+00   1.962913e+00   9.010358e+00     1.9397e-01   8.072232e-02   1.959967e+02
   1.134669e-03   1.775466e+00   1.998464e+00   9.001121e+00     1.9725e-01   7.846153e-02   1.751810e+02
   1.152545e-03   1.802491e+00   2.033287e+00   8.992020e+00     2.0045e-01   7.622494e-02   1.570097e+02
   1.170421e-03   1.828801e+00   2.067363e+00   8.982639e+00     2.0359e-01   7.403419e-02   1.411006e+02
   1.188297e-03   1.854397e+00   2.100662e+00   8.980016e+00     2.0650e-01   7.161107e-02   1.271337e+02
   1.206172e-03   1.879283e+00   2.133224e+00   8.970012e+00     2.0951e-01   6.952931e-02   1.148367e+02
   1.224048e-03   1.903464e+00   2.165058e+00   8.952579e+00     2.1262e-01   6.776851e-02   1.039810e+02
   1.241924e-03   1.926946e+00   2.196102e+00   8.941889e+00     2.1550e-01   6.578815e-02   9.437472e+01
   1.259800e-03   1.949734e+00   2.226361e+00   8.931121e+00     2.1831e-01   6.385418e-02   8.585222e+01
   1.277675e-03   1.971836e+00   2.255867e+00   8.920421e+00     2.2105e-01   6.196266e-02   7.827287e+01
   1.295551e-03   1.993261e+00   2.284608e+00   8.910020e+00     2.2371e-01   6.010690e-02   7.151636e+01
   1.313427e-03   2.014017e+00   2.312623e+00   8.891389e+00     2.2651e-01   5.856834e-02   6.547926e+01
   1.331303e-03   2.034114e+00   2.339834e+00   8.880295e+00     2.2906e-01   5.682231e-02   6.007418e+01
   1.349178e-03   2.053562e+00   2.366334e+00   8.861969e+00     2.3173e-01   5.534787e-02   5.522323e+01
   1.367054e-03   2.072370e+00   2.392039e+00   8.850351e+00     2.3416e-01   5.370551e-02   5.086196e+01
   1.384930e-03   2.090551e+00   2.417047e+00   8.831815e+00     2.3671e-01   5.231313e-02   4.693160e+01
   1.402806e-03   2.108115e+00   2.441274e+00   8.820170e+00     2.3901e-01   5.075824e-02   4.338393e+01
   1.420681e-03   2.125073e+00   2.464812e+00   8.801088e+00     2.4146e-01   4.945700e-02   4.017436e+01
   1.438557e-03   2.141438e+00   2.487639e+00   8.782650e+00     2.4383e-01   4.817271e-02   3.726578e+01
   1.456433e-03   2.157221e+00   2.509694e+00   8.770301e+00     2.4597e-01   4.676182e-02   3.462578e+01
   1.474309e-03   2.172434e+00   2.531106e+00   8.751008e+00     2.4825e-01   4.557405e-02   3.222430e+01
