           rhoc              M             Mb              R              C             kl            lam
   9.787575e-05   8.085977e-02   8.088481e-02   1.976007e+01     4.0921e-03   1.946000e-02   1.130660e+10
   1.336273e-04   8.139675e-02   8.142416e-02   1.787059e+01     4.5548e-03   1.929626e-02   6.562065e+09
   1.872545e-04   8.927766e-02   8.935148e-02   1.348275e+01     6.6216e-03   2.238704e-02   1.172423e+09
   2.051303e-04   1.004410e-01   1.006002e-01   1.191067e+01     8.4329e-03   2.821413e-02   4.410634e+08
   2.230060e-04   1.163361e-01   1.166505e-01   1.079399e+01     1.0778e-02   3.754272e-02   1.720969e+08
   2.408818e-04   1.364063e-01   1.369696e-01   1.006096e+01     1.3558e-02   4.969003e-02   7.231083e+07
   2.587575e-04   1.602286e-01   1.611612e-01   9.590040e+00     1.6708e-02   6.378385e-02   3.266042e+07
   2.766333e-04   1.875155e-01   1.889663e-01   9.281259e+00     2.0204e-02   7.925676e-02   1.569618e+07
   2.945090e-04   2.180636e-01   2.202127e-01   9.091864e+00     2.3984e-02   9.465916e-02   7.950964e+06
   3.123848e-04   2.517128e-01   2.547725e-01   8.981464e+00     2.8026e-02   1.092911e-01   4.214080e+06
   3.302605e-04   2.883205e-01   2.925364e-01   8.930061e+00     3.2287e-02   1.222865e-01   2.323710e+06
   3.481363e-04   3.277475e-01   3.333999e-01   8.910186e+00     3.6783e-02   1.340512e-01   1.327138e+06
   3.660120e-04   3.698506e-01   3.772541e-01   8.920087e+00     4.1463e-02   1.437833e-01   7.822233e+05
   3.838878e-04   4.144781e-01   4.239803e-01   8.941186e+00     4.6356e-02   1.523146e-01   4.743705e+05
   4.017635e-04   4.614689e-01   4.734496e-01   8.980681e+00     5.1385e-02   1.586451e-01   2.952361e+05
   4.196393e-04   5.106521e-01   5.255233e-01   9.030223e+00     5.6549e-02   1.632147e-01   1.881631e+05
   4.375150e-04   5.618480e-01   5.800483e-01   9.080926e+00     6.1871e-02   1.666945e-01   1.225706e+05
   4.553908e-04   6.148692e-01   6.368628e-01   9.140084e+00     6.7272e-02   1.683663e-01   8.147067e+04
   4.732665e-04   6.695225e-01   6.957984e-01   9.200005e+00     7.2774e-02   1.689336e-01   5.517462e+04
   4.911423e-04   7.256104e-01   7.566790e-01   9.251923e+00     7.8428e-02   1.692312e-01   3.802171e+04
   5.090180e-04   7.829334e-01   8.193129e-01   9.311192e+00     8.4085e-02   1.679035e-01   2.662999e+04
   5.268938e-04   8.412911e-01   8.835150e-01   9.370331e+00     8.9782e-02   1.657098e-01   1.893651e+04
   5.447695e-04   9.004849e-01   9.490992e-01   9.421983e+00     9.5573e-02   1.633683e-01   1.365859e+04
   5.626453e-04   9.603189e-01   1.015856e+00   9.480039e+00     1.0130e-01   1.597475e-01   9.984265e+03
   5.805210e-04   1.020602e+00   1.083613e+00   9.530049e+00     1.0709e-01   1.561660e-01   7.390766e+03
   5.983968e-04   1.081148e+00   1.152170e+00   9.571796e+00     1.1295e-01   1.526739e-01   5.536242e+03
   6.162725e-04   1.141779e+00   1.221331e+00   9.620180e+00     1.1869e-01   1.481479e-01   4.193821e+03
   6.341483e-04   1.202325e+00   1.290922e+00   9.660403e+00     1.2446e-01   1.438251e-01   3.210780e+03
   6.520240e-04   1.262624e+00   1.360764e+00   9.700109e+00     1.3017e-01   1.391728e-01   2.482998e+03
   6.698998e-04   1.322524e+00   1.430685e+00   9.731207e+00     1.3591e-01   1.348215e-01   1.938579e+03
   6.877756e-04   1.381884e+00   1.500511e+00   9.761807e+00     1.4156e-01   1.302340e-01   1.527305e+03
   7.056513e-04   1.440573e+00   1.570087e+00   9.791196e+00     1.4713e-01   1.255163e-01   1.213701e+03
   7.235271e-04   1.498469e+00   1.639262e+00   9.820121e+00     1.5259e-01   1.206725e-01   9.724382e+02
   7.414028e-04   1.555464e+00   1.707908e+00   9.840528e+00     1.5807e-01   1.162271e-01   7.852508e+02
   7.592786e-04   1.611457e+00   1.775875e+00   9.860444e+00     1.6343e-01   1.117118e-01   6.388456e+02
   7.771543e-04   1.666361e+00   1.843067e+00   9.872783e+00     1.6878e-01   1.075513e-01   5.234514e+02
   7.950301e-04   1.720098e+00   1.909325e+00   9.890449e+00     1.7392e-01   1.030608e-01   4.318341e+02
   8.129058e-04   1.772351e+00   1.974277e+00   9.900749e+00     1.7901e-01   9.896035e-02   3.588905e+02
   8.307816e-04   1.820395e+00   2.034456e+00   9.910300e+00     1.8369e-01   9.510197e-02   3.031821e+02
   8.486573e-04   1.866972e+00   2.093236e+00   9.912107e+00     1.8835e-01   9.162948e-02   2.576827e+02
   8.665331e-04   1.912070e+00   2.150533e+00   9.920131e+00     1.9275e-01   8.789840e-02   2.202713e+02
   8.844088e-04   1.955689e+00   2.206382e+00   9.920309e+00     1.9714e-01   8.455574e-02   1.893125e+02
   9.022846e-04   1.997833e+00   2.260708e+00   9.920142e+00     2.0139e-01   8.126916e-02   1.635415e+02
   9.201603e-04   2.038512e+00   2.313555e+00   9.912439e+00     2.0565e-01   7.833280e-02   1.419673e+02
   9.380361e-04   2.077739e+00   2.364828e+00   9.910632e+00     2.0965e-01   7.521496e-02   1.238126e+02
   9.559118e-04   2.115529e+00   2.414587e+00   9.901801e+00     2.1365e-01   7.242196e-02   1.084563e+02
   9.737876e-04   2.151902e+00   2.462790e+00   9.900002e+00     2.1736e-01   6.943941e-02   9.540659e+01
   1.009539e-03   2.220484e+00   2.554635e+00   9.872312e+00     2.2492e-01   6.450946e-02   7.471159e+01
   1.027415e-03   2.252742e+00   2.598237e+00   9.861242e+00     2.2844e-01   6.204760e-02   6.648666e+01
   1.045291e-03   2.283680e+00   2.640327e+00   9.850254e+00     2.3184e-01   5.965520e-02   5.937699e+01
   1.063166e-03   2.313326e+00   2.680950e+00   9.831687e+00     2.3529e-01   5.755816e-02   5.320738e+01
   1.081042e-03   2.341710e+00   2.720057e+00   9.820113e+00     2.3846e-01   5.532504e-02   4.783518e+01
   1.098918e-03   2.368862e+00   2.757723e+00   9.800612e+00     2.4171e-01   5.338316e-02   4.313998e+01
   1.116794e-03   2.394814e+00   2.793936e+00   9.781246e+00     2.4484e-01   5.149919e-02   3.902306e+01
   1.134669e-03   2.419596e+00   2.828720e+00   9.761701e+00     2.4787e-01   4.968227e-02   3.540162e+01
   1.152545e-03   2.443241e+00   2.862106e+00   9.741822e+00     2.5080e-01   4.793594e-02   3.220616e+01
   1.170421e-03   2.465782e+00   2.894129e+00   9.721641e+00     2.5364e-01   4.625844e-02   2.937815e+01
   1.188297e-03   2.487250e+00   2.924763e+00   9.701178e+00     2.5639e-01   4.464817e-02   2.686816e+01
   1.206172e-03   2.507677e+00   2.954110e+00   9.680659e+00     2.5904e-01   4.309866e-02   2.463425e+01
   1.224048e-03   2.527096e+00   2.982123e+00   9.660201e+00     2.6160e-01   4.160630e-02   2.264070e+01
   1.241924e-03   2.545539e+00   3.008941e+00   9.632501e+00     2.6427e-01   4.032188e-02   2.085673e+01
   1.259800e-03   2.563037e+00   3.034464e+00   9.611136e+00     2.6667e-01   3.895669e-02   1.925707e+01
   1.277675e-03   2.579621e+00   3.058788e+00   9.590194e+00     2.6899e-01   3.763691e-02   1.781885e+01
   1.295551e-03   2.595323e+00   3.081973e+00   9.561901e+00     2.7142e-01   3.650917e-02   1.652246e+01
   1.313427e-03   2.610173e+00   3.103960e+00   9.540462e+00     2.7359e-01   3.529837e-02   1.535198e+01
   1.331303e-03   2.624199e+00   3.124874e+00   9.512307e+00     2.7587e-01   3.425665e-02   1.429219e+01
   1.349178e-03   2.637432e+00   3.144644e+00   9.490451e+00     2.7790e-01   3.314633e-02   1.333129e+01
   1.367054e-03   2.649900e+00   3.163412e+00   9.462029e+00     2.8006e-01   3.219236e-02   1.245763e+01
   1.384930e-03   2.661630e+00   3.181091e+00   9.440279e+00     2.8194e-01   3.116689e-02   1.166239e+01
   1.402806e-03   2.672651e+00   3.197846e+00   9.411514e+00     2.8398e-01   3.029594e-02   1.093653e+01
   1.420681e-03   2.682988e+00   3.213568e+00   9.390085e+00     2.8573e-01   2.934599e-02   1.027334e+01
   1.438557e-03   2.692666e+00   3.228410e+00   9.360877e+00     2.8765e-01   2.855365e-02   9.665858e+00
   1.456433e-03   2.701712e+00   3.242336e+00   9.332464e+00     2.8950e-01   2.778163e-02   9.108618e+00
