           rhoc              M             Mb              R              C             kl            lam
   2.766333e-04   1.245010e-01   1.255091e-01   1.717671e+01     7.2482e-03   2.602901e-03   8.673658e+07
   2.945090e-04   1.333867e-01   1.345558e-01   1.558844e+01     8.5568e-03   4.129484e-03   6.001435e+07
   3.123848e-04   1.423009e-01   1.436446e-01   1.444311e+01     9.8525e-03   5.970383e-03   4.287226e+07
   3.302605e-04   1.512805e-01   1.528117e-01   1.353112e+01     1.1180e-02   8.204841e-03   3.131350e+07
   3.481363e-04   1.603783e-01   1.621119e-01   1.283144e+01     1.2499e-02   1.063487e-02   2.324288e+07
   3.660120e-04   1.696695e-01   1.716226e-01   1.222457e+01     1.3879e-02   1.348211e-02   1.745082e+07
   3.838878e-04   1.792333e-01   1.814269e-01   1.175050e+01     1.5253e-02   1.635674e-02   1.320666e+07
   4.017635e-04   1.891516e-01   1.916092e-01   1.131143e+01     1.6722e-02   1.970619e-02   1.004729e+07
   4.196393e-04   1.995004e-01   2.022496e-01   1.094294e+01     1.8231e-02   2.316853e-02   7.669357e+06
   4.375150e-04   2.103519e-01   2.134248e-01   1.062089e+01     1.9805e-02   2.681326e-02   5.865850e+06
   4.553908e-04   2.217791e-01   2.252126e-01   1.033210e+01     2.1465e-02   3.069428e-02   4.490618e+06
   4.732665e-04   2.338553e-01   2.376922e-01   1.007319e+01     2.3216e-02   3.477997e-02   3.438244e+06
   4.911423e-04   2.466397e-01   2.509282e-01   9.840911e+00     2.5063e-02   3.904183e-02   2.632087e+06
   5.090180e-04   2.601754e-01   2.649699e-01   9.630771e+00     2.7015e-02   4.348773e-02   2.014884e+06
   5.268938e-04   2.745013e-01   2.798625e-01   9.460025e+00     2.9017e-02   4.760249e-02   1.542685e+06
   5.447695e-04   2.896525e-01   2.956486e-01   9.291987e+00     3.1172e-02   5.217111e-02   1.181669e+06
   5.805210e-04   3.225330e-01   3.300299e-01   9.013351e+00     3.5784e-02   6.118471e-02   6.952041e+05
   5.983968e-04   3.402744e-01   3.486507e-01   8.900400e+00     3.8231e-02   6.548992e-02   5.345452e+05
   6.162725e-04   3.588732e-01   3.682261e-01   8.792929e+00     4.0814e-02   6.998835e-02   4.120001e+05
   6.341483e-04   3.783128e-01   3.887432e-01   8.701140e+00     4.3479e-02   7.422356e-02   3.184758e+05
   6.520240e-04   3.985698e-01   4.101873e-01   8.621800e+00     4.6228e-02   7.822462e-02   2.470132e+05
   6.698998e-04   4.196140e-01   4.325334e-01   8.552954e+00     4.9061e-02   8.199124e-02   1.923122e+05
   6.877756e-04   4.414088e-01   4.557493e-01   8.491265e+00     5.1984e-02   8.561070e-02   1.503466e+05
   7.056513e-04   4.639119e-01   4.797985e-01   8.440262e+00     5.4964e-02   8.883864e-02   1.180627e+05
   7.235271e-04   4.870765e-01   5.046412e-01   8.391340e+00     5.8045e-02   9.206502e-02   9.314809e+04
   7.414028e-04   5.108521e-01   5.302269e-01   8.350990e+00     6.1173e-02   9.489521e-02   7.385281e+04
   7.771543e-04   5.600171e-01   5.834230e-01   8.290003e+00     6.7553e-02   9.948019e-02   4.714248e+04
   7.950301e-04   5.852909e-01   6.109252e-01   8.261748e+00     7.0843e-02   1.016126e-01   3.796271e+04
   8.129058e-04   6.109488e-01   6.389484e-01   8.240918e+00     7.4136e-02   1.032401e-01   3.073344e+04
   8.307816e-04   6.369391e-01   6.674476e-01   8.221619e+00     7.7471e-02   1.047010e-01   2.501248e+04
   8.486573e-04   6.632111e-01   6.963706e-01   8.203739e+00     8.0843e-02   1.059883e-01   2.046290e+04
   8.665331e-04   6.897144e-01   7.256619e-01   8.192067e+00     8.4193e-02   1.067784e-01   1.682726e+04
   8.844088e-04   7.163994e-01   7.552739e-01   8.181381e+00     8.7565e-02   1.073969e-01   1.390777e+04
   9.022846e-04   7.432177e-01   7.851569e-01   8.171223e+00     9.0955e-02   1.078690e-01   1.155210e+04
   9.201603e-04   7.701219e-01   8.152625e-01   8.162384e+00     9.4350e-02   1.081398e-01   9.642327e+03
   9.380361e-04   7.970664e-01   8.455306e-01   8.160033e+00     9.7679e-02   1.078655e-01   8.086832e+03
   9.559118e-04   8.240072e-01   8.759301e-01   8.150665e+00     1.0110e-01   1.079405e-01   6.814022e+03
   9.737876e-04   8.509063e-01   9.064063e-01   8.150003e+00     1.0441e-01   1.073277e-01   5.767674e+03
   9.916633e-04   8.777302e-01   9.369334e-01   8.141143e+00     1.0781e-01   1.071460e-01   4.903503e+03
   1.009539e-03   9.044474e-01   9.674606e-01   8.140120e+00     1.1111e-01   1.063440e-01   4.186577e+03
   1.027415e-03   9.310284e-01   9.979740e-01   8.132296e+00     1.1449e-01   1.058857e-01   3.589198e+03
   1.081042e-03   1.009686e+00   1.089024e+00   8.122473e+00     1.2431e-01   1.030714e-01   2.315024e+03
   1.098918e-03   1.035464e+00   1.119115e+00   8.120925e+00     1.2751e-01   1.018620e-01   2.014991e+03
