           rhoc              M             Mb              R              C             kl            lam
   3.660120e-04   1.211204e-01   1.229382e-01   1.951382e+01     6.2069e-03   1.071251e-03   7.752184e+07
   3.838878e-04   1.310008e-01   1.330753e-01   1.666283e+01     7.8619e-03   2.040097e-03   4.528279e+07
   4.017635e-04   1.418600e-01   1.442355e-01   1.473607e+01     9.6267e-03   3.526491e-03   2.843546e+07
   4.375150e-04   1.663266e-01   1.694545e-01   1.232024e+01     1.3500e-02   8.352243e-03   1.241652e+07
   4.553908e-04   1.798580e-01   1.834444e-01   1.153054e+01     1.5598e-02   1.172733e-02   8.466575e+06
   4.732665e-04   1.942101e-01   1.983155e-01   1.091263e+01     1.7797e-02   1.570646e-02   5.865105e+06
   4.911423e-04   2.093501e-01   2.140395e-01   1.043213e+01     2.0068e-02   2.011467e-02   4.120224e+06
   5.090180e-04   2.252462e-01   2.305887e-01   1.004066e+01     2.2433e-02   2.498549e-02   2.931711e+06
   5.268938e-04   2.418679e-01   2.479368e-01   9.720335e+00     2.4883e-02   3.020345e-02   2.110960e+06
   5.626453e-04   2.771651e-01   2.849228e-01   9.245489e+00     2.9978e-02   4.107687e-02   1.131000e+06
   5.805210e-04   2.957767e-01   3.045058e-01   9.071653e+00     3.2605e-02   4.645977e-02   8.406164e+05
   5.983968e-04   3.149873e-01   3.247759e-01   8.920754e+00     3.5309e-02   5.193025e-02   6.307713e+05
   6.162725e-04   3.347649e-01   3.457061e-01   8.793893e+00     3.8068e-02   5.727585e-02   4.776245e+05
   6.341483e-04   3.550773e-01   3.672668e-01   8.681780e+00     4.0899e-02   6.262157e-02   3.648061e+05
   6.520240e-04   3.758917e-01   3.894277e-01   8.600318e+00     4.3707e-02   6.721393e-02   2.809487e+05
   6.698998e-04   3.971747e-01   4.121601e-01   8.521391e+00     4.6609e-02   7.195668e-02   2.180843e+05
   6.877756e-04   4.188931e-01   4.354305e-01   8.460094e+00     4.9514e-02   7.614454e-02   1.705719e+05
   7.056513e-04   4.410140e-01   4.592115e-01   8.401252e+00     5.2494e-02   8.034636e-02   1.343795e+05
   7.235271e-04   4.635052e-01   4.834705e-01   8.351496e+00     5.5500e-02   8.419957e-02   1.066023e+05
   7.414028e-04   4.863345e-01   5.081771e-01   8.311374e+00     5.8514e-02   8.759589e-02   8.512970e+04
   7.592786e-04   5.094699e-01   5.332999e-01   8.280235e+00     6.1528e-02   9.049565e-02   6.841593e+04
   7.771543e-04   5.328796e-01   5.588125e-01   8.244727e+00     6.4633e-02   9.359136e-02   5.531982e+04
   7.950301e-04   5.565322e-01   5.846782e-01   8.221743e+00     6.7690e-02   9.591221e-02   4.499359e+04
   8.129058e-04   5.803971e-01   6.108683e-01   8.200438e+00     7.0776e-02   9.803794e-02   3.680120e+04
   8.307816e-04   6.044448e-01   6.373567e-01   8.181063e+00     7.3883e-02   9.994117e-02   3.026346e+04
   8.486573e-04   6.286461e-01   6.641129e-01   8.163144e+00     7.7010e-02   1.016398e-01   2.501663e+04
   8.665331e-04   6.529729e-01   6.911017e-01   8.150353e+00     8.0116e-02   1.028946e-01   2.078297e+04
   8.844088e-04   6.773975e-01   7.183024e-01   8.140041e+00     8.3218e-02   1.038598e-01   1.734887e+04
   9.022846e-04   7.018933e-01   7.456905e-01   8.124421e+00     8.6393e-02   1.050330e-01   1.454927e+04
   9.201603e-04   7.264342e-01   7.732227e-01   8.120112e+00     8.9461e-02   1.053442e-01   1.225598e+04
   9.380361e-04   7.509952e-01   8.008888e-01   8.110674e+00     9.2593e-02   1.058547e-01   1.036854e+04
   9.559118e-04   7.755523e-01   8.286569e-01   8.101497e+00     9.5730e-02   1.062197e-01   8.808154e+03
   9.737876e-04   8.000824e-01   8.565025e-01   8.093763e+00     9.8852e-02   1.063646e-01   7.512503e+03
   9.916633e-04   8.245636e-01   8.843922e-01   8.090688e+00     1.0192e-01   1.060826e-01   6.432195e+03
   1.009539e-03   8.489748e-01   9.123201e-01   8.082945e+00     1.0503e-01   1.059898e-01   5.527729e+03
   1.027415e-03   8.732957e-01   9.402430e-01   8.080487e+00     1.0807e-01   1.054401e-01   4.767553e+03
   1.045291e-03   8.975073e-01   9.681613e-01   8.073183e+00     1.1117e-01   1.051011e-01   4.126198e+03
   1.063166e-03   9.215911e-01   9.960294e-01   8.070752e+00     1.1419e-01   1.043462e-01   3.583139e+03
   1.081042e-03   9.455300e-01   1.023851e+00   8.063959e+00     1.1725e-01   1.037793e-01   3.121654e+03
   1.098918e-03   9.693074e-01   1.051584e+00   8.061646e+00     1.2024e-01   1.028377e-01   2.728176e+03
   1.116794e-03   9.929080e-01   1.079218e+00   8.060216e+00     1.2319e-01   1.017612e-01   2.391550e+03
   1.134669e-03   1.016317e+00   1.106750e+00   8.052761e+00     1.2621e-01   1.009900e-01   2.102637e+03
   1.170421e-03   1.062509e+00   1.161373e+00   8.050000e+00     1.3199e-01   9.848900e-02   1.639127e+03
   1.188297e-03   1.085267e+00   1.188455e+00   8.041086e+00     1.3497e-01   9.761137e-02   1.453114e+03
   1.206172e-03   1.107785e+00   1.215347e+00   8.040034e+00     1.3778e-01   9.620420e-02   1.291561e+03
   1.224048e-03   1.130052e+00   1.242060e+00   8.031746e+00     1.4070e-01   9.518279e-02   1.150865e+03
   1.241924e-03   1.152060e+00   1.268548e+00   8.030172e+00     1.4347e-01   9.372138e-02   1.028008e+03
   1.259800e-03   1.173799e+00   1.294834e+00   8.021819e+00     1.4633e-01   9.261788e-02   9.204467e+02
   1.277675e-03   1.195262e+00   1.320870e+00   8.020159e+00     1.4903e-01   9.109520e-02   8.260434e+02
   1.295551e-03   1.216442e+00   1.346682e+00   8.011704e+00     1.5183e-01   8.992965e-02   7.429831e+02
   1.331303e-03   1.257927e+00   1.397514e+00   8.001058e+00     1.5722e-01   8.717071e-02   6.049787e+02
   1.349178e-03   1.278220e+00   1.422538e+00   7.993041e+00     1.5992e-01   8.590760e-02   5.476105e+02
   1.367054e-03   1.298209e+00   1.447258e+00   7.990387e+00     1.6247e-01   8.434291e-02   4.966763e+02
   1.384930e-03   1.317888e+00   1.471712e+00   7.981430e+00     1.6512e-01   8.309973e-02   4.513553e+02
   1.402806e-03   1.337255e+00   1.495871e+00   7.973313e+00     1.6772e-01   8.180008e-02   4.109460e+02
   1.420681e-03   1.356307e+00   1.519703e+00   7.970293e+00     1.7017e-01   8.023482e-02   3.748460e+02
   1.438557e-03   1.375041e+00   1.543251e+00   7.961125e+00     1.7272e-01   7.897610e-02   3.425298e+02
   1.456433e-03   1.393455e+00   1.566486e+00   7.952243e+00     1.7523e-01   7.769804e-02   3.135464e+02
   1.474309e-03   1.411549e+00   1.589377e+00   7.950009e+00     1.7755e-01   7.609869e-02   2.875046e+02
   1.492184e-03   1.429320e+00   1.611966e+00   7.940205e+00     1.8001e-01   7.486634e-02   2.640624e+02
   1.510060e-03   1.446769e+00   1.634231e+00   7.930736e+00     1.8243e-01   7.361885e-02   2.429235e+02
   1.545812e-03   1.480698e+00   1.677768e+00   7.912004e+00     1.8715e-01   7.112458e-02   2.065512e+02
   1.563687e-03   1.497180e+00   1.699034e+00   7.902734e+00     1.8945e-01   6.988180e-02   1.908927e+02
   1.581563e-03   1.513341e+00   1.719960e+00   7.893343e+00     1.9172e-01   6.865213e-02   1.766788e+02
   1.599439e-03   1.529181e+00   1.740516e+00   7.890009e+00     1.9381e-01   6.717340e-02   1.637568e+02
   1.617315e-03   1.544703e+00   1.760759e+00   7.880043e+00     1.9603e-01   6.599161e-02   1.519902e+02
   1.635190e-03   1.559908e+00   1.780661e+00   7.870103e+00     1.9821e-01   6.481933e-02   1.412605e+02
   1.653066e-03   1.574798e+00   1.800221e+00   7.860217e+00     2.0035e-01   6.365649e-02   1.314619e+02
   1.670942e-03   1.589375e+00   1.819436e+00   7.850238e+00     2.0246e-01   6.250998e-02   1.225011e+02
   1.688818e-03   1.603642e+00   1.838309e+00   7.840216e+00     2.0454e-01   6.137847e-02   1.142951e+02
   1.706693e-03   1.617601e+00   1.856838e+00   7.830164e+00     2.0659e-01   6.026212e-02   1.067702e+02
   1.760321e-03   1.657659e+00   1.910376e+00   7.800023e+00     2.1252e-01   5.700230e-02   8.766052e+01
   1.778196e-03   1.670416e+00   1.927578e+00   7.783131e+00     2.1462e-01   5.619358e-02   8.227045e+01
   1.796072e-03   1.682880e+00   1.944405e+00   7.772640e+00     2.1651e-01   5.516659e-02   7.729684e+01
   1.813948e-03   1.695055e+00   1.960895e+00   7.762007e+00     2.1838e-01   5.416082e-02   7.270182e+01
   1.831824e-03   1.706944e+00   1.977051e+00   7.751499e+00     2.2021e-01   5.316717e-02   6.845168e+01
   1.867575e-03   1.729881e+00   2.008368e+00   7.730597e+00     2.2377e-01   5.122647e-02   6.086784e+01
   1.885451e-03   1.740935e+00   2.023537e+00   7.720246e+00     2.2550e-01   5.027845e-02   5.748224e+01
   1.903327e-03   1.751719e+00   2.038380e+00   7.710006e+00     2.2720e-01   4.934418e-02   5.433709e+01
   1.921202e-03   1.762236e+00   2.052944e+00   7.692663e+00     2.2908e-01   4.865120e-02   5.141219e+01
   1.939078e-03   1.772489e+00   2.067145e+00   7.681731e+00     2.3074e-01   4.776952e-02   4.868968e+01
   1.956954e-03   1.782485e+00   2.081026e+00   7.671017e+00     2.3237e-01   4.689793e-02   4.615283e+01
   1.974830e-03   1.792225e+00   2.094598e+00   7.660465e+00     2.3396e-01   4.603839e-02   4.378671e+01
   1.992705e-03   1.801714e+00   2.107864e+00   7.650095e+00     2.3552e-01   4.519049e-02   4.157774e+01
   2.010581e-03   1.810956e+00   2.120868e+00   7.632821e+00     2.3726e-01   4.456054e-02   3.951347e+01
   2.028457e-03   1.819955e+00   2.133516e+00   7.621746e+00     2.3878e-01   4.376363e-02   3.758294e+01
   2.046333e-03   1.828716e+00   2.145865e+00   7.610881e+00     2.4028e-01   4.297701e-02   3.577569e+01
   2.064208e-03   1.837242e+00   2.157922e+00   7.600290e+00     2.4173e-01   4.219900e-02   3.408238e+01
   2.099960e-03   1.853606e+00   2.181212e+00   7.572014e+00     2.4480e-01   4.088283e-02   3.100412e+01
   2.117836e-03   1.861452e+00   2.192396e+00   7.561061e+00     2.4619e-01   4.015984e-02   2.960431e+01
   2.135711e-03   1.869080e+00   2.203300e+00   7.550333e+00     2.4755e-01   3.944643e-02   2.828838e+01
   2.153587e-03   1.876492e+00   2.213935e+00   7.540023e+00     2.4887e-01   3.873781e-02   2.705035e+01
   2.171463e-03   1.883695e+00   2.224338e+00   7.522016e+00     2.5042e-01   3.823976e-02   2.588466e+01
   2.189339e-03   1.890690e+00   2.234419e+00   7.510948e+00     2.5172e-01   3.757788e-02   2.478638e+01
   2.207214e-03   1.897483e+00   2.244239e+00   7.500326e+00     2.5299e-01   3.691959e-02   2.375074e+01
   2.225090e-03   1.904076e+00   2.253801e+00   7.490004e+00     2.5422e-01   3.626873e-02   2.277348e+01
   2.242966e-03   1.910475e+00   2.263145e+00   7.471767e+00     2.5569e-01   3.582160e-02   2.185061e+01
   2.260842e-03   1.916682e+00   2.272186e+00   7.460915e+00     2.5690e-01   3.520931e-02   2.097859e+01
   2.278717e-03   1.922702e+00   2.280975e+00   7.450187e+00     2.5807e-01   3.460795e-02   2.015397e+01
   2.314469e-03   1.934193e+00   2.297877e+00   7.421657e+00     2.6061e-01   3.360551e-02   1.863479e+01
   2.332345e-03   1.939672e+00   2.305930e+00   7.410589e+00     2.6174e-01   3.304948e-02   1.793475e+01
   2.350220e-03   1.944978e+00   2.313757e+00   7.400128e+00     2.6283e-01   3.249276e-02   1.727102e+01
   2.368096e-03   1.950115e+00   2.321408e+00   7.382267e+00     2.6416e-01   3.210927e-02   1.664129e+01
   2.385972e-03   1.955086e+00   2.328771e+00   7.371323e+00     2.6523e-01   3.158596e-02   1.604357e+01
   2.403848e-03   1.959894e+00   2.335908e+00   7.360487e+00     2.6627e-01   3.107239e-02   1.547581e+01
   2.421723e-03   1.964543e+00   2.342830e+00   7.350002e+00     2.6728e-01   3.056338e-02   1.493619e+01
   2.439599e-03   1.969036e+00   2.349593e+00   7.332014e+00     2.6855e-01   3.022031e-02   1.442300e+01
   2.457475e-03   1.973377e+00   2.356079e+00   7.321015e+00     2.6955e-01   2.974294e-02   1.393474e+01
   2.475351e-03   1.977569e+00   2.362357e+00   7.310306e+00     2.7052e-01   2.927083e-02   1.346987e+01
   2.493226e-03   1.981615e+00   2.368439e+00   7.300006e+00     2.7145e-01   2.880163e-02   1.302705e+01
   2.511102e-03   1.985517e+00   2.374366e+00   7.281723e+00     2.7267e-01   2.849909e-02   1.260497e+01
   2.528978e-03   1.989280e+00   2.380041e+00   7.270968e+00     2.7359e-01   2.805818e-02   1.220252e+01
   2.564729e-03   1.996399e+00   2.390814e+00   7.250008e+00     2.7537e-01   2.719674e-02   1.145199e+01
   2.582605e-03   1.999761e+00   2.395968e+00   7.231746e+00     2.7653e-01   2.692545e-02   1.110189e+01
   2.600481e-03   2.002995e+00   2.400882e+00   7.220930e+00     2.7739e-01   2.652379e-02   1.076740e+01
   2.618357e-03   2.006104e+00   2.405617e+00   7.210353e+00     2.7823e-01   2.612718e-02   1.044761e+01
   2.636232e-03   2.009090e+00   2.410179e+00   7.200008e+00     2.7904e-01   2.573572e-02   1.014175e+01
   2.654108e-03   2.011957e+00   2.414621e+00   7.181939e+00     2.8014e-01   2.549003e-02   9.849046e+00
   2.689860e-03   2.017343e+00   2.422874e+00   7.160471e+00     2.8173e-01   2.476214e-02   9.300505e+00
   2.707735e-03   2.019867e+00   2.426758e+00   7.150092e+00     2.8250e-01   2.440487e-02   9.043358e+00
   2.725611e-03   2.022282e+00   2.430551e+00   7.132397e+00     2.8353e-01   2.417953e-02   8.796823e+00
   2.743487e-03   2.024590e+00   2.434105e+00   7.121340e+00     2.8430e-01   2.384864e-02   8.560432e+00
   2.761363e-03   2.026794e+00   2.437512e+00   7.110798e+00     2.8503e-01   2.351698e-02   8.333617e+00
   2.779238e-03   2.028897e+00   2.440766e+00   7.100255e+00     2.8575e-01   2.319308e-02   8.115909e+00
   2.797114e-03   2.030900e+00   2.443880e+00   7.090019e+00     2.8644e-01   2.287181e-02   7.906855e+00
   2.814990e-03   2.032806e+00   2.446919e+00   7.072173e+00     2.8744e-01   2.267963e-02   7.706013e+00
   2.832866e-03   2.034617e+00   2.449730e+00   7.061280e+00     2.8814e-01   2.238219e-02   7.513038e+00
   2.850741e-03   2.036335e+00   2.452409e+00   7.050808e+00     2.8881e-01   2.208509e-02   7.327509e+00
   2.868617e-03   2.037963e+00   2.454948e+00   7.040307e+00     2.8947e-01   2.179538e-02   7.149076e+00
