           rhoc              M             Mb              R              C             kl            lam
   2.230060e-04   1.350152e-01   1.362554e-01   1.557655e+01     8.6678e-03   4.992600e-03   6.802661e+07
   2.408818e-04   1.610753e-01   1.628542e-01   1.340513e+01     1.2016e-02   1.182989e-02   3.148468e+07
   2.587575e-04   1.894071e-01   1.918735e-01   1.219060e+01     1.5537e-02   2.133735e-02   1.571058e+07
   2.766333e-04   2.198567e-01   2.231769e-01   1.145327e+01     1.9196e-02   3.244776e-02   8.299314e+06
   2.945090e-04   2.521634e-01   2.565186e-01   1.097002e+01     2.2987e-02   4.434390e-02   4.606487e+06
   3.123848e-04   2.860441e-01   2.916264e-01   1.063120e+01     2.6906e-02   5.652836e-02   2.672526e+06
   3.302605e-04   3.212827e-01   3.282935e-01   1.040204e+01     3.0887e-02   6.797774e-02   1.612248e+06
   3.481363e-04   3.577247e-01   3.663750e-01   1.024162e+01     3.4929e-02   7.847488e-02   1.006324e+06
   3.660120e-04   3.952340e-01   4.057443e-01   1.012191e+01     3.9047e-02   8.812142e-02   6.471875e+05
   3.838878e-04   4.336798e-01   4.462771e-01   1.004111e+01     4.3190e-02   9.635263e-02   4.273997e+05
   4.017635e-04   4.729209e-01   4.878373e-01   9.980294e+00     4.7385e-02   1.035872e-01   2.890605e+05
   4.196393e-04   5.128208e-01   5.302951e-01   9.934219e+00     5.1622e-02   1.098402e-01   1.997609e+05
   4.375150e-04   5.532501e-01   5.735147e-01   9.910089e+00     5.5827e-02   1.145155e-01   1.407840e+05
   4.732665e-04   6.352322e-01   6.617960e-01   9.870733e+00     6.4355e-02   1.219793e-01   7.366807e+04
   4.911423e-04   6.765851e-01   7.066518e-01   9.860753e+00     6.8614e-02   1.244049e-01   5.453616e+04
   5.090180e-04   7.180597e-01   7.518642e-01   9.851887e+00     7.2885e-02   1.262847e-01   4.093114e+04
   5.447695e-04   8.010555e-01   8.430171e-01   9.843255e+00     8.1381e-02   1.281071e-01   2.392558e+04
   5.626453e-04   8.424242e-01   8.887953e-01   9.843902e+00     8.5578e-02   1.280693e-01   1.860098e+04
   5.805210e-04   8.836085e-01   9.346002e-01   9.843617e+00     8.9765e-02   1.277156e-01   1.460921e+04
   5.983968e-04   9.245409e-01   9.803572e-01   9.843701e+00     9.3922e-02   1.269937e-01   1.158384e+04
   6.162725e-04   9.651590e-01   1.025994e+00   9.842705e+00     9.8058e-02   1.260295e-01   9.267421e+03
   6.341483e-04   1.005406e+00   1.071446e+00   9.842590e+00     1.0215e-01   1.247280e-01   7.476747e+03
   6.520240e-04   1.045228e+00   1.116650e+00   9.842974e+00     1.0619e-01   1.231456e-01   6.080014e+03
   6.877756e-04   1.123379e+00   1.206037e+00   9.840818e+00     1.1416e-01   1.195307e-01   4.110665e+03
   7.056513e-04   1.161608e+00   1.250099e+00   9.840170e+00     1.1805e-01   1.174348e-01   3.415236e+03
   7.235271e-04   1.199212e+00   1.293678e+00   9.832893e+00     1.2196e-01   1.155875e-01   2.855919e+03
   7.414028e-04   1.236154e+00   1.336685e+00   9.830550e+00     1.2575e-01   1.133250e-01   2.403038e+03
   7.592786e-04   1.272399e+00   1.379115e+00   9.822565e+00     1.2954e-01   1.112821e-01   2.033963e+03
   7.771543e-04   1.307916e+00   1.420881e+00   9.820219e+00     1.3319e-01   1.088347e-01   1.731339e+03
   7.950301e-04   1.342679e+00   1.461983e+00   9.811233e+00     1.3685e-01   1.066867e-01   1.481754e+03
