pc	M	R	C	k2	j3
9.999999999999999799e-13	8.324932102178655979e-02	1.839862865146327309e+01	6.681369361510226638e-03	1.861942689621896158e-02	0.000000000000000000e+00
1.047370897959448749e-12	8.346473741844540051e-02	1.812664206976794645e+01	6.799170113321085368e-03	1.866926980024138233e-02	0.000000000000000000e+00
1.096985797892381920e-12	8.374345133850798206e-02	1.784443269680824073e+01	6.929762412513106040e-03	1.874827597925119924e-02	0.000000000000000000e+00
1.148951000187311009e-12	8.409641555518417022e-02	1.755243499013793951e+01	7.074737770164437646e-03	1.886205065326610614e-02	0.000000000000000000e+00
1.203377840777590522e-12	8.453457412979749341e-02	1.725153337962881750e+01	7.235639172957612948e-03	1.901637640930639583e-02	0.000000000000000000e+00
1.260382929679727463e-12	8.506848571056783992e-02	1.694306094940949592e+01	7.413905805511825792e-03	1.921710895604224201e-02	0.000000000000000000e+00
1.320088400831416649e-12	8.570785840640254838e-02	1.662877519391057390e+01	7.610805378411791486e-03	1.946997612401916294e-02	0.000000000000000000e+00
1.382622173764653478e-12	8.646098536992656569e-02	1.631081333642939057e+01	7.827350800822953369e-03	1.978032703483256077e-02	0.000000000000000000e+00
1.448118227674535917e-12	8.733413607625879760e-02	1.599163117163453585e+01	8.064203874028345181e-03	2.015283303270017784e-02	0.000000000000000000e+00
1.516716888470924089e-12	8.833195172841715181e-02	1.567366948567498497e+01	8.321801972676304282e-03	2.059161929339742292e-02	0.000000000000000000e+00
1.588565129428052692e-12	8.945796350730214619e-02	1.535914660170200996e+01	8.600469432492222066e-03	2.110045322955090771e-02	0.000000000000000000e+00
1.663816886076127415e-12	9.071478069997851446e-02	1.505001428106530170e+01	8.900437974330840593e-03	2.168279771300482550e-02	0.000000000000000000e+00
1.742633386009647278e-12	9.210426507894779735e-02	1.474793349039207158e+01	9.221865976438965370e-03	2.234183819221049680e-02	0.000000000000000000e+00
1.825183494319046040e-12	9.362770588676659622e-02	1.445426661346474262e+01	9.564858643567208940e-03	2.308049898257113347e-02	0.000000000000000000e+00
1.911644075385703708e-12	9.528599441408945603e-02	1.417008383954987316e+01	9.929488699283338035e-03	2.390146842116604511e-02	0.000000000000000000e+00
2.002200371815584363e-12	9.707979597640697955e-02	1.389618063481459309e+01	1.031581723510932407e-02	2.480720467340536556e-02	0.000000000000000000e+00
2.097046401323230665e-12	9.900971673774190684e-02	1.363310309212396554e+01	1.072391428932911207e-02	2.579995933198959632e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.010764640775197870e-01	1.338117807516123037e+01	1.115387891385147441e-02	2.688179087644889179e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.032809998469764318e-01	1.314054554991389701e+01	1.160585853621385298e-02	2.805459154574083125e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.056246866667696349e-01	1.291119104448250354e+01	1.208006750870728625e-02	2.932011917710509313e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.081094286736864890e-01	1.269297667407650287e+01	1.257680494125059355e-02	3.068003837818646107e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.107378011562538955e-01	1.248567026718557393e+01	1.309647050842936700e-02	3.213595571737041384e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.135129567992616134e-01	1.228898444655598254e+01	1.363953852597704457e-02	3.368935086873267593e-02	0.000000000000000000e+00
2.899422853882880921e-12	1.164382829345784048e-01	1.210261320935553009e+01	1.420649273953616260e-02	3.534133981271486702e-02	0.000000000000000000e+00
3.036771118035460378e-12	1.195173210051037466e-01	1.192623793333136462e+01	1.479781574496758303e-02	3.709258595969158051e-02	0.000000000000000000e+00
3.180625692794118977e-12	1.227537400484990382e-01	1.175953043639499462e+01	1.541398697143325607e-02	3.894324069681699696e-02	0.000000000000000000e+00
3.331294787934670055e-12	1.261513099583322639e-01	1.160215614788830152e+01	1.605547998484778763e-02	4.089289400945909925e-02	0.000000000000000000e+00
3.489101213406766494e-12	1.297138736958994010e-01	1.145377695122889072e+01	1.672275944667247702e-02	4.294052577481009825e-02	0.000000000000000000e+00
