pc	M	R	C	k2	j3
9.999999999999999799e-13	8.471221279135990323e-02	1.798108506946747198e+01	6.956653390577066491e-03	1.928137678138763453e-02	0.000000000000000000e+00
1.047370897959448749e-12	8.526738626520161124e-02	1.765902740642676250e+01	7.129948698864628162e-03	1.949419358563366650e-02	0.000000000000000000e+00
1.096985797892381920e-12	8.592610041861416248e-02	1.733011588226497324e+01	7.321395550317315662e-03	1.975837893389923230e-02	0.000000000000000000e+00
1.148951000187311009e-12	8.670078466445857446e-02	1.699575632156140159e+01	7.532736352342912604e-03	2.008126790065730902e-02	0.000000000000000000e+00
1.203377840777590522e-12	8.760432210493486471e-02	1.665757346916188908e+01	7.765761186465335725e-03	2.047080758957264823e-02	0.000000000000000000e+00
1.260382929679727463e-12	8.864993426189217429e-02	1.631737889559306609e+01	8.022288105250675178e-03	2.093558424727972114e-02	0.000000000000000000e+00
1.320088400831416649e-12	8.985104912322672277e-02	1.597712794490141697e+01	8.304140230109139861e-03	2.148479700178943311e-02	0.000000000000000000e+00
1.382622173764653478e-12	9.122115437671106386e-02	1.563886777044177556e+01	8.613119866484357165e-03	2.212825117589520968e-02	0.000000000000000000e+00
1.448118227674535917e-12	9.277363827291987275e-02	1.530467925275579688e+01	8.950980092367237864e-03	2.287628073176893595e-02	0.000000000000000000e+00
1.516716888470924089e-12	9.452161969056074864e-02	1.497661633228135258e+01	9.319394273244387128e-03	2.373965817519993818e-02	0.000000000000000000e+00
1.588565129428052692e-12	9.647776793572331033e-02	1.465664660704646671e+01	9.719923924056395742e-03	2.472944905698251997e-02	0.000000000000000000e+00
1.663816886076127415e-12	9.865411197579572466e-02	1.434659670360811212e+01	1.015398544781312591e-02	2.585681663447729831e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.010618367327197481e-01	1.404810560974315337e+01	1.062281598791649413e-02	2.713274449763768484e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.037110629072016121e-01	1.376258809407520545e+01	1.112743864648654477e-02	2.856771421623820195e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.066106059067765399e-01	1.349120932805369044e+01	1.166862722722215341e-02	3.017129253272326714e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.097677081010131894e-01	1.323487087736108414e+01	1.224687042411287154e-02	3.195165559317977855e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.131877387851138311e-01	1.299420724427339735e+01	1.286233539237106004e-02	3.391506318109121371e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.168738285392427745e-01	1.276959350107575020e+01	1.351482521576096059e-02	3.606525723527435195e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.208270797192832480e-01	1.256113612774039190e+01	1.420383412737731207e-02	3.840324112482845775e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.250479173782052811e-01	1.236865099054911532e+01	1.492878154765674148e-02	4.092783867444026169e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.295365304719251209e-01	1.219172162228089640e+01	1.568907929399281434e-02	4.363582474083298191e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.342930440508569856e-01	1.202976288721854381e+01	1.648415486464039140e-02	4.652197698797339021e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.393176670908629622e-01	1.188207406528891141e+01	1.731347217602080893e-02	4.957916802884338586e-02	0.000000000000000000e+00
2.899422853882880921e-12	1.446108199281679330e-01	1.174788217799495271e+01	1.817654940872521704e-02	5.279848830158068163e-02	0.000000000000000000e+00
3.036771118035460378e-12	1.501732459630016059e-01	1.162637646665038638e+01	1.907297421320641728e-02	5.616944052644338298e-02	0.000000000000000000e+00
3.180625692794118977e-12	1.560061119911327066e-01	1.151673512682203437e+01	2.000241667118847141e-02	5.968012497121076565e-02	0.000000000000000000e+00
3.331294787934670055e-12	1.621111011224825871e-01	1.141814548220477121e+01	2.096464045080103158e-02	6.331747418520809745e-02	0.000000000000000000e+00
3.489101213406766494e-12	1.684905016998304583e-01	1.132981875500626501e+01	2.195951257461000589e-02	6.706748456507154177e-02	0.000000000000000000e+00
