pc	M	R	C	k2	j3
9.999999999999999799e-13	1.060617473665708133e-01	4.085498803090800379e+01	3.833398117736917885e-03	3.638432626230602134e-04	0.000000000000000000e+00
1.047370897959448749e-12	1.086635027399680958e-01	3.784583921005079077e+01	4.239706524019614363e-03	4.665505479130150181e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.113743454277373313e-01	3.529108460450769513e+01	4.660048040437079001e-03	5.987690653566405362e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.141956768964689090e-01	3.309765611158232446e+01	5.094747429875703774e-03	7.655898444572938099e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.171294760478050340e-01	3.119612496984241190e+01	5.544160370192869648e-03	9.723493295385771552e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.201781991064347771e-01	2.953367832084906652e+01	6.008670464517257802e-03	1.224545296765031446e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.233447086329530207e-01	2.806945249108227358e+01	6.488686874706130030e-03	1.527757448885967706e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.266322215205604451e-01	2.677135101296354591e+01	6.984642343528311807e-03	1.887580175979914699e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.300442701532799061e-01	2.561382495810356019e+01	7.496991515890618143e-03	2.309559088607365893e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.335846786966651545e-01	2.457629130159157782e+01	8.026210381482955236e-03	2.799105394965297096e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.372575832382746941e-01	2.364197937125513960e+01	8.572801121884706874e-03	3.361446629319949156e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.410674402752152001e-01	2.279709004601591715e+01	9.137294156321064398e-03	4.001591693958460663e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.450190207101090534e-01	2.203017119921131695e+01	9.720247674179359476e-03	4.724230403985792137e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.491174069321341833e-01	2.133164337381117548e+01	1.032224739130939602e-02	5.533743149977028881e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.533679915430986307e-01	2.069343550663495890e+01	1.094390633479991153e-02	6.434131620050465884e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.577764774220415944e-01	2.010870210819866344e+01	1.158586463750650719e-02	7.428970376882669188e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.623488784283522168e-01	1.957160145702525611e+01	1.224878930345225589e-02	8.521403589135697135e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.670915207343027231e-01	1.907712003211110385e+01	1.293337393952447359e-02	9.714089391002067933e-03	0.000000000000000000e+00
