pc	M	R	C	k2	j3
9.999999999999999799e-13	1.242128143907332144e-01	1.556609817365882975e+01	1.178302697507969433e-02	4.210239720575292138e-02	0.000000000000000000e+00
1.047370897959448749e-12	1.277018855346322979e-01	1.536956973269485971e+01	1.226890588667135969e-02	4.421176317322718374e-02	0.000000000000000000e+00
1.096985797892381920e-12	1.313573439521718567e-01	1.518425907723965196e+01	1.277411990223947282e-02	4.642371516034878021e-02	0.000000000000000000e+00
1.148951000187311009e-12	1.351839080452426900e-01	1.500974104498740047e+01	1.329909329680874046e-02	4.873703788196970949e-02	0.000000000000000000e+00
1.203377840777590522e-12	1.391862493128521172e-01	1.484560105065047075e+01	1.384422922568486099e-02	5.114982380606684226e-02	0.000000000000000000e+00
1.260382929679727463e-12	1.433689403744629887e-01	1.469143386885696145e+01	1.440990527362541289e-02	5.365944431187086305e-02	0.000000000000000000e+00
1.320088400831416649e-12	1.477363993672527465e-01	1.454684250023807834e+01	1.499646880646443234e-02	5.626250505934016904e-02	0.000000000000000000e+00
1.382622173764653478e-12	1.522928300011671676e-01	1.441143711934827465e+01	1.560423208245111971e-02	5.895482170004708034e-02	0.000000000000000000e+00
1.448118227674535917e-12	1.570421571360448298e-01	1.428483407803282823e+01	1.623346716226366226e-02	6.173139952787282808e-02	0.000000000000000000e+00
1.516716888470924089e-12	1.619879561489340203e-01	1.416665500060172000e+01	1.688440042374672601e-02	6.458641732016584536e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.671333663910333778e-01	1.405652649421753786e+01	1.755720501159723293e-02	6.751321049128931884e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.724813620253912161e-01	1.395407556778668834e+01	1.825203687300213859e-02	7.050450746738308461e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.780350848103246786e-01	1.385892859146547984e+01	1.896907587806748868e-02	7.355269116556358011e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.837978780342410245e-01	1.377071626144212324e+01	1.970852842987364656e-02	7.664987963431993401e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.897732987720314735e-01	1.368907746544987525e+01	2.047062774386927339e-02	7.978800134425764745e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.959651289328815105e-01	1.361366205784554140e+01	2.125563417941054786e-02	8.295885355599376398e-02	0.000000000000000000e+00
2.097046401323230665e-12	2.023773851430535342e-01	1.354413282815416508e+01	2.206383550393015494e-02	8.615416878795924271e-02	0.000000000000000000e+00
2.196385372416542332e-12	2.090143281854723312e-01	1.348016682631611651e+01	2.289554715219123057e-02	8.936565334869714383e-02	0.000000000000000000e+00
2.300430119772921506e-12	2.158804714576554595e-01	1.342145620655938210e+01	2.375111236189352687e-02	9.258507599214566008e-02	0.000000000000000000e+00
2.409403560239526876e-12	2.229805893401599626e-01	1.336770867418287168e+01	2.463090230731597094e-02	9.580428416860051199e-02	0.000000000000000000e+00
2.523539170434765862e-12	2.303197251576357685e-01	1.331864764156813052e+01	2.553531615643472516e-02	9.901526062716159426e-02	0.000000000000000000e+00
2.643081486974102692e-12	2.379031988850655310e-01	1.327401215274202606e+01	2.646478107897884749e-02	1.022101588661024074e-01	0.000000000000000000e+00
2.768286630392061017e-12	2.457366147124298295e-01	1.323355663396000459e+01	2.741975221218590983e-02	1.053813414399444870e-01	0.000000000000000000e+00
2.899422853882880921e-12	2.538258643621381094e-01	1.319705053046307697e+01	2.840071208977016162e-02	1.085214100658063591e-01	0.000000000000000000e+00
3.036771118035460378e-12	2.621770500310122154e-01	1.316427794973577825e+01	2.940816078778581838e-02	1.116231902314000074e-01	0.000000000000000000e+00
3.180625692794118977e-12	2.707963599004446498e-01	1.313503672208938156e+01	3.044260172441630094e-02	1.146797115617954610e-01	0.000000000000000000e+00
3.331294787934670055e-12	2.796900383089592212e-01	1.310913700771735080e+01	3.150453914312621034e-02	1.176842003882227067e-01	0.000000000000000000e+00
3.489101213406766494e-12	2.888643697371381380e-01	1.308640010344113769e+01	3.259447703945372171e-02	1.206301015409482064e-01	0.000000000000000000e+00
3.654383070957261569e-12	2.983256615307786630e-01	1.306665740275940202e+01	3.371291790228166801e-02	1.235110982003592428e-01	0.000000000000000000e+00
3.827494478516314936e-12	3.080802254684882890e-01	1.304974946591696749e+01	3.486036134548878285e-02	1.263211124207457015e-01	0.000000000000000000e+00
4.008806328898464320e-12	3.181343580828004947e-01	1.303552518111131775e+01	3.603730264121933480e-02	1.290543271358886024e-01	0.000000000000000000e+00
4.198707084443905621e-12	3.284943196436152513e-01	1.302384099921137839e+01	3.724423117144961409e-02	1.317051893320112244e-01	0.000000000000000000e+00
