pc	M	R	C	k2	j3
9.999999999999999799e-13	1.240356945903655778e-01	1.551422701430416673e+01	1.180556498058189796e-02	4.201678369888078163e-02	0.000000000000000000e+00
1.047370897959448749e-12	1.277814759831923108e-01	1.531103597864622046e+01	1.232348549655366832e-02	4.430595585499048222e-02	0.000000000000000000e+00
1.096985797892381920e-12	1.317206817332020330e-01	1.512082843427672429e+01	1.286318805864127002e-02	4.671941542727903185e-02	0.000000000000000000e+00
1.148951000187311009e-12	1.358577088964893209e-01	1.494309344299856868e+01	1.342499118451057245e-02	4.925507437471340205e-02	0.000000000000000000e+00
1.203377840777590522e-12	1.401971532279488175e-01	1.477730900174090145e+01	1.400922386948721780e-02	5.191005828772161240e-02	0.000000000000000000e+00
1.260382929679727463e-12	1.447438068370177633e-01	1.462294984368987905e+01	1.461622551833371801e-02	5.468069983351543650e-02	0.000000000000000000e+00
1.320088400831416649e-12	1.495026524065863893e-01	1.447949364411373274e+01	1.524634553638397685e-02	5.756255250005845592e-02	0.000000000000000000e+00
1.382622173764653478e-12	1.544788538910600861e-01	1.434642582507921915e+01	1.589994259851455760e-02	6.055041329367245179e-02	0.000000000000000000e+00
1.448118227674535917e-12	1.596777443056332790e-01	1.422324318668656851e+01	1.657738364559241395e-02	6.363834907585999567e-02	0.000000000000000000e+00
1.516716888470924089e-12	1.651048103100959119e-01	1.410945653339905626e+01	1.727904261126179258e-02	6.681972645131582789e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.707656737068248276e-01	1.400459247579536637e+01	1.800529889455607102e-02	7.008725422970600583e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.766660626571024684e-01	1.390819466607169375e+01	1.875653468207049562e-02	7.343302042466665069e-02	0.000000000000000000e+00
1.742633386009647278e-12	1.828116655512283251e-01	1.381982613675489091e+01	1.953311743569125999e-02	7.684847299233756035e-02	0.000000000000000000e+00
1.825183494319046040e-12	1.892082157718500690e-01	1.373906772316687963e+01	2.033541131479133998e-02	8.032455258896480099e-02	0.000000000000000000e+00
1.911644075385703708e-12	1.958616680460356918e-01	1.366551659202526636e+01	2.116379908931289092e-02	8.385186523935642122e-02	0.000000000000000000e+00
2.002200371815584363e-12	2.027782014514769859e-01	1.359878722265967532e+01	2.201868220063590495e-02	8.742074694956683545e-02	0.000000000000000000e+00
2.097046401323230665e-12	2.099642150379271155e-01	1.353851197027036690e+01	2.290047994964151262e-02	9.102136282277940860e-02	0.000000000000000000e+00
2.196385372416542332e-12	2.174263224449461962e-01	1.348434119667861175e+01	2.380962866842443668e-02	9.464373373869350292e-02	0.000000000000000000e+00
2.300430119772921506e-12	2.251713449985368598e-01	1.343594309990446334e+01	2.474658076941366192e-02	9.827782182008856782e-02	0.000000000000000000e+00
2.409403560239526876e-12	2.332063037290956486e-01	1.339300332140320648e+01	2.571180371572163656e-02	1.019135791834130389e-01	0.000000000000000000e+00
2.523539170434765862e-12	2.415384101507543346e-01	1.335522437980323396e+01	2.670577892048069113e-02	1.055410102931439997e-01	0.000000000000000000e+00
2.643081486974102692e-12	2.501750556026197114e-01	1.332232499073529475e+01	2.772900053842185242e-02	1.091502001388891530e-01	0.000000000000000000e+00
2.768286630392061017e-12	2.591237994698447622e-01	1.329403931848117537e+01	2.878197417181103945e-02	1.127314020928297938e-01	0.000000000000000000e+00
2.899422853882880921e-12	2.683923558465143300e-01	1.327011616123124149e+01	2.986521550506355746e-02	1.162750330724309916e-01	0.000000000000000000e+00
3.036771118035460378e-12	2.779885788483996145e-01	1.325031812683856636e+01	3.097924882877873404e-02	1.197717508311581386e-01	0.000000000000000000e+00
3.180625692794118977e-12	2.879204460612209138e-01	1.323442078254690912e+01	3.212460547615941797e-02	1.232124553970551928e-01	0.000000000000000000e+00
3.331294787934670055e-12	2.981960396162232074e-01	1.322221183790328602e+01	3.330182201790780894e-02	1.265883401662136476e-01	0.000000000000000000e+00
3.489101213406766494e-12	3.088234838440795382e-01	1.321349035319901333e+01	3.451143366400984125e-02	1.298909018993125719e-01	0.000000000000000000e+00
3.654383070957261569e-12	3.198109296314039507e-01	1.320806590788003376e+01	3.575397313266792665e-02	1.331119602945271541e-01	0.000000000000000000e+00
3.827494478516314936e-12	3.311665906134166337e-01	1.320575784810505304e+01	3.702997532018766774e-02	1.362437201052865976e-01	0.000000000000000000e+00
4.008806328898464320e-12	3.428987256523978733e-01	1.320639460671766763e+01	3.833997596622569504e-02	1.392787665811837383e-01	0.000000000000000000e+00
4.198707084443905621e-12	3.550156175947793424e-01	1.320981312967156995e+01	3.968450976441134648e-02	1.422100968322738967e-01	0.000000000000000000e+00
4.397603609302712498e-12	3.675255482774392179e-01	1.321585816831960791e+01	4.106410861716707633e-02	1.450311203097173762e-01	0.000000000000000000e+00
4.605922041145112927e-12	3.804367744141902707e-01	1.322438177669937609e+01	4.247929958962124580e-02	1.477356719879043268e-01	0.000000000000000000e+00
4.824108704165373984e-12	3.937574997409992172e-01	1.323524267590219594e+01	4.393060304759090207e-02	1.503180238075817465e-01	0.000000000000000000e+00
5.052631065335679604e-12	4.074958474982579570e-01	1.324830583044768595e+01	4.541853037928560155e-02	1.527728814344378183e-01	0.000000000000000000e+00
5.291978735958436557e-12	4.216598289726654625e-01	1.326344185314374258e+01	4.694358204624371478e-02	1.550953989515617137e-01	0.000000000000000000e+00
5.542664520663095602e-12	4.362573118477928724e-01	1.328052658800248409e+01	4.850624526270132242e-02	1.572811544222531555e-01	0.000000000000000000e+00
5.805225516094907684e-12	4.512959864278430766e-01	1.329944065522348851e+01	5.010699178607577742e-02	1.593261899163388451e-01	0.000000000000000000e+00
6.080224261649427052e-12	4.667833296799654419e-01	1.332006905841276989e+01	5.174627547565274766e-02	1.612269621771295625e-01	0.000000000000000000e+00
6.368249944718585906e-12	4.827265680649283630e-01	1.334230078615864556e+01	5.342452996937367693e-02	1.629803918345960889e-01	0.000000000000000000e+00
6.669919663030115058e-12	4.991326386660021597e-01	1.336602846685326718e+01	5.514216620494508114e-02	1.645838054189153188e-01	0.000000000000000000e+00
6.985879746785234820e-12	5.160081806008571803e-01	1.339114810295621538e+01	5.689957317377699469e-02	1.660349776552958179e-01	0.000000000000000000e+00
7.316807143427207274e-12	5.333595464895186655e-01	1.341755891009615098e+01	5.869712056887087248e-02	1.673321056083011404e-01	0.000000000000000000e+00
