pc	M	R	C	k2	j3
9.999999999999999799e-13	1.309729889459914642e-01	2.267204292485030592e+01	8.530241341098820235e-03	5.418458494640536124e-03	0.000000000000000000e+00
1.047370897959448749e-12	1.357981573094577954e-01	2.191646822507352255e+01	9.149419528567482099e-03	6.579593261051487618e-03	0.000000000000000000e+00
1.096985797892381920e-12	1.407906377134597042e-01	2.124482683567528341e+01	9.785675621969788796e-03	7.887272639549415890e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.459543536846226730e-01	2.064501537206560400e+01	1.043931683206435722e-02	9.344273775559604547e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.512934372652898485e-01	2.010712886185037362e+01	1.111067038098348218e-02	1.095195820643452174e-02	0.000000000000000000e+00
1.260382929679727463e-12	1.568122248172142963e-01	1.962298594722162193e+01	1.180008290901843164e-02	1.271030558591472806e-02	0.000000000000000000e+00
1.320088400831416649e-12	1.625152542736047478e-01	1.918577168201120386e+01	1.250791999917085645e-02	1.461796208388358581e-02	0.000000000000000000e+00
1.382622173764653478e-12	1.684072630507176815e-01	1.878976546532494041e+01	1.323456567896838694e-02	1.667235847508906008e-02	0.000000000000000000e+00
1.448118227674535917e-12	1.744931871960549441e-01	1.843013122751085220e+01	1.398042206413887753e-02	1.886974486294010211e-02	0.000000000000000000e+00
1.516716888470924089e-12	1.807781600666651667e-01	1.810275405997319353e+01	1.474590887246767651e-02	2.120536136305623334e-02	0.000000000000000000e+00
1.588565129428052692e-12	1.872675111820561178e-01	1.780411160460109343e+01	1.553146297548695272e-02	2.367339525197535363e-02	0.000000000000000000e+00
1.663816886076127415e-12	1.939666562670764038e-01	1.753117605335560469e+01	1.633752492411962021e-02	2.626731425487663363e-02	0.000000000000000000e+00
1.742633386009647278e-12	2.008809276584122561e-01	1.728133546234234785e+01	1.716451907232524957e-02	2.897952426784971072e-02	0.000000000000000000e+00
1.825183494319046040e-12	2.080157116840012921e-01	1.705231841599012910e+01	1.801287106804739038e-02	3.180192235105351595e-02	0.000000000000000000e+00
1.911644075385703708e-12	2.153764608616107468e-01	1.684213918890668182e+01	1.888300982302576481e-02	3.472569181348932055e-02	0.000000000000000000e+00
2.002200371815584363e-12	2.229686797851632429e-01	1.664905390212903313e+01	1.977536636102655149e-02	3.774149505887981065e-02	0.000000000000000000e+00
2.097046401323230665e-12	2.307979095033436678e-01	1.647152445630472073e+01	2.069037253937916834e-02	4.083967890654207483e-02	0.000000000000000000e+00
2.196385372416542332e-12	2.388697105246532504e-01	1.630818866459606653e+01	2.162845967908805581e-02	4.401017831996523189e-02	0.000000000000000000e+00
