pc	M	R	C	k2	j3
9.999999999999999799e-13	1.122970903246278546e-01	3.138820711855012391e+01	5.282898040970574437e-03	9.842138488758060775e-04	0.000000000000000000e+00
1.047370897959448749e-12	1.150994533202722853e-01	2.983884451485092271e+01	5.695888701122438398e-03	1.231786360702699168e-03	0.000000000000000000e+00
1.096985797892381920e-12	1.179658399750213166e-01	2.847372409092794143e+01	6.117616197323000153e-03	1.522984356823959716e-03	0.000000000000000000e+00
1.148951000187311009e-12	1.208964365652810818e-01	2.726226823262462773e+01	6.548197183871112305e-03	1.860999997910380748e-03	0.000000000000000000e+00
1.203377840777590522e-12	1.238916166020886112e-01	2.618025670417055295e+01	6.987764407345843296e-03	2.248746020735232359e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.269519174484337043e-01	2.520826377443080801e+01	7.436465461293523087e-03	2.688803490118075491e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.300780435669834922e-01	2.433052786903663645e+01	7.894464933246797891e-03	3.183440939402704117e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.332710104953037378e-01	2.353409534816052329e+01	8.361966378770076258e-03	3.734567921576691964e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.365321312605405069e-01	2.280823303452836370e+01	8.839210227337636686e-03	4.343826242431760715e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.398629619690803516e-01	2.214398941794303610e+01	9.326465566249067529e-03	5.012526938052213818e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.432653077178601964e-01	2.153384380885250593e+01	9.824030752887416562e-03	5.741698754300817061e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.467412308072105209e-01	2.097143497334559470e+01	1.033223426182760737e-02	6.532083947557565558e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.502930604822885763e-01	2.045134919463142253e+01	1.085143564619242204e-02	7.384197834876601342e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.539234271771575402e-01	1.996895024289270992e+01	1.138202996864993988e-02	8.298309886462400253e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.576354835066617888e-01	1.952022353812665756e+01	1.192447950495728257e-02	9.274546893056491437e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.614328153648331154e-01	1.910169122106190898e+01	1.247930029556672087e-02	1.031289932252107099e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.653193195785247760e-01	1.871034206324949878e+01	1.304704369373873608e-02	1.141322526470235112e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.692992196213021772e-01	1.834355783198045842e+01	1.362829789394646822e-02	1.257523629087495612e-02	0.000000000000000000e+00
2.300430119772921506e-12	1.733770849898524646e-01	1.799905309508275408e+01	1.422368984728654417e-02	1.379854185028401604e-02	0.000000000000000000e+00
2.409403560239526876e-12	1.775578530708417091e-01	1.767482581825704102e+01	1.483388738251589963e-02	1.508265517764770594e-02	0.000000000000000000e+00
2.523539170434765862e-12	1.818468549353408070e-01	1.736911646598064962e+01	1.545960175125002042e-02	1.642702776726607389e-02	0.000000000000000000e+00
2.643081486974102692e-12	1.862499173477458747e-01	1.708036920442421547e+01	1.610160133827722925e-02	1.783105067123190099e-02	0.000000000000000000e+00
2.768286630392061017e-12	1.907733203437104452e-01	1.680720815476911412e+01	1.676070548260370080e-02	1.929412386320965983e-02	0.000000000000000000e+00
2.899422853882880921e-12	1.954236270355074745e-01	1.654842272953674254e+01	1.743776008067348532e-02	2.081549235895441274e-02	0.000000000000000000e+00
3.036771118035460378e-12	2.002076817453770641e-01	1.630294453933915122e+01	1.813363712534186989e-02	2.239435105385873329e-02	0.000000000000000000e+00
3.180625692794118977e-12	2.051326215383073026e-01	1.606982753141928200e+01	1.884923589147862594e-02	2.402974993070095683e-02	0.000000000000000000e+00
3.331294787934670055e-12	2.102058891824024611e-01	1.584823136630930485e+01	1.958548413682504458e-02	2.572066786187561169e-02	0.000000000000000000e+00
3.489101213406766494e-12	2.154352467910969626e-01	1.563740742703580544e+01	2.034333926553776387e-02	2.746596105733969950e-02	0.000000000000000000e+00
3.654383070957261569e-12	2.208287863599704137e-01	1.543668713015578753e+01	2.112378889779407617e-02	2.926435955603989836e-02	0.000000000000000000e+00
3.827494478516314936e-12	2.263948094549632084e-01	1.524547612058558599e+01	2.192783267435850433e-02	3.111445130438491441e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.321417158570448502e-01	1.506324702897918577e+01	2.275646643598990687e-02	3.301460931570780744e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.380780800192117685e-01	1.488952678969763532e+01	2.361069391209367346e-02	3.496299899535646599e-02	0.000000000000000000e+00
4.397603609302712498e-12	2.442126486718577960e-01	1.472388892349603040e+01	2.449152660785293076e-02	3.695760208749964554e-02	0.000000000000000000e+00
4.605922041145112927e-12	2.505543308224207899e-01	1.456594722628495298e+01	2.539998246514449734e-02	3.899616559889530071e-02	0.000000000000000000e+00
4.824108704165373984e-12	2.571121855525681510e-01	1.441535029897494447e+01	2.633708435142512530e-02	4.107624746630712809e-02	0.000000000000000000e+00
5.052631065335679604e-12	2.638954079254380303e-01	1.427177686683981328e+01	2.730385827693998860e-02	4.319514698947349296e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.709133124429718986e-01	1.413493174984993139e+01	2.830133131882207539e-02	4.534993628147912514e-02	0.000000000000000000e+00
5.542664520663095602e-12	2.781752811111752322e-01	1.400454287156170530e+01	2.933052476751346269e-02	4.753742646143546691e-02	0.000000000000000000e+00
5.805225516094907684e-12	2.856903682382915810e-01	1.388036395511333687e+01	3.039239885256593901e-02	4.975407659069205207e-02	0.000000000000000000e+00
6.080224261649427052e-12	2.934674323148465103e-01	1.376216741562778267e+01	3.148787194450849286e-02	5.199600682148857594e-02	0.000000000000000000e+00
6.368249944718585906e-12	3.015154018718733120e-01	1.364973728043553436e+01	3.261785847275269073e-02	5.425914487544679365e-02	0.000000000000000000e+00
6.669919663030115058e-12	3.098432592413979392e-01	1.354286786975050028e+01	3.378326703792723651e-02	5.653919721958441252e-02	0.000000000000000000e+00
6.985879746785234820e-12	3.184600149612737963e-01	1.344136264184689722e+01	3.498499755397588284e-02	5.883166153789639446e-02	0.000000000000000000e+00
7.316807143427207274e-12	3.273746792186587595e-01	1.334503316450100741e+01	3.622393813823503173e-02	6.113184584013168360e-02	0.000000000000000000e+00
