pc	M	R	C	k2	j3
9.999999999999999799e-13	9.105459175022896645e-02	1.088837901954420460e+02	1.234834789393522312e-03	1.772426554716182616e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.156143000896098394e-02	9.602208874186655407e+01	1.408029173086819061e-03	1.698600861272417080e-04	0.000000000000000000e+00
1.096985797892381920e-12	9.216106653459134324e-02	8.546866559218881321e+01	1.592248335549025732e-03	1.661149992184965212e-04	0.000000000000000000e+00
1.148951000187311009e-12	9.284962561617124410e-02	7.668829814975914871e+01	1.787809710669765019e-03	1.656911513523268674e-04	0.000000000000000000e+00
1.203377840777590522e-12	9.362469182712997162e-02	6.929606118783958379e+01	1.995042199346356519e-03	1.685864760100396278e-04	0.000000000000000000e+00
1.260382929679727463e-12	9.448489420313718745e-02	6.300842749215090066e+01	2.214287330403530603e-03	1.750662457915888582e-04	0.000000000000000000e+00
1.320088400831416649e-12	9.542963561444436915e-02	5.761225948513978778e+01	2.445899411137464861e-03	1.856287497595048800e-04	0.000000000000000000e+00
1.382622173764653478e-12	9.645891535950430751e-02	5.294446928120402163e+01	2.690246096513800294e-03	2.010029337649958377e-04	0.000000000000000000e+00
1.448118227674535917e-12	9.757321006906814753e-02	4.887831299639012883e+01	2.947709085629190116e-03	2.221514348433326416e-04	0.000000000000000000e+00
1.516716888470924089e-12	9.877338902528258469e-02	4.531393476646481844e+01	3.218684547838966334e-03	2.503025414286562931e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.000606076827522534e-01	4.217181276105229415e+01	3.503572440694005096e-03	2.868751995945245767e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.014359048018838583e-01	3.938851317963598575e+01	3.802702541058498170e-03	3.335681453388289865e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.029001578128463518e-01	3.691260983510254334e+01	4.116342695022563204e-03	3.922983009484382793e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.044540779751716164e-01	3.470180961539816877e+01	4.444710838238632306e-03	4.652016544277150288e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.060981319692905489e-01	3.272101590335592647e+01	4.787967497610738817e-03	5.546114884829067863e-04	0.000000000000000000e+00
2.002200371815584363e-12	1.078324682725009809e-01	3.094086306730411096e+01	5.146208259864492977e-03	6.630260903845465719e-04	0.000000000000000000e+00
2.097046401323230665e-12	1.096568470610970042e-01	2.933659407525914631e+01	5.519456284176787846e-03	7.930579375222788921e-04	0.000000000000000000e+00
2.196385372416542332e-12	1.115705739585712425e-01	2.788719069803883954e+01	5.907655145561618686e-03	9.474058910641209403e-04	0.000000000000000000e+00
2.300430119772921506e-12	1.135728148032070089e-01	2.657446585450618315e+01	6.310736989065279280e-03	1.128795612436855065e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.156635290648721920e-01	2.538218540651632793e+01	6.728800651808660924e-03	1.340037951846915392e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.178433926382621844e-01	2.429609633941239366e+01	7.162076757504929302e-03	1.584054834728765813e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.201138643356680080e-01	2.330374585085017713e+01	7.610928450532122337e-03	1.863826432512477073e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.224773169134639739e-01	2.239425976975887522e+01	8.075867542281695705e-03	2.182447588612246303e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.249371705425325330e-01	2.155814355886826306e+01	8.557571602597454502e-03	2.543167398466035598e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.274979997000505461e-01	2.078711621519724773e+01	9.056895612024202721e-03	2.949406576894595365e-03	0.000000000000000000e+00
3.180625692794118977e-12	1.301651074729803792e-01	2.007408918760575744e+01	9.574783593853145383e-03	3.404722942755636361e-03	0.000000000000000000e+00
3.331294787934670055e-12	1.329441247146413985e-01	1.941305322751944828e+01	1.011219739725756350e-02	3.912762417272035685e-03	0.000000000000000000e+00
3.489101213406766494e-12	1.358410553231017281e-01	1.879885874505196597e+01	1.067013212759756677e-02	4.477234024571712795e-03	0.000000000000000000e+00
3.654383070957261569e-12	1.388622574818546285e-01	1.822706698983962070e+01	1.124961517918555975e-02	5.101884690610552359e-03	0.000000000000000000e+00
3.827494478516314936e-12	1.420144293095181309e-01	1.769383146330073231e+01	1.185170469349515129e-02	5.790502797487151292e-03	0.000000000000000000e+00
4.008806328898464320e-12	1.453045979323144554e-01	1.719580192761516813e+01	1.247748792102645714e-02	6.546865979757543128e-03	0.000000000000000000e+00
4.198707084443905621e-12	1.487401104469986135e-01	1.673004612354611709e+01	1.312807945060105903e-02	7.374721208166535105e-03	0.000000000000000000e+00
4.397603609302712498e-12	1.523286248532875753e-01	1.629398554747485051e+01	1.380461915670044837e-02	8.277742700022424835e-03	0.000000000000000000e+00
4.605922041145112927e-12	1.560781010116686351e-01	1.588534239919610158e+01	1.450826993203114396e-02	9.259497771715929221e-03	0.000000000000000000e+00
4.824108704165373984e-12	1.599967900886006544e-01	1.550209555607704459e+01	1.524021504928159930e-02	1.032340830061073168e-02	0.000000000000000000e+00
5.052631065335679604e-12	1.640932225404017064e-01	1.514244381636385661e+01	1.600165519834775146e-02	1.147270218736465633e-02	0.000000000000000000e+00
5.291978735958436557e-12	1.683761931429691161e-01	1.480477509560932958e+01	1.679380503473868608e-02	1.271034353753493218e-02	0.000000000000000000e+00
5.542664520663095602e-12	1.728546358349228040e-01	1.448764764122108417e+01	1.761786962071009571e-02	1.403900254990272933e-02	0.000000000000000000e+00
5.805225516094907684e-12	1.775373746551986431e-01	1.418977802978142222e+01	1.847499912977082492e-02	1.546085017905480044e-02	0.000000000000000000e+00
6.080224261649427052e-12	1.824333049497343096e-01	1.391000162104755944e+01	1.936632341696069293e-02	1.697761956604611905e-02	0.000000000000000000e+00
6.368249944718585906e-12	1.875514043753344906e-01	1.364725366407883733e+01	2.029295496508598529e-02	1.859050190213615630e-02	0.000000000000000000e+00
6.669919663030115058e-12	1.929006879974923538e-01	1.340055664098690436e+01	2.125598196332228323e-02	2.030017489705132280e-02	0.000000000000000000e+00
6.985879746785234820e-12	1.984901576264234691e-01	1.316900933707293930e+01	2.225646088413223839e-02	2.210664432863249443e-02	0.000000000000000000e+00
7.316807143427207274e-12	2.043287429578880821e-01	1.295177742128925225e+01	2.329540825191949924e-02	2.400922374749653310e-02	0.000000000000000000e+00
7.663410868007462274e-12	2.104252349376934117e-01	1.274808524396002873e+01	2.437379179027504214e-02	2.600651946948642768e-02	0.000000000000000000e+00
8.026433522257174683e-12	2.167882103124575688e-01	1.255720869255513072e+01	2.549252084615151806e-02	2.809634083458359410e-02	0.000000000000000000e+00
8.406652885618316356e-12	2.234259465758003382e-01	1.237846893772804080e+01	2.665243607602705081e-02	3.027563355686517174e-02	0.000000000000000000e+00
8.804883581643446547e-12	2.303463262815692303e-01	1.221122693881812893e+01	2.785429833496958982e-02	3.254051539474459714e-02	0.000000000000000000e+00
9.221978823334340144e-12	2.375567305865589895e-01	1.205487859063072875e+01	2.909877683563729181e-02	3.488617530979774145e-02	0.000000000000000000e+00
9.658832241158709141e-12	2.450639163295051937e-01	1.190885050531808176e+01	3.038643573000785608e-02	3.730688327014897859e-02	0.000000000000000000e+00
