pc	M	R	C	k2	j3
9.999999999999999799e-13	9.895494772644342074e-02	5.959249067932368860e+01	2.451975980482910041e-03	2.057144572615291671e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.995355150108997666e-02	5.538798608727230288e+01	2.664728031280155437e-03	2.215229555496412415e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.009889192014725851e-01	5.172432523660821602e+01	2.883029760850723631e-03	2.418564993501571268e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.020591461225469204e-01	4.850593768737666522e+01	3.106899899171135324e-03	2.672634018558010826e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.031628324376113182e-01	4.565797179425869246e+01	3.336390509620066475e-03	2.983877663711058999e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.042990263215273217e-01	4.312103290032192149e+01	3.571587825887182193e-03	3.359041837842774436e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.054671846757372217e-01	4.084743867823333829e+01	3.812613301772916838e-03	3.805582990920222241e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.066671462058073755e-01	3.879850697795171754e+01	4.059624804777070030e-03	4.331375124683568096e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.078991141929474262e-01	3.694255937522861899e+01	4.312818029264716899e-03	4.944856481665016110e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.091636466556264728e-01	3.525343057207458486e+01	4.572428096507204914e-03	5.654911580669345385e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.104616525882937822e-01	3.370934056623619313e+01	4.838731395992432183e-03	6.470865601503915160e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.117943931059223739e-01	3.229203106427686265e+01	5.112047683099950508e-03	7.402705851026601279e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.131634671863852026e-01	3.098610982869249852e+01	5.392739282429313136e-03	8.460895786800975028e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.145706457004573159e-01	2.977863266055453906e+01	5.681183843162316248e-03	9.656448400860590800e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.160177353777788051e-01	2.865870588988213541e+01	5.977754064838046444e-03	1.100083858577068346e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.175065389886987693e-01	2.761709822733379482e+01	6.282814324710696979e-03	1.250577550386913024e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.190388263143739161e-01	2.664593313826011212e+01	6.596718279819166648e-03	1.418331696919755301e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.206163094144169362e-01	2.573844543726344369e+01	6.919806626611946926e-03	1.604570135319323496e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.222406196853220023e-01	2.488878752261537741e+01	7.252404818232512616e-03	1.810522184614656851e-03	0.000000000000000000e+00
