pc	M	R	C	k2	j3
9.999999999999999799e-13	1.091667304231211527e-01	4.097067315209356764e+01	3.934480876503465042e-03	4.247699541103684825e-04	0.000000000000000000e+00
1.047370897959448749e-12	1.122042052191034034e-01	3.749366833335477622e+01	4.418973890429509291e-03	5.550210619449043358e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.155157883401065066e-01	3.455217490004169179e+01	4.936693812889632153e-03	7.335026336222148346e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.191068078776148509e-01	3.204828307306998170e+01	5.487847729471119484e-03	9.721727557577005503e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.229804560147757936e-01	2.990574248837229732e+01	6.072279378617559918e-03	1.284038885075413066e-03	0.000000000000000000e+00
1.260382929679727463e-12	1.271372199957449267e-01	2.806429434650597443e+01	6.689425465864468241e-03	1.682665841530494016e-03	0.000000000000000000e+00
1.320088400831416649e-12	1.315743020127252139e-01	2.647569664170107728e+01	7.338273829697848812e-03	2.181500378963572608e-03	0.000000000000000000e+00
1.382622173764653478e-12	1.362850257699003975e-01	2.510087984500232494e+01	8.017323926040839308e-03	2.793093264580257407e-03	0.000000000000000000e+00
1.448118227674535917e-12	1.412582365101791859e-01	2.390787368367590915e+01	8.724550535967412132e-03	3.528247096300144055e-03	0.000000000000000000e+00
1.516716888470924089e-12	1.464779157189485814e-01	2.287023479320361474e+01	9.457400120666608137e-03	4.395150803776683678e-03	0.000000000000000000e+00
1.588565129428052692e-12	1.519251765041403912e-01	2.196556406884028334e+01	1.021310094205938636e-02	5.399024487502212741e-03	0.000000000000000000e+00
1.663816886076127415e-12	1.575808352356168063e-01	2.117459636964824554e+01	1.098900807571115065e-02	6.542196972028895864e-03	0.000000000000000000e+00
1.742633386009647278e-12	1.634259119115997749e-01	2.048085740268128063e+01	1.178265111010363443e-02	7.824167782085523007e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.694418900342173351e-01	1.987032041275741889e+01	1.259175172211404216e-02	9.241753304983993042e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.756109551307702688e-01	1.933106630313860919e+01	1.341423868383301299e-02	1.078934992659302643e-02	0.000000000000000000e+00
2.002200371815584363e-12	1.819162121720691583e-01	1.885297180712241882e+01	1.424825967583533658e-02	1.245930605161803262e-02	0.000000000000000000e+00
2.097046401323230665e-12	1.883418868290822334e-01	1.842743435492507587e+01	1.509219052676917527e-02	1.424227368828413429e-02	0.000000000000000000e+00
2.196385372416542332e-12	1.948735126632240577e-01	1.804713495801778933e+01	1.594464236411288066e-02	1.612770552759562950e-02	0.000000000000000000e+00
2.300430119772921506e-12	2.014981065325336662e-01	1.770583672989998192e+01	1.680446727654897471e-02	1.810422638779443649e-02	0.000000000000000000e+00
2.409403560239526876e-12	2.082043352218566346e-01	1.739821522053858160e+01	1.767076308601791754e-02	2.016000956249849180e-02	0.000000000000000000e+00
2.523539170434765862e-12	2.149826729454466512e-01	1.711971635709878825e+01	1.854287746463590542e-02	2.228321256769488085e-02	0.000000000000000000e+00
2.643081486974102692e-12	2.218255524778946775e-01	1.686643784382800959e+01	1.942041189027083822e-02	2.446224888614694296e-02	0.000000000000000000e+00
2.768286630392061017e-12	2.287275101605359129e-01	1.663503032095675849e+01	2.030322561602091944e-02	2.668608706607429604e-02	0.000000000000000000e+00
2.899422853882880921e-12	2.356853270267239564e-01	1.642261501535228518e+01	2.119143998490338743e-02	2.894449770875203928e-02	0.000000000000000000e+00
3.036771118035460378e-12	2.426981675365231517e-01	1.622671512361003465e+01	2.208544328358709799e-02	3.122822725598711421e-02	0.000000000000000000e+00
3.180625692794118977e-12	2.497677181864099150e-01	1.604519860431795664e+01	2.298589636058818650e-02	3.352918648637358279e-02	0.000000000000000000e+00
3.331294787934670055e-12	2.568983287118022929e-01	1.587623045437242197e+01	2.389373922852974091e-02	3.584050581901009058e-02	0.000000000000000000e+00
3.489101213406766494e-12	2.640971591808933816e-01	1.571823288043822231e+01	2.481019888550015096e-02	3.815665327947462965e-02	0.000000000000000000e+00
3.654383070957261569e-12	2.713743359090478591e-01	1.556985207579516484e+01	2.573679849202284431e-02	4.047351174992969147e-02	0.000000000000000000e+00
3.827494478516314936e-12	2.787431283505572011e-01	1.542993040052344078e+01	2.667536912563147830e-02	4.278831110932269227e-02	0.000000000000000000e+00
4.008806328898464320e-12	2.862201902764918704e-01	1.529748066149347707e+01	2.762807258231326016e-02	4.509974739729104981e-02	0.000000000000000000e+00
4.198707084443905621e-12	2.938235979745970616e-01	1.517168846212489797e+01	2.859716566712366959e-02	4.740719498059928205e-02	0.000000000000000000e+00
4.397603609302712498e-12	3.015707453232444601e-01	1.505190426239200363e+01	2.958475635826392919e-02	4.970995571185255618e-02	0.000000000000000000e+00
4.605922041145112927e-12	3.094781876618358796e-01	1.493760865624371093e+01	3.059279824341531659e-02	5.200711237746332566e-02	0.000000000000000000e+00
4.824108704165373984e-12	3.175616080320261547e-01	1.482838443040074594e+01	3.162309630971558289e-02	5.429756505568680836e-02	0.000000000000000000e+00
5.052631065335679604e-12	3.258357706587684532e-01	1.472389478651178507e+01	3.267730935551059479e-02	5.657984137135410596e-02	0.000000000000000000e+00
5.291978735958436557e-12	3.343144601759739931e-01	1.462386602181853945e+01	3.375694973882299027e-02	5.885218666699115753e-02	0.000000000000000000e+00
5.542664520663095602e-12	3.430104080493858176e-01	1.452807352958515885e+01	3.486338115077126237e-02	6.111250807320518785e-02	0.000000000000000000e+00
5.805225516094907684e-12	3.519352049402626470e-01	1.443633037613493464e+01	3.599781454603334652e-02	6.335831998602711734e-02	0.000000000000000000e+00
