pc	M	R	C	k2	j3
9.999999999999999799e-13	5.157383018869848179e+00	3.548151310945848236e+05	2.146334907824401359e-05	-5.610155863065950560e-08	0.000000000000000000e+00
1.047370897959448749e-12	4.331946244611032171e+00	2.703417341137898620e+05	2.366138698643539882e-05	-1.266409496778510358e-07	0.000000000000000000e+00
1.096985797892381920e-12	4.731052616542084976e+00	2.104958578078127757e+05	3.318825811189331031e-05	9.890814742604398804e-07	0.000000000000000000e+00
1.148951000187311009e-12	6.925444959868496397e+00	2.097401299131436681e+05	4.875693360805672728e-05	-1.187311312717703048e-05	0.000000000000000000e+00
1.203377840777590522e-12	1.555641490298733665e+01	3.761251884627785766e+05	6.107273008022193238e-05	2.795883270195226135e-05	0.000000000000000000e+00
1.260382929679727463e-12	8.507700670425102918e-02	6.516496199696177882e+02	1.927828029035689463e-04	1.037036325976265754e-06	0.000000000000000000e+00
1.320088400831416649e-12	8.624922502934238844e-02	2.301077946686244786e+02	5.534700264650424225e-04	4.826980364116723720e-06	0.000000000000000000e+00
1.382622173764653478e-12	8.781999367734595607e-02	1.381993691255821375e+02	9.383342657557927841e-04	1.195311884868735679e-05	0.000000000000000000e+00
1.448118227674535917e-12	8.966191990119247446e-02	9.842783575454811285e+01	1.345117841561799905e-03	2.231198552382374303e-05	0.000000000000000000e+00
1.516716888470924089e-12	9.171753138932479954e-02	7.640907846174863494e+01	1.772464845096172583e-03	3.660472819596072199e-05	0.000000000000000000e+00
1.588565129428052692e-12	9.395522369954527331e-02	6.250745967329864072e+01	2.219521296973980904e-03	5.639032350317482392e-05	0.000000000000000000e+00
1.663816886076127415e-12	9.635594076421627463e-02	5.297669012698264623e+01	2.685739645240600888e-03	8.413783623899485009e-05	0.000000000000000000e+00
1.742633386009647278e-12	9.890772572847501831e-02	4.606089712326509300e+01	3.170794224575248371e-03	1.232381014134091254e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.016031100406823984e-01	4.082952172799084423e+01	3.674539701989027341e-03	1.779712086776391816e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.044375382310003403e-01	3.674451232679618329e+01	4.196955587047998364e-03	2.534380724217476168e-04	0.000000000000000000e+00
2.002200371815584363e-12	1.074085545088159233e-01	3.347356406798931516e+01	4.738131950180824239e-03	3.554612646569540167e-04	0.000000000000000000e+00
2.097046401323230665e-12	1.105152358389492467e-01	3.080067022180607950e+01	5.298247269674792766e-03	4.904689995401528835e-04	0.000000000000000000e+00
2.196385372416542332e-12	1.137578500185068980e-01	2.857950703596073083e+01	5.877557372052547024e-03	6.653631926791516923e-04	0.000000000000000000e+00
2.300430119772921506e-12	1.171376085667506367e-01	2.670754527950877844e+01	6.476384356273318099e-03	8.873843351302669212e-04	0.000000000000000000e+00
2.409403560239526876e-12	1.206563993676322416e-01	2.511091575517081509e+01	7.095092224520185321e-03	1.163962128253941911e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.243167465631899171e-01	2.373506134301650050e+01	7.734095179893335330e-03	1.502583974441300046e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.281216300594234248e-01	2.253887102119036356e+01	8.393837014990300147e-03	1.910648758530157339e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.320744694460328772e-01	2.149078151812014070e+01	9.074796623440529661e-03	2.395349318372997412e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.361789925196644491e-01	2.056618843969164345e+01	9.777471104139496758e-03	2.963534549166807388e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.404391712235408263e-01	1.974563898627475922e+01	1.050236966125667366e-02	3.621599586148754619e-03	0.000000000000000000e+00
