pc	M	R	C	k2	j3
9.999999999999999799e-13	9.895203000955092587e-02	5.992143679858917693e+01	2.438443655483375685e-03	2.048956180193381752e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.989066209381543271e-02	5.585322904295667712e+01	2.640868891117975625e-03	2.195273060755655416e-04	0.000000000000000000e+00
1.096985797892381920e-12	1.008534423604316860e-01	5.230267628043205974e+01	2.847325053117004661e-03	2.380770020723066861e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.018411628432191324e-01	4.917031794295206026e+01	3.058373824455706477e-03	2.610114470973368128e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.028564303675137542e-01	4.637847323442399983e+01	3.274803420966458916e-03	2.889279718451503824e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.039037737812515960e-01	4.386565402525583579e+01	3.497654822417083868e-03	3.225542302148507790e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.049898276151901289e-01	4.158260235338118349e+01	3.728256575469903605e-03	3.628405681452471728e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.061236002314442650e-01	3.948944163910856275e+01	3.968270028742202499e-03	4.109798733758555337e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.073168471151042108e-01	3.755360678242834638e+01	4.219747703041990330e-03	4.685120428598596801e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.085845702429715232e-01	3.574833392560377376e+01	4.485207563415621185e-03	5.374528431547077314e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.099452691325118747e-01	3.405197192090889047e+01	4.767651640293400252e-03	6.204361482982683395e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.114197681841044146e-01	3.244858892853450527e+01	5.070335181566723928e-03	7.208006247443119038e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.130303933023345808e-01	3.092734481319314099e+01	5.396632412474443655e-03	8.427207880787478036e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.148007403784680469e-01	2.948130629086031007e+01	5.750004719540119727e-03	9.913139076481922423e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.167554235632733556e-01	2.810647932299591645e+01	6.133958739805179909e-03	1.172861537773637990e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.189197268258200824e-01	2.680100935559184450e+01	6.551986404562895432e-03	1.394868935494895370e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.213191221757828064e-01	2.556450558180575428e+01	7.007483702711204444e-03	1.666253048100660526e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.239786211950892336e-01	2.439746614635802757e+01	7.503645585030988691e-03	1.997375218715167523e-03	0.000000000000000000e+00
