pc	M	R	C	k2	j3
9.999999999999999799e-13	1.011022303437743575e-01	7.857915888930189396e+01	1.899868733640107952e-03	7.614791870471423335e-05	0.000000000000000000e+00
1.047370897959448749e-12	1.025200253104007891e-01	6.916553972803890815e+01	2.188714774213026612e-03	9.724547167608369727e-05	0.000000000000000000e+00
1.096985797892381920e-12	1.040698337148862063e-01	6.163527124980351601e+01	2.493249749429883068e-03	1.235530927458234056e-04	0.000000000000000000e+00
1.148951000187311009e-12	1.057491053361074296e-01	5.549611862427099851e+01	2.813742348678850268e-03	1.567009591916041422e-04	0.000000000000000000e+00
1.203377840777590522e-12	1.075563438904022784e-01	5.041153236713326180e+01	3.150477389677025074e-03	1.987065334428534389e-04	0.000000000000000000e+00
1.260382929679727463e-12	1.094909030802233285e-01	4.614388851850696227e+01	3.503757846919238004e-03	2.519878874807364270e-04	0.000000000000000000e+00
1.320088400831416649e-12	1.115528013107689870e-01	4.252089586534930277e+01	3.873899143776230163e-03	3.193724526479969970e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.137425971537376901e-01	3.941473959357466583e+01	4.261227430101860621e-03	4.040966722746375446e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.160613129363904095e-01	3.672868940736631060e+01	4.666081096458342056e-03	5.097855354719595371e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.185103694494238774e-01	3.438826987423130532e+01	5.088810289245612739e-03	6.404340499551399064e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.210914841104894085e-01	3.233529891555713931e+01	5.529768585940121953e-03	8.003729187159471089e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.238067318008555379e-01	3.052363907569201373e+01	5.989329204633919018e-03	9.942240612814243119e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.266583795938046875e-01	2.891634299590661072e+01	6.467862743625318010e-03	1.226846873592198767e-03	0.000000000000000000e+00
1.825183494319046040e-12	1.296490020343427363e-01	2.748342697717475147e+01	6.965760338003266529e-03	1.503285913977974288e-03	0.000000000000000000e+00
1.911644075385703708e-12	1.327813502673177715e-01	2.620037408344690988e+01	7.483414888176883467e-03	1.828702717142266336e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.360583816404132007e-01	2.504693701647282111e+01	8.021228943573424294e-03	2.208311113699662660e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.394832666010022704e-01	2.400625505908113411e+01	8.579617545624361116e-03	2.647304892948485183e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.430593304374573327e-01	2.306419617681921963e+01	9.159000858830330244e-03	3.150784599290725775e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.467899982268376091e-01	2.220884207365642737e+01	9.759796995557927166e-03	3.723684149983569509e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.506789410719361344e-01	2.143004573557895398e+01	1.038244637263366354e-02	4.370725445961040449e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.547299974315579640e-01	2.071913632242623038e+01	1.102739942452198377e-02	5.096306124054319001e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.589470727533054129e-01	2.006867692014652249e+01	1.169510237263440486e-02	5.904453056488634562e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.633342171443172286e-01	1.947224236615630488e+01	1.238601050074212943e-02	6.798802511078101338e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.678956202986026935e-01	1.892425601515598999e+01	1.310058796681061281e-02	7.782493345351358324e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.726356441545914833e-01	1.841985432871086559e+01	1.383931241264303551e-02	8.858137933947737158e-03	0.000000000000000000e+00
3.180625692794118977e-12	1.775587443588191872e-01	1.795478472448186125e+01	1.460266418200344141e-02	1.002781777662170408e-02	0.000000000000000000e+00
