pc	M	R	C	k2	j3
9.999999999999999799e-13	9.111647658757121571e-02	9.303894833206156534e+01	1.446113431505039772e-03	1.668082103901472588e-04	0.000000000000000000e+00
1.047370897959448749e-12	9.200007961707837301e-02	8.123702897088834618e+01	1.672262328334081375e-03	1.641809122058995386e-04	0.000000000000000000e+00
1.096985797892381920e-12	9.302347009688627377e-02	7.168215087510995431e+01	1.916248125467225538e-03	1.664071260561860322e-04	0.000000000000000000e+00
1.148951000187311009e-12	9.418550592662060239e-02	6.383787867906232805e+01	2.178591791427097590e-03	1.738889441093262800e-04	0.000000000000000000e+00
1.203377840777590522e-12	9.548392245933691458e-02	5.732883976161498651e+01	2.459389610027985350e-03	1.875478734912400713e-04	0.000000000000000000e+00
1.260382929679727463e-12	9.691413143260323160e-02	5.188323276390652694e+01	2.758228962502121996e-03	2.087651741454308208e-04	0.000000000000000000e+00
1.320088400831416649e-12	9.846970049239947564e-02	4.729526147125817914e+01	3.074363541143537628e-03	2.393417159417492016e-04	0.000000000000000000e+00
1.382622173764653478e-12	1.001438804055777426e-01	4.340317950776086775e+01	3.407007625483860110e-03	2.814496311549417006e-04	0.000000000000000000e+00
1.448118227674535917e-12	1.019301078426794183e-01	4.007887543307810319e+01	3.755408556896714951e-03	3.375911654789907402e-04	0.000000000000000000e+00
1.516716888470924089e-12	1.038223135270551073e-01	3.722038804559652903e+01	4.118888548374442446e-03	4.105505566044811245e-04	0.000000000000000000e+00
1.588565129428052692e-12	1.058151875448535839e-01	3.474615568729166171e+01	4.496881877010405586e-03	5.033235937598806373e-04	0.000000000000000000e+00
1.663816886076127415e-12	1.079044166692946782e-01	3.259059098997104087e+01	4.888968289625720588e-03	6.190778006403928465e-04	0.000000000000000000e+00
1.742633386009647278e-12	1.100869023060693924e-01	3.070066952187877973e+01	5.294903381885575355e-03	7.611211764245815609e-04	0.000000000000000000e+00
1.825183494319046040e-12	1.123609667710942922e-01	2.903329388131963285e+01	5.714646782279312817e-03	9.328831330624101767e-04	0.000000000000000000e+00
1.911644075385703708e-12	1.147265680354948858e-01	2.755324321542778421e+01	6.148391470493072899e-03	1.137940949565562944e-03	0.000000000000000000e+00
2.002200371815584363e-12	1.171855144302196977e-01	2.623157082052537703e+01	6.596595706188551449e-03	1.380034377119564344e-03	0.000000000000000000e+00
2.097046401323230665e-12	1.197407926851264959e-01	2.504470224081021712e+01	7.059866539886492862e-03	1.663074105059707958e-03	0.000000000000000000e+00
2.196385372416542332e-12	1.223960954052014521e-01	2.397346298878736803e+01	7.538883388600372930e-03	1.991073907938477328e-03	0.000000000000000000e+00
2.300430119772921506e-12	1.251557999444125879e-01	2.300211740971629482e+01	8.034399072321996710e-03	2.368176306647589314e-03	0.000000000000000000e+00
2.409403560239526876e-12	1.280249760684898652e-01	2.211764470577886854e+01	8.547243192629332131e-03	2.798615316511858346e-03	0.000000000000000000e+00
2.523539170434765862e-12	1.310094073775488199e-01	2.130918968254808732e+01	9.078326163284092254e-03	3.286752743718305246e-03	0.000000000000000000e+00
2.643081486974102692e-12	1.341156239044379861e-01	2.056764113743441413e+01	9.628643851762415037e-03	3.837066162785552487e-03	0.000000000000000000e+00
2.768286630392061017e-12	1.373509862601819675e-01	1.988529664391692009e+01	1.019929006603345970e-02	4.454166925774551491e-03	0.000000000000000000e+00
2.899422853882880921e-12	1.407243997287588588e-01	1.925549176522063632e+01	1.079157976977431800e-02	5.142963882454047730e-03	0.000000000000000000e+00
3.036771118035460378e-12	1.442459349221422160e-01	1.867252289622968320e+01	1.140698360342014793e-02	5.908599647035543689e-03	0.000000000000000000e+00
3.180625692794118977e-12	1.479259643310018024e-01	1.813161298468686766e+01	1.204698039540577637e-02	6.756302227294014827e-03	0.000000000000000000e+00
3.331294787934670055e-12	1.517750780092324558e-01	1.762873251839696920e+01	1.271304579902138646e-02	7.691263874738028805e-03	0.000000000000000000e+00
3.489101213406766494e-12	1.558040203982282990e-01	1.716045560091513522e+01	1.340664412053000493e-02	8.718605780977717323e-03	0.000000000000000000e+00
3.654383070957261569e-12	1.600236144208888323e-01	1.672384677215861259e+01	1.412921815714169096e-02	9.843243046903095775e-03	0.000000000000000000e+00
3.827494478516314936e-12	1.644446702760919976e-01	1.631637104388052606e+01	1.488217696760290101e-02	1.106978453844393272e-02	0.000000000000000000e+00
4.008806328898464320e-12	1.690778728996827351e-01	1.593582184307540039e+01	1.566688099999990688e-02	1.240242526113610744e-02	0.000000000000000000e+00
4.198707084443905621e-12	1.739326407105722394e-01	1.558033262706361199e+01	1.648445526916367948e-02	1.384446373791031575e-02	0.000000000000000000e+00
4.397603609302712498e-12	1.790154545936995523e-01	1.524838973707831435e+01	1.733551615545549096e-02	1.539766232353758854e-02	0.000000000000000000e+00
4.605922041145112927e-12	1.843323101336721281e-01	1.493857969831886656e+01	1.822058818621329068e-02	1.706282542409539443e-02	0.000000000000000000e+00
4.824108704165373984e-12	1.898891868306953612e-01	1.464955415647843218e+01	1.914018195836738809e-02	1.883989213377069635e-02	0.000000000000000000e+00
5.052631065335679604e-12	1.956920353398438894e-01	1.438003279866662076e+01	2.009479169803366286e-02	2.072792366014577364e-02	0.000000000000000000e+00
5.291978735958436557e-12	2.017467581383494690e-01	1.412880427152477480e+01	2.108489249331780419e-02	2.272507204226837871e-02	0.000000000000000000e+00
5.542664520663095602e-12	2.080591857508799769e-01	1.389472564827470968e+01	2.211093732342547455e-02	2.482856795508883718e-02	0.000000000000000000e+00
5.805225516094907684e-12	2.146350465522041395e-01	1.367672091617063934e+01	2.317335352072661184e-02	2.703474289222298696e-02	0.000000000000000000e+00
6.080224261649427052e-12	2.214799320171197961e-01	1.347377869695028707e+01	2.427253894920371191e-02	2.933905911677133285e-02	0.000000000000000000e+00
6.368249944718585906e-12	2.285992566854638530e-01	1.328494946857616199e+01	2.540885776334144905e-02	3.173606944654888684e-02	0.000000000000000000e+00
6.669919663030115058e-12	2.359982129239219795e-01	1.310934245045303825e+01	2.658263577805390632e-02	3.421954104754726389e-02	0.000000000000000000e+00
6.985879746785234820e-12	2.436817206044203377e-01	1.294612227909728830e+01	2.779415549254204282e-02	3.678242931331530963e-02	0.000000000000000000e+00
7.316807143427207274e-12	2.516543718093854909e-01	1.279450559135477938e+01	2.904365077435044212e-02	3.941696767383593564e-02	0.000000000000000000e+00
7.663410868007462274e-12	2.599203704581585783e-01	1.265375758755356728e+01	3.033130122277781851e-02	4.211472803291012312e-02	0.000000000000000000e+00
8.026433522257174683e-12	2.684834672739526695e-01	1.252318863795578885e+01	3.165722627126757449e-02	4.486665069604491712e-02	0.000000000000000000e+00
8.406652885618316356e-12	2.773469680403798376e-01	1.240214998108142908e+01	3.302149097839798819e-02	4.766317071660007565e-02	0.000000000000000000e+00
8.804883581643446547e-12	2.865146910490229404e-01	1.229001949843458519e+01	3.442425565862494014e-02	5.049459201648116846e-02	0.000000000000000000e+00
9.221978823334340144e-12	2.959910541206791090e-01	1.218620495897101641e+01	3.586578511831298860e-02	5.335120978609193126e-02	0.000000000000000000e+00
9.658832241158709141e-12	3.057805579140713825e-01	1.209015164068243386e+01	3.734636657383787889e-02	5.622316066369638377e-02	0.000000000000000000e+00
1.011637979766206976e-11	3.158877645973341419e-01	1.200134103413457787e+01	3.886630572940399236e-02	5.910054900804237454e-02	0.000000000000000000e+00
1.059560179277614774e-11	3.263172859608564624e-01	1.191928907312079211e+01	4.042592468924720295e-02	6.197349443139824748e-02	0.000000000000000000e+00
1.109752496412069864e-11	3.370737701984099499e-01	1.184354418196613423e+01	4.202555999875502712e-02	6.483218848081447050e-02	0.000000000000000000e+00
1.162322468679854125e-11	3.481618872335163206e-01	1.177368527030480116e+01	4.366556063899611206e-02	6.766695311894425913e-02	0.000000000000000000e+00
1.217382727739662020e-11	3.595863123035116793e-01	1.170931972521183617e+01	4.534628594538940571e-02	7.046828481917905007e-02	0.000000000000000000e+00
1.275051240713012859e-11	3.713517085965767350e-01	1.165008145207623791e+01	4.706810349479719630e-02	7.322693314627611028e-02	0.000000000000000000e+00
1.335451562929897339e-11	3.834627082857308689e-01	1.159562896812993849e+01	4.883138695840215371e-02	7.593391393866154304e-02	0.000000000000000000e+00
1.398713102647241439e-11	3.959238914658925190e-01	1.154564359220644221e+01	5.063651375329392135e-02	7.858054921059275111e-02	0.000000000000000000e+00
